Map,Query Number,Time,Distance,Path Length
ca_cavern1_haunted,0,3.30840000,7.07106781,2
ca_cavern1_haunted,1,0.62480000,4.47213595,2
ca_cavern1_haunted,2,0.81680000,4.00000000,2
ca_cavern1_haunted,3,1.35820000,4.47213595,2
ca_cavern1_haunted,4,0.37480000,6.00000000,2
ca_cavern1_haunted,5,0.60860000,5.09901951,2
ca_cavern1_haunted,6,0.47520000,4.00000000,2
ca_cavern1_haunted,7,0.50020000,5.00000000,2
ca_cavern1_haunted,8,0.61660000,5.00000000,2
ca_cavern1_haunted,9,0.50000000,6.70820393,2
ca_cavern1_haunted,10,0.48320000,8.24621125,2
ca_cavern1_haunted,11,0.70020000,10.29563014,2
ca_cavern1_haunted,12,0.47480000,8.06225775,2
ca_cavern1_haunted,13,0.48320000,7.81024968,2
ca_cavern1_haunted,14,10.93320000,7.30056307,4
ca_cavern1_haunted,15,0.66660000,7.61577311,2
ca_cavern1_haunted,16,0.55840000,8.24621125,2
ca_cavern1_haunted,17,2.95000000,10.64576492,5
ca_cavern1_haunted,18,0.75840000,10.81665383,2
ca_cavern1_haunted,19,0.49160000,7.61577311,2
ca_cavern1_haunted,20,0.94980000,13.89244399,2
ca_cavern1_haunted,21,0.70840000,14.31782106,2
ca_cavern1_haunted,22,0.54980000,13.92838828,2
ca_cavern1_haunted,23,0.65820000,13.60147051,2
ca_cavern1_haunted,24,0.56660000,14.76482306,2
ca_cavern1_haunted,25,0.64140000,12.64911064,2
ca_cavern1_haunted,26,0.81660000,15.55634919,2
ca_cavern1_haunted,27,0.79980000,15.55634919,2
ca_cavern1_haunted,28,0.74140000,13.89244399,2
ca_cavern1_haunted,29,0.64980000,14.31782106,2
ca_cavern1_haunted,30,3.24180000,16.79937837,8
ca_cavern1_haunted,31,0.45840000,16.27882060,2
ca_cavern1_haunted,32,0.58340000,16.40121947,2
ca_cavern1_haunted,33,0.66680000,18.38477631,2
ca_cavern1_haunted,34,0.70860000,17.69180601,2
ca_cavern1_haunted,35,0.65860000,15.81138830,2
ca_cavern1_haunted,36,0.61680000,16.76305461,2
ca_cavern1_haunted,37,0.42500000,17.08800749,2
ca_cavern1_haunted,38,0.44980000,18.35755975,2
ca_cavern1_haunted,39,0.56640000,18.35755975,2
ca_cavern1_haunted,40,3.48340000,20.85102769,4
ca_cavern1_haunted,41,0.69980000,21.00000000,2
ca_cavern1_haunted,42,4.69160000,21.16470020,4
ca_cavern1_haunted,43,2.34160000,20.75853645,4
ca_cavern1_haunted,44,0.92480000,21.21320344,2
ca_cavern1_haunted,45,0.79180000,21.93171220,2
ca_cavern1_haunted,46,1.10020000,22.09072203,2
ca_cavern1_haunted,47,2.87520000,20.87437851,5
ca_cavern1_haunted,48,3.63340000,19.46424920,4
ca_cavern1_haunted,49,0.91680000,21.47091055,2
ca_cavern1_haunted,50,4.99180000,23.28198862,7
ca_cavern1_haunted,51,0.84180000,24.04163056,2
ca_cavern1_haunted,52,0.87540000,25.49509757,2
ca_cavern1_haunted,53,2.61680000,24.83095189,10
ca_cavern1_haunted,54,0.58320000,25.31797780,2
ca_cavern1_haunted,55,4.24160000,22.96787230,3
ca_cavern1_haunted,56,4.56660000,23.07906208,6
ca_cavern1_haunted,57,0.57500000,25.07987241,2
ca_cavern1_haunted,58,0.66660000,27.58622845,2
ca_cavern1_haunted,59,3.56660000,24.75149535,6
ca_cavern1_haunted,60,2.65820000,30.31960452,4
ca_cavern1_haunted,61,0.82520000,28.01785145,2
ca_cavern1_haunted,62,0.65820000,26.00000000,2
ca_cavern1_haunted,63,0.84980000,29.68164416,2
ca_cavern1_haunted,64,3.07500000,29.40175425,5
ca_cavern1_haunted,65,0.86660000,26.68332813,2
ca_cavern1_haunted,66,3.44180000,30.56836890,4
ca_cavern1_haunted,67,1.00840000,29.00000000,2
ca_cavern1_haunted,68,3.54160000,26.85474794,3
ca_cavern1_haunted,69,0.83340000,26.83281573,2
ca_cavern1_haunted,70,0.65020000,30.80584360,2
ca_cavern1_haunted,71,2.30820000,31.54879371,5
ca_cavern1_haunted,72,2.47520000,31.24510152,5
ca_cavern1_haunted,73,2.94180000,30.65614248,4
ca_cavern1_haunted,74,0.79160000,30.36445290,2
ca_cavern1_haunted,75,3.60000000,32.79433649,13
ca_cavern1_haunted,76,0.81660000,32.00000000,2
ca_cavern1_haunted,77,0.90000000,31.14482300,2
ca_cavern1_haunted,78,0.84160000,32.31098884,2
ca_cavern1_haunted,79,3.31680000,30.85730076,6
ca_cavern1_haunted,80,0.68320000,36.49657518,2
ca_cavern1_haunted,81,3.40860000,35.82842712,9
ca_cavern1_haunted,82,2.40840000,35.06112036,3
ca_cavern1_haunted,83,5.51640000,36.61059218,4
ca_cavern1_haunted,84,3.69160000,34.64405674,10
ca_cavern1_haunted,85,2.05840000,35.43912341,4
ca_cavern1_haunted,86,2.41680000,34.68261688,5
ca_cavern1_haunted,87,2.80000000,35.02917125,4
ca_cavern1_haunted,88,1.21680000,36.76955262,2
ca_cavern1_haunted,89,2.85000000,34.27778707,9
ca_cavern1_haunted,90,1.04180000,40.04996879,2
ca_cavern1_haunted,91,2.63340000,40.28565068,5
ca_cavern1_haunted,92,3.29140000,39.27654944,3
ca_cavern1_haunted,93,2.49160000,38.88861043,10
ca_cavern1_haunted,94,2.85000000,38.94269210,6
ca_cavern1_haunted,95,2.66660000,37.25778872,5
ca_cavern1_haunted,96,2.94180000,39.75566021,4
ca_cavern1_haunted,97,3.20020000,38.99120758,4
ca_cavern1_haunted,98,2.05820000,39.37303191,5
ca_cavern1_haunted,99,2.55020000,37.83936938,6
ca_cavern1_haunted,100,3.13300000,41.77358362,4
ca_cavern1_haunted,101,2.28300000,44.47056870,4
ca_cavern1_haunted,102,3.59180000,40.80907210,8
ca_cavern1_haunted,103,3.05000000,42.51298845,8
ca_cavern1_haunted,104,2.75000000,43.71580529,4
ca_cavern1_haunted,105,3.88320000,42.67162332,10
ca_cavern1_haunted,106,2.98340000,41.92408100,4
ca_cavern1_haunted,107,2.14180000,41.50456078,4
ca_cavern1_haunted,108,2.11700000,44.01283026,4
ca_cavern1_haunted,109,5.30000000,42.69951184,10
ca_cavern1_haunted,110,3.28340000,47.19369260,10
ca_cavern1_haunted,111,2.74180000,46.88894987,5
ca_cavern1_haunted,112,3.35840000,43.82246066,5
ca_cavern1_haunted,113,2.74120000,44.74029723,7
ca_cavern1_haunted,114,2.39160000,49.21320344,4
ca_cavern1_haunted,115,2.65860000,47.83321227,9
ca_cavern1_haunted,116,2.99180000,47.08586109,8
ca_cavern1_haunted,117,3.45860000,46.78087913,6
ca_cavern1_haunted,118,2.91680000,47.95192921,7
ca_cavern1_haunted,119,3.16660000,45.29643389,6
ca_cavern1_haunted,120,3.15000000,49.64120157,12
ca_cavern1_haunted,121,2.65840000,54.10042541,4
ca_cavern1_haunted,122,3.20840000,48.75870460,5
ca_cavern1_haunted,123,1.85820000,50.63613504,5
ca_cavern1_haunted,124,2.36680000,51.75883681,3
ca_cavern1_haunted,125,2.20020000,49.58533896,7
ca_cavern1_haunted,126,0.93320000,49.81967483,2
ca_cavern1_haunted,127,2.50840000,50.66554061,9
ca_cavern1_haunted,128,0.96680000,52.23983155,2
ca_cavern1_haunted,129,2.22520000,47.11736969,9
ca_cavern1_haunted,130,2.47480000,52.73461330,8
ca_cavern1_haunted,131,3.48320000,58.79893899,4
ca_cavern1_haunted,132,3.17520000,54.08162224,11
ca_cavern1_haunted,133,2.65860000,54.57128803,3
ca_cavern1_haunted,134,2.45020000,54.38534907,4
ca_cavern1_haunted,135,2.47480000,53.25273002,6
ca_cavern1_haunted,136,2.76680000,55.74856261,5
ca_cavern1_haunted,137,4.00820000,51.48705770,4
ca_cavern1_haunted,138,0.93340000,59.03388857,2
ca_cavern1_haunted,139,3.80000000,55.72616216,7
ca_cavern1_haunted,140,2.99160000,58.45666557,7
ca_cavern1_haunted,141,2.70000000,57.19630864,6
ca_cavern1_haunted,142,1.30020000,58.42088668,2
ca_cavern1_haunted,143,2.80000000,55.31172358,5
ca_cavern1_haunted,144,2.55820000,56.55411641,8
