Map,Query Number,Time,Distance,Path Length
ca_caverns1_mines,0,1.61700000,4.47213595,2
ca_caverns1_mines,1,0.50000000,6.32455532,2
ca_caverns1_mines,2,2.94980000,4.16227766,3
ca_caverns1_mines,3,0.49140000,4.47213595,2
ca_caverns1_mines,4,0.53320000,4.12310563,2
ca_caverns1_mines,5,2.15000000,5.12310563,3
ca_caverns1_mines,6,0.59200000,5.09901951,2
ca_caverns1_mines,7,0.61680000,6.08276253,2
ca_caverns1_mines,8,0.43340000,5.09901951,2
ca_caverns1_mines,9,0.41680000,6.32455532,2
ca_caverns1_mines,10,0.60840000,9.05538514,2
ca_caverns1_mines,11,0.80860000,9.48683298,2
ca_caverns1_mines,12,0.50840000,9.84885780,2
ca_caverns1_mines,13,0.51660000,11.04536102,2
ca_caverns1_mines,14,0.70820000,8.06225775,2
ca_caverns1_mines,15,0.74200000,8.60232527,2
ca_caverns1_mines,16,0.40840000,8.48528137,2
ca_caverns1_mines,17,1.89980000,11.06225775,3
ca_caverns1_mines,18,0.67480000,10.81665383,2
ca_caverns1_mines,19,0.54160000,8.60232527,2
ca_caverns1_mines,20,2.90000000,14.96403675,5
ca_caverns1_mines,21,2.29200000,13.08304597,3
ca_caverns1_mines,22,1.35020000,15.47213595,3
ca_caverns1_mines,23,0.54160000,12.64911064,2
ca_caverns1_mines,24,0.45820000,15.03329638,2
ca_caverns1_mines,25,0.55820000,13.41640786,2
ca_caverns1_mines,26,0.69980000,11.18033989,2
ca_caverns1_mines,27,1.70820000,14.87278650,4
ca_caverns1_mines,28,0.51660000,14.86606875,2
ca_caverns1_mines,29,0.49160000,11.40175425,2
ca_caverns1_mines,30,0.60820000,17.00000000,2
ca_caverns1_mines,31,0.66680000,15.52417470,2
ca_caverns1_mines,32,1.86660000,16.14218506,3
ca_caverns1_mines,33,0.54160000,18.00000000,2
ca_caverns1_mines,34,3.51680000,17.00006605,6
ca_caverns1_mines,35,0.73340000,17.26267650,2
ca_caverns1_mines,36,1.99160000,17.28947375,6
ca_caverns1_mines,37,0.65840000,17.02938637,2
ca_caverns1_mines,38,1.51640000,15.30665755,3
ca_caverns1_mines,39,2.42480000,17.53565181,3
ca_caverns1_mines,40,0.55800000,22.00000000,2
ca_caverns1_mines,41,1.58340000,22.62018546,4
ca_caverns1_mines,42,2.04980000,21.49409510,3
ca_caverns1_mines,43,0.55800000,20.09975124,2
ca_caverns1_mines,44,0.49160000,18.78829423,2
ca_caverns1_mines,45,0.63320000,20.00000000,2
ca_caverns1_mines,46,1.96700000,18.53811125,3
ca_caverns1_mines,47,0.56680000,23.02172887,2
ca_caverns1_mines,48,1.69180000,20.41846119,3
ca_caverns1_mines,49,1.40020000,20.92744664,4
ca_caverns1_mines,50,2.16700000,23.78353044,7
ca_caverns1_mines,51,0.69160000,25.45584412,2
ca_caverns1_mines,52,0.79160000,24.35159132,2
ca_caverns1_mines,53,2.14180000,23.86606875,4
ca_caverns1_mines,54,0.94180000,23.70653918,2
ca_caverns1_mines,55,0.70860000,25.94224354,2
ca_caverns1_mines,56,0.59180000,24.75883681,2
ca_caverns1_mines,57,0.67500000,25.17935662,2
ca_caverns1_mines,58,0.80840000,25.07987241,2
ca_caverns1_mines,59,3.83340000,24.02775638,3
ca_caverns1_mines,60,1.86680000,27.61988181,6
ca_caverns1_mines,61,1.02500000,29.15475947,2
ca_caverns1_mines,62,2.17500000,28.35480602,4
ca_caverns1_mines,63,1.65020000,26.03218097,4
ca_caverns1_mines,64,1.96680000,27.47538285,4
ca_caverns1_mines,65,1.55000000,26.48683298,3
ca_caverns1_mines,66,1.71680000,26.32513825,4
ca_caverns1_mines,67,1.70860000,26.95546739,4
ca_caverns1_mines,68,1.80820000,28.06225775,5
ca_caverns1_mines,69,0.83340000,28.63564213,2
ca_caverns1_mines,70,1.95860000,29.80090932,4
ca_caverns1_mines,71,0.80000000,33.00000000,2
ca_caverns1_mines,72,0.92500000,33.94112550,2
ca_caverns1_mines,73,2.22500000,34.47725347,5
ca_caverns1_mines,74,1.30840000,30.58584832,4
ca_caverns1_mines,75,0.84180000,31.32091953,2
ca_caverns1_mines,76,1.26660000,33.46806289,4
ca_caverns1_mines,77,1.80860000,31.71986380,5
ca_caverns1_mines,78,0.55040000,32.55764119,2
ca_caverns1_mines,79,0.68320000,32.80243893,2
ca_caverns1_mines,80,1.78320000,35.42356962,4
ca_caverns1_mines,81,1.73340000,34.82751429,5
ca_caverns1_mines,82,1.91660000,37.30291968,5
ca_caverns1_mines,83,1.58300000,38.01768655,4
ca_caverns1_mines,84,2.18340000,32.46357353,7
ca_caverns1_mines,85,1.65860000,36.83602858,4
ca_caverns1_mines,86,2.00020000,36.93011157,5
ca_caverns1_mines,87,1.68320000,34.60555128,8
ca_caverns1_mines,88,1.86620000,32.84560307,9
ca_caverns1_mines,89,1.93300000,37.83672139,7
ca_caverns1_mines,90,2.24140000,41.05252004,3
ca_caverns1_mines,91,1.77500000,37.96739272,6
ca_caverns1_mines,92,2.00020000,38.27571426,3
ca_caverns1_mines,93,2.95840000,40.28125694,4
ca_caverns1_mines,94,1.05840000,42.04759208,2
ca_caverns1_mines,95,0.74180000,40.31128874,2
ca_caverns1_mines,96,2.99980000,38.82637499,6
ca_caverns1_mines,97,1.16660000,39.80804369,5
ca_caverns1_mines,98,1.99160000,39.87278108,3
ca_caverns1_mines,99,3.94180000,40.73159714,10
ca_caverns1_mines,100,2.61700000,44.88029111,5
ca_caverns1_mines,101,3.43360000,41.48195271,7
ca_caverns1_mines,102,2.04980000,42.21720887,10
ca_caverns1_mines,103,0.80000000,45.09988914,2
ca_caverns1_mines,104,1.78340000,43.97549145,9
ca_caverns1_mines,105,1.80840000,41.50492775,8
ca_caverns1_mines,106,1.95840000,43.55392849,9
ca_caverns1_mines,107,1.98300000,43.29446721,4
ca_caverns1_mines,108,2.11660000,40.46815226,5
ca_caverns1_mines,109,1.75000000,43.46693537,6
ca_caverns1_mines,110,2.77480000,44.50554235,6
ca_caverns1_mines,111,1.60840000,46.88979675,7
ca_caverns1_mines,112,1.76700000,47.36526480,5
ca_caverns1_mines,113,1.35000000,44.23199464,5
ca_caverns1_mines,114,2.00000000,45.38808492,10
ca_caverns1_mines,115,1.04160000,49.04079934,2
ca_caverns1_mines,116,1.00840000,51.00980298,2
ca_caverns1_mines,117,2.17540000,48.64139016,5
ca_caverns1_mines,118,2.24140000,45.73636407,7
ca_caverns1_mines,119,1.84960000,47.81570838,7
ca_caverns1_mines,120,1.79160000,51.90895607,6
ca_caverns1_mines,121,2.00860000,53.36708927,3
ca_caverns1_mines,122,1.40820000,50.04705444,4
ca_caverns1_mines,123,1.54180000,51.49477439,4
ca_caverns1_mines,124,3.20000000,51.38733375,16
ca_caverns1_mines,125,1.97500000,49.00324648,6
ca_caverns1_mines,126,2.04220000,53.34431571,5
ca_caverns1_mines,127,1.42520000,50.98413424,6
ca_caverns1_mines,128,2.65000000,49.54263155,9
ca_caverns1_mines,129,1.79160000,49.09502311,6
ca_caverns1_mines,130,2.95820000,53.05957226,7
ca_caverns1_mines,131,2.96700000,54.21727446,5
ca_caverns1_mines,132,2.27500000,55.29758214,6
ca_caverns1_mines,133,1.55820000,57.00315020,4
ca_caverns1_mines,134,2.12500000,55.09890953,4
ca_caverns1_mines,135,2.18340000,54.77702756,17
ca_caverns1_mines,136,1.85860000,53.08113062,8
ca_caverns1_mines,137,2.09200000,56.41286399,3
ca_caverns1_mines,138,1.62520000,56.04127293,9
ca_caverns1_mines,139,2.50000000,53.01561290,4
ca_caverns1_mines,140,2.35840000,59.65117390,5
ca_caverns1_mines,141,1.13340000,57.47337880,9
ca_caverns1_mines,142,1.70860000,56.33720831,9
ca_caverns1_mines,143,2.20840000,57.50615518,5
ca_caverns1_mines,144,1.82500000,60.64400445,3
ca_caverns1_mines,145,2.76680000,57.34614415,5
ca_caverns1_mines,146,1.93340000,59.07650788,3
ca_caverns1_mines,147,1.60820000,59.65646976,7
ca_caverns1_mines,148,1.81680000,59.57769096,3
