Map,Query Number,Time,Distance,Path Length
ca_caverns2,0,1.10840000,7.07106781,2
ca_caverns2,1,0.40820000,6.32455532,2
ca_caverns2,2,0.50000000,6.70820393,2
ca_caverns2,3,0.59980000,7.07106781,2
ca_caverns2,4,0.42500000,4.12310563,2
ca_caverns2,5,0.54160000,5.00000000,2
ca_caverns2,6,0.42500000,5.00000000,2
ca_caverns2,7,0.64160000,7.07106781,2
ca_caverns2,8,0.37500000,6.70820393,2
ca_caverns2,9,0.73320000,6.32455532,2
ca_caverns2,10,0.45000000,8.94427191,2
ca_caverns2,11,0.45040000,11.40175425,2
ca_caverns2,12,0.52520000,9.84885780,2
ca_caverns2,13,0.57500000,10.19803903,2
ca_caverns2,14,0.66680000,10.00000000,2
ca_caverns2,15,0.82540000,8.94427191,2
ca_caverns2,16,2.95000000,9.87048159,3
ca_caverns2,17,0.48340000,8.94427191,2
ca_caverns2,18,0.72500000,8.60232527,2
ca_caverns2,19,0.60820000,8.24621125,2
ca_caverns2,20,0.65840000,13.34166406,2
ca_caverns2,21,0.65840000,13.15294644,2
ca_caverns2,22,0.94160000,13.92838828,2
ca_caverns2,23,1.75840000,14.32455532,4
ca_caverns2,24,1.59180000,14.92688059,3
ca_caverns2,25,1.99160000,14.56403191,3
ca_caverns2,26,0.64980000,11.66190379,2
ca_caverns2,27,0.43320000,12.52996409,2
ca_caverns2,28,2.24980000,14.05272180,4
ca_caverns2,29,1.90840000,11.50214375,3
ca_caverns2,30,0.67500000,16.27882060,2
ca_caverns2,31,0.63340000,19.02629759,2
ca_caverns2,32,0.96680000,18.43908891,2
ca_caverns2,33,0.61660000,17.46424920,2
ca_caverns2,34,2.00840000,18.75224584,6
ca_caverns2,35,0.66640000,19.10497317,2
ca_caverns2,36,2.16660000,17.00652966,3
ca_caverns2,37,0.43300000,19.10497317,2
ca_caverns2,38,0.55820000,16.15549442,2
ca_caverns2,39,0.79160000,14.86606875,2
ca_caverns2,40,1.03360000,22.13594362,2
ca_caverns2,41,0.60000000,22.20360331,2
ca_caverns2,42,2.39160000,21.26382436,4
ca_caverns2,43,0.64180000,22.36067977,2
ca_caverns2,44,0.77520000,21.84032967,2
ca_caverns2,45,0.54180000,20.88061302,2
ca_caverns2,46,1.21680000,20.00000000,3
ca_caverns2,47,1.03360000,18.78829423,2
ca_caverns2,48,2.50840000,18.21110255,5
ca_caverns2,49,0.49160000,19.69771560,2
ca_caverns2,50,1.80000000,24.12310563,4
