Map,Query Number,Time,Distance,Path Length
ca_caverns2prc,0,1.48340000,5.83095189,2
ca_caverns2prc,1,0.52520000,6.00000000,2
ca_caverns2prc,2,0.38320000,5.83095189,2
ca_caverns2prc,3,0.29980000,4.47213595,2
ca_caverns2prc,4,0.60820000,5.83095189,2
ca_caverns2prc,5,0.39160000,4.12310563,2
ca_caverns2prc,6,0.57480000,5.83095189,2
ca_caverns2prc,7,0.66680000,5.38516481,2
ca_caverns2prc,8,2.77520000,7.32455532,3
ca_caverns2prc,9,0.37500000,6.00000000,2
ca_caverns2prc,10,0.45820000,10.29563014,2
ca_caverns2prc,11,0.50000000,8.00000000,2
ca_caverns2prc,12,0.61700000,8.06225775,2
ca_caverns2prc,13,0.27500000,7.61577311,2
ca_caverns2prc,14,0.33320000,8.48528137,2
ca_caverns2prc,15,0.34980000,8.48528137,2
ca_caverns2prc,16,0.34180000,9.21954446,2
ca_caverns2prc,17,0.62520000,8.24621125,2
ca_caverns2prc,18,0.65000000,8.60232527,2
ca_caverns2prc,19,0.40840000,9.21954446,2
ca_caverns2prc,20,1.89160000,13.44717053,5
ca_caverns2prc,21,0.55840000,12.52996409,2
ca_caverns2prc,22,0.60020000,13.45362405,2
ca_caverns2prc,23,0.65000000,13.15294644,2
ca_caverns2prc,24,2.05800000,11.42357483,3
ca_caverns2prc,25,0.29160000,12.64911064,2
ca_caverns2prc,26,0.34180000,13.45362405,2
ca_caverns2prc,27,0.41700000,14.14213562,2
ca_caverns2prc,28,2.05860000,13.67662181,5
ca_caverns2prc,29,0.59180000,11.70469991,2
ca_caverns2prc,30,0.66660000,18.60107524,2
ca_caverns2prc,31,1.46660000,15.67803085,3
ca_caverns2prc,32,1.74980000,16.38516481,4
ca_caverns2prc,33,0.41660000,16.00000000,2
ca_caverns2prc,34,0.35020000,16.03121954,2
ca_caverns2prc,35,1.62480000,17.67115824,4
ca_caverns2prc,36,0.52500000,18.00000000,2
ca_caverns2prc,37,0.35840000,18.02775638,2
ca_caverns2prc,38,2.35820000,16.06225775,4
ca_caverns2prc,39,0.35840000,16.15549442,2
ca_caverns2prc,40,1.78340000,22.63184887,3
ca_caverns2prc,41,1.78300000,20.74768689,9
ca_caverns2prc,42,1.97500000,18.98389833,3
ca_caverns2prc,43,0.35820000,20.51828453,2
ca_caverns2prc,44,0.35840000,23.02172887,2
ca_caverns2prc,45,2.28340000,19.67600819,4
ca_caverns2prc,46,0.47520000,19.69771560,2
ca_caverns2prc,47,0.69200000,21.02379604,2
ca_caverns2prc,48,0.56660000,21.26029163,2
ca_caverns2prc,49,2.29160000,18.40052423,3
ca_caverns2prc,50,0.55020000,26.17250466,2
ca_caverns2prc,51,0.80860000,25.70992026,2
ca_caverns2prc,52,0.85000000,25.80697580,2
ca_caverns2prc,53,1.58340000,22.82732826,3
ca_caverns2prc,54,0.35020000,23.85372088,2
ca_caverns2prc,55,1.29160000,24.32834532,3
ca_caverns2prc,56,2.62480000,25.55197078,3
ca_caverns2prc,57,0.75000000,26.01922366,2
ca_caverns2prc,58,0.90000000,26.17250466,2
ca_caverns2prc,59,1.66660000,23.08304597,4
ca_caverns2prc,60,2.76640000,24.96020312,6
ca_caverns2prc,61,0.54140000,31.06444913,2
ca_caverns2prc,62,1.47500000,27.86521455,4
ca_caverns2prc,63,0.40000000,26.62705391,2
ca_caverns2prc,64,0.40840000,31.06444913,2
ca_caverns2prc,65,0.43300000,29.06888371,2
ca_caverns2prc,66,3.27480000,27.38477631,4
ca_caverns2prc,67,0.39980000,26.57066051,2
ca_caverns2prc,68,1.10000000,27.71949571,4
ca_caverns2prc,69,0.69980000,29.06888371,2
ca_caverns2prc,70,0.58320000,34.71310992,2
ca_caverns2prc,71,2.68340000,31.41088234,3
ca_caverns2prc,72,1.87540000,31.62508239,4
ca_caverns2prc,73,6.11700000,33.65602577,5
ca_caverns2prc,74,0.73340000,33.01514804,2
ca_caverns2prc,75,1.60860000,33.15352374,4
ca_caverns2prc,76,0.45000000,33.01514804,2
ca_caverns2prc,77,1.39160000,30.00243077,4
ca_caverns2prc,78,1.05020000,31.62277660,2
ca_caverns2prc,79,2.85020000,33.58787574,7
ca_caverns2prc,80,1.35000000,35.17445624,5
ca_caverns2prc,81,2.20840000,33.89441515,4
ca_caverns2prc,82,1.66700000,34.52017888,3
ca_caverns2prc,83,0.50820000,37.65634077,2
ca_caverns2prc,84,1.90020000,36.97486816,6
ca_caverns2prc,85,2.19200000,36.11642883,5
ca_caverns2prc,86,2.25880000,35.67591064,4
ca_caverns2prc,87,0.67520000,34.53983208,2
ca_caverns2prc,88,0.59160000,38.11823711,2
ca_caverns2prc,89,2.38300000,36.68737651,3
ca_caverns2prc,90,1.46660000,37.85684373,7
ca_caverns2prc,91,0.78340000,37.33630941,2
ca_caverns2prc,92,1.54180000,37.69883732,8
ca_caverns2prc,93,1.34980000,40.77977268,3
ca_caverns2prc,94,1.73320000,39.25167758,3
ca_caverns2prc,95,2.36680000,37.40137283,9
ca_caverns2prc,96,0.62500000,39.05124838,2
ca_caverns2prc,97,1.49180000,40.45063981,7
ca_caverns2prc,98,2.11680000,37.05008641,9
ca_caverns2prc,99,0.45040000,40.60788101,2
ca_caverns2prc,100,2.01680000,42.13727748,6
ca_caverns2prc,101,2.15000000,44.58406018,4
ca_caverns2prc,102,1.59160000,44.26373648,4
ca_caverns2prc,103,0.68300000,43.18564576,2
ca_caverns2prc,104,0.45000000,41.48493703,2
ca_caverns2prc,105,2.24160000,45.11209319,4
ca_caverns2prc,106,2.41660000,39.75250132,9
ca_caverns2prc,107,1.29160000,40.90482198,8
ca_caverns2prc,108,1.39160000,43.77561792,7
ca_caverns2prc,109,0.81660000,44.10215414,2
ca_caverns2prc,110,1.63340000,46.15447782,3
ca_caverns2prc,111,0.76660000,47.09564736,2
