Map,Query Number,Time,Distance,Path Length
dr_0_deeproads,0,4.09180000,7.28010989,2
dr_0_deeproads,1,1.26680000,3.16227766,2
dr_0_deeproads,2,0.60000000,7.07106781,2
dr_0_deeproads,3,0.42520000,4.47213595,2
dr_0_deeproads,4,0.36700000,5.00000000,2
dr_0_deeproads,5,0.63320000,6.00000000,2
dr_0_deeproads,6,3.60840000,6.41421356,4
dr_0_deeproads,7,0.31660000,5.65685425,2
dr_0_deeproads,8,0.77480000,5.38516481,2
dr_0_deeproads,9,0.54980000,5.83095189,2
dr_0_deeproads,10,0.75020000,8.54400375,2
dr_0_deeproads,11,0.52500000,10.04987562,2
dr_0_deeproads,12,0.45000000,8.24621125,2
dr_0_deeproads,13,0.55820000,7.81024968,2
dr_0_deeproads,14,0.50840000,10.44030651,2
dr_0_deeproads,15,0.50000000,9.84885780,2
dr_0_deeproads,16,0.47520000,10.81665383,2
dr_0_deeproads,17,0.79180000,11.31370850,2
dr_0_deeproads,18,0.51680000,8.94427191,2
dr_0_deeproads,19,0.46640000,10.19803903,2
dr_0_deeproads,20,0.64160000,12.80624847,2
dr_0_deeproads,21,3.04180000,13.41640786,3
dr_0_deeproads,22,0.56680000,12.16552506,2
dr_0_deeproads,23,0.65840000,12.16552506,2
dr_0_deeproads,24,0.55000000,13.45362405,2
dr_0_deeproads,25,2.19980000,13.72947367,3
dr_0_deeproads,26,0.39980000,12.20655562,2
dr_0_deeproads,27,0.50000000,13.34166406,2
dr_0_deeproads,28,0.39160000,13.00000000,2
dr_0_deeproads,29,1.14160000,15.13274595,2
dr_0_deeproads,30,0.37500000,16.00000000,2
dr_0_deeproads,31,0.60840000,17.02938637,2
dr_0_deeproads,32,0.80020000,19.20937271,2
dr_0_deeproads,33,1.61680000,14.28238563,4
dr_0_deeproads,34,0.50000000,16.03121954,2
dr_0_deeproads,35,1.10840000,18.24828759,2
dr_0_deeproads,36,0.53300000,17.11724277,2
dr_0_deeproads,37,0.59980000,16.76305461,2
dr_0_deeproads,38,0.43320000,16.12451550,2
dr_0_deeproads,39,0.55800000,17.02938637,2
dr_0_deeproads,40,0.46640000,19.23538406,2
dr_0_deeproads,41,0.74140000,22.00000000,2
dr_0_deeproads,42,1.48340000,21.49409510,3
dr_0_deeproads,43,0.49180000,21.18962010,2
dr_0_deeproads,44,0.37500000,19.41648784,2
dr_0_deeproads,45,0.54180000,21.02379604,2
dr_0_deeproads,46,0.31700000,20.88061302,2
dr_0_deeproads,47,0.48340000,20.61552813,2
dr_0_deeproads,48,1.61660000,20.96677147,3
dr_0_deeproads,49,0.59960000,19.84943324,2
dr_0_deeproads,50,0.83320000,24.18677324,2
dr_0_deeproads,51,0.80020000,23.60084744,2
dr_0_deeproads,52,0.74980000,23.70653918,2
dr_0_deeproads,53,0.81660000,25.70992026,2
dr_0_deeproads,54,0.82500000,23.19482701,2
dr_0_deeproads,55,0.73360000,23.70653918,2
dr_0_deeproads,56,0.34160000,27.01851217,2
dr_0_deeproads,57,4.98340000,23.43398113,5
dr_0_deeproads,58,0.55840000,25.49509757,2
dr_0_deeproads,59,1.80000000,22.77221627,4
dr_0_deeproads,60,0.76680000,28.16025568,2
dr_0_deeproads,61,0.38340000,29.00000000,2
dr_0_deeproads,62,0.54160000,26.57066051,2
dr_0_deeproads,63,0.89980000,27.29468813,2
dr_0_deeproads,64,2.74140000,26.37858431,5
dr_0_deeproads,65,0.70860000,29.27456234,2
dr_0_deeproads,66,0.66660000,26.92582404,2
dr_0_deeproads,67,0.34160000,28.01785145,2
dr_0_deeproads,68,1.84180000,26.92597500,3
dr_0_deeproads,69,0.76680000,26.24880950,2
dr_0_deeproads,70,1.95820000,32.63682554,4
dr_0_deeproads,71,2.87500000,30.52964612,3
