Map,Query Number,Time,Distance,Path Length
dr_dungeon,0,1.95820000,7.07106781,2
dr_dungeon,1,0.43340000,7.07106781,2
dr_dungeon,2,0.45020000,5.38516481,2
dr_dungeon,3,0.40840000,6.08276253,2
dr_dungeon,4,0.45020000,5.38516481,2
dr_dungeon,5,0.41660000,6.08276253,2
dr_dungeon,6,0.39160000,7.21110255,2
dr_dungeon,7,0.32460000,7.21110255,2
dr_dungeon,8,0.64980000,5.83095189,2
dr_dungeon,9,0.38340000,6.40312424,2
dr_dungeon,10,0.48340000,10.77032961,2
dr_dungeon,11,0.53360000,9.48683298,2
dr_dungeon,12,0.40000000,9.21954446,2
dr_dungeon,13,0.42480000,7.61577311,2
dr_dungeon,14,0.39980000,7.81024968,2
dr_dungeon,15,0.30000000,10.00000000,2
dr_dungeon,16,0.51660000,9.84885780,2
dr_dungeon,17,0.41680000,11.40175425,2
dr_dungeon,18,0.37500000,9.21954446,2
dr_dungeon,19,2.51640000,9.62780549,3
dr_dungeon,20,1.85000000,12.45623262,3
dr_dungeon,21,0.36680000,15.00000000,2
dr_dungeon,22,0.42500000,12.72792206,2
dr_dungeon,23,0.45840000,14.86606875,2
dr_dungeon,24,0.38320000,14.00000000,2
dr_dungeon,25,1.40020000,11.41421356,3
dr_dungeon,26,0.44140000,14.31782106,2
dr_dungeon,27,0.60800000,15.03329638,2
dr_dungeon,28,0.48320000,15.13274595,2
dr_dungeon,29,0.58320000,12.04159458,2
dr_dungeon,30,2.66640000,19.21954446,3
dr_dungeon,31,0.59160000,17.72004515,2
dr_dungeon,32,0.60020000,17.88854382,2
dr_dungeon,33,0.53360000,16.27882060,2
dr_dungeon,34,0.54200000,17.02938637,2
dr_dungeon,35,0.49180000,15.29705854,2
dr_dungeon,36,0.38340000,14.86606875,2
dr_dungeon,37,0.75840000,16.27882060,2
dr_dungeon,38,1.96660000,15.24621125,4
dr_dungeon,39,1.58340000,16.56062330,5
dr_dungeon,40,1.90840000,19.95611312,3
dr_dungeon,41,0.70840000,21.26029163,2
dr_dungeon,42,0.63340000,20.22374842,2
dr_dungeon,43,0.59160000,20.61552813,2
dr_dungeon,44,0.42500000,20.88061302,2
dr_dungeon,45,2.05000000,21.93162033,4
dr_dungeon,46,0.73320000,22.80350850,2
dr_dungeon,47,1.42520000,19.97577474,3
dr_dungeon,48,0.65840000,20.12461180,2
dr_dungeon,49,0.65000000,22.02271555,2
dr_dungeon,50,1.55840000,24.21267040,3
dr_dungeon,51,0.55020000,23.02172887,2
dr_dungeon,52,0.56680000,25.61249695,2
dr_dungeon,53,0.68340000,25.70992026,2
dr_dungeon,54,0.47500000,25.01999201,2
dr_dungeon,55,0.64160000,22.84731932,2
dr_dungeon,56,0.55840000,24.02082430,2
dr_dungeon,57,2.21680000,24.31370850,3
dr_dungeon,58,0.60820000,24.51530134,2
dr_dungeon,59,0.57480000,22.56102835,2
dr_dungeon,60,0.59980000,28.16025568,2
dr_dungeon,61,0.60820000,28.23118843,2
dr_dungeon,62,0.67500000,29.01723626,2
dr_dungeon,63,0.56680000,27.20294102,2
dr_dungeon,64,1.55000000,27.92485885,4
dr_dungeon,65,0.37520000,30.06659276,2
dr_dungeon,66,0.51660000,28.01785145,2
dr_dungeon,67,1.34160000,28.10511439,3
dr_dungeon,68,0.54180000,27.65863337,2
dr_dungeon,69,1.80840000,28.53931036,3
dr_dungeon,70,1.51680000,32.23535204,5
dr_dungeon,71,1.75000000,30.40770731,5
dr_dungeon,72,1.17500000,30.64556724,5
dr_dungeon,73,1.95020000,33.94112550,4
dr_dungeon,74,1.27540000,34.33546335,4
dr_dungeon,75,0.62500000,33.37663854,2
dr_dungeon,76,0.46660000,29.96664813,2
dr_dungeon,77,0.73360000,31.62277660,2
dr_dungeon,78,2.02520000,30.10099270,3
dr_dungeon,79,2.11660000,32.81084322,3
dr_dungeon,80,0.60820000,35.80502758,2
dr_dungeon,81,0.76660000,36.12478374,2
dr_dungeon,82,0.64180000,36.87817783,2
dr_dungeon,83,2.07500000,35.60232527,6
dr_dungeon,84,1.64180000,34.82945053,5
dr_dungeon,85,0.71640000,36.40054945,2
dr_dungeon,86,0.58340000,36.01388621,2
dr_dungeon,87,1.61680000,36.68480635,5
dr_dungeon,88,1.54180000,34.82699142,4
dr_dungeon,89,1.30820000,37.46594320,3
dr_dungeon,90,1.82500000,39.40177730,4
dr_dungeon,91,1.65820000,40.07150998,3
dr_dungeon,92,1.95840000,38.09901951,4
dr_dungeon,93,0.50020000,40.80441153,2
dr_dungeon,94,1.36660000,41.84124553,3
dr_dungeon,95,0.50840000,42.04759208,2
dr_dungeon,96,0.69180000,42.04759208,2
dr_dungeon,97,1.63340000,39.66190379,4
dr_dungeon,98,0.54980000,40.49691346,2
dr_dungeon,99,0.64160000,41.30375286,2
dr_dungeon,100,2.12500000,42.44017390,3
dr_dungeon,101,1.89160000,43.12133230,3
dr_dungeon,102,0.65800000,46.01086828,2
dr_dungeon,103,1.54160000,44.64674879,3
dr_dungeon,104,1.32500000,44.80648111,4
dr_dungeon,105,2.10820000,41.77688150,3
dr_dungeon,106,0.31660000,44.18144407,2
dr_dungeon,107,1.56680000,41.08318916,6
dr_dungeon,108,0.99200000,46.04248248,4
dr_dungeon,109,0.69180000,45.34313620,2
dr_dungeon,110,2.77500000,48.32559602,4
dr_dungeon,111,2.24180000,45.18953117,3
dr_dungeon,112,0.62500000,50.00000000,2
dr_dungeon,113,1.80020000,48.38648639,4
dr_dungeon,114,1.33320000,47.27221825,3
dr_dungeon,115,1.27480000,47.69870088,3
dr_dungeon,116,1.46660000,47.56145730,3
dr_dungeon,117,1.44160000,48.46049894,6
dr_dungeon,118,1.49180000,46.84656549,3
dr_dungeon,119,0.82480000,46.09772229,2
dr_dungeon,120,1.40820000,54.02646615,7
dr_dungeon,121,1.25000000,51.49509757,3
dr_dungeon,122,1.16680000,49.47164709,3
dr_dungeon,123,1.45000000,51.13814484,6
dr_dungeon,124,1.87500000,52.30122574,6
dr_dungeon,125,1.46660000,53.45193284,3
dr_dungeon,126,2.56680000,51.15770326,3
dr_dungeon,127,2.43340000,52.76152386,4
dr_dungeon,128,0.64180000,52.00000000,2
dr_dungeon,129,2.86640000,54.49905132,3
dr_dungeon,130,1.95820000,53.55386468,6
dr_dungeon,131,1.50000000,56.15602183,4
dr_dungeon,132,1.20020000,56.11234224,4
dr_dungeon,133,1.45840000,54.86167621,5
dr_dungeon,134,1.56680000,54.53503207,6
dr_dungeon,135,1.33360000,59.01041554,4
dr_dungeon,136,1.60840000,53.56600406,3
dr_dungeon,137,1.65000000,54.77589781,5
dr_dungeon,138,1.53320000,54.82034279,4
dr_dungeon,139,1.72520000,54.12876505,3
dr_dungeon,140,0.84160000,60.55879812,6
dr_dungeon,141,1.78320000,56.32220420,5
dr_dungeon,142,1.16660000,58.99370060,4
dr_dungeon,143,1.29160000,58.70133288,3
dr_dungeon,144,1.35020000,58.16581889,3
dr_dungeon,145,2.37520000,57.78885825,3
dr_dungeon,146,1.84180000,60.54476699,5
dr_dungeon,147,1.53340000,58.86458128,4
dr_dungeon,148,0.73340000,63.03173804,2
dr_dungeon,149,1.35000000,60.90419129,4
dr_dungeon,150,1.80820000,64.51922219,6
dr_dungeon,151,1.93340000,60.40960922,3
dr_dungeon,152,1.46660000,62.58252903,4
dr_dungeon,153,1.44180000,63.61251493,6
dr_dungeon,154,1.25840000,63.25018922,7
dr_dungeon,155,0.62500000,64.12487817,2
dr_dungeon,156,1.29160000,65.21598874,3
dr_dungeon,157,1.92500000,61.86107634,4
dr_dungeon,158,1.15820000,62.20637476,4
dr_dungeon,159,1.96660000,63.63204169,8
dr_dungeon,160,1.57520000,68.80589801,5
dr_dungeon,161,1.15860000,64.83673510,5
dr_dungeon,162,1.55820000,67.31592669,6
dr_dungeon,163,1.56660000,66.28747043,3
dr_dungeon,164,1.51660000,67.15475947,3
dr_dungeon,165,1.83340000,71.13056790,3
dr_dungeon,166,1.41660000,65.62363870,5
dr_dungeon,167,1.61660000,69.72916532,7
dr_dungeon,168,2.03360000,64.85741784,5
dr_dungeon,169,1.15860000,67.66688108,4
dr_dungeon,170,2.16700000,68.80354318,4
dr_dungeon,171,1.19180000,70.30823382,3
dr_dungeon,172,2.49180000,72.72741841,3
dr_dungeon,173,1.45820000,73.13194547,6
dr_dungeon,174,1.29160000,70.82418456,6
dr_dungeon,175,1.86680000,69.84979311,5
