Map,Query Number,Time,Distance,Path Length
dr_primevaltomb,0,2.67500000,4.47213595,2
dr_primevaltomb,1,0.34140000,7.21110255,2
dr_primevaltomb,2,0.50800000,6.08276253,2
dr_primevaltomb,3,3.50820000,7.09901951,3
dr_primevaltomb,4,0.59980000,4.00000000,2
dr_primevaltomb,5,0.57500000,4.00000000,2
dr_primevaltomb,6,0.44200000,6.70820393,2
dr_primevaltomb,7,0.37520000,5.00000000,2
dr_primevaltomb,8,0.33340000,5.09901951,2
dr_primevaltomb,9,0.40840000,6.08276253,2
dr_primevaltomb,10,0.36660000,7.61577311,2
dr_primevaltomb,11,0.52460000,9.21954446,2
dr_primevaltomb,12,1.94140000,8.59524158,3
dr_primevaltomb,13,0.37520000,7.61577311,2
dr_primevaltomb,14,0.37500000,11.18033989,2
dr_primevaltomb,15,0.59180000,8.24621125,2
dr_primevaltomb,16,0.55000000,8.24621125,2
dr_primevaltomb,17,0.47500000,11.40175425,2
dr_primevaltomb,18,0.32500000,8.24621125,2
dr_primevaltomb,19,0.43340000,8.24621125,2
dr_primevaltomb,20,0.55860000,15.00000000,2
dr_primevaltomb,21,0.44160000,12.36931688,2
dr_primevaltomb,22,0.49980000,14.21267040,2
dr_primevaltomb,23,0.53320000,12.08304597,2
dr_primevaltomb,24,1.13320000,14.14213562,2
dr_primevaltomb,25,0.55840000,13.60147051,2
dr_primevaltomb,26,0.79160000,14.00000000,2
dr_primevaltomb,27,1.68340000,14.16227766,4
dr_primevaltomb,28,0.45020000,14.03566885,2
dr_primevaltomb,29,2.36660000,12.43410700,3
dr_primevaltomb,30,1.65000000,18.64911064,3
dr_primevaltomb,31,1.42460000,18.24621125,3
dr_primevaltomb,32,1.44180000,19.26936436,4
dr_primevaltomb,33,0.47500000,18.02775638,2
dr_primevaltomb,34,2.07480000,17.18033989,4
dr_primevaltomb,35,0.58340000,18.24828759,2
dr_primevaltomb,36,1.61680000,14.87639871,3
dr_primevaltomb,37,0.75840000,18.43908891,2
dr_primevaltomb,38,2.29140000,17.46833639,3
dr_primevaltomb,39,1.15800000,17.88854382,2
dr_primevaltomb,40,0.48320000,22.20360331,2
dr_primevaltomb,41,0.40000000,20.61552813,2
dr_primevaltomb,42,2.61680000,22.24483498,6
dr_primevaltomb,43,0.46660000,22.02271555,2
dr_primevaltomb,44,0.62480000,23.08679276,2
dr_primevaltomb,45,1.33320000,21.05149391,4
dr_primevaltomb,46,0.62480000,20.61552813,2
dr_primevaltomb,47,2.13340000,18.41640786,3
dr_primevaltomb,48,1.38340000,21.57427268,3
dr_primevaltomb,49,1.06660000,20.61432102,3
dr_primevaltomb,50,1.89960000,25.75660549,4
dr_primevaltomb,51,2.95020000,25.08318916,3
dr_primevaltomb,52,1.55820000,24.26490547,4
dr_primevaltomb,53,0.50000000,25.96150997,2
dr_primevaltomb,54,1.56660000,21.92713949,4
dr_primevaltomb,55,1.95000000,26.08304597,3
dr_primevaltomb,56,0.65000000,23.85372088,2
dr_primevaltomb,57,1.54160000,25.45800244,3
dr_primevaltomb,58,0.91680000,26.17250466,2
dr_primevaltomb,59,0.59180000,24.69817807,2
dr_primevaltomb,60,0.87500000,27.31300057,2
dr_primevaltomb,61,0.65020000,28.07133770,2
dr_primevaltomb,62,0.80820000,28.44292531,2
dr_primevaltomb,63,2.00880000,30.04987562,3
dr_primevaltomb,64,2.00840000,29.42716141,4
dr_primevaltomb,65,3.52480000,31.23606798,3
dr_primevaltomb,66,0.94160000,31.11269837,2
dr_primevaltomb,67,1.07520000,29.28116023,3
dr_primevaltomb,68,2.14160000,26.64688270,4
dr_primevaltomb,69,0.74980000,26.83281573,2
dr_primevaltomb,70,1.59180000,32.92889202,5
dr_primevaltomb,71,0.50820000,33.24154028,2
dr_primevaltomb,72,1.69160000,31.14610717,3
dr_primevaltomb,73,2.24160000,34.11292185,5
dr_primevaltomb,74,2.20820000,32.52208068,3
dr_primevaltomb,75,2.08340000,30.61506900,5
dr_primevaltomb,76,1.90860000,34.33105012,5
dr_primevaltomb,77,0.57520000,31.62277660,2
dr_primevaltomb,78,3.15820000,31.16189202,4
dr_primevaltomb,79,1.87480000,32.26814332,5
dr_primevaltomb,80,2.01660000,35.24036876,4
dr_primevaltomb,81,0.61680000,36.12478374,2
dr_primevaltomb,82,1.90820000,35.08298744,3
dr_primevaltomb,83,2.10800000,36.92603094,6
dr_primevaltomb,84,1.25800000,34.35645710,4
dr_primevaltomb,85,1.62480000,37.23689969,3
dr_primevaltomb,86,1.74980000,35.75875177,4
dr_primevaltomb,87,2.28320000,38.44030651,4
dr_primevaltomb,88,0.59180000,34.82814953,2
dr_primevaltomb,89,2.38320000,32.69201404,5
dr_primevaltomb,90,1.47500000,36.43703333,5
dr_primevaltomb,91,1.45840000,41.34556369,3
dr_primevaltomb,92,3.05840000,41.57895009,4
dr_primevaltomb,93,1.49140000,40.36943965,4
dr_primevaltomb,94,1.56680000,36.53821670,6
dr_primevaltomb,95,0.62520000,41.59326869,2
dr_primevaltomb,96,1.06680000,37.04397033,3
dr_primevaltomb,97,1.40020000,41.26987528,3
dr_primevaltomb,98,1.86680000,37.59736947,3
dr_primevaltomb,99,2.64180000,35.68332813,7
dr_primevaltomb,100,2.76680000,43.35134860,3
dr_primevaltomb,101,2.60820000,44.52270193,5
dr_primevaltomb,102,1.66680000,41.37299144,3
dr_primevaltomb,103,1.36700000,40.52500445,4
dr_primevaltomb,104,1.15000000,44.02082822,3
dr_primevaltomb,105,1.63360000,44.21785066,5
dr_primevaltomb,106,2.34160000,45.96658230,5
dr_primevaltomb,107,1.80000000,44.04746378,7
dr_primevaltomb,108,1.56680000,42.10099270,4
dr_primevaltomb,109,1.75000000,41.09051972,3
dr_primevaltomb,110,1.07520000,49.93975015,5
dr_primevaltomb,111,1.53340000,47.05959397,5
dr_primevaltomb,112,2.55820000,45.34103442,3
dr_primevaltomb,113,0.65860000,50.00000000,2
dr_primevaltomb,114,1.34160000,47.69031258,3
dr_primevaltomb,115,1.46680000,44.53244260,6
dr_primevaltomb,116,1.53320000,47.84014383,3
dr_primevaltomb,117,0.50000000,47.67598976,2
dr_primevaltomb,118,2.00020000,46.98643975,7
dr_primevaltomb,119,1.35000000,45.79508352,3
dr_primevaltomb,120,1.31640000,50.32056006,5
dr_primevaltomb,121,1.60020000,48.76267849,8
dr_primevaltomb,122,2.30840000,51.82805034,5
dr_primevaltomb,123,1.45840000,50.43613789,5
dr_primevaltomb,124,1.22500000,50.99099343,4
dr_primevaltomb,125,1.26680000,49.14660858,3
dr_primevaltomb,126,1.07500000,49.47726751,3
dr_primevaltomb,127,1.57500000,49.18998128,6
dr_primevaltomb,128,2.66680000,49.93691005,7
dr_primevaltomb,129,1.13340000,50.53276028,5
dr_primevaltomb,130,1.49160000,54.06888371,3
dr_primevaltomb,131,0.50820000,56.08029957,2
dr_primevaltomb,132,1.07460000,55.65467705,3
dr_primevaltomb,133,2.08340000,52.56541775,6
dr_primevaltomb,134,2.02520000,56.94427191,9
dr_primevaltomb,135,1.45000000,53.53733031,4
dr_primevaltomb,136,1.45820000,53.20524129,3
dr_primevaltomb,137,1.21640000,55.61931612,3
dr_primevaltomb,138,1.13320000,55.62425629,5
dr_primevaltomb,139,1.74140000,54.15687090,3
dr_primevaltomb,140,1.31640000,60.95900262,2
dr_primevaltomb,141,1.52520000,58.36608891,5
dr_primevaltomb,142,1.35040000,57.05690854,6
dr_primevaltomb,143,1.20000000,58.35156223,4
dr_primevaltomb,144,0.65000000,63.00793601,2
dr_primevaltomb,145,1.77480000,57.78096671,3
dr_primevaltomb,146,1.51660000,61.00892786,3
dr_primevaltomb,147,1.30820000,61.56721747,3
dr_primevaltomb,148,1.75020000,58.80505494,4
dr_primevaltomb,149,2.06660000,57.22189383,5
dr_primevaltomb,150,1.45840000,63.62576116,3
dr_primevaltomb,151,1.41660000,62.91488567,6
dr_primevaltomb,152,0.69180000,63.12685641,2
dr_primevaltomb,153,2.09160000,62.40275537,5
dr_primevaltomb,154,1.24980000,62.00513074,3
dr_primevaltomb,155,2.28300000,60.67057789,9
dr_primevaltomb,156,1.74980000,64.37456599,4
dr_primevaltomb,157,1.95820000,58.97771407,3
dr_primevaltomb,158,1.25840000,63.09929081,3
dr_primevaltomb,159,1.75860000,59.38719239,3
dr_primevaltomb,160,1.40000000,67.27256232,4
dr_primevaltomb,161,1.27480000,69.03493270,3
dr_primevaltomb,162,1.51660000,63.39714010,6
dr_primevaltomb,163,2.07500000,67.52355797,5
dr_primevaltomb,164,1.31660000,67.73829661,4
dr_primevaltomb,165,1.33340000,64.68232725,5
dr_primevaltomb,166,1.12520000,69.23324601,3
dr_primevaltomb,167,1.35020000,65.70584405,5
dr_primevaltomb,168,1.88320000,66.87592658,5
dr_primevaltomb,169,1.08320000,66.69751045,5
dr_primevaltomb,170,1.49140000,69.57302556,7
dr_primevaltomb,171,1.45860000,68.34556475,4
dr_primevaltomb,172,1.20000000,70.24621125,4
dr_primevaltomb,173,2.09980000,70.81341497,6
dr_primevaltomb,174,1.92500000,70.19982312,3
dr_primevaltomb,175,1.61680000,69.62598519,6
dr_primevaltomb,176,2.27500000,67.68273679,4
dr_primevaltomb,177,1.90840000,68.36155551,8
dr_primevaltomb,178,1.48340000,69.68188685,4
dr_primevaltomb,179,1.28320000,70.41554766,4
dr_primevaltomb,180,1.40840000,72.90761565,8
dr_primevaltomb,181,1.89980000,75.42298800,5
dr_primevaltomb,182,1.38320000,69.76376406,7
dr_primevaltomb,183,2.10820000,76.15304647,9
dr_primevaltomb,184,1.48360000,75.61857395,4
dr_primevaltomb,185,2.00840000,72.89507348,8
dr_primevaltomb,186,1.82500000,74.59997108,4
dr_primevaltomb,187,1.22480000,78.42180066,4
