Map,Query Number,Time,Distance,Path Length
ht_0_hightown,0,2.72480000,6.00000000,2
ht_0_hightown,1,0.45000000,5.38516481,2
ht_0_hightown,2,0.46660000,5.00000000,2
ht_0_hightown,3,0.32520000,7.07106781,2
ht_0_hightown,4,0.40000000,6.40312424,2
ht_0_hightown,5,0.50840000,5.83095189,2
ht_0_hightown,6,0.34180000,4.12310563,2
ht_0_hightown,7,0.40840000,5.38516481,2
ht_0_hightown,8,0.35820000,6.32455532,2
ht_0_hightown,9,0.48340000,5.00000000,2
ht_0_hightown,10,0.42500000,9.00000000,2
ht_0_hightown,11,0.44980000,10.63014581,2
ht_0_hightown,12,0.25840000,9.84885780,2
ht_0_hightown,13,0.56660000,9.84885780,2
ht_0_hightown,14,3.66660000,9.47213595,3
ht_0_hightown,15,0.42500000,8.06225775,2
ht_0_hightown,16,0.84160000,10.00000000,2
ht_0_hightown,17,0.46640000,9.43398113,2
ht_0_hightown,18,0.36640000,11.40175425,2
ht_0_hightown,19,0.52520000,10.00000000,2
ht_0_hightown,20,0.43340000,13.34166406,2
ht_0_hightown,21,0.64180000,13.60147051,2
ht_0_hightown,22,0.41660000,12.16552506,2
ht_0_hightown,23,0.35020000,15.00000000,2
ht_0_hightown,24,0.36660000,14.14213562,2
ht_0_hightown,25,0.60820000,14.03566885,2
ht_0_hightown,26,0.40840000,13.15294644,2
ht_0_hightown,27,0.56660000,15.03329638,2
ht_0_hightown,28,2.31660000,11.80722345,3
ht_0_hightown,29,0.52500000,14.86606875,2
ht_0_hightown,30,0.35860000,17.00000000,2
ht_0_hightown,31,0.42540000,15.26433752,2
ht_0_hightown,32,0.53300000,15.52417470,2
ht_0_hightown,33,0.66660000,17.02938637,2
ht_0_hightown,34,1.98360000,16.77522380,4
ht_0_hightown,35,0.43340000,18.02775638,2
ht_0_hightown,36,0.54160000,16.40121947,2
ht_0_hightown,37,1.53340000,17.14120915,3
ht_0_hightown,38,2.18340000,16.33549503,3
ht_0_hightown,39,0.37500000,19.02629759,2
ht_0_hightown,40,2.02480000,19.26333214,4
ht_0_hightown,41,0.55820000,22.36067977,2
ht_0_hightown,42,0.43320000,21.21320344,2
ht_0_hightown,43,2.53340000,20.41421356,6
ht_0_hightown,44,0.42520000,21.47091055,2
