Map,Query Number,Time,Distance,Path Length
ht_0_hightown_a3,0,2.50860000,4.47213595,2
ht_0_hightown_a3,1,0.59140000,7.28010989,2
ht_0_hightown_a3,2,0.53340000,4.47213595,2
ht_0_hightown_a3,3,0.65820000,7.07106781,2
ht_0_hightown_a3,4,0.35820000,5.09901951,2
ht_0_hightown_a3,5,0.45840000,4.12310563,2
ht_0_hightown_a3,6,0.60860000,7.00000000,2
ht_0_hightown_a3,7,0.44160000,4.47213595,2
ht_0_hightown_a3,8,6.26660000,7.08276253,3
ht_0_hightown_a3,9,0.62500000,4.47213595,2
ht_0_hightown_a3,10,0.59980000,11.18033989,2
ht_0_hightown_a3,11,0.43340000,8.94427191,2
ht_0_hightown_a3,12,0.40000000,9.05538514,2
ht_0_hightown_a3,13,0.51660000,8.24621125,2
ht_0_hightown_a3,14,0.38320000,11.04536102,2
ht_0_hightown_a3,15,0.48320000,8.06225775,2
ht_0_hightown_a3,16,0.39980000,10.63014581,2
ht_0_hightown_a3,17,0.52480000,10.44030651,2
ht_0_hightown_a3,18,0.72480000,8.48528137,2
ht_0_hightown_a3,19,0.52480000,9.21954446,2
ht_0_hightown_a3,20,0.67520000,13.00000000,2
ht_0_hightown_a3,21,0.60020000,12.72792206,2
ht_0_hightown_a3,22,0.68320000,12.08304597,2
ht_0_hightown_a3,23,0.52480000,11.70469991,2
ht_0_hightown_a3,24,0.40000000,13.60147051,2
ht_0_hightown_a3,25,3.54140000,13.87044618,3
ht_0_hightown_a3,26,0.49980000,13.00000000,2
ht_0_hightown_a3,27,0.65840000,14.76482306,2
ht_0_hightown_a3,28,0.61660000,14.14213562,2
ht_0_hightown_a3,29,0.48320000,12.52996409,2
ht_0_hightown_a3,30,0.50840000,18.02775638,2
ht_0_hightown_a3,31,3.05860000,19.27882060,3
ht_0_hightown_a3,32,0.40020000,15.81138830,2
ht_0_hightown_a3,33,0.47500000,18.02775638,2
ht_0_hightown_a3,34,0.49160000,17.80449381,2
ht_0_hightown_a3,35,3.57500000,16.81138830,3
ht_0_hightown_a3,36,0.45860000,15.81138830,2
ht_0_hightown_a3,37,0.50040000,16.49242250,2
ht_0_hightown_a3,38,0.40020000,16.15549442,2
ht_0_hightown_a3,39,0.45020000,18.02775638,2
ht_0_hightown_a3,40,0.44180000,19.64688270,2
ht_0_hightown_a3,41,0.60020000,21.09502311,2
ht_0_hightown_a3,42,0.62500000,22.67156810,2
ht_0_hightown_a3,43,0.40820000,21.09502311,2
ht_0_hightown_a3,44,0.39980000,19.31320792,2
ht_0_hightown_a3,45,0.59140000,21.63330765,2
ht_0_hightown_a3,46,0.46660000,20.00000000,2
ht_0_hightown_a3,47,0.41660000,20.59126028,2
ht_0_hightown_a3,48,3.18340000,20.74387278,3
ht_0_hightown_a3,49,0.53300000,21.09502311,2
ht_0_hightown_a3,50,0.68320000,23.02172887,2
ht_0_hightown_a3,51,3.24980000,25.81961208,3
ht_0_hightown_a3,52,0.48340000,22.80350850,2
ht_0_hightown_a3,53,3.85880000,25.30310536,3
ht_0_hightown_a3,54,0.51660000,27.01851217,2
ht_0_hightown_a3,55,2.71680000,25.81875471,4
ht_0_hightown_a3,56,0.45840000,24.41311123,2
ht_0_hightown_a3,57,0.32520000,23.25940670,2
ht_0_hightown_a3,58,0.71680000,25.00000000,2
ht_0_hightown_a3,59,0.57480000,26.17250466,2
ht_0_hightown_a3,60,0.55840000,28.44292531,2
ht_0_hightown_a3,61,3.15840000,26.42419499,3
ht_0_hightown_a3,62,0.53340000,27.51363298,2
ht_0_hightown_a3,63,0.67500000,31.06444913,2
ht_0_hightown_a3,64,0.74160000,30.06659276,2
ht_0_hightown_a3,65,0.76680000,29.15475947,2
ht_0_hightown_a3,66,0.65000000,29.83286778,2
ht_0_hightown_a3,67,3.36660000,28.59115461,4
ht_0_hightown_a3,68,0.60020000,29.15475947,2
ht_0_hightown_a3,69,3.32520000,27.44691320,3
ht_0_hightown_a3,70,0.66680000,35.05709629,2
ht_0_hightown_a3,71,0.84180000,32.28002478,2
ht_0_hightown_a3,72,0.60840000,32.28002478,2
ht_0_hightown_a3,73,1.00840000,35.35533906,2
ht_0_hightown_a3,74,0.56660000,31.40063694,2
ht_0_hightown_a3,75,3.30880000,33.13483829,3
ht_0_hightown_a3,76,0.80040000,31.76476035,2
ht_0_hightown_a3,77,2.30020000,30.89244399,3
ht_0_hightown_a3,78,3.37480000,32.27378887,3
ht_0_hightown_a3,79,2.59160000,34.81138830,3
ht_0_hightown_a3,80,0.53320000,38.05259518,2
ht_0_hightown_a3,81,0.79180000,38.20994635,2
ht_0_hightown_a3,82,2.42500000,36.04855390,3
ht_0_hightown_a3,83,3.14180000,36.87895531,3
ht_0_hightown_a3,84,0.83340000,35.44009029,2
ht_0_hightown_a3,85,2.79980000,36.07231774,3
ht_0_hightown_a3,86,3.21680000,34.93642156,3
ht_0_hightown_a3,87,2.29180000,36.27303861,3
ht_0_hightown_a3,88,0.84140000,38.94868419,2
ht_0_hightown_a3,89,0.59160000,38.01315562,2
ht_0_hightown_a3,90,0.63320000,41.61730409,2
ht_0_hightown_a3,91,0.63320000,41.01219331,2
ht_0_hightown_a3,92,3.25840000,37.46394412,4
ht_0_hightown_a3,93,0.78340000,41.72529209,2
ht_0_hightown_a3,94,1.50020000,39.95714260,4
ht_0_hightown_a3,95,0.82540000,40.24922359,2
ht_0_hightown_a3,96,3.01640000,42.10925877,3
ht_0_hightown_a3,97,2.63320000,40.24903099,3
ht_0_hightown_a3,98,3.15000000,41.05538514,6
ht_0_hightown_a3,99,1.65860000,39.26592108,3
ht_0_hightown_a3,100,0.82500000,44.28317965,2
ht_0_hightown_a3,101,1.91660000,45.26928420,3
ht_0_hightown_a3,102,0.50860000,44.64302857,2
ht_0_hightown_a3,103,0.86660000,42.94182111,2
ht_0_hightown_a3,104,3.39160000,43.49999923,4
ht_0_hightown_a3,105,3.06680000,44.71516086,3
ht_0_hightown_a3,106,2.58360000,42.85939613,4
ht_0_hightown_a3,107,0.92480000,43.18564576,2
ht_0_hightown_a3,108,2.41680000,44.39689105,4
ht_0_hightown_a3,109,2.00840000,43.67920576,3
ht_0_hightown_a3,110,4.29160000,48.99921169,5
ht_0_hightown_a3,111,0.93340000,48.41487375,2
ht_0_hightown_a3,112,4.89980000,46.18765386,3
ht_0_hightown_a3,113,0.83320000,47.38143096,2
ht_0_hightown_a3,114,3.04980000,45.89065092,3
ht_0_hightown_a3,115,2.87500000,45.62450488,3
ht_0_hightown_a3,116,2.00840000,47.06412511,5
ht_0_hightown_a3,117,2.23320000,49.29201296,3
ht_0_hightown_a3,118,2.75000000,45.47028753,6
ht_0_hightown_a3,119,2.44180000,49.57293101,3
ht_0_hightown_a3,120,2.40840000,48.97232859,3
ht_0_hightown_a3,121,2.94140000,50.17705326,4
ht_0_hightown_a3,122,3.51680000,50.11015959,7
ht_0_hightown_a3,123,3.54140000,48.99015738,6
ht_0_hightown_a3,124,0.53340000,51.47815070,2
ht_0_hightown_a3,125,2.07500000,50.07924822,5
ht_0_hightown_a3,126,3.12480000,51.13392164,5
ht_0_hightown_a3,127,0.86680000,49.33558553,2
ht_0_hightown_a3,128,2.56660000,52.41127157,5
ht_0_hightown_a3,129,2.48320000,52.24621125,4
ht_0_hightown_a3,130,0.78320000,52.39274759,2
ht_0_hightown_a3,131,2.95020000,54.84465982,4
ht_0_hightown_a3,132,0.75020000,52.77309921,2
ht_0_hightown_a3,133,2.29980000,56.39184113,3
ht_0_hightown_a3,134,2.19160000,55.56248117,5
ht_0_hightown_a3,135,0.75840000,57.07889277,2
ht_0_hightown_a3,136,2.48340000,51.99156524,5
ht_0_hightown_a3,137,1.35040000,56.18870799,3
ht_0_hightown_a3,138,2.95020000,56.06868907,5
ht_0_hightown_a3,139,2.11640000,53.63033057,4
ht_0_hightown_a3,140,2.49160000,59.25031034,5
ht_0_hightown_a3,141,1.75040000,59.09368307,3
ht_0_hightown_a3,142,2.24160000,57.81292495,7
ht_0_hightown_a3,143,0.86660000,58.85575588,2
ht_0_hightown_a3,144,2.34980000,59.10215414,3
ht_0_hightown_a3,145,2.63340000,55.68087730,4
ht_0_hightown_a3,146,1.56680000,58.94034178,7
ht_0_hightown_a3,147,1.90840000,56.16954850,4
ht_0_hightown_a3,148,3.27500000,57.02487993,4
ht_0_hightown_a3,149,2.66660000,56.19997395,4
ht_0_hightown_a3,150,1.85000000,63.30058788,7
ht_0_hightown_a3,151,1.47480000,63.19810124,2
