Map,Query Number,Time,Distance,Path Length
ht_0_hightown_n,0,3.24160000,5.00000000,2
ht_0_hightown_n,1,0.66660000,4.00000000,2
ht_0_hightown_n,2,0.53300000,4.12310563,2
ht_0_hightown_n,3,0.39140000,5.00000000,2
ht_0_hightown_n,4,4.14160000,7.38516481,3
ht_0_hightown_n,5,0.33320000,4.47213595,2
ht_0_hightown_n,6,0.56660000,6.70820393,2
ht_0_hightown_n,7,0.48320000,4.47213595,2
ht_0_hightown_n,8,0.69140000,6.70820393,2
ht_0_hightown_n,9,0.36660000,7.21110255,2
ht_0_hightown_n,10,0.27480000,9.21954446,2
ht_0_hightown_n,11,1.45840000,8.81913191,3
ht_0_hightown_n,12,0.40820000,10.77032961,2
ht_0_hightown_n,13,0.30820000,10.04987562,2
ht_0_hightown_n,14,0.38340000,8.06225775,2
ht_0_hightown_n,15,0.58320000,10.63014581,2
ht_0_hightown_n,16,0.41660000,8.24621125,2
ht_0_hightown_n,17,0.55000000,10.77032961,2
ht_0_hightown_n,18,0.66660000,8.60232527,2
ht_0_hightown_n,19,0.56680000,10.81665383,2
ht_0_hightown_n,20,0.69180000,14.56021978,2
ht_0_hightown_n,21,2.43340000,13.41640786,3
ht_0_hightown_n,22,0.46680000,13.60147051,2
ht_0_hightown_n,23,0.54160000,12.80624847,2
ht_0_hightown_n,24,0.46680000,14.86606875,2
ht_0_hightown_n,25,0.44140000,14.76482306,2
ht_0_hightown_n,26,0.43320000,12.16552506,2
ht_0_hightown_n,27,0.42500000,15.03329638,2
ht_0_hightown_n,28,0.46660000,14.86606875,2
ht_0_hightown_n,29,0.46660000,11.70469991,2
ht_0_hightown_n,30,0.60860000,18.02775638,2
ht_0_hightown_n,31,0.76660000,18.38477631,2
ht_0_hightown_n,32,0.60820000,18.38477631,2
ht_0_hightown_n,33,0.69140000,19.20937271,2
ht_0_hightown_n,34,0.45020000,16.15549442,2
ht_0_hightown_n,35,0.55840000,16.76305461,2
ht_0_hightown_n,36,0.60020000,16.40121947,2
ht_0_hightown_n,37,0.30000000,18.38477631,2
ht_0_hightown_n,38,2.59160000,15.91567334,3
ht_0_hightown_n,39,0.36660000,15.65247584,2
ht_0_hightown_n,40,3.94180000,22.52417470,4
ht_0_hightown_n,41,0.39160000,21.54065923,2
ht_0_hightown_n,42,0.55820000,23.34523506,2
ht_0_hightown_n,43,0.79160000,19.64688270,2
ht_0_hightown_n,44,0.63320000,21.26029163,2
ht_0_hightown_n,45,1.66660000,22.60020044,3
ht_0_hightown_n,46,6.63360000,21.10066256,3
ht_0_hightown_n,47,2.61680000,20.64959762,3
ht_0_hightown_n,48,0.54200000,21.40093456,2
ht_0_hightown_n,49,0.75820000,22.09072203,2
ht_0_hightown_n,50,0.60000000,22.36067977,2
ht_0_hightown_n,51,0.34980000,26.30589288,2
ht_0_hightown_n,52,0.48340000,25.07987241,2
ht_0_hightown_n,53,0.54160000,23.76972865,2
ht_0_hightown_n,54,0.81660000,23.40939982,2
ht_0_hightown_n,55,1.98340000,22.58209413,4
ht_0_hightown_n,56,0.45820000,25.07987241,2
ht_0_hightown_n,57,1.87500000,23.53041012,3
ht_0_hightown_n,58,3.84160000,25.58040690,4
ht_0_hightown_n,59,2.76680000,23.84591852,4
ht_0_hightown_n,60,2.56700000,29.25394635,3
ht_0_hightown_n,61,0.72520000,27.20294102,2
ht_0_hightown_n,62,3.68300000,26.47640459,2
ht_0_hightown_n,63,0.69980000,29.20616373,2
ht_0_hightown_n,64,0.65840000,28.01785145,2
ht_0_hightown_n,65,0.57520000,27.65863337,2
ht_0_hightown_n,66,2.15860000,30.19991525,3
ht_0_hightown_n,67,0.69980000,30.00000000,2
ht_0_hightown_n,68,0.46640000,28.07133770,2
ht_0_hightown_n,69,1.99980000,30.23606798,4
ht_0_hightown_n,70,2.98320000,31.46949399,3
ht_0_hightown_n,71,0.47500000,32.24903099,2
ht_0_hightown_n,72,0.79180000,30.80584360,2
ht_0_hightown_n,73,0.68320000,32.44996148,2
ht_0_hightown_n,74,0.69140000,32.89376841,2
ht_0_hightown_n,75,2.14140000,32.63375802,5
ht_0_hightown_n,76,0.78320000,31.82766093,2
ht_0_hightown_n,77,1.10040000,29.91838713,3
ht_0_hightown_n,78,0.58360000,30.88689042,2
ht_0_hightown_n,79,0.45000000,33.01514804,2
ht_0_hightown_n,80,0.50000000,33.54101966,2
ht_0_hightown_n,81,2.26680000,36.13663408,5
ht_0_hightown_n,82,0.66680000,36.05551275,2
ht_0_hightown_n,83,0.55020000,37.00000000,2
ht_0_hightown_n,84,2.31660000,36.50781891,4
ht_0_hightown_n,85,1.21680000,35.06896368,3
ht_0_hightown_n,86,2.88320000,36.20937271,3
ht_0_hightown_n,87,1.80000000,33.70890169,5
ht_0_hightown_n,88,0.60820000,36.12478374,2
ht_0_hightown_n,89,0.53320000,36.12478374,2
ht_0_hightown_n,90,3.33320000,39.85028001,3
ht_0_hightown_n,91,0.46660000,40.11234224,2
ht_0_hightown_n,92,2.49180000,39.05877273,5
ht_0_hightown_n,93,0.63360000,41.10960958,2
ht_0_hightown_n,94,1.50000000,37.22335270,3
ht_0_hightown_n,95,2.14160000,39.69615365,3
ht_0_hightown_n,96,2.75000000,40.36742442,3
ht_0_hightown_n,97,2.26680000,40.33927471,4
ht_0_hightown_n,98,1.48360000,39.25853081,3
ht_0_hightown_n,99,0.65840000,38.58756276,2
ht_0_hightown_n,100,1.64180000,45.17088268,3
ht_0_hightown_n,101,0.54160000,44.27188724,2
ht_0_hightown_n,102,2.20840000,43.50788194,4
ht_0_hightown_n,103,0.91680000,42.48529157,2
ht_0_hightown_n,104,2.22500000,43.40462539,5
ht_0_hightown_n,105,0.52520000,42.15447782,2
ht_0_hightown_n,106,1.40840000,42.06483392,4
ht_0_hightown_n,107,2.04980000,43.12482658,4
ht_0_hightown_n,108,2.68340000,44.10960958,4
ht_0_hightown_n,109,0.61660000,41.77319715,2
ht_0_hightown_n,110,1.72500000,45.68882416,5
ht_0_hightown_n,111,1.17480000,47.49985744,4
ht_0_hightown_n,112,3.44160000,49.04164749,3
ht_0_hightown_n,113,0.74160000,47.85394446,2
ht_0_hightown_n,114,1.60820000,50.17112060,3
ht_0_hightown_n,115,1.65000000,48.53875096,3
ht_0_hightown_n,116,2.66660000,45.51798194,4
ht_0_hightown_n,117,1.40820000,49.11303991,3
ht_0_hightown_n,118,3.15820000,47.29461138,7
ht_0_hightown_n,119,1.08320000,44.92215489,2
ht_0_hightown_n,120,0.80020000,51.62363800,2
ht_0_hightown_n,121,2.35860000,50.01162634,4
ht_0_hightown_n,122,3.17480000,51.70820393,3
ht_0_hightown_n,123,2.62520000,48.42080116,4
ht_0_hightown_n,124,2.43340000,50.86919009,4
ht_0_hightown_n,125,4.46660000,49.72759644,6
ht_0_hightown_n,126,1.56680000,51.42936160,4
ht_0_hightown_n,127,1.93320000,50.39055525,4
ht_0_hightown_n,128,2.37500000,50.64848146,4
ht_0_hightown_n,129,2.39180000,49.35778890,4
ht_0_hightown_n,130,1.91660000,54.84546368,5
ht_0_hightown_n,131,0.74180000,55.54277631,2
ht_0_hightown_n,132,3.15860000,57.35417478,5
ht_0_hightown_n,133,2.13360000,54.23990205,4
ht_0_hightown_n,134,2.34180000,55.18960501,3
ht_0_hightown_n,135,6.54160000,54.49019310,3
ht_0_hightown_n,136,2.74180000,56.90708952,3
ht_0_hightown_n,137,1.64140000,55.57762971,5
ht_0_hightown_n,138,1.51680000,51.89931669,4
ht_0_hightown_n,139,2.09160000,54.92062054,6
ht_0_hightown_n,140,2.21660000,56.62142896,3
ht_0_hightown_n,141,0.89180000,57.68882041,2
ht_0_hightown_n,142,2.65820000,63.12310563,14
ht_0_hightown_n,143,2.58360000,58.52546662,5
ht_0_hightown_n,144,2.56660000,56.25128939,7
ht_0_hightown_n,145,2.35820000,58.25359974,4
ht_0_hightown_n,146,1.39180000,58.73041548,3
ht_0_hightown_n,147,2.65820000,57.30716605,7
ht_0_hightown_n,148,2.05840000,56.87825124,5
ht_0_hightown_n,149,1.89180000,58.64965782,4
ht_0_hightown_n,150,2.11640000,63.16366045,3
ht_0_hightown_n,151,2.47480000,63.71309097,4
ht_0_hightown_n,152,2.28320000,60.66118141,7
ht_0_hightown_n,153,1.98320000,61.30947631,6
ht_0_hightown_n,154,2.80000000,60.89244722,8
ht_0_hightown_n,155,2.71680000,61.29625456,4
ht_0_hightown_n,156,1.41660000,63.62861989,5
ht_0_hightown_n,157,3.08320000,60.25113703,3
ht_0_hightown_n,158,2.39140000,61.84577875,5
ht_0_hightown_n,159,1.95800000,64.83835998,6
ht_0_hightown_n,160,2.40840000,63.50687597,5
ht_0_hightown_n,161,2.11700000,66.68956504,6
ht_0_hightown_n,162,1.10840000,69.18092223,2
ht_0_hightown_n,163,6.39200000,65.71176406,7
ht_0_hightown_n,164,0.90860000,69.26037828,2
ht_0_hightown_n,165,2.84980000,68.80354318,4
ht_0_hightown_n,166,2.08340000,64.71674149,7
ht_0_hightown_n,167,1.65000000,66.78038567,3
ht_0_hightown_n,168,1.90020000,66.67277085,4
ht_0_hightown_n,169,1.86660000,64.58583011,4
ht_0_hightown_n,170,1.29180000,69.69089555,6
ht_0_hightown_n,171,2.07520000,70.78770868,9
ht_0_hightown_n,172,1.69160000,72.40960922,6
ht_0_hightown_n,173,1.23300000,71.02112362,2
ht_0_hightown_n,174,1.99960000,65.97621978,5
ht_0_hightown_n,175,1.98340000,70.40925199,5
ht_0_hightown_n,176,2.37500000,68.09066351,7
ht_0_hightown_n,177,2.18320000,68.11955725,5
ht_0_hightown_n,178,4.45000000,70.15294644,9
ht_0_hightown_n,179,0.70020000,67.23094526,2
ht_0_hightown_n,180,4.13360000,74.28793029,4
ht_0_hightown_n,181,2.47520000,74.10228735,5
ht_0_hightown_n,182,2.04160000,75.91427139,6
ht_0_hightown_n,183,2.03340000,70.07289484,5
ht_0_hightown_n,184,2.65820000,72.79761177,3
ht_0_hightown_n,185,3.59980000,71.58478825,4
ht_0_hightown_n,186,3.55820000,70.22000085,6
ht_0_hightown_n,187,0.92480000,73.16419890,2
