Map,Query Number,Time,Distance,Path Length
ht_bartrand_n,0,1.01660000,5.83095189,2
ht_bartrand_n,1,0.37500000,5.09901951,2
ht_bartrand_n,2,0.61660000,6.32455532,2
ht_bartrand_n,3,0.88360000,6.00000000,2
ht_bartrand_n,4,0.34200000,5.09901951,2
ht_bartrand_n,5,0.47540000,5.00000000,2
ht_bartrand_n,6,0.40840000,5.00000000,2
ht_bartrand_n,7,0.38320000,6.32455532,2
ht_bartrand_n,8,0.55860000,7.07106781,2
ht_bartrand_n,9,0.45820000,6.40312424,2
ht_bartrand_n,10,0.57480000,9.05538514,2
ht_bartrand_n,11,0.37480000,7.61577311,2
ht_bartrand_n,12,0.38320000,8.54400375,2
ht_bartrand_n,13,0.35860000,8.06225775,2
ht_bartrand_n,14,0.36640000,7.81024968,2
ht_bartrand_n,15,2.25820000,9.95153275,5
ht_bartrand_n,16,0.40820000,9.21954446,2
ht_bartrand_n,17,0.35820000,8.60232527,2
ht_bartrand_n,18,0.37480000,10.04987562,2
ht_bartrand_n,19,0.35860000,8.94427191,2
ht_bartrand_n,20,0.38320000,12.04159458,2
ht_bartrand_n,21,0.55820000,14.03566885,2
ht_bartrand_n,22,0.37500000,13.41640786,2
ht_bartrand_n,23,0.60000000,14.56021978,2
ht_bartrand_n,24,0.36660000,14.56021978,2
ht_bartrand_n,25,0.39180000,12.52996409,2
ht_bartrand_n,26,0.37480000,12.80624847,2
ht_bartrand_n,27,0.72480000,13.34166406,2
ht_bartrand_n,28,0.45840000,13.00000000,2
ht_bartrand_n,29,0.40840000,12.36931688,2
ht_bartrand_n,30,0.32500000,18.35755975,2
ht_bartrand_n,31,0.41700000,17.80449381,2
ht_bartrand_n,32,1.37540000,14.82687566,3
ht_bartrand_n,33,1.62500000,15.86198436,4
ht_bartrand_n,34,2.21660000,18.80449381,3
ht_bartrand_n,35,0.60020000,19.10497317,2
ht_bartrand_n,36,0.40000000,14.86606875,2
ht_bartrand_n,37,0.35840000,17.46424920,2
ht_bartrand_n,38,1.77480000,15.43504043,3
ht_bartrand_n,39,0.55820000,18.43908891,2
ht_bartrand_n,40,1.57480000,19.81007398,3
ht_bartrand_n,41,1.76660000,22.21954446,3
ht_bartrand_n,42,0.94200000,20.12461180,2
ht_bartrand_n,43,0.49160000,20.00000000,2
ht_bartrand_n,44,0.65860000,19.41648784,2
ht_bartrand_n,45,0.53340000,19.92485885,2
ht_bartrand_n,46,1.09180000,21.02775638,3
ht_bartrand_n,47,1.57500000,22.56670555,4
ht_bartrand_n,48,0.73340000,21.18962010,2
ht_bartrand_n,49,1.62500000,20.64386015,5
ht_bartrand_n,50,0.54180000,26.07680962,2
ht_bartrand_n,51,0.60820000,25.70992026,2
ht_bartrand_n,52,1.65000000,23.61781687,3
ht_bartrand_n,53,0.40840000,25.07987241,2
ht_bartrand_n,54,0.60820000,23.32380758,2
ht_bartrand_n,55,1.57480000,24.51550735,3
ht_bartrand_n,56,1.59140000,23.67253832,4
ht_bartrand_n,57,1.41660000,26.29166806,4
ht_bartrand_n,58,1.42480000,22.74660874,4
ht_bartrand_n,59,1.74180000,25.83271462,4
ht_bartrand_n,60,1.17480000,28.78517996,5
ht_bartrand_n,61,1.40000000,27.45916048,3
ht_bartrand_n,62,1.90840000,26.84857550,3
ht_bartrand_n,63,2.14180000,28.81011897,6
ht_bartrand_n,64,1.29160000,24.35369094,5
ht_bartrand_n,65,1.68320000,29.42014564,5
ht_bartrand_n,66,1.37500000,28.47220505,4
ht_bartrand_n,67,1.60820000,26.38508306,3
ht_bartrand_n,68,1.86640000,27.18974155,3
ht_bartrand_n,69,1.66620000,27.66552734,4
ht_bartrand_n,70,1.47460000,32.73782899,4
ht_bartrand_n,71,1.45840000,31.09780736,3
ht_bartrand_n,72,1.65020000,29.12465521,8
ht_bartrand_n,73,1.27480000,32.67745705,4
ht_bartrand_n,74,1.54140000,32.96365899,3
ht_bartrand_n,75,1.30000000,29.46617956,3
ht_bartrand_n,76,2.00820000,30.56491831,3
ht_bartrand_n,77,1.39160000,32.42859134,3
ht_bartrand_n,78,0.63300000,33.06055051,2
ht_bartrand_n,79,1.42500000,30.51685598,4
ht_bartrand_n,80,1.83320000,34.67506762,6
ht_bartrand_n,81,2.00820000,34.47037997,5
ht_bartrand_n,82,2.04160000,35.01922366,4
ht_bartrand_n,83,1.22520000,33.88752384,4
ht_bartrand_n,84,0.75840000,35.84689666,2
ht_bartrand_n,85,1.90020000,37.71320530,4
ht_bartrand_n,86,1.13340000,34.26728821,4
ht_bartrand_n,87,0.43300000,34.48187930,2
ht_bartrand_n,88,0.54160000,35.44009029,2
ht_bartrand_n,89,1.29200000,34.07106781,5
ht_bartrand_n,90,1.58340000,37.19253472,6
ht_bartrand_n,91,1.39160000,39.78571087,3
ht_bartrand_n,92,1.86660000,40.46309242,3
ht_bartrand_n,93,1.63320000,34.38780930,7
ht_bartrand_n,94,1.45840000,40.43997297,4
ht_bartrand_n,95,2.57520000,38.48242391,3
ht_bartrand_n,96,1.71680000,38.47750241,4
ht_bartrand_n,97,2.05840000,38.58600277,4
ht_bartrand_n,98,1.55000000,37.05166954,11
ht_bartrand_n,99,1.25840000,40.65153672,5
ht_bartrand_n,100,1.30820000,43.73587653,4
ht_bartrand_n,101,1.52520000,40.73961822,10
ht_bartrand_n,102,2.10060000,41.09895251,7
ht_bartrand_n,103,1.38380000,41.35869300,3
ht_bartrand_n,104,2.00040000,41.86201485,6
ht_bartrand_n,105,1.67500000,45.37703421,6
ht_bartrand_n,106,2.41660000,43.07886553,4
ht_bartrand_n,107,1.29980000,44.55386468,4
ht_bartrand_n,108,1.47520000,42.00248440,3
ht_bartrand_n,109,1.18360000,46.18084641,3
ht_bartrand_n,110,1.11700000,45.83547455,4
ht_bartrand_n,111,1.08320000,46.01524666,4
ht_bartrand_n,112,1.68340000,47.07820027,5
ht_bartrand_n,113,1.97500000,47.29563014,3
ht_bartrand_n,114,1.80840000,43.69212249,7
ht_bartrand_n,115,1.35000000,47.81297266,3
ht_bartrand_n,116,1.58320000,47.39707326,5
ht_bartrand_n,117,1.69980000,46.20961211,3
ht_bartrand_n,118,2.08360000,45.19619459,8
ht_bartrand_n,119,1.43360000,47.09423265,6
ht_bartrand_n,120,1.55840000,48.70165956,5
ht_bartrand_n,121,1.78340000,51.16475635,4
ht_bartrand_n,122,2.12500000,49.02628298,10
ht_bartrand_n,123,1.83320000,50.45988575,8
ht_bartrand_n,124,1.56680000,47.45558661,4
ht_bartrand_n,125,1.88360000,49.88591168,4
ht_bartrand_n,126,1.34160000,51.88432242,4
ht_bartrand_n,127,1.85820000,51.21818049,5
ht_bartrand_n,128,1.47520000,51.65874314,6
ht_bartrand_n,129,1.27480000,51.69747192,6
ht_bartrand_n,130,1.82480000,53.18183102,8
ht_bartrand_n,131,1.20820000,53.94008345,6
ht_bartrand_n,132,1.48320000,53.26942008,7
ht_bartrand_n,133,1.56660000,51.92721272,8
ht_bartrand_n,134,1.67520000,51.18499530,6
ht_bartrand_n,135,2.02500000,51.21693660,11
ht_bartrand_n,136,1.42500000,54.40790267,3
ht_bartrand_n,137,1.74180000,54.76314207,4
ht_bartrand_n,138,1.42500000,55.16617981,5
ht_bartrand_n,139,1.41660000,55.01208386,5
ht_bartrand_n,140,1.75800000,59.08764176,7
ht_bartrand_n,141,1.68340000,58.54622258,6
ht_bartrand_n,142,2.12540000,57.12805281,4
ht_bartrand_n,143,1.25840000,59.49447122,8
ht_bartrand_n,144,1.43340000,58.60399803,4
ht_bartrand_n,145,2.02500000,55.50635079,4
ht_bartrand_n,146,1.55820000,57.73755338,5
ht_bartrand_n,147,1.55020000,59.95760003,6
ht_bartrand_n,148,1.25000000,57.91909628,6
ht_bartrand_n,149,1.50820000,60.74276927,3
ht_bartrand_n,150,1.84960000,58.65031118,8
ht_bartrand_n,151,1.47500000,58.63095766,9
ht_bartrand_n,152,1.94180000,61.78606582,3
ht_bartrand_n,153,1.55840000,63.19038426,5
ht_bartrand_n,154,1.92480000,64.66145376,5
ht_bartrand_n,155,1.40840000,60.79159579,9
ht_bartrand_n,156,1.54140000,61.07114391,7
ht_bartrand_n,157,1.98320000,61.85396503,4
ht_bartrand_n,158,2.06680000,59.95824222,7
ht_bartrand_n,159,1.46660000,61.34693462,4
ht_bartrand_n,160,1.56660000,62.69737909,7
ht_bartrand_n,161,1.86660000,66.45282535,6
ht_bartrand_n,162,1.67500000,64.38139810,8
ht_bartrand_n,163,1.17500000,65.35662175,5
ht_bartrand_n,164,1.60000000,67.56981646,5
ht_bartrand_n,165,1.80820000,68.04446423,4
ht_bartrand_n,166,1.70020000,66.77399288,5
ht_bartrand_n,167,1.20840000,66.36722885,5
ht_bartrand_n,168,1.62500000,67.79210760,6
ht_bartrand_n,169,1.88340000,66.83010557,7
ht_bartrand_n,170,1.72520000,67.23950612,7
ht_bartrand_n,171,1.35840000,68.23861518,9
ht_bartrand_n,172,1.35040000,70.79889885,7
ht_bartrand_n,173,1.45840000,68.12047349,10
ht_bartrand_n,174,1.31640000,70.00326026,8
ht_bartrand_n,175,1.51640000,69.50646971,6
ht_bartrand_n,176,1.35820000,65.44689523,9
ht_bartrand_n,177,1.59180000,67.31807504,6
ht_bartrand_n,178,1.30840000,69.01711614,8
ht_bartrand_n,179,1.73320000,70.29440368,6
ht_bartrand_n,180,1.64180000,71.35172472,8
ht_bartrand_n,181,1.44160000,72.33755835,7
ht_bartrand_n,182,1.15000000,73.67513026,6
ht_bartrand_n,183,1.20000000,71.34902616,7
ht_bartrand_n,184,1.37500000,71.49913027,4
ht_bartrand_n,185,1.06680000,71.42587773,7
ht_bartrand_n,186,1.41660000,72.88454910,6
ht_bartrand_n,187,2.25820000,70.67229609,6
ht_bartrand_n,188,2.31660000,70.97539041,12
ht_bartrand_n,189,1.60020000,71.24718291,6
ht_bartrand_n,190,1.67500000,77.12028632,6
ht_bartrand_n,191,1.72500000,79.36385150,6
ht_bartrand_n,192,1.50020000,76.72008078,8
ht_bartrand_n,193,1.91660000,73.26608174,8
ht_bartrand_n,194,1.83340000,76.47982848,9
ht_bartrand_n,195,1.74140000,74.61219344,6
ht_bartrand_n,196,1.79160000,75.79649608,7
ht_bartrand_n,197,1.36680000,75.06076399,7
ht_bartrand_n,198,1.61640000,73.08345295,8
ht_bartrand_n,199,1.68320000,75.23506144,6
ht_bartrand_n,200,1.42500000,80.22233408,8
ht_bartrand_n,201,1.40860000,79.31692197,5
ht_bartrand_n,202,1.75000000,84.08748965,7
ht_bartrand_n,203,1.66620000,80.02451728,10
ht_bartrand_n,204,1.70000000,79.69747450,7
ht_bartrand_n,205,1.68340000,83.30160633,5
ht_bartrand_n,206,1.66660000,78.23832141,4
ht_bartrand_n,207,1.80820000,80.33584200,4
ht_bartrand_n,208,1.64160000,79.56248918,12
ht_bartrand_n,209,2.04160000,78.72521184,9
ht_bartrand_n,210,1.10860000,82.51747396,7
ht_bartrand_n,211,1.63340000,80.57439849,8
ht_bartrand_n,212,1.30000000,85.18102466,5
ht_bartrand_n,213,1.48340000,81.70007744,8
ht_bartrand_n,214,1.42520000,83.25894757,5
ht_bartrand_n,215,1.68340000,83.80476956,11
ht_bartrand_n,216,1.73320000,83.18850755,9
