Map,Query Number,Time,Distance,Path Length
ht_brothel_n,0,0.81660000,5.83095189,2
ht_brothel_n,1,0.52500000,5.00000000,2
ht_brothel_n,2,0.40840000,5.83095189,2
ht_brothel_n,3,0.42500000,6.70820393,2
ht_brothel_n,4,0.35020000,7.21110255,2
ht_brothel_n,5,0.52480000,6.00000000,2
ht_brothel_n,6,0.44160000,7.07106781,2
ht_brothel_n,7,0.36660000,5.38516481,2
ht_brothel_n,8,0.29180000,5.65685425,2
ht_brothel_n,9,0.40020000,6.40312424,2
ht_brothel_n,10,0.56680000,10.77032961,2
ht_brothel_n,11,0.34180000,8.60232527,2
ht_brothel_n,12,0.60000000,8.06225775,2
ht_brothel_n,13,2.75020000,10.07106781,4
ht_brothel_n,14,0.35840000,8.54400375,2
ht_brothel_n,15,0.46680000,7.61577311,2
ht_brothel_n,16,0.42500000,11.31370850,2
ht_brothel_n,17,0.49180000,8.00000000,2
ht_brothel_n,18,0.45860000,8.00000000,2
ht_brothel_n,19,0.36660000,7.61577311,2
ht_brothel_n,20,0.40860000,15.03329638,2
ht_brothel_n,21,0.49160000,12.00000000,2
ht_brothel_n,22,1.58300000,12.72865690,4
ht_brothel_n,23,0.59140000,15.03329638,2
ht_brothel_n,24,0.59180000,12.04159458,2
ht_brothel_n,25,1.82500000,14.37588089,3
ht_brothel_n,26,1.25800000,12.86795680,3
ht_brothel_n,27,0.44160000,12.72792206,2
ht_brothel_n,28,0.46660000,14.31782106,2
ht_brothel_n,29,0.50840000,12.52996409,2
ht_brothel_n,30,0.38340000,14.86606875,2
ht_brothel_n,31,1.46680000,14.73887873,4
ht_brothel_n,32,2.26680000,17.00389692,6
ht_brothel_n,33,1.53320000,15.04536102,3
ht_brothel_n,34,0.63320000,16.03121954,2
ht_brothel_n,35,0.63320000,15.29705854,2
ht_brothel_n,36,1.91660000,17.49285568,3
ht_brothel_n,37,1.50820000,18.60555128,4
ht_brothel_n,38,1.77480000,15.76358907,5
ht_brothel_n,39,1.97500000,15.37994046,4
ht_brothel_n,40,1.50020000,21.07106781,3
ht_brothel_n,41,1.43360000,21.35331075,4
ht_brothel_n,42,0.77520000,20.39607805,2
ht_brothel_n,43,2.10860000,20.82694157,4
ht_brothel_n,44,1.56700000,20.68002143,3
