Map,Query Number,Time,Distance,Path Length
ht_chantry,0,0.87500000,5.65685425,2
ht_chantry,1,0.55840000,4.47213595,2
ht_chantry,2,0.49180000,5.83095189,2
ht_chantry,3,0.32520000,5.65685425,2
ht_chantry,4,0.57520000,6.00000000,2
ht_chantry,5,0.37480000,4.47213595,2
ht_chantry,6,0.41640000,6.40312424,2
ht_chantry,7,0.33320000,5.83095189,2
ht_chantry,8,0.51660000,7.00000000,2
ht_chantry,9,0.53320000,5.83095189,2
ht_chantry,10,2.72500000,8.26129717,3
ht_chantry,11,0.49980000,8.24621125,2
ht_chantry,12,1.58340000,10.44238755,3
ht_chantry,13,0.44160000,8.94427191,2
ht_chantry,14,0.38320000,10.81665383,2
ht_chantry,15,0.36640000,10.29563014,2
ht_chantry,16,0.50820000,9.89949494,2
ht_chantry,17,0.44160000,9.21954446,2
ht_chantry,18,0.31680000,9.00000000,2
ht_chantry,19,0.31700000,10.77032961,2
ht_chantry,20,0.30840000,11.40175425,2
ht_chantry,21,0.60820000,14.86606875,2
ht_chantry,22,0.33300000,12.16552506,2
ht_chantry,23,0.48320000,12.80624847,2
ht_chantry,24,1.50800000,14.21766280,4
ht_chantry,25,0.51680000,13.41640786,2
ht_chantry,26,0.46660000,14.76482306,2
ht_chantry,27,0.30820000,12.04159458,2
ht_chantry,28,0.46660000,12.36931688,2
ht_chantry,29,0.61680000,14.42220510,2
ht_chantry,30,0.56660000,16.64331698,2
ht_chantry,31,0.70820000,16.03121954,2
ht_chantry,32,0.56640000,15.52417470,2
ht_chantry,33,1.29160000,17.51137432,3
ht_chantry,34,0.23340000,16.03121954,2
ht_chantry,35,0.43360000,16.64331698,2
ht_chantry,36,0.60020000,16.27882060,2
ht_chantry,37,0.38340000,15.23154621,2
ht_chantry,38,1.34140000,15.55634919,3
ht_chantry,39,0.44160000,18.02775638,2
ht_chantry,40,1.63320000,18.26745507,4
ht_chantry,41,1.75000000,22.19557404,5
ht_chantry,42,1.26660000,18.17903662,4
ht_chantry,43,0.45840000,19.31320792,2
ht_chantry,44,0.38340000,21.02379604,2
ht_chantry,45,0.47480000,22.02271555,2
ht_chantry,46,1.95840000,22.33385945,5
ht_chantry,47,0.51660000,21.02379604,2
ht_chantry,48,1.65860000,22.91953075,5
ht_chantry,49,0.40860000,19.64688270,2
ht_chantry,50,1.62500000,23.88183291,6
ht_chantry,51,1.30840000,25.08640753,4
ht_chantry,52,1.40820000,24.61009540,3
ht_chantry,53,1.12520000,26.25198204,4
ht_chantry,54,2.49160000,24.78081242,4
ht_chantry,55,1.65000000,23.41968741,3
ht_chantry,56,0.62500000,25.05992817,2
ht_chantry,57,0.70820000,24.33105012,2
ht_chantry,58,0.45840000,22.56102835,2
ht_chantry,59,1.20820000,24.81897421,3
ht_chantry,60,0.57500000,27.29468813,2
ht_chantry,61,1.85000000,28.16316870,5
ht_chantry,62,0.50840000,29.06888371,2
ht_chantry,63,1.53320000,28.25239077,6
ht_chantry,64,0.36680000,29.15475947,2
ht_chantry,65,1.53320000,26.07865740,3
ht_chantry,66,1.41660000,26.60128150,6
ht_chantry,67,1.34160000,29.30367273,4
ht_chantry,68,0.60840000,26.92582404,2
ht_chantry,69,1.25820000,27.90804115,6
ht_chantry,70,1.13320000,30.45492852,4
ht_chantry,71,0.57500000,34.01470270,2
ht_chantry,72,1.48360000,33.73774212,3
ht_chantry,73,1.40020000,30.02248479,5
ht_chantry,74,1.80820000,34.51893603,5
ht_chantry,75,0.61680000,33.24154028,2
ht_chantry,76,1.95020000,31.53922007,5
ht_chantry,77,2.34160000,32.17688673,7
ht_chantry,78,1.13360000,31.49332778,4
ht_chantry,79,1.71660000,33.38089098,3
ht_chantry,80,0.50800000,39.01281841,2
ht_chantry,81,1.78340000,36.67860489,3
ht_chantry,82,1.37500000,34.69269127,5
ht_chantry,83,1.67520000,39.01470270,3
ht_chantry,84,0.54980000,35.51056181,2
ht_chantry,85,0.88320000,34.66987165,2
ht_chantry,86,1.30020000,36.27312381,5
ht_chantry,87,1.50840000,34.54065923,4
ht_chantry,88,0.56640000,37.12142239,2
ht_chantry,89,1.28340000,36.31370850,3
ht_chantry,90,0.59180000,42.19004622,2
ht_chantry,91,0.47500000,39.20459157,2
ht_chantry,92,1.67500000,42.13594362,4
ht_chantry,93,1.40000000,38.86940976,3
ht_chantry,94,1.07500000,38.77451680,3
ht_chantry,95,0.56640000,41.59326869,2
ht_chantry,96,1.39180000,40.16227766,3
ht_chantry,97,1.37500000,40.47063796,3
ht_chantry,98,1.67500000,40.05691698,3
ht_chantry,99,0.80840000,37.69615365,2
ht_chantry,100,1.03320000,42.10216120,3
ht_chantry,101,2.31660000,43.38182212,8
ht_chantry,102,1.60820000,39.61494143,5
ht_chantry,103,1.21660000,41.61250919,3
ht_chantry,104,1.19980000,43.16036062,5
ht_chantry,105,0.69160000,46.09772229,2
ht_chantry,106,2.21660000,45.34712976,9
ht_chantry,107,1.42540000,44.33630941,3
ht_chantry,108,1.28360000,45.40242725,4
ht_chantry,109,1.24160000,43.12310563,6
ht_chantry,110,1.32500000,44.11536828,5
ht_chantry,111,1.77520000,47.79119704,4
ht_chantry,112,0.69160000,45.35416188,2
ht_chantry,113,1.79160000,46.06888371,3
ht_chantry,114,0.74180000,48.83646179,2
ht_chantry,115,1.10820000,47.90811504,6
ht_chantry,116,1.09180000,48.25982197,3
ht_chantry,117,1.14180000,45.68551442,5
ht_chantry,118,1.32500000,47.27593707,6
ht_chantry,119,1.34160000,45.80813625,5
ht_chantry,120,1.24160000,51.42137664,6
ht_chantry,121,0.98320000,51.11885801,5
ht_chantry,122,1.78320000,50.52417470,6
ht_chantry,123,1.25020000,46.77410286,5
ht_chantry,124,1.50820000,51.60516106,6
ht_chantry,125,1.46680000,48.53347682,5
ht_chantry,126,1.24980000,54.04671326,4
ht_chantry,127,0.75820000,52.15361924,2
ht_chantry,128,1.18340000,49.29411124,4
ht_chantry,129,1.30840000,52.08410889,6
ht_chantry,130,0.93340000,57.54065923,4
ht_chantry,131,1.25040000,57.36430756,3
ht_chantry,132,2.26660000,53.80643785,10
ht_chantry,133,0.90000000,55.00000000,5
ht_chantry,134,1.28360000,53.65124154,5
ht_chantry,135,1.73340000,57.86294429,4
ht_chantry,136,1.23340000,54.27049829,7
ht_chantry,137,1.25840000,54.48303021,3
ht_chantry,138,1.18340000,54.26954678,6
ht_chantry,139,1.87500000,57.55111755,8
ht_chantry,140,1.60000000,59.32931694,7
ht_chantry,141,1.34160000,60.54481936,5
ht_chantry,142,1.50020000,58.33990639,5
ht_chantry,143,1.19200000,55.69444450,5
ht_chantry,144,1.29160000,61.37050668,10
ht_chantry,145,2.04980000,54.14222044,10
ht_chantry,146,1.61660000,59.17742570,5
ht_chantry,147,1.50860000,57.37805460,3
ht_chantry,148,1.47520000,56.60287129,4
ht_chantry,149,2.47520000,57.70500435,8
ht_chantry,150,1.29980000,59.89610629,4
ht_chantry,151,0.79180000,63.12685641,2
ht_chantry,152,1.25020000,61.76546613,5
ht_chantry,153,1.17540000,62.35192673,4
ht_chantry,154,1.40840000,62.60788431,5
ht_chantry,155,1.65820000,58.73645833,9
ht_chantry,156,0.90820000,61.56626283,5
ht_chantry,157,1.95000000,60.52253687,6
ht_chantry,158,0.69160000,66.03029608,2
ht_chantry,159,1.04120000,63.46516619,4
ht_chantry,160,1.09980000,67.54186716,5
ht_chantry,161,1.24180000,64.96716357,4
ht_chantry,162,1.53320000,65.17954960,5
ht_chantry,163,1.28340000,64.91733144,5
ht_chantry,164,1.62520000,64.46065711,6
ht_chantry,165,1.03360000,65.67980970,4
ht_chantry,166,1.60020000,63.46929195,6
ht_chantry,167,0.75840000,69.00000000,2
ht_chantry,168,1.32500000,67.56002809,5
ht_chantry,169,0.95840000,66.94514366,4
ht_chantry,170,1.44180000,67.21138532,4
ht_chantry,171,1.22520000,71.53291663,4
ht_chantry,172,1.69180000,68.56992734,3
ht_chantry,173,1.04980000,72.00000000,4
ht_chantry,174,1.80000000,66.91538877,10
ht_chantry,175,0.82520000,69.23149572,2
ht_chantry,176,1.40820000,69.64880199,6
ht_chantry,177,1.34160000,70.38240975,6
ht_chantry,178,1.05000000,69.13618306,5
ht_chantry,179,1.60000000,67.14608122,3
ht_chantry,180,1.20820000,72.85206856,6
ht_chantry,181,1.29160000,74.02544427,8
ht_chantry,182,1.33320000,75.55744169,3
ht_chantry,183,1.29180000,73.54182297,6
ht_chantry,184,1.35040000,74.37448401,9
ht_chantry,185,1.23340000,71.95498192,5
ht_chantry,186,1.38320000,76.73788104,5
ht_chantry,187,1.40000000,71.51758639,5
ht_chantry,188,1.38340000,72.69337243,6
ht_chantry,189,1.17500000,72.94059289,6
ht_chantry,190,1.10820000,76.92472858,5
ht_chantry,191,1.38360000,74.58207813,5
ht_chantry,192,1.03340000,81.89421882,5
ht_chantry,193,1.20860000,77.09145208,7
ht_chantry,194,1.12500000,78.25716317,5
ht_chantry,195,1.03340000,77.11365418,4
ht_chantry,196,1.53340000,79.55996646,6
ht_chantry,197,1.32480000,77.69068075,5
ht_chantry,198,1.29980000,79.25978871,5
ht_chantry,199,1.32500000,78.14045251,7
ht_chantry,200,1.17500000,79.00912342,5
ht_chantry,201,1.63340000,81.59260179,10
ht_chantry,202,1.40820000,85.08318916,5
ht_chantry,203,1.53360000,84.18357573,5
ht_chantry,204,1.14160000,81.10648284,6
ht_chantry,205,1.52540000,78.61133231,7
ht_chantry,206,1.33360000,80.95011596,6
ht_chantry,207,1.46660000,78.97127967,5
ht_chantry,208,1.15000000,79.47331164,6
ht_chantry,209,1.45000000,81.45076085,9
ht_chantry,210,1.16640000,86.33358693,8
ht_chantry,211,1.11660000,82.56953508,7
ht_chantry,212,2.09160000,85.06488199,9
ht_chantry,213,1.38340000,84.36916071,8
ht_chantry,214,1.55020000,85.85787563,5
ht_chantry,215,1.03320000,84.82903572,6
ht_chantry,216,1.59160000,82.79624111,8
ht_chantry,217,1.35840000,84.62280518,7
ht_chantry,218,0.92520000,84.02069062,7
ht_chantry,219,1.34980000,84.17761334,7
ht_chantry,220,1.36660000,86.48575465,8
ht_chantry,221,1.25840000,90.34284092,4
ht_chantry,222,1.13340000,91.96415258,6
ht_chantry,223,2.10020000,88.04803518,11
ht_chantry,224,1.84980000,87.98878519,8
ht_chantry,225,1.11660000,87.94440406,6
ht_chantry,226,1.44160000,91.42224551,7
ht_chantry,227,1.31640000,85.41244091,5
ht_chantry,228,1.30000000,86.17849678,8
ht_chantry,229,2.32520000,87.28003652,8
ht_chantry,230,1.33320000,96.24331417,4
ht_chantry,231,1.35000000,94.36547561,7
ht_chantry,232,1.63300000,91.73679061,6
ht_chantry,233,1.18320000,93.09279753,6
ht_chantry,234,1.18320000,87.05065700,10
ht_chantry,235,1.51660000,91.97457788,7
ht_chantry,236,1.44160000,94.01504193,5
ht_chantry,237,1.32500000,95.54590073,6
