Map,Query Number,Time,Distance,Path Length
ht_chantry_n,0,0.89160000,4.12310563,2
ht_chantry_n,1,0.40840000,4.47213595,2
ht_chantry_n,2,0.26680000,4.00000000,2
ht_chantry_n,3,0.44160000,5.83095189,2
ht_chantry_n,4,0.35840000,6.32455532,2
ht_chantry_n,5,0.48360000,5.38516481,2
ht_chantry_n,6,0.39160000,4.24264069,2
ht_chantry_n,7,0.50000000,7.00000000,2
ht_chantry_n,8,0.34180000,4.12310563,2
ht_chantry_n,9,0.59180000,7.00000000,2
ht_chantry_n,10,0.40020000,10.77032961,2
ht_chantry_n,11,0.40820000,9.00000000,2
ht_chantry_n,12,3.00820000,9.60232527,3
ht_chantry_n,13,1.77500000,10.43398113,3
ht_chantry_n,14,0.42500000,8.94427191,2
ht_chantry_n,15,0.43320000,9.48683298,2
ht_chantry_n,16,0.60820000,8.48528137,2
ht_chantry_n,17,0.43320000,8.54400375,2
ht_chantry_n,18,1.33300000,7.62123278,3
ht_chantry_n,19,0.30000000,8.06225775,2
ht_chantry_n,20,1.03360000,14.07106781,4
ht_chantry_n,21,0.46680000,15.03329638,2
ht_chantry_n,22,1.23340000,14.31911395,3
ht_chantry_n,23,2.41660000,10.23606798,4
ht_chantry_n,24,0.38320000,12.80624847,2
ht_chantry_n,25,0.44980000,12.04159458,2
ht_chantry_n,26,0.34160000,12.16552506,2
ht_chantry_n,27,0.36680000,14.76482306,2
ht_chantry_n,28,0.59140000,12.08304597,2
ht_chantry_n,29,0.37500000,14.42220510,2
ht_chantry_n,30,0.37500000,17.80449381,2
ht_chantry_n,31,0.36640000,17.02938637,2
ht_chantry_n,32,0.35840000,16.03121954,2
ht_chantry_n,33,0.57500000,15.65247584,2
ht_chantry_n,34,1.59980000,15.60555128,4
ht_chantry_n,35,1.37520000,17.28010989,3
ht_chantry_n,36,0.53340000,15.81138830,2
ht_chantry_n,37,0.65840000,18.38477631,2
ht_chantry_n,38,0.97500000,15.14889513,3
ht_chantry_n,39,1.23300000,14.48683298,4
