Map,Query Number,Time,Distance,Path Length
ht_keep,0,1.22500000,5.38516481,2
ht_keep,1,0.67520000,7.21110255,2
ht_keep,2,0.41680000,4.00000000,2
ht_keep,3,2.68340000,7.39834564,4
ht_keep,4,0.44180000,7.07106781,2
ht_keep,5,0.38340000,6.08276253,2
ht_keep,6,0.33340000,4.12310563,2
ht_keep,7,0.39160000,7.07106781,2
ht_keep,8,0.40840000,6.32455532,2
ht_keep,9,0.46680000,5.83095189,2
ht_keep,10,0.42480000,8.94427191,2
ht_keep,11,1.40000000,9.21110255,3
ht_keep,12,0.31680000,8.54400375,2
ht_keep,13,0.54200000,10.19803903,2
ht_keep,14,0.37500000,8.54400375,2
ht_keep,15,0.35840000,8.54400375,2
ht_keep,16,0.35000000,10.81665383,2
ht_keep,17,0.58360000,11.31370850,2
ht_keep,18,0.40840000,9.21954446,2
ht_keep,19,0.49140000,8.94427191,2
ht_keep,20,0.45000000,13.89244399,2
ht_keep,21,0.35000000,12.72792206,2
ht_keep,22,0.38340000,12.36931688,2
ht_keep,23,0.31660000,14.31782106,2
ht_keep,24,0.43320000,12.20655562,2
ht_keep,25,0.41680000,13.89244399,2
ht_keep,26,0.38320000,15.55634919,2
ht_keep,27,0.35000000,13.92838828,2
ht_keep,28,0.42480000,13.60147051,2
ht_keep,29,0.64160000,13.00000000,2
ht_keep,30,0.38320000,17.02938637,2
ht_keep,31,0.58340000,17.72004515,2
ht_keep,32,0.40020000,16.27882060,2
ht_keep,33,0.86700000,18.43908891,2
ht_keep,34,2.56700000,15.56021978,3
ht_keep,35,0.45000000,17.88854382,2
ht_keep,36,1.85000000,15.31025119,3
ht_keep,37,0.51680000,16.64331698,2
ht_keep,38,1.52480000,17.26910684,3
ht_keep,39,0.67500000,17.08800749,2
ht_keep,40,0.39960000,21.21320344,2
ht_keep,41,0.50820000,22.13594362,2
ht_keep,42,0.65820000,20.12461180,2
ht_keep,43,0.39160000,21.02379604,2
ht_keep,44,0.44160000,21.93171220,2
ht_keep,45,0.54980000,21.37755833,2
ht_keep,46,1.05860000,18.86683194,4
ht_keep,47,0.34180000,19.92485885,2
ht_keep,48,0.64180000,21.93171220,2
ht_keep,49,0.50000000,23.08679276,2
ht_keep,50,1.58360000,25.63362154,3
ht_keep,51,1.50020000,25.84093534,4
ht_keep,52,1.96660000,22.62741699,4
ht_keep,53,0.38320000,23.34523506,2
ht_keep,54,0.35820000,23.76972865,2
ht_keep,55,1.13340000,27.07926199,3
ht_keep,56,0.45840000,24.51530134,2
ht_keep,57,1.14180000,22.49989233,3
ht_keep,58,0.45000000,26.17250466,2
ht_keep,59,1.49140000,25.80697580,3
ht_keep,60,0.59980000,26.24880950,2
ht_keep,61,0.99980000,27.47089314,3
ht_keep,62,1.42500000,28.71796157,3
ht_keep,63,2.11660000,27.29563014,3
ht_keep,64,1.95840000,27.99134051,5
ht_keep,65,0.60840000,27.31300057,2
ht_keep,66,1.35000000,29.73782899,3
ht_keep,67,1.51680000,28.28709297,4
ht_keep,68,0.38340000,26.47640459,2
ht_keep,69,1.54180000,25.64944209,4
ht_keep,70,1.20840000,29.36953233,4
ht_keep,71,1.68340000,33.57378571,4
ht_keep,72,0.35840000,31.78049716,2
ht_keep,73,1.90020000,30.48885194,6
ht_keep,74,1.60840000,31.24134831,6
ht_keep,75,0.48340000,31.78049716,2
ht_keep,76,1.68340000,33.60147051,5
ht_keep,77,1.05000000,31.33556300,3
ht_keep,78,1.02520000,30.43088061,4
ht_keep,79,1.39160000,33.41486496,4
ht_keep,80,1.30840000,33.71958419,3
ht_keep,81,1.23340000,36.59834732,3
ht_keep,82,1.50800000,35.29393205,4
ht_keep,83,1.23340000,33.58308844,4
ht_keep,84,2.00840000,32.19433566,6
ht_keep,85,0.67500000,35.84689666,2
ht_keep,86,1.32500000,38.21053280,3
ht_keep,87,0.77500000,36.05551275,2
ht_keep,88,1.21680000,36.74714946,3
ht_keep,89,1.36660000,35.64373945,3
ht_keep,90,1.23300000,40.86255917,6
ht_keep,91,1.42480000,39.34752668,3
ht_keep,92,1.85800000,38.47607040,3
ht_keep,93,1.98320000,39.33350505,3
ht_keep,94,1.88360000,36.87405707,6
ht_keep,95,2.70020000,40.92330312,4
ht_keep,96,1.25820000,39.48187930,3
ht_keep,97,1.05860000,39.10424502,3
ht_keep,98,0.75020000,37.94733192,2
ht_keep,99,1.87520000,40.68494754,3
ht_keep,100,1.20000000,42.21999634,3
ht_keep,101,1.95000000,42.54866223,6
ht_keep,102,1.11680000,43.26661531,3
ht_keep,103,0.55820000,44.40720662,2
ht_keep,104,1.82500000,42.01801624,3
ht_keep,105,0.54180000,42.75511665,2
ht_keep,106,1.49160000,41.67265222,3
ht_keep,107,1.27480000,46.27004081,6
ht_keep,108,1.14980000,45.51674366,4
ht_keep,109,0.63320000,42.54409477,2
ht_keep,110,1.27480000,45.39787633,4
ht_keep,111,1.58360000,45.68482387,6
ht_keep,112,1.36680000,45.73968265,9
ht_keep,113,1.34160000,45.21876574,4
ht_keep,114,1.22520000,49.24123362,5
ht_keep,115,1.05840000,44.43522998,3
ht_keep,116,2.28340000,45.37968478,7
ht_keep,117,0.93340000,48.21558813,4
ht_keep,118,1.10880000,46.96174973,3
ht_keep,119,1.47520000,46.91451771,5
ht_keep,120,0.60020000,50.00000000,2
ht_keep,121,1.69140000,53.25204108,6
ht_keep,122,1.92500000,49.68387684,4
ht_keep,123,1.86700000,49.65235833,3
ht_keep,124,0.69160000,51.62363800,2
ht_keep,125,2.35800000,49.17865206,5
ht_keep,126,1.76660000,49.15229170,5
ht_keep,127,1.11660000,52.17388984,3
ht_keep,128,1.88340000,52.03307765,6
ht_keep,129,1.44160000,51.04977011,4
ht_keep,130,1.21680000,54.83471351,3
ht_keep,131,1.19160000,52.68956613,3
ht_keep,132,2.14980000,52.96083705,4
ht_keep,133,1.59160000,53.88105524,4
ht_keep,134,1.11680000,52.37170498,4
ht_keep,135,1.57520000,54.96353297,3
ht_keep,136,1.91680000,52.09024254,5
ht_keep,137,1.88340000,54.84813997,4
ht_keep,138,1.23340000,54.73276845,3
ht_keep,139,1.05840000,56.68017167,5
ht_keep,140,1.75820000,58.70272078,4
ht_keep,141,1.51700000,58.57415835,6
ht_keep,142,1.24180000,59.19981816,4
ht_keep,143,2.47500000,55.55920447,4
ht_keep,144,2.46640000,59.50543260,5
ht_keep,145,1.26640000,59.36256127,4
ht_keep,146,1.10820000,60.09468434,5
ht_keep,147,1.03360000,58.27084553,4
ht_keep,148,1.36680000,58.13193643,5
ht_keep,149,1.11660000,61.31637926,3
ht_keep,150,1.48320000,60.98943676,5
ht_keep,151,1.50020000,60.35416188,5
ht_keep,152,2.65860000,62.78217769,5
ht_keep,153,1.95860000,63.29805472,5
ht_keep,154,1.11660000,63.12611346,6
ht_keep,155,2.29180000,60.28977983,3
ht_keep,156,1.28340000,60.87896430,5
ht_keep,157,1.07520000,62.34629995,6
ht_keep,158,1.28340000,64.44786995,5
ht_keep,159,1.62500000,62.41503933,5
ht_keep,160,1.27500000,71.07073172,5
ht_keep,161,1.77500000,63.65352562,4
ht_keep,162,0.94140000,67.00565938,4
ht_keep,163,1.73340000,66.23568789,6
ht_keep,164,1.09180000,65.06949931,7
ht_keep,165,1.76700000,67.39416381,7
ht_keep,166,1.60860000,64.65827194,7
ht_keep,167,1.42520000,65.46577390,6
ht_keep,168,1.53340000,64.87564025,8
ht_keep,169,1.29160000,66.83826283,5
ht_keep,170,1.19160000,67.91768780,4
ht_keep,171,1.65820000,71.49918774,5
ht_keep,172,1.41660000,72.64623641,6
ht_keep,173,2.56660000,69.15803061,4
ht_keep,174,1.05000000,69.64194139,2
ht_keep,175,1.33320000,68.07345661,4
ht_keep,176,1.15820000,69.36805597,3
ht_keep,177,1.15860000,68.28672662,4
ht_keep,178,2.15000000,70.89526430,7
ht_keep,179,1.10000000,68.56768651,4
ht_keep,180,1.47520000,74.61409122,6
ht_keep,181,1.85000000,76.82031074,3
ht_keep,182,1.61640000,77.29455435,5
ht_keep,183,1.20020000,73.40468523,4
ht_keep,184,0.90040000,76.29802647,5
ht_keep,185,1.87500000,73.73429642,5
ht_keep,186,1.90820000,73.14240489,10
ht_keep,187,1.37500000,71.88759055,5
ht_keep,188,1.61640000,77.64292215,4
ht_keep,189,1.39160000,75.07082939,7
ht_keep,190,1.07480000,78.09989837,5
ht_keep,191,1.65820000,75.43042322,6
ht_keep,192,1.25820000,76.46163591,5
ht_keep,193,1.02500000,76.02360929,6
ht_keep,194,1.52500000,78.20465053,6
ht_keep,195,1.46680000,74.91901668,4
ht_keep,196,1.27500000,77.31957780,3
ht_keep,197,1.34180000,77.55439659,7
ht_keep,198,1.25000000,76.63576010,7
ht_keep,199,1.06680000,80.02282150,7
ht_keep,200,2.24160000,84.45315212,5
ht_keep,201,1.25020000,81.34064256,7
ht_keep,202,1.30020000,81.22206754,6
ht_keep,203,1.71640000,79.09186353,4
ht_keep,204,1.56680000,82.62756636,5
ht_keep,205,1.49980000,82.16316343,4
ht_keep,206,1.29160000,80.50278275,5
ht_keep,207,1.27480000,78.34112249,5
ht_keep,208,1.34180000,83.92835427,3
ht_keep,209,1.00840000,84.70425657,3
ht_keep,210,1.80820000,84.99649478,8
ht_keep,211,1.28280000,86.30472030,5
ht_keep,212,1.99140000,86.27436123,5
ht_keep,213,1.38340000,85.40571145,8
ht_keep,214,1.25020000,88.84256899,7
ht_keep,215,1.05000000,89.69533241,4
ht_keep,216,1.66660000,86.97264908,4
ht_keep,217,1.27500000,84.18951420,4
ht_keep,218,2.27500000,86.01800558,5
ht_keep,219,1.26660000,83.57138656,6
ht_keep,220,1.10840000,85.94372552,5
ht_keep,221,1.15840000,92.01851217,5
ht_keep,222,1.24180000,88.89999476,5
ht_keep,223,1.59140000,87.72718574,5
ht_keep,224,1.85840000,90.30358325,11
ht_keep,225,2.33340000,92.59411708,4
ht_keep,226,1.40000000,90.12662699,6
ht_keep,227,1.29980000,90.13423760,7
ht_keep,228,1.68320000,88.67394531,4
ht_keep,229,1.27480000,88.27385176,6
ht_keep,230,1.37500000,91.89988243,7
ht_keep,231,1.26680000,95.64737978,4
ht_keep,232,1.13340000,90.61455816,6
ht_keep,233,2.50880000,92.97163073,4
ht_keep,234,1.51680000,92.13938010,8
ht_keep,235,1.53340000,93.03218403,4
ht_keep,236,1.07500000,96.09210185,6
ht_keep,237,1.69140000,91.03563246,7
ht_keep,238,1.60020000,93.39567603,6
ht_keep,239,1.12500000,96.41088234,5
ht_keep,240,2.45820000,94.87879423,6
ht_keep,241,1.14980000,97.99518267,8
ht_keep,242,1.74160000,99.29844260,6
ht_keep,243,1.16680000,97.50375814,6
ht_keep,244,1.00000000,101.07917689,2
ht_keep,245,1.05000000,96.14158510,7
ht_keep,246,1.48360000,99.71038155,3
ht_keep,247,1.37520000,97.32380758,6
ht_keep,248,0.85860000,103.16552506,5
ht_keep,249,2.43360000,96.12674119,7
ht_keep,250,1.56680000,102.22994646,3
ht_keep,251,1.50020000,103.15162198,6
ht_keep,252,1.94180000,99.06793038,5
ht_keep,253,1.18340000,105.63011912,4
ht_keep,254,1.55820000,101.18877320,6
ht_keep,255,1.23360000,100.15940357,5
ht_keep,256,1.35000000,103.69627928,6
ht_keep,257,1.39160000,103.25770211,3
ht_keep,258,1.83320000,100.22282125,6
ht_keep,259,0.99180000,99.47004808,7
ht_keep,260,1.54200000,105.88578945,4
ht_keep,261,1.53380000,105.20067751,8
ht_keep,262,1.69180000,101.91661700,4
ht_keep,263,1.50020000,107.25980300,5
ht_keep,264,2.10000000,103.31082438,8
ht_keep,265,1.56680000,109.01513459,5
ht_keep,266,1.35840000,103.60563996,7
ht_keep,267,1.52460000,104.73183760,9
ht_keep,268,2.10820000,103.89622014,9
ht_keep,269,1.51700000,103.78633808,5
ht_keep,270,0.90040000,109.57238486,5
ht_keep,271,1.73360000,107.00204810,10
ht_keep,272,1.40820000,105.27734422,9
ht_keep,273,1.10000000,108.34412040,7
ht_keep,274,1.50840000,107.42634488,7
ht_keep,275,1.44180000,109.76291754,6
ht_keep,276,1.25840000,108.38515919,5
ht_keep,277,1.25800000,109.38003782,4
ht_keep,278,1.33320000,111.83336339,5
ht_keep,279,1.59160000,108.67893437,8
ht_keep,280,1.71660000,112.74841318,10
ht_keep,281,0.89980000,116.06382003,4
ht_keep,282,1.98320000,113.67235465,6
ht_keep,283,1.67480000,110.79097193,5
ht_keep,284,1.17480000,113.07346876,5
ht_keep,285,0.99980000,108.78778866,8
ht_keep,286,2.44980000,109.64527725,10
ht_keep,287,1.40840000,113.02572287,10
ht_keep,288,1.44160000,112.92230733,10
ht_keep,289,0.99180000,111.73785165,4
ht_keep,290,1.77520000,114.22726474,10
ht_keep,291,1.28340000,116.56596485,7
ht_keep,292,1.22480000,115.65472352,7
ht_keep,293,1.50820000,116.08504153,8
ht_keep,294,1.00000000,118.48556358,4
ht_keep,295,1.15000000,113.28248611,7
ht_keep,296,2.04980000,115.55267946,6
ht_keep,297,1.25820000,114.03801781,10
ht_keep,298,1.47500000,117.04911364,9
ht_keep,299,2.14160000,116.71088199,7
ht_keep,300,1.31640000,119.26162116,6
ht_keep,301,1.62500000,115.63085453,8
ht_keep,302,1.27500000,120.25767217,5
ht_keep,303,1.39140000,117.75034433,9
ht_keep,304,1.56680000,115.84861382,11
ht_keep,305,1.48360000,123.12031229,6
ht_keep,306,1.89180000,116.71233037,14
ht_keep,307,1.39160000,119.19868001,5
ht_keep,308,1.32500000,122.61839791,6
ht_keep,309,1.50820000,122.36892163,6
ht_keep,310,0.94160000,124.59914499,6
ht_keep,311,0.97500000,120.35993268,9
ht_keep,312,1.51660000,126.24206057,8
ht_keep,313,1.67500000,122.76043850,9
ht_keep,314,1.39160000,122.26002543,9
ht_keep,315,1.44980000,128.26613808,9
ht_keep,316,1.30820000,121.55377736,13
ht_keep,317,1.48300000,128.01843621,3
ht_keep,318,1.80820000,120.46310710,12
ht_keep,319,1.95840000,128.22641304,7
ht_keep,320,1.13320000,122.98456531,6
ht_keep,321,1.34180000,131.66725151,5
ht_keep,322,1.00860000,131.39252141,8
ht_keep,323,1.51660000,125.06973116,7
ht_keep,324,1.37460000,126.26166611,6
ht_keep,325,2.50820000,127.03686316,10
ht_keep,326,1.41640000,130.30682794,9
ht_keep,327,0.87480000,127.94574376,8
ht_keep,328,1.46680000,127.63948022,5
ht_keep,329,1.40840000,127.86395157,9
ht_keep,330,1.60020000,129.80049016,7
ht_keep,331,1.65820000,133.44161689,9
ht_keep,332,1.83320000,130.01470405,10
ht_keep,333,1.87500000,133.57940221,7
ht_keep,334,1.12500000,132.84237881,9
ht_keep,335,1.18340000,129.27378749,7
ht_keep,336,1.40000000,131.26801317,11
ht_keep,337,1.36680000,130.93935828,6
ht_keep,338,1.12540000,129.48590234,7
ht_keep,339,2.24160000,131.17323609,9
ht_keep,340,1.43320000,137.56651284,5
ht_keep,341,1.10020000,133.02979321,10
ht_keep,342,1.75000000,134.25326680,7
ht_keep,343,1.52500000,134.67544797,5
ht_keep,344,1.13300000,137.02942523,7
ht_keep,345,1.30000000,136.88271837,11
ht_keep,346,1.50840000,134.57002352,8
ht_keep,347,1.88320000,135.23963088,7
ht_keep,348,1.93320000,134.04544365,17
ht_keep,349,2.28340000,133.06082450,8
ht_keep,350,1.29160000,140.20042409,9
ht_keep,351,1.72520000,138.54321429,8
ht_keep,352,2.26680000,140.40454231,7
ht_keep,353,1.40840000,138.19719714,9
ht_keep,354,1.35840000,138.47148454,7
ht_keep,355,1.16680000,140.35412640,5
ht_keep,356,1.45000000,141.66326403,13
ht_keep,357,1.37500000,138.79312806,5
ht_keep,358,2.30000000,138.29584015,10
ht_keep,359,2.10840000,137.29472833,7
ht_keep,360,1.55840000,144.74250278,8
ht_keep,361,1.30840000,141.98291440,6
ht_keep,362,1.25000000,142.44584851,9
ht_keep,363,1.43280000,144.95604453,5
ht_keep,364,1.31660000,146.21410563,3
ht_keep,365,1.34140000,142.74062541,7
ht_keep,366,1.44140000,144.22765728,9
ht_keep,367,1.53340000,141.25751111,9
ht_keep,368,1.15820000,142.55868108,6
ht_keep,369,1.34160000,145.81667027,9
ht_keep,370,0.88320000,149.72542654,4
ht_keep,371,1.23300000,148.65211712,6
ht_keep,372,1.16660000,148.62619131,10
ht_keep,373,1.39160000,144.40033439,10
ht_keep,374,1.53300000,147.88859030,9
ht_keep,375,1.71660000,145.63144693,8
ht_keep,376,1.35820000,151.92398722,5
ht_keep,377,1.24980000,153.24435951,8
ht_keep,378,1.50820000,150.38602245,4
ht_keep,379,1.39180000,147.66526055,5
ht_keep,380,1.24180000,148.69234283,7
ht_keep,381,1.29160000,151.29699931,9
ht_keep,382,1.28340000,151.31834603,12
ht_keep,383,1.46680000,152.63079936,12
ht_keep,384,1.47520000,151.09035841,11
ht_keep,385,1.88340000,147.75224717,7
ht_keep,386,1.01680000,151.43801827,8
ht_keep,387,1.74160000,149.54079535,6
ht_keep,388,1.51680000,148.31803634,16
ht_keep,389,1.25840000,149.20401417,8
ht_keep,390,0.99160000,159.24140453,5
ht_keep,391,1.39160000,154.19814023,10
ht_keep,392,1.25860000,154.75166679,9
ht_keep,393,1.20860000,154.74973837,8
ht_keep,394,2.22500000,154.97495767,7
ht_keep,395,1.80860000,150.98688312,9
ht_keep,396,1.43360000,156.70980164,9
ht_keep,397,1.65000000,156.42641678,15
