Map,Query Number,Time,Distance,Path Length
ht_keep_n,0,1.54180000,5.83095189,2
ht_keep_n,1,0.32520000,6.08276253,2
ht_keep_n,2,0.39960000,4.47213595,2
ht_keep_n,3,0.58340000,7.00000000,2
ht_keep_n,4,0.49160000,6.40312424,2
ht_keep_n,5,0.39160000,4.12310563,2
ht_keep_n,6,0.44160000,6.00000000,2
ht_keep_n,7,0.69140000,7.07106781,2
ht_keep_n,8,0.35820000,6.08276253,2
ht_keep_n,9,0.35820000,5.00000000,2
ht_keep_n,10,0.33320000,10.19803903,2
ht_keep_n,11,0.35000000,9.84885780,2
ht_keep_n,12,0.52520000,11.18033989,2
ht_keep_n,13,0.53360000,9.89949494,2
ht_keep_n,14,0.38340000,10.77032961,2
ht_keep_n,15,0.49140000,7.61577311,2
ht_keep_n,16,0.40820000,8.54400375,2
ht_keep_n,17,0.45820000,11.40175425,2
ht_keep_n,18,2.05820000,10.21954446,3
ht_keep_n,19,0.55840000,9.05538514,2
ht_keep_n,20,0.37520000,11.18033989,2
ht_keep_n,21,0.51660000,13.34166406,2
ht_keep_n,22,0.44980000,12.04159458,2
ht_keep_n,23,0.34140000,13.15294644,2
ht_keep_n,24,0.40840000,14.56021978,2
ht_keep_n,25,3.12520000,11.23606798,4
ht_keep_n,26,0.45840000,12.08304597,2
ht_keep_n,27,1.70820000,12.08790906,3
ht_keep_n,28,0.69160000,11.40175425,2
ht_keep_n,29,0.48340000,13.00000000,2
ht_keep_n,30,0.38340000,16.27882060,2
ht_keep_n,31,0.40000000,19.10497317,2
ht_keep_n,32,1.24180000,15.72947366,5
ht_keep_n,33,0.44160000,17.02938637,2
ht_keep_n,34,0.45820000,17.46424920,2
ht_keep_n,35,0.70000000,18.35755975,2
ht_keep_n,36,0.47480000,18.43908891,2
ht_keep_n,37,0.54980000,18.43908891,2
ht_keep_n,38,0.32500000,16.40121947,2
ht_keep_n,39,0.45860000,15.81138830,2
ht_keep_n,40,0.69980000,22.67156810,2
ht_keep_n,41,0.55820000,21.40093456,2
ht_keep_n,42,1.15800000,19.26942008,3
ht_keep_n,43,0.87500000,21.22353501,3
ht_keep_n,44,0.52500000,20.22374842,2
ht_keep_n,45,1.25820000,19.82237931,4
ht_keep_n,46,0.47480000,22.20360331,2
ht_keep_n,47,0.50000000,18.68154169,2
ht_keep_n,48,1.31680000,21.22374842,3
ht_keep_n,49,0.45820000,21.02379604,2
ht_keep_n,50,1.11640000,23.88854382,4
ht_keep_n,51,0.35020000,25.00000000,2
ht_keep_n,52,0.55860000,23.60084744,2
ht_keep_n,53,2.53320000,24.76782894,6
ht_keep_n,54,0.57480000,23.76972865,2
ht_keep_n,55,1.29140000,25.87250742,4
ht_keep_n,56,0.44980000,27.01851217,2
ht_keep_n,57,0.68320000,24.33105012,2
ht_keep_n,58,1.20840000,24.54065923,4
ht_keep_n,59,0.43340000,23.40939982,2
ht_keep_n,60,0.70020000,27.29468813,2
ht_keep_n,61,0.49140000,29.15475947,2
ht_keep_n,62,1.32520000,26.45857293,4
ht_keep_n,63,1.20020000,28.42534081,3
ht_keep_n,64,1.60000000,25.72330601,3
ht_keep_n,65,0.44160000,30.06659276,2
ht_keep_n,66,0.49160000,29.06888371,2
ht_keep_n,67,1.45000000,26.56993007,3
ht_keep_n,68,0.41660000,27.20294102,2
ht_keep_n,69,1.20000000,29.29111016,3
ht_keep_n,70,0.45820000,32.75667871,2
ht_keep_n,71,2.29160000,35.07034541,4
ht_keep_n,72,1.29980000,31.48138042,3
ht_keep_n,73,1.40820000,32.51610230,4
ht_keep_n,74,1.52540000,30.30808227,5
ht_keep_n,75,1.08340000,29.79176599,3
ht_keep_n,76,0.96680000,33.08318916,3
ht_keep_n,77,1.41680000,33.62123279,5
ht_keep_n,78,0.85840000,32.52364204,3
ht_keep_n,79,0.49180000,32.00000000,2
ht_keep_n,80,1.05840000,35.74813376,3
ht_keep_n,81,1.19960000,35.19482701,3
ht_keep_n,82,0.61640000,33.95585369,2
ht_keep_n,83,2.04160000,36.06865673,8
ht_keep_n,84,1.52500000,38.65128080,3
ht_keep_n,85,1.46680000,34.99831913,3
ht_keep_n,86,1.89200000,35.24209678,4
ht_keep_n,87,1.55860000,37.07283524,4
ht_keep_n,88,0.52500000,36.05551275,2
ht_keep_n,89,0.72500000,35.11409973,2
ht_keep_n,90,0.58360000,38.47076812,2
ht_keep_n,91,1.61680000,39.72017845,6
ht_keep_n,92,1.47540000,40.13219476,4
ht_keep_n,93,1.37520000,39.81693689,4
ht_keep_n,94,2.35000000,39.70726481,4
ht_keep_n,95,0.94180000,39.52775888,5
ht_keep_n,96,1.81660000,40.78901334,5
ht_keep_n,97,2.30800000,41.76955262,3
ht_keep_n,98,1.33340000,39.30596808,3
ht_keep_n,99,1.07480000,42.09502311,3
ht_keep_n,100,1.70840000,43.44400581,5
ht_keep_n,101,1.29160000,44.21523753,4
ht_keep_n,102,1.45840000,44.60555257,5
ht_keep_n,103,1.21680000,41.64939129,3
ht_keep_n,104,0.75020000,42.80186912,2
ht_keep_n,105,1.16660000,42.86442199,3
ht_keep_n,106,1.49160000,43.06292329,3
ht_keep_n,107,1.55000000,41.59352412,7
ht_keep_n,108,2.14980000,43.63891282,6
ht_keep_n,109,1.25840000,42.21999634,3
ht_keep_n,110,1.17500000,46.21513189,4
ht_keep_n,111,1.98340000,44.90470822,6
ht_keep_n,112,2.17520000,48.87934258,3
ht_keep_n,113,1.50800000,47.52856658,6
ht_keep_n,114,2.28320000,47.23367048,5
ht_keep_n,115,2.84980000,50.09378336,7
ht_keep_n,116,1.12520000,47.51416872,5
ht_keep_n,117,1.29160000,47.96715106,3
ht_keep_n,118,1.52500000,44.17155575,4
ht_keep_n,119,2.03340000,46.10883319,4
ht_keep_n,120,1.00860000,49.93943331,3
ht_keep_n,121,2.42500000,52.04329142,8
ht_keep_n,122,1.37480000,54.13274595,3
ht_keep_n,123,0.48340000,53.03772242,2
ht_keep_n,124,1.25820000,51.12481972,4
ht_keep_n,125,1.45820000,49.72791481,5
ht_keep_n,126,1.49980000,51.06304499,3
ht_keep_n,127,0.99180000,50.43467838,3
ht_keep_n,128,0.80020000,49.92995093,2
ht_keep_n,129,1.43340000,54.66780903,7
ht_keep_n,130,1.36660000,52.86412571,4
ht_keep_n,131,1.83340000,54.79029113,7
ht_keep_n,132,1.22520000,52.67028904,3
ht_keep_n,133,1.90860000,57.04996879,3
ht_keep_n,134,2.03320000,54.66190379,5
ht_keep_n,135,0.56660000,57.21887800,2
ht_keep_n,136,1.64980000,55.33100644,5
ht_keep_n,137,1.32480000,53.99769889,4
ht_keep_n,138,1.77520000,56.01999201,6
ht_keep_n,139,1.98340000,54.78505426,3
ht_keep_n,140,1.75840000,58.67862538,5
ht_keep_n,141,1.21660000,61.77235127,5
ht_keep_n,142,1.50000000,60.07799639,3
ht_keep_n,143,1.33320000,59.71897013,5
ht_keep_n,144,1.19160000,59.37576687,6
ht_keep_n,145,2.19180000,57.29561029,10
ht_keep_n,146,1.03320000,56.87780550,6
ht_keep_n,147,1.49980000,56.50672012,9
ht_keep_n,148,0.98340000,59.47528438,3
ht_keep_n,149,1.08360000,59.56723694,8
ht_keep_n,150,1.40860000,59.17276035,6
ht_keep_n,151,1.26620000,61.29552266,4
ht_keep_n,152,1.09140000,59.63762879,5
ht_keep_n,153,0.70820000,66.12110102,2
ht_keep_n,154,1.76660000,64.66649300,4
ht_keep_n,155,1.67480000,62.64727221,6
ht_keep_n,156,1.01660000,65.51337466,6
ht_keep_n,157,1.83300000,62.74939138,8
ht_keep_n,158,1.59980000,62.29112596,8
ht_keep_n,159,0.99160000,61.73325311,4
ht_keep_n,160,1.40840000,63.67858990,6
ht_keep_n,161,1.38340000,65.31931870,4
ht_keep_n,162,1.12500000,67.04966185,4
ht_keep_n,163,0.96660000,65.12070822,7
ht_keep_n,164,1.19160000,66.07918371,4
ht_keep_n,165,1.42480000,64.28813038,5
ht_keep_n,166,0.71660000,67.11929678,2
ht_keep_n,167,1.35820000,67.88738864,5
ht_keep_n,168,1.34160000,65.38930271,5
ht_keep_n,169,0.92480000,65.12402897,5
ht_keep_n,170,1.52520000,70.31585524,7
ht_keep_n,171,1.15020000,70.93026184,4
ht_keep_n,172,1.29160000,71.17612688,3
ht_keep_n,173,1.39980000,69.17041265,6
ht_keep_n,174,1.31660000,71.16143230,3
ht_keep_n,175,1.08340000,72.22776459,6
ht_keep_n,176,1.30860000,68.19623001,5
ht_keep_n,177,1.64180000,71.47788573,5
ht_keep_n,178,1.16680000,70.67378141,4
ht_keep_n,179,1.40840000,71.63920417,6
ht_keep_n,180,0.93340000,73.04801351,6
ht_keep_n,181,1.33340000,73.17119420,6
ht_keep_n,182,1.82500000,74.83461784,5
ht_keep_n,183,1.11680000,68.82009559,6
ht_keep_n,184,1.49160000,75.74520680,5
ht_keep_n,185,1.23340000,73.33954146,8
ht_keep_n,186,1.53340000,71.77808479,5
ht_keep_n,187,1.45820000,72.19741994,3
ht_keep_n,188,1.19980000,73.01194343,3
ht_keep_n,189,0.88340000,73.43704787,2
ht_keep_n,190,1.30000000,78.67013054,4
ht_keep_n,191,0.89180000,78.46120873,3
ht_keep_n,192,1.24160000,77.65390869,12
ht_keep_n,193,1.28320000,75.88510257,6
ht_keep_n,194,1.11680000,75.43128241,4
ht_keep_n,195,1.55840000,78.54117651,6
ht_keep_n,196,1.17480000,76.57688105,3
ht_keep_n,197,2.05820000,78.78134742,4
ht_keep_n,198,1.64180000,75.02312679,8
ht_keep_n,199,1.21660000,78.42310770,5
ht_keep_n,200,1.03320000,79.28313788,6
ht_keep_n,201,1.81640000,78.67434671,3
ht_keep_n,202,1.42480000,81.23289200,7
ht_keep_n,203,1.46660000,81.50500650,4
ht_keep_n,204,1.47480000,82.73747895,7
ht_keep_n,205,1.39160000,78.80131400,4
ht_keep_n,206,1.50000000,85.40939982,3
ht_keep_n,207,1.19180000,81.46710470,7
ht_keep_n,208,1.45040000,81.62190562,7
ht_keep_n,209,1.26680000,84.21484940,5
ht_keep_n,210,1.06680000,82.40291947,5
ht_keep_n,211,1.05820000,84.41495114,4
ht_keep_n,212,1.69180000,84.89457899,6
ht_keep_n,213,1.09980000,85.71104219,6
ht_keep_n,214,1.27460000,86.08306570,7
ht_keep_n,215,1.27460000,87.57283039,3
ht_keep_n,216,0.99980000,86.18312481,7
