Map,Query Number,Time,Distance,Path Length
ht_mansion2,0,1.22500000,6.08276253,2
ht_mansion2,1,0.47520000,5.65685425,2
ht_mansion2,2,0.45000000,5.83095189,2
ht_mansion2,3,0.38340000,4.12310563,2
ht_mansion2,4,0.41680000,7.00000000,2
ht_mansion2,5,0.49160000,6.40312424,2
ht_mansion2,6,0.35800000,5.00000000,2
ht_mansion2,7,0.70840000,4.47213595,2
ht_mansion2,8,2.93360000,6.82842712,4
ht_mansion2,9,0.36700000,6.32455532,2
ht_mansion2,10,0.45860000,10.04987562,2
ht_mansion2,11,1.90840000,11.00000000,3
ht_mansion2,12,0.53340000,8.54400375,2
ht_mansion2,13,2.02520000,9.12310563,3
ht_mansion2,14,0.56700000,8.06225775,2
ht_mansion2,15,0.60820000,11.00000000,2
ht_mansion2,16,0.40820000,8.06225775,2
ht_mansion2,17,0.37500000,8.06225775,2
ht_mansion2,18,0.47520000,8.48528137,2
ht_mansion2,19,0.55860000,8.24621125,2
ht_mansion2,20,0.33340000,12.00000000,2
ht_mansion2,21,0.79180000,13.00000000,2
ht_mansion2,22,1.20840000,13.01957843,4
ht_mansion2,23,2.15800000,14.83062143,3
ht_mansion2,24,0.34980000,13.00000000,2
ht_mansion2,25,0.38340000,12.80624847,2
ht_mansion2,26,0.73340000,15.00000000,2
ht_mansion2,27,0.45860000,13.00000000,2
ht_mansion2,28,1.10820000,13.57973862,3
ht_mansion2,29,1.66660000,12.18033989,3
ht_mansion2,30,0.53340000,18.24828759,2
ht_mansion2,31,0.57480000,15.81138830,2
ht_mansion2,32,2.02480000,14.48885194,5
ht_mansion2,33,0.45820000,16.27882060,2
ht_mansion2,34,0.47500000,15.81138830,2
ht_mansion2,35,2.59180000,16.18454318,4
ht_mansion2,36,0.57540000,17.00000000,2
ht_mansion2,37,0.42520000,18.02775638,2
ht_mansion2,38,2.52500000,17.93696414,4
ht_mansion2,39,1.96660000,15.68079495,3
ht_mansion2,40,0.60820000,23.34523506,2
ht_mansion2,41,0.50020000,21.21320344,2
ht_mansion2,42,1.77480000,21.25451393,3
ht_mansion2,43,1.86660000,19.32998551,4
ht_mansion2,44,0.47500000,19.72308292,2
ht_mansion2,45,0.71640000,20.00000000,2
ht_mansion2,46,0.65820000,20.22374842,2
ht_mansion2,47,1.26680000,21.81138830,3
ht_mansion2,48,2.74180000,21.66042481,6
ht_mansion2,49,0.82520000,21.02379604,2
ht_mansion2,50,0.49160000,25.01999201,2
