Map,Query Number,Time,Distance,Path Length
ht_mansion2b,0,1.39180000,6.32455532,2
ht_mansion2b,1,0.33340000,7.07106781,2
ht_mansion2b,2,0.50820000,7.07106781,2
ht_mansion2b,3,0.54140000,7.07106781,2
ht_mansion2b,4,0.35820000,7.28010989,2
ht_mansion2b,5,0.53340000,5.83095189,2
ht_mansion2b,6,0.40000000,5.00000000,2
ht_mansion2b,7,0.38300000,7.21110255,2
ht_mansion2b,8,0.44980000,6.32455532,2
ht_mansion2b,9,0.33340000,5.00000000,2
ht_mansion2b,10,0.41660000,9.43398113,2
ht_mansion2b,11,0.45840000,9.21954446,2
ht_mansion2b,12,0.50000000,8.06225775,2
ht_mansion2b,13,0.38320000,7.81024968,2
ht_mansion2b,14,0.51660000,10.29563014,2
ht_mansion2b,15,0.33340000,10.00000000,2
ht_mansion2b,16,0.28340000,8.60232527,2
ht_mansion2b,17,0.44160000,10.19803903,2
ht_mansion2b,18,0.55820000,11.40175425,2
ht_mansion2b,19,0.49160000,8.06225775,2
ht_mansion2b,20,0.35820000,12.04159458,2
ht_mansion2b,21,2.06680000,15.13332556,3
ht_mansion2b,22,0.35040000,14.14213562,2
ht_mansion2b,23,0.64200000,11.40175425,2
ht_mansion2b,24,0.70020000,13.34166406,2
ht_mansion2b,25,0.39140000,14.21267040,2
ht_mansion2b,26,0.41700000,11.18033989,2
ht_mansion2b,27,1.86700000,11.24264069,4
ht_mansion2b,28,0.43320000,14.86606875,2
ht_mansion2b,29,2.10840000,11.29145312,3
ht_mansion2b,30,0.53340000,18.35755975,2
ht_mansion2b,31,0.39180000,14.86606875,2
ht_mansion2b,32,1.50820000,15.51674366,3
ht_mansion2b,33,0.65000000,18.38477631,2
ht_mansion2b,34,0.43320000,17.88854382,2
ht_mansion2b,35,0.50000000,18.24828759,2
ht_mansion2b,36,0.50820000,17.00000000,2
ht_mansion2b,37,0.56660000,15.65247584,2
ht_mansion2b,38,0.55000000,19.10497317,2
ht_mansion2b,39,2.74160000,16.01679773,5
ht_mansion2b,40,2.73340000,22.35572756,3
ht_mansion2b,41,0.47500000,22.36067977,2
ht_mansion2b,42,2.04140000,20.01891028,5
ht_mansion2b,43,0.40840000,19.41648784,2
ht_mansion2b,44,2.07500000,20.10385233,3
ht_mansion2b,45,0.51680000,22.09072203,2
ht_mansion2b,46,0.66680000,19.41648784,2
ht_mansion2b,47,1.39980000,19.82993308,4
ht_mansion2b,48,2.20020000,21.24828759,4
ht_mansion2b,49,2.41680000,22.30261402,3
ht_mansion2b,50,0.58340000,23.43074903,2
ht_mansion2b,51,2.03360000,23.38681307,5
ht_mansion2b,52,0.38320000,25.01999201,2
ht_mansion2b,53,0.41660000,22.84731932,2
ht_mansion2b,54,1.85840000,22.91338396,5
ht_mansion2b,55,0.44980000,24.35159132,2
ht_mansion2b,56,1.76640000,24.91754937,4
ht_mansion2b,57,2.24160000,23.59609413,4
ht_mansion2b,58,0.58320000,25.61249695,2
ht_mansion2b,59,2.09180000,22.67637449,4
ht_mansion2b,60,1.81640000,27.68751545,5
ht_mansion2b,61,1.86680000,29.18950253,3
ht_mansion2b,62,1.25840000,26.30004988,4
ht_mansion2b,63,2.63320000,29.07106781,3
ht_mansion2b,64,0.65820000,30.00000000,2
ht_mansion2b,65,1.41660000,26.92050105,3
ht_mansion2b,66,0.93300000,28.63564213,2
