Map,Query Number,Time,Distance,Path Length
ht_mansion_n,0,0.90020000,6.32455532,2
ht_mansion_n,1,0.40840000,5.09901951,2
ht_mansion_n,2,0.53320000,5.09901951,2
ht_mansion_n,3,0.42480000,5.09901951,2
ht_mansion_n,4,0.35000000,4.12310563,2
ht_mansion_n,5,2.19160000,7.38516481,3
ht_mansion_n,6,0.40860000,7.21110255,2
ht_mansion_n,7,0.38340000,5.65685425,2
ht_mansion_n,8,0.30840000,4.00000000,2
ht_mansion_n,9,0.45040000,4.47213595,2
ht_mansion_n,10,0.55840000,9.43398113,2
ht_mansion_n,11,0.46680000,9.21954446,2
ht_mansion_n,12,0.34180000,9.43398113,2
ht_mansion_n,13,0.39180000,10.77032961,2
ht_mansion_n,14,0.48340000,10.44030651,2
ht_mansion_n,15,0.35020000,11.18033989,2
ht_mansion_n,16,0.37500000,11.00000000,2
ht_mansion_n,17,0.44160000,7.81024968,2
ht_mansion_n,18,0.47520000,8.24621125,2
ht_mansion_n,19,0.36680000,8.54400375,2
ht_mansion_n,20,0.59160000,11.18033989,2
ht_mansion_n,21,0.42520000,12.72792206,2
ht_mansion_n,22,0.40820000,13.89244399,2
ht_mansion_n,23,0.56640000,14.14213562,2
ht_mansion_n,24,0.55820000,13.03840481,2
ht_mansion_n,25,1.92500000,14.71834720,5
ht_mansion_n,26,3.17500000,14.18454318,5
ht_mansion_n,27,1.81700000,13.04205444,4
ht_mansion_n,28,1.38340000,12.48588677,3
ht_mansion_n,29,0.56620000,11.66190379,2
ht_mansion_n,30,1.20800000,18.06225775,3
ht_mansion_n,31,0.52500000,16.55294536,2
ht_mansion_n,32,1.40000000,16.12645295,3
ht_mansion_n,33,0.49160000,16.64331698,2
ht_mansion_n,34,0.36680000,15.81138830,2
ht_mansion_n,35,0.57500000,17.69180601,2
ht_mansion_n,36,1.56680000,17.14624819,3
ht_mansion_n,37,0.34180000,17.88854382,2
ht_mansion_n,38,2.08340000,18.18454317,4
ht_mansion_n,39,0.59160000,19.10497317,2
ht_mansion_n,40,0.54960000,20.51828453,2
ht_mansion_n,41,0.44960000,22.02271555,2
ht_mansion_n,42,0.55000000,21.37755833,2
ht_mansion_n,43,1.69140000,20.91475955,4
ht_mansion_n,44,1.70000000,20.59381839,4
