Map,Query Number,Time,Distance,Path Length
ht_playershouse_n,0,2.02520000,5.06449510,4
ht_playershouse_n,1,0.33360000,5.00000000,2
ht_playershouse_n,2,0.31640000,6.08276253,2
ht_playershouse_n,3,0.30020000,6.00000000,2
ht_playershouse_n,4,0.35820000,5.83095189,2
ht_playershouse_n,5,0.49160000,7.07106781,2
ht_playershouse_n,6,0.31640000,6.70820393,2
ht_playershouse_n,7,0.26680000,5.38516481,2
ht_playershouse_n,8,0.34180000,4.12310563,2
ht_playershouse_n,9,0.38320000,4.12310563,2
ht_playershouse_n,10,0.44980000,8.54400375,2
ht_playershouse_n,11,0.44160000,8.54400375,2
ht_playershouse_n,12,0.35800000,11.18033989,2
ht_playershouse_n,13,0.35820000,8.06225775,2
ht_playershouse_n,14,0.43340000,11.00000000,2
ht_playershouse_n,15,0.44160000,10.77032961,2
ht_playershouse_n,16,0.33360000,7.61577311,2
ht_playershouse_n,17,0.38320000,10.29563014,2
ht_playershouse_n,18,0.40840000,8.24621125,2
ht_playershouse_n,19,0.39180000,7.81024968,2
ht_playershouse_n,20,0.48340000,12.04159458,2
ht_playershouse_n,21,0.35840000,14.00000000,2
ht_playershouse_n,22,1.48360000,13.28142899,3
ht_playershouse_n,23,1.10020000,14.26493029,5
ht_playershouse_n,24,0.35020000,12.16552506,2
ht_playershouse_n,25,0.32500000,12.80624847,2
ht_playershouse_n,26,0.31660000,13.03840481,2
ht_playershouse_n,27,0.32480000,12.04159458,2
ht_playershouse_n,28,0.42480000,12.08304597,2
ht_playershouse_n,29,0.40820000,14.76482306,2
ht_playershouse_n,30,0.33340000,15.62049935,2
ht_playershouse_n,31,0.32520000,17.49285568,2
ht_playershouse_n,32,1.46680000,15.27336030,3
ht_playershouse_n,33,0.45820000,17.20465053,2
ht_playershouse_n,34,0.51640000,16.03121954,2
ht_playershouse_n,35,0.53320000,18.43908891,2
ht_playershouse_n,36,0.96660000,16.16552506,3
ht_playershouse_n,37,0.41680000,16.76305461,2
ht_playershouse_n,38,0.38320000,17.80449381,2
ht_playershouse_n,39,0.30840000,17.46424920,2
ht_playershouse_n,40,0.53340000,20.39607805,2
ht_playershouse_n,41,0.87540000,22.09721835,3
ht_playershouse_n,42,0.90820000,20.97164214,3
ht_playershouse_n,43,1.13340000,19.60276593,4
ht_playershouse_n,44,0.44180000,19.23538406,2
ht_playershouse_n,45,0.46660000,22.67156810,2
