Map,Query Number,Time,Distance,Path Length
ht_store,0,0.72480000,7.21110255,2
ht_store,1,0.31680000,5.00000000,2
ht_store,2,0.23340000,4.12310563,2
ht_store,3,0.30020000,5.38516481,2
ht_store,4,0.25800000,6.32455532,2
ht_store,5,0.28340000,4.24264069,2
ht_store,6,0.24200000,3.16227766,2
ht_store,7,0.37520000,7.07106781,2
ht_store,8,0.22500000,7.21110255,2
ht_store,9,0.34180000,6.08276253,2
ht_store,10,0.26660000,9.21954446,2
ht_store,11,0.28340000,8.06225775,2
ht_store,12,0.22480000,8.06225775,2
ht_store,13,0.24160000,9.21954446,2
ht_store,14,0.28300000,8.06225775,2
ht_store,15,0.28340000,11.04536102,2
ht_store,16,0.33340000,10.63014581,2
ht_store,17,0.31640000,8.06225775,2
ht_store,18,0.29140000,8.06225775,2
ht_store,19,0.99200000,9.34166020,3
ht_store,20,0.97520000,12.09901951,4
ht_store,21,0.26660000,12.64911064,2
ht_store,22,0.94160000,14.41421356,4
ht_store,23,0.30020000,13.34166406,2
ht_store,24,0.81660000,11.32455532,3
ht_store,25,0.25820000,13.03840481,2
ht_store,26,0.70840000,12.60838700,3
ht_store,27,0.58360000,12.38182212,3
ht_store,28,0.33380000,12.64911064,2
ht_store,29,0.30860000,15.00000000,2
ht_store,30,0.61700000,17.91926251,3
ht_store,31,0.62520000,14.65685425,4
ht_store,32,0.35000000,19.02629759,2
ht_store,33,0.23340000,17.00000000,2
ht_store,34,0.27500000,16.12451550,2
ht_store,35,0.25820000,15.81138830,2
ht_store,36,0.40800000,16.03121954,2
ht_store,37,0.76660000,18.70820393,4
ht_store,38,0.35020000,18.43908891,2
ht_store,39,0.53340000,17.43398113,3
ht_store,40,0.43320000,22.02271555,2
ht_store,41,0.80820000,21.50152232,3
ht_store,42,0.75820000,19.76092574,3
ht_store,43,0.65820000,21.25696034,3
ht_store,44,0.91640000,20.92485885,3
ht_store,45,0.30800000,21.18962010,2
ht_store,46,0.48320000,21.19803903,4
ht_store,47,0.33300000,21.37755833,2
ht_store,48,0.70000000,19.84885780,3
ht_store,49,0.34180000,18.68154169,2
ht_store,50,0.48300000,26.17903662,4
ht_store,51,0.30820000,22.84731932,2
ht_store,52,0.53340000,22.73527725,3
ht_store,53,0.38340000,25.49509757,2
ht_store,54,0.67500000,25.00322476,3
ht_store,55,0.35000000,23.08679276,2
ht_store,56,0.52480000,25.69033276,3
ht_store,57,0.65020000,23.61860693,3
ht_store,58,0.77500000,25.62123278,8
ht_store,59,0.69160000,24.61345120,3
ht_store,60,0.85000000,25.91521989,3
ht_store,61,0.42480000,28.28427125,2
ht_store,62,0.57480000,26.22043549,4
ht_store,63,0.86660000,28.92793124,3
ht_store,64,0.46680000,27.00089104,4
ht_store,65,0.45860000,26.47640459,2
ht_store,66,0.47500000,26.22043549,4
ht_store,67,0.39160000,29.15475947,2
ht_store,68,0.51660000,27.31300057,2
ht_store,69,0.62500000,27.30907633,3
