Map,Query Number,Time,Distance,Path Length
lt_0_lowtown_a2,0,1.35860000,6.70820393,2
lt_0_lowtown_a2,1,0.54180000,5.38516481,2
lt_0_lowtown_a2,2,0.51660000,5.83095189,2
lt_0_lowtown_a2,3,0.57500000,6.32455532,2
lt_0_lowtown_a2,4,0.55820000,5.09901951,2
lt_0_lowtown_a2,5,0.32520000,6.32455532,2
lt_0_lowtown_a2,6,0.51660000,7.07106781,2
lt_0_lowtown_a2,7,0.70000000,7.21110255,2
lt_0_lowtown_a2,8,0.52520000,6.32455532,2
lt_0_lowtown_a2,9,0.43340000,6.40312424,2
lt_0_lowtown_a2,10,0.45020000,8.24621125,2
lt_0_lowtown_a2,11,0.61660000,10.81665383,2
lt_0_lowtown_a2,12,0.45840000,11.40175425,2
lt_0_lowtown_a2,13,0.41680000,8.06225775,2
lt_0_lowtown_a2,14,0.75000000,10.00000000,2
lt_0_lowtown_a2,15,0.44180000,8.06225775,2
lt_0_lowtown_a2,16,0.40000000,10.63014581,2
lt_0_lowtown_a2,17,0.47460000,10.19803903,2
lt_0_lowtown_a2,18,0.61640000,8.06225775,2
lt_0_lowtown_a2,19,0.47480000,11.18033989,2
lt_0_lowtown_a2,20,0.58340000,15.00000000,2
lt_0_lowtown_a2,21,0.42500000,14.31782106,2
lt_0_lowtown_a2,22,5.46660000,13.09901951,3
lt_0_lowtown_a2,23,0.72540000,11.66190379,2
lt_0_lowtown_a2,24,0.65000000,13.34166406,2
lt_0_lowtown_a2,25,0.40840000,13.34166406,2
lt_0_lowtown_a2,26,0.33380000,11.70469991,2
lt_0_lowtown_a2,27,0.59180000,13.89244399,2
lt_0_lowtown_a2,28,0.48320000,14.31782106,2
lt_0_lowtown_a2,29,0.80020000,12.64911064,2
lt_0_lowtown_a2,30,0.67520000,18.38477631,2
lt_0_lowtown_a2,31,1.36700000,16.00000000,2
lt_0_lowtown_a2,32,0.49180000,17.46424920,2
lt_0_lowtown_a2,33,0.66660000,15.52417470,2
lt_0_lowtown_a2,34,2.73340000,17.10213672,3
lt_0_lowtown_a2,35,0.67500000,18.02775638,2
lt_0_lowtown_a2,36,0.55860000,16.40121947,2
lt_0_lowtown_a2,37,0.35860000,18.00000000,2
lt_0_lowtown_a2,38,0.31720000,17.20465053,2
lt_0_lowtown_a2,39,0.37500000,15.26433752,2
lt_0_lowtown_a2,40,2.75840000,20.42661518,4
lt_0_lowtown_a2,41,0.50020000,22.20360331,2
lt_0_lowtown_a2,42,3.70820000,22.93171220,3
lt_0_lowtown_a2,43,2.94160000,19.48683298,4
lt_0_lowtown_a2,44,0.52500000,20.61552813,2
lt_0_lowtown_a2,45,1.09180000,22.67156810,2
