Map,Query Number,Time,Distance,Path Length
lt_0_lowtown_a2_n,0,1.97500000,4.24264069,2
lt_0_lowtown_a2_n,1,0.45000000,7.00000000,2
lt_0_lowtown_a2_n,2,0.56660000,5.38516481,2
lt_0_lowtown_a2_n,3,0.59180000,4.00000000,2
lt_0_lowtown_a2_n,4,0.32520000,7.07106781,2
lt_0_lowtown_a2_n,5,0.33360000,5.09901951,2
lt_0_lowtown_a2_n,6,0.46700000,7.21110255,2
lt_0_lowtown_a2_n,7,0.51660000,5.00000000,2
lt_0_lowtown_a2_n,8,0.33340000,5.09901951,2
lt_0_lowtown_a2_n,9,0.40000000,5.09901951,2
lt_0_lowtown_a2_n,10,0.45800000,10.81665383,2
lt_0_lowtown_a2_n,11,0.48300000,11.04536102,2
lt_0_lowtown_a2_n,12,0.31640000,9.21954446,2
lt_0_lowtown_a2_n,13,0.55820000,7.61577311,2
lt_0_lowtown_a2_n,14,0.50000000,11.40175425,2
lt_0_lowtown_a2_n,15,0.46640000,7.81024968,2
lt_0_lowtown_a2_n,16,0.56660000,8.60232527,2
lt_0_lowtown_a2_n,17,0.44180000,8.48528137,2
lt_0_lowtown_a2_n,18,0.41640000,8.60232527,2
lt_0_lowtown_a2_n,19,0.56680000,7.61577311,2
lt_0_lowtown_a2_n,20,5.09980000,11.15298244,5
lt_0_lowtown_a2_n,21,0.46660000,13.60147051,2
lt_0_lowtown_a2_n,22,0.42520000,14.86606875,2
lt_0_lowtown_a2_n,23,0.52500000,12.20655562,2
lt_0_lowtown_a2_n,24,0.71660000,12.08304597,2
lt_0_lowtown_a2_n,25,1.46640000,14.07716315,3
lt_0_lowtown_a2_n,26,0.53340000,11.66190379,2
lt_0_lowtown_a2_n,27,0.60840000,14.31782106,2
lt_0_lowtown_a2_n,28,0.45840000,11.18033989,2
lt_0_lowtown_a2_n,29,0.57500000,13.34166406,2
lt_0_lowtown_a2_n,30,0.61640000,18.43908891,2
lt_0_lowtown_a2_n,31,0.45020000,18.11077028,2
lt_0_lowtown_a2_n,32,0.63360000,15.62049935,2
lt_0_lowtown_a2_n,33,2.01660000,17.70134478,4
lt_0_lowtown_a2_n,34,0.50840000,19.10497317,2
lt_0_lowtown_a2_n,35,0.50000000,17.02938637,2
lt_0_lowtown_a2_n,36,0.61660000,17.26267650,2
lt_0_lowtown_a2_n,37,0.84180000,18.02775638,2
lt_0_lowtown_a2_n,38,0.63320000,14.86606875,2
lt_0_lowtown_a2_n,39,0.49160000,18.43908891,2
lt_0_lowtown_a2_n,40,0.69980000,20.61552813,2
lt_0_lowtown_a2_n,41,1.99140000,22.09147020,3
lt_0_lowtown_a2_n,42,0.71640000,20.24845673,2
lt_0_lowtown_a2_n,43,0.39160000,21.37755833,2
lt_0_lowtown_a2_n,44,0.49180000,21.93171220,2
lt_0_lowtown_a2_n,45,0.75000000,22.09072203,2
lt_0_lowtown_a2_n,46,2.65000000,22.85159611,3
lt_0_lowtown_a2_n,47,0.38320000,19.23538406,2
lt_0_lowtown_a2_n,48,0.46660000,20.59126028,2
lt_0_lowtown_a2_n,49,0.44160000,22.36067977,2
lt_0_lowtown_a2_n,50,0.54180000,25.49509757,2
lt_0_lowtown_a2_n,51,2.05840000,25.49547468,3
lt_0_lowtown_a2_n,52,1.30820000,26.12677589,4
lt_0_lowtown_a2_n,53,0.61680000,22.56102835,2
lt_0_lowtown_a2_n,54,0.51680000,25.49509757,2
lt_0_lowtown_a2_n,55,0.46660000,24.04163056,2
lt_0_lowtown_a2_n,56,0.75840000,25.00000000,2
lt_0_lowtown_a2_n,57,0.35840000,23.70653918,2
lt_0_lowtown_a2_n,58,0.73340000,23.70653918,2
lt_0_lowtown_a2_n,59,3.81680000,24.43967129,3
lt_0_lowtown_a2_n,60,0.95880000,29.20616373,2
lt_0_lowtown_a2_n,61,1.50840000,28.19712241,3
lt_0_lowtown_a2_n,62,1.67460000,29.30826877,3
lt_0_lowtown_a2_n,63,0.59980000,29.83286778,2
lt_0_lowtown_a2_n,64,1.39180000,28.02172887,3
lt_0_lowtown_a2_n,65,3.99980000,26.21840808,4
lt_0_lowtown_a2_n,66,0.49200000,28.63564213,2
lt_0_lowtown_a2_n,67,2.01660000,27.85242829,5
lt_0_lowtown_a2_n,68,0.39160000,26.62705391,2
lt_0_lowtown_a2_n,69,1.20020000,28.56257951,3
lt_0_lowtown_a2_n,70,1.41680000,34.09901951,3
lt_0_lowtown_a2_n,71,0.81680000,32.06243908,2
lt_0_lowtown_a2_n,72,1.49180000,31.30888210,5
lt_0_lowtown_a2_n,73,0.52500000,32.75667871,2
lt_0_lowtown_a2_n,74,0.61680000,33.73425559,2
lt_0_lowtown_a2_n,75,1.50000000,31.69525948,3
lt_0_lowtown_a2_n,76,0.75000000,32.20248438,2
lt_0_lowtown_a2_n,77,0.78320000,30.23243292,2
lt_0_lowtown_a2_n,78,0.64160000,31.32091953,2
lt_0_lowtown_a2_n,79,1.76640000,31.78207026,3
lt_0_lowtown_a2_n,80,1.97480000,34.92582404,4
lt_0_lowtown_a2_n,81,2.22520000,34.17840250,3
lt_0_lowtown_a2_n,82,1.38340000,36.45489265,4
lt_0_lowtown_a2_n,83,1.76640000,36.89218523,3
lt_0_lowtown_a2_n,84,0.83320000,36.24913792,2
lt_0_lowtown_a2_n,85,0.68320000,35.51056181,2
lt_0_lowtown_a2_n,86,0.85020000,37.00000000,2
lt_0_lowtown_a2_n,87,0.34980000,39.05124838,2
lt_0_lowtown_a2_n,88,2.39160000,34.31252470,5
lt_0_lowtown_a2_n,89,0.97500000,33.54101966,2
lt_0_lowtown_a2_n,90,1.75840000,39.38099455,3
lt_0_lowtown_a2_n,91,1.52480000,39.70776797,3
lt_0_lowtown_a2_n,92,0.72460000,43.01162634,2
lt_0_lowtown_a2_n,93,1.48340000,35.80584360,4
lt_0_lowtown_a2_n,94,1.87520000,38.98388477,3
lt_0_lowtown_a2_n,95,0.59180000,41.10960958,2
lt_0_lowtown_a2_n,96,0.80000000,39.35733731,2
lt_0_lowtown_a2_n,97,1.53320000,37.29935854,4
lt_0_lowtown_a2_n,98,1.52500000,39.79213318,3
lt_0_lowtown_a2_n,99,0.69180000,38.89730068,2
lt_0_lowtown_a2_n,100,1.30840000,39.85041544,4
lt_0_lowtown_a2_n,101,1.74180000,44.94974358,7
lt_0_lowtown_a2_n,102,1.88340000,43.41905761,4
lt_0_lowtown_a2_n,103,0.67480000,44.10215414,2
lt_0_lowtown_a2_n,104,1.69940000,43.12302702,3
lt_0_lowtown_a2_n,105,1.25820000,46.05720115,3
lt_0_lowtown_a2_n,106,0.64160000,42.57933771,2
lt_0_lowtown_a2_n,107,0.95820000,47.01063709,2
lt_0_lowtown_a2_n,108,0.88340000,43.18564576,2
lt_0_lowtown_a2_n,109,2.08340000,42.28238913,3
lt_0_lowtown_a2_n,110,1.89160000,46.20142142,4
lt_0_lowtown_a2_n,111,0.87500000,45.79301257,2
lt_0_lowtown_a2_n,112,1.44160000,46.23458952,3
lt_0_lowtown_a2_n,113,0.71660000,45.27692569,2
lt_0_lowtown_a2_n,114,3.70840000,48.86666927,3
lt_0_lowtown_a2_n,115,1.42520000,46.52746270,4
lt_0_lowtown_a2_n,116,2.10840000,46.45309718,3
lt_0_lowtown_a2_n,117,1.65000000,46.14917082,3
lt_0_lowtown_a2_n,118,1.91660000,45.56438114,4
lt_0_lowtown_a2_n,119,0.72520000,46.84015371,2
lt_0_lowtown_a2_n,120,2.18340000,48.85113954,6
lt_0_lowtown_a2_n,121,2.89160000,51.40358685,3
lt_0_lowtown_a2_n,122,2.00860000,52.36067977,4
lt_0_lowtown_a2_n,123,1.88360000,52.49463239,5
lt_0_lowtown_a2_n,124,1.13340000,50.15974482,2
lt_0_lowtown_a2_n,125,2.10000000,50.32472427,5
lt_0_lowtown_a2_n,126,0.85000000,51.92301994,2
lt_0_lowtown_a2_n,127,1.98340000,52.89941828,5
lt_0_lowtown_a2_n,128,0.55840000,53.15072906,2
lt_0_lowtown_a2_n,129,1.76680000,51.07364761,5
lt_0_lowtown_a2_n,130,2.99180000,52.75319605,9
lt_0_lowtown_a2_n,131,1.85840000,51.56735591,5
lt_0_lowtown_a2_n,132,2.17540000,54.64058070,6
lt_0_lowtown_a2_n,133,1.85840000,55.25281664,5
lt_0_lowtown_a2_n,134,1.98340000,54.60163641,7
lt_0_lowtown_a2_n,135,0.76680000,52.63078947,2
