Map,Query Number,Time,Distance,Path Length
lt_0_lowtown_a3_n_c,0,1.04180000,7.07106781,2
lt_0_lowtown_a3_n_c,1,0.48340000,6.32455532,2
lt_0_lowtown_a3_n_c,2,0.63300000,6.40312424,2
lt_0_lowtown_a3_n_c,3,0.53340000,7.28010989,2
lt_0_lowtown_a3_n_c,4,0.45820000,4.12310563,2
lt_0_lowtown_a3_n_c,5,0.48320000,5.09901951,2
lt_0_lowtown_a3_n_c,6,0.53340000,5.83095189,2
lt_0_lowtown_a3_n_c,7,0.47500000,6.00000000,2
lt_0_lowtown_a3_n_c,8,0.45840000,7.21110255,2
lt_0_lowtown_a3_n_c,9,0.38320000,6.08276253,2
lt_0_lowtown_a3_n_c,10,0.48340000,8.24621125,2
lt_0_lowtown_a3_n_c,11,0.50000000,10.00000000,2
lt_0_lowtown_a3_n_c,12,0.48340000,9.21954446,2
lt_0_lowtown_a3_n_c,13,0.40860000,8.06225775,2
lt_0_lowtown_a3_n_c,14,3.39180000,8.73876888,5
lt_0_lowtown_a3_n_c,15,0.50840000,11.31370850,2
lt_0_lowtown_a3_n_c,16,0.36640000,9.21954446,2
lt_0_lowtown_a3_n_c,17,0.35820000,11.04536102,2
lt_0_lowtown_a3_n_c,18,0.68320000,11.00000000,2
lt_0_lowtown_a3_n_c,19,0.64180000,10.04987562,2
lt_0_lowtown_a3_n_c,20,0.45820000,13.03840481,2
lt_0_lowtown_a3_n_c,21,0.60840000,13.03840481,2
lt_0_lowtown_a3_n_c,22,0.49200000,13.00000000,2
lt_0_lowtown_a3_n_c,23,2.13340000,12.66093641,3
lt_0_lowtown_a3_n_c,24,0.38320000,15.03329638,2
lt_0_lowtown_a3_n_c,25,0.38340000,13.60147051,2
lt_0_lowtown_a3_n_c,26,0.40820000,11.70469991,2
lt_0_lowtown_a3_n_c,27,2.05000000,13.05272180,3
lt_0_lowtown_a3_n_c,28,0.27500000,12.00000000,2
lt_0_lowtown_a3_n_c,29,1.94200000,14.73887873,4
lt_0_lowtown_a3_n_c,30,0.50820000,17.11724277,2
lt_0_lowtown_a3_n_c,31,0.49180000,18.02775638,2
lt_0_lowtown_a3_n_c,32,2.89960000,17.88772164,3
lt_0_lowtown_a3_n_c,33,0.53360000,19.10497317,2
lt_0_lowtown_a3_n_c,34,0.43340000,17.26267650,2
lt_0_lowtown_a3_n_c,35,2.34160000,18.39558712,6
lt_0_lowtown_a3_n_c,36,0.42500000,16.27882060,2
lt_0_lowtown_a3_n_c,37,0.43360000,17.00000000,2
lt_0_lowtown_a3_n_c,38,0.50020000,15.81138830,2
lt_0_lowtown_a3_n_c,39,1.75840000,15.01568407,3
lt_0_lowtown_a3_n_c,40,0.36680000,21.40093456,2
lt_0_lowtown_a3_n_c,41,1.76660000,20.94883128,3
lt_0_lowtown_a3_n_c,42,0.39980000,18.78829423,2
lt_0_lowtown_a3_n_c,43,0.75800000,19.69771560,2
lt_0_lowtown_a3_n_c,44,0.39980000,21.84032967,2
lt_0_lowtown_a3_n_c,45,1.52500000,18.83962741,5
lt_0_lowtown_a3_n_c,46,0.36700000,20.61552813,2
lt_0_lowtown_a3_n_c,47,0.53340000,21.26029163,2
lt_0_lowtown_a3_n_c,48,0.47500000,18.68154169,2
lt_0_lowtown_a3_n_c,49,0.71660000,22.80350850,2
lt_0_lowtown_a3_n_c,50,1.80000000,24.86606875,3
lt_0_lowtown_a3_n_c,51,0.57520000,23.40939982,2
lt_0_lowtown_a3_n_c,52,2.97520000,23.35917361,7
lt_0_lowtown_a3_n_c,53,0.76680000,25.29822128,2
lt_0_lowtown_a3_n_c,54,0.40000000,23.40939982,2
lt_0_lowtown_a3_n_c,55,1.40820000,24.69891416,3
lt_0_lowtown_a3_n_c,56,0.44960000,27.00000000,2
lt_0_lowtown_a3_n_c,57,0.43280000,25.96150997,2
lt_0_lowtown_a3_n_c,58,0.39160000,24.35159132,2
lt_0_lowtown_a3_n_c,59,1.53340000,24.41070943,3
lt_0_lowtown_a3_n_c,60,0.57500000,29.15475947,2
lt_0_lowtown_a3_n_c,61,2.50840000,28.36186657,3
lt_0_lowtown_a3_n_c,62,0.44180000,27.89265136,2
lt_0_lowtown_a3_n_c,63,0.89980000,27.20294102,2
lt_0_lowtown_a3_n_c,64,0.72520000,30.00000000,2
lt_0_lowtown_a3_n_c,65,0.58340000,28.28427125,2
lt_0_lowtown_a3_n_c,66,0.69980000,28.01785145,2
lt_0_lowtown_a3_n_c,67,0.45820000,30.14962686,2
lt_0_lowtown_a3_n_c,68,0.84180000,30.14962686,2
lt_0_lowtown_a3_n_c,69,1.02480000,27.45906044,2
lt_0_lowtown_a3_n_c,70,0.85820000,34.20526275,2
lt_0_lowtown_a3_n_c,71,2.54180000,30.53465312,3
lt_0_lowtown_a3_n_c,72,2.38340000,32.83286778,3
lt_0_lowtown_a3_n_c,73,1.60000000,33.70469991,3
lt_0_lowtown_a3_n_c,74,0.55840000,33.01514804,2
lt_0_lowtown_a3_n_c,75,0.74980000,29.96664813,2
lt_0_lowtown_a3_n_c,76,0.42460000,33.00000000,2
lt_0_lowtown_a3_n_c,77,2.04160000,32.36463421,3
lt_0_lowtown_a3_n_c,78,0.43340000,32.89376841,2
lt_0_lowtown_a3_n_c,79,2.68340000,31.09441198,7
lt_0_lowtown_a3_n_c,80,0.43320000,35.84689666,2
lt_0_lowtown_a3_n_c,81,1.92520000,33.54229812,6
lt_0_lowtown_a3_n_c,82,1.71640000,34.46777743,4
lt_0_lowtown_a3_n_c,83,0.68320000,36.05551275,2
lt_0_lowtown_a3_n_c,84,2.16680000,37.52795822,3
lt_0_lowtown_a3_n_c,85,2.12520000,36.69638771,3
lt_0_lowtown_a3_n_c,86,1.93340000,35.84885780,4
lt_0_lowtown_a3_n_c,87,0.41640000,34.13209633,2
lt_0_lowtown_a3_n_c,88,1.34160000,35.83852501,3
lt_0_lowtown_a3_n_c,89,1.75000000,34.93334919,3
lt_0_lowtown_a3_n_c,90,0.35840000,39.05124838,2
lt_0_lowtown_a3_n_c,91,0.46680000,37.58989226,2
lt_0_lowtown_a3_n_c,92,1.59180000,37.48728899,3
lt_0_lowtown_a3_n_c,93,2.57540000,39.49254429,4
lt_0_lowtown_a3_n_c,94,0.45840000,39.45883931,2
lt_0_lowtown_a3_n_c,95,1.76660000,38.10616392,3
