Map,Query Number,Time,Distance,Path Length
lt_0_lowtown_docks,0,1.26700000,5.00000000,2
lt_0_lowtown_docks,1,0.61680000,4.12310563,2
lt_0_lowtown_docks,2,0.35000000,5.09901951,2
lt_0_lowtown_docks,3,0.43320000,6.40312424,2
lt_0_lowtown_docks,4,0.58320000,5.09901951,2
lt_0_lowtown_docks,5,0.45000000,7.21110255,2
lt_0_lowtown_docks,6,0.44980000,6.40312424,2
lt_0_lowtown_docks,7,0.60840000,5.00000000,2
lt_0_lowtown_docks,8,0.53360000,5.38516481,2
lt_0_lowtown_docks,9,0.45860000,5.09901951,2
lt_0_lowtown_docks,10,0.48340000,10.19803903,2
lt_0_lowtown_docks,11,0.46660000,10.77032961,2
lt_0_lowtown_docks,12,0.41680000,10.00000000,2
lt_0_lowtown_docks,13,0.55840000,10.00000000,2
lt_0_lowtown_docks,14,0.40800000,10.00000000,2
lt_0_lowtown_docks,15,0.41640000,11.18033989,2
lt_0_lowtown_docks,16,0.45000000,10.44030651,2
lt_0_lowtown_docks,17,0.43320000,9.48683298,2
lt_0_lowtown_docks,18,3.05840000,10.03952968,3
lt_0_lowtown_docks,19,1.64180000,10.39834564,4
lt_0_lowtown_docks,20,0.51660000,13.03840481,2
lt_0_lowtown_docks,21,0.65840000,14.86606875,2
lt_0_lowtown_docks,22,0.45000000,13.45362405,2
lt_0_lowtown_docks,23,0.51680000,14.86606875,2
lt_0_lowtown_docks,24,0.40840000,12.80624847,2
lt_0_lowtown_docks,25,2.14980000,11.89949494,4
lt_0_lowtown_docks,26,0.55020000,14.14213562,2
lt_0_lowtown_docks,27,0.89180000,14.31782106,2
lt_0_lowtown_docks,28,0.35000000,12.00000000,2
lt_0_lowtown_docks,29,0.41660000,11.18033989,2
lt_0_lowtown_docks,30,0.44980000,18.02775638,2
lt_0_lowtown_docks,31,0.58320000,17.02938637,2
lt_0_lowtown_docks,32,0.55820000,19.20937271,2
lt_0_lowtown_docks,33,0.47480000,18.60107524,2
lt_0_lowtown_docks,34,0.50000000,18.43908891,2
lt_0_lowtown_docks,35,0.45840000,18.02775638,2
lt_0_lowtown_docks,36,0.40820000,16.15549442,2
lt_0_lowtown_docks,37,0.70020000,18.02775638,2
lt_0_lowtown_docks,38,2.90040000,16.03840481,4
lt_0_lowtown_docks,39,0.55840000,15.26433752,2
lt_0_lowtown_docks,40,0.99160000,20.61552813,2
lt_0_lowtown_docks,41,0.76680000,19.23538406,2
lt_0_lowtown_docks,42,2.71680000,20.10654957,6
lt_0_lowtown_docks,43,0.42480000,21.26029163,2
lt_0_lowtown_docks,44,0.85820000,22.09072203,2
lt_0_lowtown_docks,45,0.58340000,21.93171220,2
lt_0_lowtown_docks,46,0.58320000,20.22374842,2
lt_0_lowtown_docks,47,0.71600000,22.20360331,2
lt_0_lowtown_docks,48,0.53340000,18.86796226,2
lt_0_lowtown_docks,49,0.60020000,22.02271555,2
lt_0_lowtown_docks,50,1.98320000,25.91841776,4
lt_0_lowtown_docks,51,0.65020000,24.33105012,2
lt_0_lowtown_docks,52,2.68360000,23.34194204,8
lt_0_lowtown_docks,53,0.60860000,24.18677324,2
lt_0_lowtown_docks,54,0.69180000,26.90724809,2
lt_0_lowtown_docks,55,0.66680000,23.08679276,2
lt_0_lowtown_docks,56,0.71680000,24.75883681,2
lt_0_lowtown_docks,57,1.84140000,24.00945607,3
lt_0_lowtown_docks,58,3.32460000,23.97252734,5
lt_0_lowtown_docks,59,0.51680000,25.49509757,2
lt_0_lowtown_docks,60,0.92500000,28.07133770,2
lt_0_lowtown_docks,61,0.44960000,29.27456234,2
lt_0_lowtown_docks,62,0.51660000,29.42787794,2
lt_0_lowtown_docks,63,0.65820000,29.15475947,2
lt_0_lowtown_docks,64,0.55840000,26.24880950,2
lt_0_lowtown_docks,65,0.51700000,27.73084925,2
lt_0_lowtown_docks,66,1.65840000,27.27250884,3
lt_0_lowtown_docks,67,1.18320000,27.19882144,3
lt_0_lowtown_docks,68,0.84180000,27.01851217,2
lt_0_lowtown_docks,69,0.40840000,28.86173938,2
lt_0_lowtown_docks,70,1.95820000,31.73288209,3
lt_0_lowtown_docks,71,0.83340000,33.13608305,2
lt_0_lowtown_docks,72,0.67500000,31.95309062,2
lt_0_lowtown_docks,73,1.78360000,31.46406925,3
lt_0_lowtown_docks,74,1.63360000,33.39286604,3
lt_0_lowtown_docks,75,1.70840000,32.76683196,3
lt_0_lowtown_docks,76,0.45840000,32.24903099,2
lt_0_lowtown_docks,77,3.59140000,32.50245216,3
lt_0_lowtown_docks,78,1.56660000,29.73977658,3
lt_0_lowtown_docks,79,0.83320000,31.24099870,2
lt_0_lowtown_docks,80,0.81640000,34.92849839,2
lt_0_lowtown_docks,81,0.38320000,37.21558813,2
lt_0_lowtown_docks,82,1.60000000,35.51362621,3
lt_0_lowtown_docks,83,2.09160000,36.30414742,6
lt_0_lowtown_docks,84,0.67480000,34.71310992,2
lt_0_lowtown_docks,85,0.43320000,33.61547263,2
lt_0_lowtown_docks,86,2.29140000,36.81693689,3
lt_0_lowtown_docks,87,0.53320000,33.54101966,2
lt_0_lowtown_docks,88,1.34980000,36.19208245,4
lt_0_lowtown_docks,89,0.51660000,34.48187930,2
lt_0_lowtown_docks,90,0.48340000,40.49691346,2
lt_0_lowtown_docks,91,0.70800000,40.04996879,2
lt_0_lowtown_docks,92,0.79160000,40.31128874,2
lt_0_lowtown_docks,93,1.84160000,38.10226964,3
lt_0_lowtown_docks,94,0.68340000,42.00000000,2
lt_0_lowtown_docks,95,1.97520000,39.91244246,8
lt_0_lowtown_docks,96,0.41680000,37.85498646,2
lt_0_lowtown_docks,97,1.00040000,39.05124838,2
lt_0_lowtown_docks,98,2.63360000,38.55381735,5
lt_0_lowtown_docks,99,1.04200000,42.19004622,2
lt_0_lowtown_docks,100,1.58340000,41.96556168,3
lt_0_lowtown_docks,101,0.90000000,42.15447782,2
lt_0_lowtown_docks,102,0.66660000,43.10452412,2
lt_0_lowtown_docks,103,1.67500000,42.07747755,3
lt_0_lowtown_docks,104,1.93340000,44.12044608,6
lt_0_lowtown_docks,105,3.03340000,44.59674775,7
lt_0_lowtown_docks,106,2.13340000,41.84768176,6
lt_0_lowtown_docks,107,1.26660000,41.48975643,3
lt_0_lowtown_docks,108,0.88340000,46.00000000,2
lt_0_lowtown_docks,109,1.90840000,45.01608892,3
lt_0_lowtown_docks,110,1.41640000,47.12979413,5
lt_0_lowtown_docks,111,3.05820000,48.36760065,4
lt_0_lowtown_docks,112,1.97500000,44.94928666,3
lt_0_lowtown_docks,113,0.84160000,45.18849411,2
lt_0_lowtown_docks,114,1.65820000,45.09148484,4
lt_0_lowtown_docks,115,2.50860000,47.03720246,5
lt_0_lowtown_docks,116,0.90820000,49.04079934,2
lt_0_lowtown_docks,117,0.87520000,46.81879964,2
lt_0_lowtown_docks,118,0.60000000,45.79301257,2
lt_0_lowtown_docks,119,1.08320000,49.01020302,2
lt_0_lowtown_docks,120,0.69140000,51.88448708,2
lt_0_lowtown_docks,121,2.75840000,48.93051353,3
lt_0_lowtown_docks,122,1.71660000,51.62242816,3
lt_0_lowtown_docks,123,0.92500000,53.15072906,2
lt_0_lowtown_docks,124,2.26680000,51.22884931,3
lt_0_lowtown_docks,125,1.31660000,46.58637254,6
lt_0_lowtown_docks,126,1.55820000,48.54120508,3
lt_0_lowtown_docks,127,2.40820000,51.64588185,3
