Map,Query Number,Time,Distance,Path Length
lt_0_lowtown_docks_a3,0,1.25840000,5.65685425,2
lt_0_lowtown_docks_a3,1,2.56680000,5.53731919,3
lt_0_lowtown_docks_a3,2,1.77520000,5.99070478,3
lt_0_lowtown_docks_a3,3,0.59160000,7.07106781,2
lt_0_lowtown_docks_a3,4,0.35820000,5.09901951,2
lt_0_lowtown_docks_a3,5,0.43360000,5.09901951,2
lt_0_lowtown_docks_a3,6,0.40000000,6.08276253,2
lt_0_lowtown_docks_a3,7,0.53320000,6.08276253,2
lt_0_lowtown_docks_a3,8,0.62480000,4.47213595,2
lt_0_lowtown_docks_a3,9,0.41680000,7.07106781,2
lt_0_lowtown_docks_a3,10,0.37500000,11.18033989,2
lt_0_lowtown_docks_a3,11,0.51660000,7.81024968,2
lt_0_lowtown_docks_a3,12,0.50840000,7.81024968,2
lt_0_lowtown_docks_a3,13,0.40020000,7.61577311,2
lt_0_lowtown_docks_a3,14,0.40840000,10.00000000,2
lt_0_lowtown_docks_a3,15,0.51680000,10.00000000,2
lt_0_lowtown_docks_a3,16,0.52500000,10.77032961,2
lt_0_lowtown_docks_a3,17,0.43340000,7.81024968,2
lt_0_lowtown_docks_a3,18,0.56680000,9.48683298,2
lt_0_lowtown_docks_a3,19,0.56660000,10.63014581,2
lt_0_lowtown_docks_a3,20,0.44160000,11.66190379,2
lt_0_lowtown_docks_a3,21,0.35000000,13.45362405,2
lt_0_lowtown_docks_a3,22,0.42480000,14.56021978,2
lt_0_lowtown_docks_a3,23,0.45000000,13.03840481,2
lt_0_lowtown_docks_a3,24,1.55000000,14.53300065,3
lt_0_lowtown_docks_a3,25,0.53340000,12.04159458,2
lt_0_lowtown_docks_a3,26,0.60840000,14.31782106,2
lt_0_lowtown_docks_a3,27,1.99980000,14.86606875,2
lt_0_lowtown_docks_a3,28,0.42480000,13.34166406,2
lt_0_lowtown_docks_a3,29,0.37480000,12.04159458,2
lt_0_lowtown_docks_a3,30,0.34180000,16.00000000,2
lt_0_lowtown_docks_a3,31,0.67520000,19.10497317,2
lt_0_lowtown_docks_a3,32,0.55840000,16.49242250,2
lt_0_lowtown_docks_a3,33,1.22480000,18.43398113,3
lt_0_lowtown_docks_a3,34,0.53360000,16.76305461,2
lt_0_lowtown_docks_a3,35,0.40020000,18.11077028,2
lt_0_lowtown_docks_a3,36,0.70860000,19.00000000,2
lt_0_lowtown_docks_a3,37,0.55840000,16.27882060,2
lt_0_lowtown_docks_a3,38,2.19980000,16.34261755,4
lt_0_lowtown_docks_a3,39,0.39180000,16.00000000,2
lt_0_lowtown_docks_a3,40,0.52500000,21.09502311,2
lt_0_lowtown_docks_a3,41,0.54980000,20.88061302,2
lt_0_lowtown_docks_a3,42,1.33320000,21.50821710,3
lt_0_lowtown_docks_a3,43,0.55840000,18.86796226,2
lt_0_lowtown_docks_a3,44,0.53340000,19.23538406,2
lt_0_lowtown_docks_a3,45,0.77500000,21.95449840,2
lt_0_lowtown_docks_a3,46,0.47500000,20.51828453,2
lt_0_lowtown_docks_a3,47,0.45860000,21.09502311,2
lt_0_lowtown_docks_a3,48,0.52520000,20.39607805,2
lt_0_lowtown_docks_a3,49,1.91660000,21.47866561,3
lt_0_lowtown_docks_a3,50,1.95820000,25.74795788,3
lt_0_lowtown_docks_a3,51,0.64980000,26.87005769,2
lt_0_lowtown_docks_a3,52,1.42540000,22.98586649,4
lt_0_lowtown_docks_a3,53,0.50820000,26.90724809,2
lt_0_lowtown_docks_a3,54,0.59980000,23.08679276,2
lt_0_lowtown_docks_a3,55,0.60840000,24.33105012,2
lt_0_lowtown_docks_a3,56,0.56680000,27.00000000,2
lt_0_lowtown_docks_a3,57,1.32500000,26.46424920,3
lt_0_lowtown_docks_a3,58,0.85860000,22.17599288,3
lt_0_lowtown_docks_a3,59,0.65840000,25.94224354,2
lt_0_lowtown_docks_a3,60,0.67520000,29.41088234,2
lt_0_lowtown_docks_a3,61,1.14180000,28.06312326,3
lt_0_lowtown_docks_a3,62,0.56680000,26.57066051,2
lt_0_lowtown_docks_a3,63,0.53340000,29.52964612,2
lt_0_lowtown_docks_a3,64,0.88320000,27.29468813,2
lt_0_lowtown_docks_a3,65,0.68340000,26.68332813,2
lt_0_lowtown_docks_a3,66,0.51660000,29.15475947,2
lt_0_lowtown_docks_a3,67,0.44180000,27.89265136,2
lt_0_lowtown_docks_a3,68,0.49180000,29.41088234,2
