Map,Query Number,Time,Distance,Path Length
lt_0_lowtown_docks_a3_n,0,4.67500000,4.24264069,2
lt_0_lowtown_docks_a3_n,1,0.37480000,4.12310563,2
lt_0_lowtown_docks_a3_n,2,0.36680000,6.40312424,2
lt_0_lowtown_docks_a3_n,3,0.57500000,5.83095189,2
lt_0_lowtown_docks_a3_n,4,0.34140000,6.32455532,2
lt_0_lowtown_docks_a3_n,5,0.39980000,4.47213595,2
lt_0_lowtown_docks_a3_n,6,0.47520000,6.00000000,2
lt_0_lowtown_docks_a3_n,7,0.43320000,5.09901951,2
lt_0_lowtown_docks_a3_n,8,0.39160000,7.28010989,2
lt_0_lowtown_docks_a3_n,9,0.40840000,7.21110255,2
lt_0_lowtown_docks_a3_n,10,0.45820000,10.77032961,2
lt_0_lowtown_docks_a3_n,11,0.37480000,10.04987562,2
lt_0_lowtown_docks_a3_n,12,0.68340000,10.81665383,2
lt_0_lowtown_docks_a3_n,13,0.55820000,8.54400375,2
lt_0_lowtown_docks_a3_n,14,0.50820000,10.81665383,2
lt_0_lowtown_docks_a3_n,15,0.53300000,8.60232527,2
lt_0_lowtown_docks_a3_n,16,0.56660000,8.60232527,2
lt_0_lowtown_docks_a3_n,17,0.29980000,8.48528137,2
lt_0_lowtown_docks_a3_n,18,2.59980000,9.95405752,3
lt_0_lowtown_docks_a3_n,19,0.38320000,9.48683298,2
lt_0_lowtown_docks_a3_n,20,0.44140000,14.56021978,2
lt_0_lowtown_docks_a3_n,21,0.49960000,12.04159458,2
lt_0_lowtown_docks_a3_n,22,0.48300000,13.03840481,2
lt_0_lowtown_docks_a3_n,23,0.54160000,14.42220510,2
lt_0_lowtown_docks_a3_n,24,0.43360000,11.40175425,2
lt_0_lowtown_docks_a3_n,25,1.08360000,12.52996409,2
lt_0_lowtown_docks_a3_n,26,0.47520000,12.08304597,2
lt_0_lowtown_docks_a3_n,27,0.42520000,13.03840481,2
lt_0_lowtown_docks_a3_n,28,2.85840000,13.63782223,3
lt_0_lowtown_docks_a3_n,29,0.35000000,12.80624847,2
lt_0_lowtown_docks_a3_n,30,0.50000000,19.10497317,2
lt_0_lowtown_docks_a3_n,31,0.61660000,19.10497317,2
lt_0_lowtown_docks_a3_n,32,0.39180000,17.00000000,2
lt_0_lowtown_docks_a3_n,33,0.42500000,17.26267650,2
lt_0_lowtown_docks_a3_n,34,0.55820000,17.11724277,2
lt_0_lowtown_docks_a3_n,35,0.49160000,15.81138830,2
lt_0_lowtown_docks_a3_n,36,0.40000000,18.24828759,2
lt_0_lowtown_docks_a3_n,37,2.00860000,14.56403191,3
lt_0_lowtown_docks_a3_n,38,2.87500000,16.23154621,3
