Map,Query Number,Time,Distance,Path Length
lt_0_lowtown_docks_n,0,1.76680000,5.83095189,2
lt_0_lowtown_docks_n,1,0.49180000,6.40312424,2
lt_0_lowtown_docks_n,2,0.43360000,7.28010989,2
lt_0_lowtown_docks_n,3,0.58320000,5.38516481,2
lt_0_lowtown_docks_n,4,0.55000000,7.21110255,2
lt_0_lowtown_docks_n,5,0.45820000,7.28010989,2
lt_0_lowtown_docks_n,6,0.66640000,6.40312424,2
lt_0_lowtown_docks_n,7,0.66680000,5.09901951,2
lt_0_lowtown_docks_n,8,0.66680000,7.00000000,2
lt_0_lowtown_docks_n,9,0.34160000,7.07106781,2
lt_0_lowtown_docks_n,10,0.46660000,10.63014581,2
lt_0_lowtown_docks_n,11,0.53320000,10.00000000,2
lt_0_lowtown_docks_n,12,0.52500000,7.81024968,2
lt_0_lowtown_docks_n,13,0.42480000,9.00000000,2
lt_0_lowtown_docks_n,14,0.55840000,7.81024968,2
lt_0_lowtown_docks_n,15,0.49160000,8.06225775,2
lt_0_lowtown_docks_n,16,0.34160000,10.04987562,2
lt_0_lowtown_docks_n,17,5.71660000,7.83095189,3
lt_0_lowtown_docks_n,18,1.34180000,11.04536102,2
lt_0_lowtown_docks_n,19,0.45840000,7.81024968,2
lt_0_lowtown_docks_n,20,0.76680000,12.04159458,2
lt_0_lowtown_docks_n,21,0.46640000,13.41640786,2
lt_0_lowtown_docks_n,22,0.67480000,14.14213562,2
lt_0_lowtown_docks_n,23,3.67480000,13.08276253,4
lt_0_lowtown_docks_n,24,0.53340000,14.21267040,2
lt_0_lowtown_docks_n,25,0.61660000,14.76482306,2
lt_0_lowtown_docks_n,26,0.60840000,13.60147051,2
lt_0_lowtown_docks_n,27,0.48340000,12.52996409,2
lt_0_lowtown_docks_n,28,0.66700000,13.45362405,2
lt_0_lowtown_docks_n,29,0.43340000,14.86606875,2
lt_0_lowtown_docks_n,30,0.51640000,17.08800749,2
lt_0_lowtown_docks_n,31,0.58300000,18.02775638,2
lt_0_lowtown_docks_n,32,0.50880000,18.02775638,2
lt_0_lowtown_docks_n,33,0.69200000,15.26433752,2
lt_0_lowtown_docks_n,34,0.48360000,18.02775638,2
lt_0_lowtown_docks_n,35,0.50840000,18.35755975,2
lt_0_lowtown_docks_n,36,0.43360000,14.86606875,2
lt_0_lowtown_docks_n,37,0.52480000,15.65247584,2
lt_0_lowtown_docks_n,38,0.80020000,18.11077028,2
lt_0_lowtown_docks_n,39,0.58340000,15.26433752,2
lt_0_lowtown_docks_n,40,0.45000000,18.97366596,2
lt_0_lowtown_docks_n,41,0.38320000,19.41648784,2
lt_0_lowtown_docks_n,42,0.59180000,20.61552813,2
lt_0_lowtown_docks_n,43,0.71660000,21.47091055,2
lt_0_lowtown_docks_n,44,1.98340000,21.59144202,3
lt_0_lowtown_docks_n,45,0.70000000,18.86796226,2
lt_0_lowtown_docks_n,46,1.72520000,21.08800749,4
lt_0_lowtown_docks_n,47,0.70000000,21.09502311,2
lt_0_lowtown_docks_n,48,0.46680000,19.31320792,2
lt_0_lowtown_docks_n,49,0.70020000,22.80350850,2
lt_0_lowtown_docks_n,50,2.59980000,23.70530252,3
lt_0_lowtown_docks_n,51,0.68340000,25.07987241,2
lt_0_lowtown_docks_n,52,0.54160000,25.45584412,2
lt_0_lowtown_docks_n,53,0.76640000,23.19482701,2
lt_0_lowtown_docks_n,54,0.95020000,24.83948470,2
lt_0_lowtown_docks_n,55,0.50060000,24.51530134,2
lt_0_lowtown_docks_n,56,1.61700000,25.55849663,3
lt_0_lowtown_docks_n,57,1.72520000,23.31590280,3
lt_0_lowtown_docks_n,58,0.44180000,25.70992026,2
lt_0_lowtown_docks_n,59,0.91660000,25.80697580,2
lt_0_lowtown_docks_n,60,0.97480000,28.44292531,2
lt_0_lowtown_docks_n,61,0.73320000,28.84441020,2
lt_0_lowtown_docks_n,62,2.84980000,25.31782106,4
lt_0_lowtown_docks_n,63,0.80000000,27.73084925,2
lt_0_lowtown_docks_n,64,0.44160000,30.06659276,2
lt_0_lowtown_docks_n,65,1.53300000,28.59588863,3
lt_0_lowtown_docks_n,66,0.62500000,29.06888371,2
lt_0_lowtown_docks_n,67,2.13320000,29.41311123,4
lt_0_lowtown_docks_n,68,0.55000000,29.15475947,2
lt_0_lowtown_docks_n,69,0.71640000,26.57066051,2
lt_0_lowtown_docks_n,70,0.70800000,34.13209633,2
lt_0_lowtown_docks_n,71,0.80860000,29.73213749,2
lt_0_lowtown_docks_n,72,1.94180000,33.20305543,3
lt_0_lowtown_docks_n,73,0.42480000,30.01666204,2
lt_0_lowtown_docks_n,74,0.69960000,30.87069808,2
lt_0_lowtown_docks_n,75,0.83340000,33.30165161,2
lt_0_lowtown_docks_n,76,0.50840000,32.69556545,2
lt_0_lowtown_docks_n,77,0.68360000,30.59411708,2
lt_0_lowtown_docks_n,78,1.93320000,32.70843978,3
lt_0_lowtown_docks_n,79,1.33360000,31.17624316,3
lt_0_lowtown_docks_n,80,3.80020000,34.52908915,3
lt_0_lowtown_docks_n,81,0.77520000,35.34119409,2
lt_0_lowtown_docks_n,82,2.06660000,35.73852779,3
lt_0_lowtown_docks_n,83,1.89160000,34.57203326,4
lt_0_lowtown_docks_n,84,0.80000000,34.71310992,2
lt_0_lowtown_docks_n,85,1.74140000,34.13410884,3
lt_0_lowtown_docks_n,86,0.59980000,34.66987165,2
lt_0_lowtown_docks_n,87,1.46640000,33.74130882,3
lt_0_lowtown_docks_n,88,0.50800000,34.52535300,2
lt_0_lowtown_docks_n,89,0.67480000,34.66987165,2
lt_0_lowtown_docks_n,90,1.37480000,41.23105626,3
lt_0_lowtown_docks_n,91,1.08340000,37.36308338,2
