Map,Query Number,Time,Distance,Path Length
lt_0_lowtown_n,0,1.56660000,4.12310563,2
lt_0_lowtown_n,1,0.46680000,4.24264069,2
lt_0_lowtown_n,2,0.73320000,6.40312424,2
lt_0_lowtown_n,3,0.33320000,7.21110255,2
lt_0_lowtown_n,4,0.42500000,6.40312424,2
lt_0_lowtown_n,5,0.50000000,5.09901951,2
lt_0_lowtown_n,6,0.39160000,4.12310563,2
lt_0_lowtown_n,7,0.45840000,4.00000000,2
lt_0_lowtown_n,8,0.40000000,4.47213595,2
lt_0_lowtown_n,9,0.44180000,6.70820393,2
lt_0_lowtown_n,10,0.51680000,7.61577311,2
lt_0_lowtown_n,11,0.51660000,10.63014581,2
lt_0_lowtown_n,12,0.49160000,9.21954446,2
lt_0_lowtown_n,13,0.43340000,8.00000000,2
lt_0_lowtown_n,14,0.40820000,9.89949494,2
lt_0_lowtown_n,15,0.45840000,10.63014581,2
lt_0_lowtown_n,16,0.40840000,10.19803903,2
lt_0_lowtown_n,17,0.35860000,9.21954446,2
lt_0_lowtown_n,18,0.40020000,9.21954446,2
lt_0_lowtown_n,19,0.53340000,9.48683298,2
lt_0_lowtown_n,20,0.76680000,12.52996409,2
lt_0_lowtown_n,21,0.56660000,12.08304597,2
lt_0_lowtown_n,22,0.56660000,13.15294644,2
lt_0_lowtown_n,23,0.51680000,12.00000000,2
lt_0_lowtown_n,24,0.58320000,12.52996409,2
lt_0_lowtown_n,25,0.39180000,11.66190379,2
lt_0_lowtown_n,26,0.65840000,15.00000000,2
lt_0_lowtown_n,27,0.60000000,14.03566885,2
lt_0_lowtown_n,28,0.49160000,12.16552506,2
lt_0_lowtown_n,29,0.61640000,12.20655562,2
lt_0_lowtown_n,30,0.59160000,18.11077028,2
lt_0_lowtown_n,31,0.40840000,18.02775638,2
lt_0_lowtown_n,32,3.09180000,15.29563014,3
lt_0_lowtown_n,33,0.61660000,16.27882060,2
lt_0_lowtown_n,34,0.77500000,18.43908891,2
lt_0_lowtown_n,35,0.38340000,17.88854382,2
lt_0_lowtown_n,36,0.62520000,18.11077028,2
lt_0_lowtown_n,37,0.74980000,19.02629759,2
lt_0_lowtown_n,38,0.54980000,16.12451550,2
lt_0_lowtown_n,39,2.13320000,17.28010989,4
lt_0_lowtown_n,40,2.22480000,19.11878435,5
lt_0_lowtown_n,41,0.54180000,21.02379604,2
lt_0_lowtown_n,42,0.82480000,18.78829423,2
lt_0_lowtown_n,43,2.08340000,20.54525986,3
lt_0_lowtown_n,44,0.34180000,21.84032967,2
lt_0_lowtown_n,45,1.60840000,22.31782106,3
lt_0_lowtown_n,46,0.54980000,23.02172887,2
lt_0_lowtown_n,47,0.51680000,23.02172887,2
lt_0_lowtown_n,48,0.60040000,19.84943324,2
lt_0_lowtown_n,49,0.66660000,19.92485885,2
lt_0_lowtown_n,50,0.58340000,25.63201124,2
lt_0_lowtown_n,51,0.67480000,25.96150997,2
lt_0_lowtown_n,52,0.50820000,24.35159132,2
lt_0_lowtown_n,53,1.50820000,24.04163056,2
lt_0_lowtown_n,54,0.60820000,23.76972865,2
lt_0_lowtown_n,55,4.06680000,26.09901951,6
lt_0_lowtown_n,56,2.36700000,22.51488858,4
lt_0_lowtown_n,57,0.64180000,23.08679276,2
lt_0_lowtown_n,58,2.14980000,24.33328633,3
lt_0_lowtown_n,59,1.63340000,24.66190379,3
lt_0_lowtown_n,60,0.52500000,26.57066051,2
lt_0_lowtown_n,61,3.10800000,28.28247661,3
lt_0_lowtown_n,62,1.86640000,27.60432077,3
lt_0_lowtown_n,63,0.65820000,27.65863337,2
lt_0_lowtown_n,64,0.43300000,28.01785145,2
lt_0_lowtown_n,65,1.74180000,29.10583900,6
lt_0_lowtown_n,66,2.10840000,29.26240552,6
lt_0_lowtown_n,67,0.75840000,26.92582404,2
lt_0_lowtown_n,68,2.25800000,27.16227766,8
lt_0_lowtown_n,69,1.49980000,30.18033989,3
lt_0_lowtown_n,70,2.33320000,33.17849076,6
lt_0_lowtown_n,71,0.58320000,29.73213749,2
lt_0_lowtown_n,72,0.89980000,30.41381265,2
lt_0_lowtown_n,73,0.65000000,33.54101966,2
lt_0_lowtown_n,74,2.66680000,32.41421356,4
lt_0_lowtown_n,75,1.48340000,31.83516978,3
lt_0_lowtown_n,76,1.06680000,32.75667871,2
lt_0_lowtown_n,77,2.74980000,30.50958476,6
lt_0_lowtown_n,78,2.44980000,31.67091327,4
lt_0_lowtown_n,79,0.57500000,34.05877273,2
lt_0_lowtown_n,80,1.84160000,36.67121278,4
lt_0_lowtown_n,81,0.61660000,37.05401463,2
lt_0_lowtown_n,82,2.49980000,38.21589048,3
lt_0_lowtown_n,83,1.11680000,38.41874542,2
lt_0_lowtown_n,84,1.93340000,34.56291460,3
lt_0_lowtown_n,85,0.47500000,34.20526275,2
lt_0_lowtown_n,86,1.95020000,34.72970118,3
lt_0_lowtown_n,87,2.11660000,34.27400883,4
lt_0_lowtown_n,88,2.01640000,35.59746436,5
lt_0_lowtown_n,89,0.81660000,36.01388621,2
lt_0_lowtown_n,90,2.31660000,39.05877273,3
lt_0_lowtown_n,91,0.71660000,38.27531842,2
lt_0_lowtown_n,92,0.66660000,37.36308338,2
lt_0_lowtown_n,93,1.96700000,36.91298758,5
lt_0_lowtown_n,94,1.96680000,40.67723671,3
lt_0_lowtown_n,95,1.71700000,40.01428280,3
lt_0_lowtown_n,96,1.64200000,37.01333976,4
lt_0_lowtown_n,97,0.86680000,37.94733192,2
lt_0_lowtown_n,98,2.48360000,39.37931346,4
lt_0_lowtown_n,99,2.45000000,40.56015612,5
lt_0_lowtown_n,100,2.68340000,44.88616292,3
lt_0_lowtown_n,101,1.75820000,42.30417057,4
lt_0_lowtown_n,102,0.65820000,42.54409477,2
lt_0_lowtown_n,103,0.95840000,43.93176527,2
lt_0_lowtown_n,104,1.09140000,44.55333882,2
lt_0_lowtown_n,105,2.23340000,42.62323630,4
lt_0_lowtown_n,106,2.60820000,42.30996524,6
lt_0_lowtown_n,107,1.70000000,44.02492795,3
lt_0_lowtown_n,108,1.77500000,44.57541472,6
lt_0_lowtown_n,109,0.95820000,46.01086828,2
lt_0_lowtown_n,110,1.47520000,46.32598858,3
lt_0_lowtown_n,111,2.57520000,48.25249247,6
lt_0_lowtown_n,112,1.66680000,47.30861008,5
lt_0_lowtown_n,113,2.05020000,48.02379604,6
lt_0_lowtown_n,114,0.93300000,48.50773134,2
lt_0_lowtown_n,115,2.01680000,45.65863058,3
lt_0_lowtown_n,116,1.27540000,45.63935817,4
lt_0_lowtown_n,117,1.47500000,45.90377256,6
lt_0_lowtown_n,118,0.96700000,49.04079934,2
lt_0_lowtown_n,119,0.73340000,48.37354649,2
lt_0_lowtown_n,120,1.75000000,53.13802654,3
lt_0_lowtown_n,121,1.33340000,53.15566409,3
lt_0_lowtown_n,122,1.80820000,48.83661876,3
lt_0_lowtown_n,123,2.83320000,49.70452252,5
lt_0_lowtown_n,124,0.80820000,55.00909016,2
lt_0_lowtown_n,125,0.91660000,50.11985634,2
lt_0_lowtown_n,126,1.74140000,52.54667678,4
lt_0_lowtown_n,127,2.69160000,51.83372539,3
lt_0_lowtown_n,128,2.06660000,52.07192670,6
lt_0_lowtown_n,129,1.96660000,50.65384967,3
lt_0_lowtown_n,130,0.57500000,56.00892786,2
lt_0_lowtown_n,131,2.10840000,52.32658425,5
lt_0_lowtown_n,132,2.13340000,52.61773728,4
lt_0_lowtown_n,133,0.96680000,55.78530272,2
lt_0_lowtown_n,134,1.55860000,55.67768657,6
lt_0_lowtown_n,135,2.24180000,57.41271442,3
lt_0_lowtown_n,136,0.80020000,55.90169944,2
lt_0_lowtown_n,137,2.10000000,56.35917809,3
lt_0_lowtown_n,138,1.71640000,55.16217126,3
lt_0_lowtown_n,139,1.64200000,54.79898987,6
lt_0_lowtown_n,140,0.71660000,56.08029957,2
lt_0_lowtown_n,141,2.29980000,57.27597184,4
lt_0_lowtown_n,142,2.33320000,57.75868772,8
lt_0_lowtown_n,143,1.65840000,57.61154012,3
lt_0_lowtown_n,144,2.13340000,59.87217167,4
lt_0_lowtown_n,145,1.84180000,59.35342991,6
lt_0_lowtown_n,146,2.77480000,56.84354606,9
lt_0_lowtown_n,147,2.04180000,58.06543098,3
lt_0_lowtown_n,148,0.97500000,57.48912941,2
lt_0_lowtown_n,149,2.76680000,60.87507569,7
lt_0_lowtown_n,150,1.66660000,63.49442704,6
lt_0_lowtown_n,151,2.42480000,61.05929452,7
lt_0_lowtown_n,152,1.59160000,63.59936703,9
lt_0_lowtown_n,153,1.45000000,62.14254982,4
lt_0_lowtown_n,154,0.82520000,60.41522987,2
lt_0_lowtown_n,155,2.24980000,62.01189420,6
lt_0_lowtown_n,156,2.32500000,64.17827620,6
lt_0_lowtown_n,157,4.18340000,61.00837080,4
lt_0_lowtown_n,158,2.30000000,60.74537019,3
lt_0_lowtown_n,159,1.95840000,59.95742264,5
lt_0_lowtown_n,160,1.58360000,67.22187020,7
lt_0_lowtown_n,161,1.65820000,66.80158344,3
lt_0_lowtown_n,162,1.55840000,67.92183036,7
lt_0_lowtown_n,163,1.54980000,66.81714988,4
lt_0_lowtown_n,164,2.03340000,66.54418806,7
lt_0_lowtown_n,165,1.34160000,65.11398454,4
lt_0_lowtown_n,166,1.96640000,67.30421163,5
lt_0_lowtown_n,167,2.35840000,65.49274270,5
lt_0_lowtown_n,168,1.54140000,63.94617504,7
lt_0_lowtown_n,169,1.63320000,65.50306445,4
lt_0_lowtown_n,170,1.91680000,69.37681948,6
lt_0_lowtown_n,171,1.69180000,68.57856341,5
lt_0_lowtown_n,172,1.94220000,69.21155405,4
lt_0_lowtown_n,173,1.45020000,70.87068273,6
lt_0_lowtown_n,174,2.37540000,72.56152513,3
lt_0_lowtown_n,175,2.01680000,72.64991735,6
lt_0_lowtown_n,176,1.59160000,70.43768829,3
lt_0_lowtown_n,177,1.60000000,71.03628771,3
lt_0_lowtown_n,178,2.22520000,67.37628778,7
lt_0_lowtown_n,179,1.47500000,71.44223152,6
lt_0_lowtown_n,180,2.18300000,76.59344565,3
lt_0_lowtown_n,181,1.49140000,74.83231942,4
lt_0_lowtown_n,182,2.05000000,73.71888279,4
lt_0_lowtown_n,183,2.92500000,74.95183719,8
lt_0_lowtown_n,184,1.82480000,73.64595133,9
lt_0_lowtown_n,185,2.35820000,73.77331203,10
lt_0_lowtown_n,186,2.11660000,72.04439768,4
lt_0_lowtown_n,187,2.02480000,75.91242953,8
lt_0_lowtown_n,188,1.67520000,73.07009871,5
lt_0_lowtown_n,189,1.67480000,75.08987141,3
lt_0_lowtown_n,190,1.60820000,79.55721577,4
lt_0_lowtown_n,191,1.51680000,78.58677534,6
lt_0_lowtown_n,192,1.53340000,82.24594177,6
lt_0_lowtown_n,193,1.48320000,79.24706656,3
lt_0_lowtown_n,194,1.68320000,80.28142609,4
lt_0_lowtown_n,195,2.21660000,77.17622410,4
lt_0_lowtown_n,196,2.67500000,78.01607758,7
lt_0_lowtown_n,197,1.55840000,76.38159036,4
lt_0_lowtown_n,198,1.56700000,76.41894796,12
lt_0_lowtown_n,199,1.91660000,79.28535441,4
lt_0_lowtown_n,200,1.40020000,80.75695023,5
lt_0_lowtown_n,201,1.67500000,85.48048223,6
lt_0_lowtown_n,202,3.06660000,84.55128009,7
lt_0_lowtown_n,203,1.58320000,82.95886066,6
lt_0_lowtown_n,204,1.61680000,77.40674291,7
lt_0_lowtown_n,205,2.13300000,80.61808041,5
lt_0_lowtown_n,206,2.22460000,82.53330225,8
lt_0_lowtown_n,207,1.89140000,80.13212957,12
lt_0_lowtown_n,208,1.80800000,79.91128733,4
lt_0_lowtown_n,209,2.19160000,80.04689724,5
lt_0_lowtown_n,210,2.33320000,87.42969154,6
lt_0_lowtown_n,211,2.81660000,85.14308202,5
lt_0_lowtown_n,212,2.07480000,82.27150129,6
