Map,Query Number,Time,Distance,Path Length
lt_darktown,0,2.79200000,4.00000000,2
lt_darktown,1,2.59160000,7.28538329,3
lt_darktown,2,0.45860000,6.40312424,2
lt_darktown,3,0.38340000,4.12310563,2
lt_darktown,4,0.33340000,4.00000000,2
lt_darktown,5,1.26680000,4.00000000,2
lt_darktown,6,0.44160000,6.40312424,2
lt_darktown,7,0.40000000,6.08276253,2
lt_darktown,8,0.47480000,4.12310563,2
lt_darktown,9,0.49980000,7.28010989,2
lt_darktown,10,0.47480000,8.94427191,2
lt_darktown,11,0.59980000,10.19803903,2
lt_darktown,12,2.06660000,10.64576492,3
lt_darktown,13,0.72460000,7.61577311,2
lt_darktown,14,0.53320000,8.06225775,2
lt_darktown,15,0.39160000,10.63014581,2
lt_darktown,16,0.68340000,10.29563014,2
lt_darktown,17,2.00820000,11.40312424,3
lt_darktown,18,0.36680000,9.89949494,2
lt_darktown,19,0.42520000,8.94427191,2
lt_darktown,20,0.62480000,14.76482306,2
lt_darktown,21,2.53300000,12.04631765,4
lt_darktown,22,0.60020000,14.03566885,2
lt_darktown,23,0.40840000,14.31782106,2
lt_darktown,24,0.46640000,14.14213562,2
lt_darktown,25,0.49140000,13.89244399,2
lt_darktown,26,0.38320000,13.00000000,2
lt_darktown,27,2.25860000,14.88566116,4
lt_darktown,28,0.69160000,14.21267040,2
lt_darktown,29,0.66640000,13.60147051,2
lt_darktown,30,0.39980000,17.08800749,2
lt_darktown,31,1.74160000,17.26910684,3
lt_darktown,32,0.45820000,15.23154621,2
lt_darktown,33,0.46680000,15.23154621,2
lt_darktown,34,0.41680000,16.03121954,2
lt_darktown,35,0.47520000,16.12451550,2
lt_darktown,36,4.59200000,16.16445625,3
lt_darktown,37,1.85020000,15.82547132,3
lt_darktown,38,0.59980000,17.88854382,2
lt_darktown,39,1.75840000,15.06737754,4
lt_darktown,40,0.52460000,19.23538406,2
lt_darktown,41,0.40820000,22.00000000,2
lt_darktown,42,1.14180000,19.07752081,4
lt_darktown,43,0.44200000,20.22374842,2
lt_darktown,44,0.45000000,21.37755833,2
lt_darktown,45,0.68340000,21.54065923,2
lt_darktown,46,0.32540000,18.97366596,2
lt_darktown,47,2.63340000,18.78091151,4
lt_darktown,48,1.34160000,21.88127753,4
lt_darktown,49,0.57520000,20.02498439,2
lt_darktown,50,1.61660000,26.36067977,3
lt_darktown,51,1.68320000,25.74055967,3
lt_darktown,52,0.58320000,25.49509757,2
lt_darktown,53,1.14980000,23.70752002,3
lt_darktown,54,0.40000000,24.00000000,2
lt_darktown,55,1.92480000,24.40192622,4
lt_darktown,56,0.65860000,25.29822128,2
lt_darktown,57,2.29180000,23.98987407,4
lt_darktown,58,1.19980000,25.48446285,4
lt_darktown,59,2.50000000,25.31727906,6
lt_darktown,60,0.62520000,26.92582404,2
lt_darktown,61,2.14180000,30.05203789,3
lt_darktown,62,1.32480000,26.45362405,3
lt_darktown,63,1.46660000,28.71985338,3
lt_darktown,64,1.28340000,26.50820342,4
lt_darktown,65,1.42500000,28.07763200,3
lt_darktown,66,1.87500000,28.43169774,5
lt_darktown,67,0.54200000,28.01785145,2
lt_darktown,68,1.65020000,29.41772906,3
lt_darktown,69,2.51700000,30.12310563,3
lt_darktown,70,0.41660000,32.14031736,2
lt_darktown,71,1.84180000,32.57726137,3
lt_darktown,72,1.54180000,29.48293828,3
lt_darktown,73,1.12500000,32.35111744,4
lt_darktown,74,1.95840000,31.55693395,5
lt_darktown,75,3.21660000,31.63375802,6
lt_darktown,76,0.69960000,35.05709629,2
lt_darktown,77,1.70000000,31.26276575,3
lt_darktown,78,1.76660000,31.76635341,4
lt_darktown,79,1.29980000,31.95315664,3
lt_darktown,80,1.33320000,37.13766057,3
lt_darktown,81,1.27520000,34.73071660,4
lt_darktown,82,2.00840000,33.59012080,3
lt_darktown,83,0.86700000,36.05551275,2
lt_darktown,84,3.48360000,28.07106781,5
lt_darktown,85,1.38340000,35.88229683,5
lt_darktown,86,0.43340000,36.13862200,2
lt_darktown,87,1.47500000,35.70583470,4
