Map,Query Number,Time,Distance,Path Length
lt_foundry_n,0,1.18360000,4.12310563,2
lt_foundry_n,1,0.47500000,4.12310563,2
lt_foundry_n,2,2.50000000,6.23606798,3
lt_foundry_n,3,0.32520000,5.00000000,2
lt_foundry_n,4,0.52520000,7.28010989,2
lt_foundry_n,5,0.34180000,7.00000000,2
lt_foundry_n,6,0.33320000,4.24264069,2
lt_foundry_n,7,0.36660000,7.28010989,2
lt_foundry_n,8,0.30840000,7.07106781,2
lt_foundry_n,9,0.30820000,5.00000000,2
lt_foundry_n,10,1.20820000,8.07106781,4
lt_foundry_n,11,0.35000000,8.94427191,2
lt_foundry_n,12,0.36640000,10.04987562,2
lt_foundry_n,13,0.36660000,9.00000000,2
lt_foundry_n,14,2.17480000,7.70820393,3
lt_foundry_n,15,0.32480000,9.21954446,2
lt_foundry_n,16,0.33300000,8.06225775,2
lt_foundry_n,17,0.43340000,10.04987562,2
lt_foundry_n,18,0.37500000,8.06225775,2
lt_foundry_n,19,0.40840000,9.84885780,2
lt_foundry_n,20,0.32500000,13.41640786,2
lt_foundry_n,21,0.43340000,13.03840481,2
lt_foundry_n,22,0.48320000,12.72792206,2
lt_foundry_n,23,0.39180000,13.34166406,2
lt_foundry_n,24,0.44200000,12.16552506,2
lt_foundry_n,25,0.54180000,14.14213562,2
lt_foundry_n,26,1.39980000,13.06177259,4
lt_foundry_n,27,0.34160000,13.89244399,2
lt_foundry_n,28,0.30840000,13.15294644,2
lt_foundry_n,29,1.20860000,15.18033989,4
lt_foundry_n,30,0.48360000,15.62049935,2
lt_foundry_n,31,0.30860000,15.29705854,2
lt_foundry_n,32,0.52500000,16.55294536,2
lt_foundry_n,33,0.80000000,17.24621125,4
lt_foundry_n,34,1.41660000,17.53837497,4
lt_foundry_n,35,1.66680000,17.03121954,3
lt_foundry_n,36,0.29180000,16.03121954,2
lt_foundry_n,37,0.65000000,17.80449381,2
lt_foundry_n,38,1.01640000,17.76354820,3
lt_foundry_n,39,0.45840000,16.12451550,2
lt_foundry_n,40,0.81660000,22.50923667,3
lt_foundry_n,41,0.46680000,19.84943324,2
lt_foundry_n,42,0.96680000,19.31782106,3
lt_foundry_n,43,0.55000000,22.09072203,2
lt_foundry_n,44,0.44980000,20.59126028,2
lt_foundry_n,45,0.31660000,18.86796226,2
lt_foundry_n,46,1.04180000,18.56403191,4
