Map,Query Number,Time,Distance,Path Length
lt_gallowsprison_n,0,1.02500000,7.21110255,2
lt_gallowsprison_n,1,0.31680000,7.07106781,2
lt_gallowsprison_n,2,0.32500000,6.40312424,2
lt_gallowsprison_n,3,0.35840000,7.21110255,2
lt_gallowsprison_n,4,0.53340000,5.09901951,2
lt_gallowsprison_n,5,0.34180000,6.40312424,2
lt_gallowsprison_n,6,0.33320000,5.83095189,2
lt_gallowsprison_n,7,0.32500000,6.08276253,2
lt_gallowsprison_n,8,0.30840000,6.40312424,2
lt_gallowsprison_n,9,0.67500000,5.83095189,2
lt_gallowsprison_n,10,0.34140000,10.44030651,2
lt_gallowsprison_n,11,0.44160000,8.54400375,2
lt_gallowsprison_n,12,0.44180000,8.94427191,2
lt_gallowsprison_n,13,0.30820000,8.54400375,2
lt_gallowsprison_n,14,0.31680000,9.48683298,2
lt_gallowsprison_n,15,0.57500000,11.40175425,2
lt_gallowsprison_n,16,0.40860000,8.06225775,2
lt_gallowsprison_n,17,0.53360000,11.40175425,2
lt_gallowsprison_n,18,0.30860000,11.00000000,2
lt_gallowsprison_n,19,0.37520000,10.04987562,2
lt_gallowsprison_n,20,0.36680000,14.00000000,2
lt_gallowsprison_n,21,0.33340000,13.34166406,2
lt_gallowsprison_n,22,2.43320000,11.00000000,3
lt_gallowsprison_n,23,1.45020000,13.90611709,3
lt_gallowsprison_n,24,0.38340000,14.21267040,2
lt_gallowsprison_n,25,0.46660000,14.31782106,2
lt_gallowsprison_n,26,0.31680000,13.89244399,2
lt_gallowsprison_n,27,1.52500000,14.80624847,3
lt_gallowsprison_n,28,0.53340000,13.60147051,2
lt_gallowsprison_n,29,0.39180000,11.18033989,2
lt_gallowsprison_n,30,0.57520000,19.00000000,2
lt_gallowsprison_n,31,0.35840000,16.15549442,2
lt_gallowsprison_n,32,0.39980000,18.43908891,2
lt_gallowsprison_n,33,0.30000000,15.23154621,2
lt_gallowsprison_n,34,0.37500000,18.43908891,2
