Map,Query Number,Time,Distance,Path Length
lt_gallowstemplar,0,1.59980000,6.70820393,2
lt_gallowstemplar,1,0.43320000,5.00000000,2
lt_gallowstemplar,2,0.60000000,5.83095189,2
lt_gallowstemplar,3,0.37520000,5.00000000,2
lt_gallowstemplar,4,0.39180000,7.07106781,2
lt_gallowstemplar,5,0.55820000,4.00000000,2
lt_gallowstemplar,6,0.46640000,6.08276253,2
lt_gallowstemplar,7,0.45000000,5.09901951,2
lt_gallowstemplar,8,0.41660000,6.40312424,2
lt_gallowstemplar,9,2.44140000,6.83095189,3
lt_gallowstemplar,10,0.50820000,10.77032961,2
lt_gallowstemplar,11,0.34140000,8.60232527,2
lt_gallowstemplar,12,0.45020000,8.94427191,2
lt_gallowstemplar,13,0.47540000,10.00000000,2
lt_gallowstemplar,14,0.44180000,10.81665383,2
lt_gallowstemplar,15,0.59180000,10.63014581,2
lt_gallowstemplar,16,0.49980000,7.61577311,2
lt_gallowstemplar,17,1.81660000,10.48227923,3
lt_gallowstemplar,18,0.42500000,8.60232527,2
lt_gallowstemplar,19,0.30840000,9.89949494,2
lt_gallowstemplar,20,0.51660000,13.34166406,2
lt_gallowstemplar,21,0.29160000,14.42220510,2
lt_gallowstemplar,22,0.38320000,15.13274595,2
lt_gallowstemplar,23,0.29980000,14.00000000,2
lt_gallowstemplar,24,2.56660000,13.84885780,4
lt_gallowstemplar,25,0.45000000,12.64911064,2
lt_gallowstemplar,26,0.26660000,14.86606875,2
lt_gallowstemplar,27,0.30020000,12.36931688,2
lt_gallowstemplar,28,0.51680000,13.60147051,2
lt_gallowstemplar,29,0.34980000,14.76482306,2
lt_gallowstemplar,30,1.20840000,17.51749697,4
lt_gallowstemplar,31,0.51680000,15.23154621,2
lt_gallowstemplar,32,0.61660000,19.00000000,2
lt_gallowstemplar,33,0.50840000,15.29705854,2
lt_gallowstemplar,34,0.28320000,16.27882060,2
lt_gallowstemplar,35,0.45820000,15.81138830,2
lt_gallowstemplar,36,0.30000000,19.20937271,2
lt_gallowstemplar,37,0.74180000,15.81138830,2
lt_gallowstemplar,38,0.35820000,16.40121947,2
lt_gallowstemplar,39,1.76660000,18.32455532,3
lt_gallowstemplar,40,0.44180000,20.02498439,2
lt_gallowstemplar,41,0.45820000,18.97366596,2
lt_gallowstemplar,42,1.77500000,19.41758348,3
lt_gallowstemplar,43,0.40000000,20.09975124,2
lt_gallowstemplar,44,0.38320000,21.02379604,2
lt_gallowstemplar,45,0.27520000,20.09975124,2
lt_gallowstemplar,46,1.66700000,20.83095189,3
lt_gallowstemplar,47,2.00860000,21.26042500,5
lt_gallowstemplar,48,1.62480000,19.34236764,4
lt_gallowstemplar,49,0.41680000,21.37755833,2
lt_gallowstemplar,50,0.28360000,25.00000000,2
lt_gallowstemplar,51,1.35820000,21.70688988,3
lt_gallowstemplar,52,2.79140000,24.28010989,4
lt_gallowstemplar,53,1.80820000,23.51231581,4
lt_gallowstemplar,54,0.52520000,26.00000000,2
lt_gallowstemplar,55,1.57500000,26.34265009,4
lt_gallowstemplar,56,2.24980000,24.75566021,3
lt_gallowstemplar,57,0.80820000,25.96150997,2
lt_gallowstemplar,58,1.83320000,23.40093456,3
lt_gallowstemplar,59,1.34160000,23.23990205,5
lt_gallowstemplar,60,2.11660000,27.35622587,3
lt_gallowstemplar,61,1.97480000,28.35171664,5
lt_gallowstemplar,62,1.27520000,29.83095189,3
lt_gallowstemplar,63,0.68320000,29.27456234,2
lt_gallowstemplar,64,0.48340000,28.44292531,2
lt_gallowstemplar,65,0.60820000,29.83286778,2
lt_gallowstemplar,66,1.40860000,27.69875438,6
lt_gallowstemplar,67,0.42520000,30.00000000,2
lt_gallowstemplar,68,1.55020000,28.07106781,4
lt_gallowstemplar,69,1.97500000,25.74979851,6
lt_gallowstemplar,70,0.64980000,32.80243893,2
lt_gallowstemplar,71,0.68340000,33.24154028,2
lt_gallowstemplar,72,0.50020000,33.24154028,2
lt_gallowstemplar,73,1.36680000,32.83685457,3
lt_gallowstemplar,74,0.41680000,33.10589071,2
lt_gallowstemplar,75,1.50000000,30.85451941,7
lt_gallowstemplar,76,0.89180000,31.24099870,2
lt_gallowstemplar,77,1.66660000,31.02775638,3
lt_gallowstemplar,78,0.60840000,32.75667871,2
lt_gallowstemplar,79,1.27500000,29.84084317,3
lt_gallowstemplar,80,1.41640000,35.62340273,4
lt_gallowstemplar,81,2.28320000,38.07680962,5
lt_gallowstemplar,82,0.94180000,37.48332963,2
lt_gallowstemplar,83,2.18340000,37.12425209,4
lt_gallowstemplar,84,1.87500000,37.20556908,7
lt_gallowstemplar,85,1.96660000,31.64917357,6
lt_gallowstemplar,86,2.02500000,35.68711080,3
lt_gallowstemplar,87,0.49160000,34.52535300,2
lt_gallowstemplar,88,0.77480000,37.01351105,2
lt_gallowstemplar,89,1.98340000,36.46957560,7
lt_gallowstemplar,90,1.19180000,37.31370850,6
lt_gallowstemplar,91,1.15840000,37.49242250,4
lt_gallowstemplar,92,1.11680000,40.26863134,4
lt_gallowstemplar,93,0.77480000,40.24922359,2
lt_gallowstemplar,94,1.19980000,41.75324530,4
lt_gallowstemplar,95,1.05840000,38.30150389,4
lt_gallowstemplar,96,1.58340000,40.12328436,6
lt_gallowstemplar,97,1.19180000,38.67017498,6
lt_gallowstemplar,98,1.55860000,40.01851217,3
lt_gallowstemplar,99,1.43360000,39.37344678,4
lt_gallowstemplar,100,0.90000000,41.23105626,2
lt_gallowstemplar,101,1.59140000,42.09149815,5
lt_gallowstemplar,102,0.54980000,41.14608122,2
lt_gallowstemplar,103,1.76660000,40.88029907,3
lt_gallowstemplar,104,1.57500000,41.33038234,6
lt_gallowstemplar,105,1.54160000,46.25699922,4
lt_gallowstemplar,106,2.03320000,44.12999394,3
lt_gallowstemplar,107,1.50000000,45.18178280,3
lt_gallowstemplar,108,1.75020000,44.96965558,4
lt_gallowstemplar,109,1.64180000,43.56856938,3
lt_gallowstemplar,110,0.63340000,47.67598976,2
lt_gallowstemplar,111,1.55020000,49.76021267,4
lt_gallowstemplar,112,0.73300000,45.22167622,2
lt_gallowstemplar,113,2.04140000,47.01168656,5
lt_gallowstemplar,114,1.33320000,46.53040511,3
lt_gallowstemplar,115,1.72520000,48.25175203,7
lt_gallowstemplar,116,1.96680000,48.52588875,3
lt_gallowstemplar,117,1.30860000,47.80273425,4
lt_gallowstemplar,118,1.42520000,45.63281777,4
lt_gallowstemplar,119,0.49160000,45.54119015,2
lt_gallowstemplar,120,2.62540000,52.54788030,5
lt_gallowstemplar,121,1.40000000,51.81243219,3
lt_gallowstemplar,122,1.32480000,53.13135280,5
lt_gallowstemplar,123,1.31660000,50.99776587,4
lt_gallowstemplar,124,2.29980000,49.96179477,3
lt_gallowstemplar,125,1.50840000,49.28894809,5
lt_gallowstemplar,126,1.71680000,48.87103385,5
lt_gallowstemplar,127,1.12500000,50.82509574,7
lt_gallowstemplar,128,1.77520000,51.18512140,5
lt_gallowstemplar,129,1.10000000,50.21461643,4
lt_gallowstemplar,130,1.65840000,52.25538112,4
lt_gallowstemplar,131,1.45820000,55.46851556,7
lt_gallowstemplar,132,1.74980000,56.60147051,4
lt_gallowstemplar,133,1.43360000,52.42104077,4
lt_gallowstemplar,134,1.32520000,54.39548976,4
lt_gallowstemplar,135,3.12500000,50.99582517,7
lt_gallowstemplar,136,1.60820000,53.53658995,5
lt_gallowstemplar,137,1.03360000,57.02629759,5
lt_gallowstemplar,138,3.35020000,54.09381731,8
lt_gallowstemplar,139,1.50840000,52.58165456,5
lt_gallowstemplar,140,1.20020000,58.24215007,6
lt_gallowstemplar,141,1.26680000,55.01423137,6
lt_gallowstemplar,142,1.15820000,59.17039563,5
lt_gallowstemplar,143,2.08340000,57.94605512,6
lt_gallowstemplar,144,1.49160000,59.16157127,5
lt_gallowstemplar,145,0.58340000,60.03332408,2
lt_gallowstemplar,146,1.35840000,55.62917623,4
lt_gallowstemplar,147,1.49960000,59.59586206,6
lt_gallowstemplar,148,1.69980000,58.30240934,5
lt_gallowstemplar,149,1.34180000,57.39560146,6
lt_gallowstemplar,150,1.80840000,62.40357720,7
lt_gallowstemplar,151,1.61680000,64.89840409,7
lt_gallowstemplar,152,1.86660000,62.80686894,5
lt_gallowstemplar,153,1.25820000,64.66106493,3
lt_gallowstemplar,154,1.18320000,61.52692798,6
lt_gallowstemplar,155,1.72480000,62.17307441,4
lt_gallowstemplar,156,1.30800000,61.42178107,6
lt_gallowstemplar,157,1.52480000,62.60756775,5
lt_gallowstemplar,158,1.60020000,64.29989243,4
lt_gallowstemplar,159,1.40020000,62.39186263,7
lt_gallowstemplar,160,2.09980000,61.50993357,5
lt_gallowstemplar,161,1.25840000,66.54400251,5
lt_gallowstemplar,162,2.01680000,68.42555426,4
lt_gallowstemplar,163,1.61680000,61.95893128,9
lt_gallowstemplar,164,1.81680000,66.39549682,10
lt_gallowstemplar,165,1.98340000,69.48132609,3
lt_gallowstemplar,166,1.20000000,62.49540968,6
lt_gallowstemplar,167,2.40020000,62.89904622,5
lt_gallowstemplar,168,2.02500000,64.13332009,6
lt_gallowstemplar,169,0.83320000,68.00000000,2
lt_gallowstemplar,170,1.49180000,69.55464172,9
lt_gallowstemplar,171,1.40840000,71.01514804,6
lt_gallowstemplar,172,1.86680000,66.35369007,4
lt_gallowstemplar,173,1.97520000,67.41236930,6
lt_gallowstemplar,174,1.56700000,70.52375634,3
lt_gallowstemplar,175,2.54160000,68.55764119,5
lt_gallowstemplar,176,1.23340000,71.60084744,4
lt_gallowstemplar,177,1.41680000,70.02189039,5
lt_gallowstemplar,178,1.84180000,73.49038003,5
lt_gallowstemplar,179,1.21660000,70.02189039,5
lt_gallowstemplar,180,1.54160000,76.49419504,3
lt_gallowstemplar,181,1.39160000,74.91507340,6
lt_gallowstemplar,182,1.80000000,72.09617910,6
lt_gallowstemplar,183,1.91640000,72.04630856,5
lt_gallowstemplar,184,2.29180000,69.70914805,7
lt_gallowstemplar,185,1.31660000,76.44788183,3
lt_gallowstemplar,186,1.35820000,74.98073044,11
lt_gallowstemplar,187,1.60000000,72.14191468,5
lt_gallowstemplar,188,1.28340000,78.76883581,4
lt_gallowstemplar,189,1.24140000,71.74483450,7
lt_gallowstemplar,190,1.67520000,75.38023555,7
lt_gallowstemplar,191,1.23360000,76.43466435,5
lt_gallowstemplar,192,2.73320000,78.77555266,5
lt_gallowstemplar,193,1.69140000,77.26485172,5
lt_gallowstemplar,194,1.50840000,79.61021544,4
lt_gallowstemplar,195,1.62500000,72.18234584,10
lt_gallowstemplar,196,1.62520000,77.43452048,11
lt_gallowstemplar,197,0.92500000,80.09993758,2
lt_gallowstemplar,198,1.71660000,77.97034936,6
lt_gallowstemplar,199,1.47460000,76.03366314,6
lt_gallowstemplar,200,2.15840000,78.67246561,4
lt_gallowstemplar,201,2.09180000,79.92190068,5
lt_gallowstemplar,202,1.22500000,80.18160156,6
lt_gallowstemplar,203,1.50020000,78.14381237,5
lt_gallowstemplar,204,1.33360000,76.33986673,7
lt_gallowstemplar,205,1.35000000,80.79635099,8
lt_gallowstemplar,206,1.48320000,78.72027776,5
lt_gallowstemplar,207,1.59140000,78.58667649,7
lt_gallowstemplar,208,1.71660000,81.97680562,4
lt_gallowstemplar,209,2.10820000,82.51866219,6
lt_gallowstemplar,210,0.80000000,87.46427842,2
lt_gallowstemplar,211,0.99180000,87.05510242,6
lt_gallowstemplar,212,1.93320000,84.32756462,5
lt_gallowstemplar,213,1.32520000,84.54214225,6
lt_gallowstemplar,214,1.15840000,83.04295368,5
lt_gallowstemplar,215,1.75840000,80.79625525,9
lt_gallowstemplar,216,1.33320000,83.60891964,4
lt_gallowstemplar,217,1.85000000,82.30911554,6
lt_gallowstemplar,218,1.21660000,83.61308295,5
lt_gallowstemplar,219,1.51680000,83.95137150,5
lt_gallowstemplar,220,1.24980000,86.15071192,6
lt_gallowstemplar,221,1.55000000,89.36342419,10
lt_gallowstemplar,222,1.31660000,88.25338736,6
lt_gallowstemplar,223,1.23340000,88.44785027,11
lt_gallowstemplar,224,1.33300000,86.68094298,7
lt_gallowstemplar,225,1.44160000,88.69947720,5
lt_gallowstemplar,226,1.39200000,93.00000000,2
lt_gallowstemplar,227,1.50820000,85.64908621,7
lt_gallowstemplar,228,1.14980000,90.49080716,3
lt_gallowstemplar,229,1.53320000,89.16103297,5
lt_gallowstemplar,230,1.69160000,95.39047122,8
lt_gallowstemplar,231,1.64160000,92.95482649,7
lt_gallowstemplar,232,1.53360000,98.04835627,4
lt_gallowstemplar,233,2.63360000,90.55677090,10
lt_gallowstemplar,234,1.33340000,97.17666898,4
lt_gallowstemplar,235,1.35000000,88.61600727,6
lt_gallowstemplar,236,1.29180000,92.00755443,7
