Map,Query Number,Time,Distance,Path Length
lt_gallowstemplar_f,0,0.90840000,5.09901951,2
lt_gallowstemplar_f,1,0.42480000,5.38516481,2
lt_gallowstemplar_f,2,0.36640000,6.40312424,2
lt_gallowstemplar_f,3,0.47500000,4.47213595,2
lt_gallowstemplar_f,4,0.54180000,5.65685425,2
lt_gallowstemplar_f,5,0.33340000,4.00000000,2
lt_gallowstemplar_f,6,0.45020000,7.28010989,2
lt_gallowstemplar_f,7,0.59200000,5.00000000,2
lt_gallowstemplar_f,8,0.34180000,7.28010989,2
lt_gallowstemplar_f,9,0.34980000,7.28010989,2
lt_gallowstemplar_f,10,0.47520000,11.04536102,2
lt_gallowstemplar_f,11,0.45840000,9.89949494,2
lt_gallowstemplar_f,12,0.57500000,8.00000000,2
lt_gallowstemplar_f,13,0.36680000,10.81665383,2
lt_gallowstemplar_f,14,1.97500000,11.12310563,3
lt_gallowstemplar_f,15,0.41640000,10.04987562,2
lt_gallowstemplar_f,16,0.47480000,10.00000000,2
lt_gallowstemplar_f,17,0.59180000,8.54400375,2
lt_gallowstemplar_f,18,0.36700000,9.84885780,2
lt_gallowstemplar_f,19,0.48360000,8.06225775,2
lt_gallowstemplar_f,20,2.11680000,14.82687566,4
lt_gallowstemplar_f,21,0.39160000,12.80624847,2
lt_gallowstemplar_f,22,0.29140000,13.00000000,2
lt_gallowstemplar_f,23,1.70840000,13.69168041,3
lt_gallowstemplar_f,24,0.27520000,12.04159458,2
lt_gallowstemplar_f,25,0.40000000,15.13274595,2
lt_gallowstemplar_f,26,0.31680000,14.31782106,2
lt_gallowstemplar_f,27,1.53360000,12.18033989,3
lt_gallowstemplar_f,28,0.45840000,14.42220510,2
lt_gallowstemplar_f,29,0.30000000,14.03566885,2
lt_gallowstemplar_f,30,1.67500000,17.15294644,4
lt_gallowstemplar_f,31,1.60000000,16.12310563,4
lt_gallowstemplar_f,32,0.34160000,16.55294536,2
lt_gallowstemplar_f,33,0.32480000,18.02775638,2
lt_gallowstemplar_f,34,1.99160000,14.80722345,5
lt_gallowstemplar_f,35,0.44160000,18.38477631,2
lt_gallowstemplar_f,36,1.75000000,18.04987562,3
lt_gallowstemplar_f,37,0.27500000,16.12451550,2
lt_gallowstemplar_f,38,0.46660000,16.12451550,2
lt_gallowstemplar_f,39,0.65820000,17.26267650,2
lt_gallowstemplar_f,40,1.43320000,19.81822168,4
lt_gallowstemplar_f,41,1.50000000,22.25794927,3
lt_gallowstemplar_f,42,0.55840000,18.86796226,2
lt_gallowstemplar_f,43,1.64180000,22.20379578,3
lt_gallowstemplar_f,44,0.75860000,21.21320344,2
lt_gallowstemplar_f,45,0.70000000,22.02271555,2
lt_gallowstemplar_f,46,2.04140000,20.96884550,6
lt_gallowstemplar_f,47,0.47500000,20.09975124,2
lt_gallowstemplar_f,48,1.20840000,20.62763038,3
lt_gallowstemplar_f,49,0.31660000,21.21320344,2
lt_gallowstemplar_f,50,0.41680000,25.45584412,2
lt_gallowstemplar_f,51,0.45840000,25.07987241,2
lt_gallowstemplar_f,52,0.81660000,26.01922366,2
lt_gallowstemplar_f,53,0.75040000,22.56102835,2
lt_gallowstemplar_f,54,1.47520000,25.04159458,3
lt_gallowstemplar_f,55,0.57520000,26.00000000,2
lt_gallowstemplar_f,56,0.43320000,26.90724809,2
lt_gallowstemplar_f,57,0.44980000,23.43074903,2
lt_gallowstemplar_f,58,0.61660000,25.49509757,2
lt_gallowstemplar_f,59,0.83340000,23.76972865,2
lt_gallowstemplar_f,60,0.58380000,27.73084925,2
lt_gallowstemplar_f,61,1.13360000,27.50028068,3
lt_gallowstemplar_f,62,1.32480000,26.29731480,3
lt_gallowstemplar_f,63,1.37520000,26.16780943,3
lt_gallowstemplar_f,64,0.52480000,27.29468813,2
lt_gallowstemplar_f,65,1.38340000,28.60147051,3
lt_gallowstemplar_f,66,0.70820000,29.06888371,2
lt_gallowstemplar_f,67,1.75840000,29.14281475,3
lt_gallowstemplar_f,68,1.53340000,28.71346640,5
lt_gallowstemplar_f,69,1.92500000,27.33865312,3
lt_gallowstemplar_f,70,0.55800000,33.83784863,2
lt_gallowstemplar_f,71,1.43300000,29.18536337,6
lt_gallowstemplar_f,72,1.89980000,33.23896799,3
lt_gallowstemplar_f,73,3.02500000,33.68461609,5
lt_gallowstemplar_f,74,1.35820000,31.15475947,3
lt_gallowstemplar_f,75,2.39980000,31.81196963,4
lt_gallowstemplar_f,76,0.44140000,32.64965543,2
lt_gallowstemplar_f,77,0.68340000,29.73213749,2
lt_gallowstemplar_f,78,1.47520000,32.92831170,4
lt_gallowstemplar_f,79,1.37520000,34.13306478,3
lt_gallowstemplar_f,80,3.59180000,36.83281573,3
lt_gallowstemplar_f,81,2.05840000,35.48411559,6
lt_gallowstemplar_f,82,1.50820000,35.37135823,3
lt_gallowstemplar_f,83,1.59180000,35.61270651,3
lt_gallowstemplar_f,84,1.41680000,36.29587679,5
lt_gallowstemplar_f,85,0.52520000,38.20994635,2
lt_gallowstemplar_f,86,1.61640000,38.22532478,3
lt_gallowstemplar_f,87,2.19180000,34.73983268,3
lt_gallowstemplar_f,88,1.18320000,34.79115391,3
lt_gallowstemplar_f,89,1.64160000,36.68791346,3
lt_gallowstemplar_f,90,2.13340000,37.67463908,3
lt_gallowstemplar_f,91,1.74980000,39.37645460,3
lt_gallowstemplar_f,92,0.41680000,41.04875150,2
lt_gallowstemplar_f,93,1.21660000,36.44229098,4
lt_gallowstemplar_f,94,1.84160000,40.61794645,3
lt_gallowstemplar_f,95,1.37500000,41.08308205,4
lt_gallowstemplar_f,96,2.08360000,37.98717219,4
lt_gallowstemplar_f,97,0.67520000,39.96248241,2
lt_gallowstemplar_f,98,1.54980000,37.00827546,5
lt_gallowstemplar_f,99,1.32500000,41.30559729,3
lt_gallowstemplar_f,100,1.77500000,45.24530436,4
lt_gallowstemplar_f,101,1.20000000,42.72623184,4
lt_gallowstemplar_f,102,1.41660000,44.29468813,4
lt_gallowstemplar_f,103,1.39140000,43.97793283,3
lt_gallowstemplar_f,104,1.16660000,42.60661898,3
lt_gallowstemplar_f,105,0.89180000,43.41658669,2
lt_gallowstemplar_f,106,1.70840000,44.91268105,3
lt_gallowstemplar_f,107,1.54160000,44.84151245,3
lt_gallowstemplar_f,108,1.48340000,42.66359691,6
lt_gallowstemplar_f,109,1.21680000,44.18942102,5
lt_gallowstemplar_f,110,1.76680000,48.42729759,4
lt_gallowstemplar_f,111,1.39180000,48.89831863,4
lt_gallowstemplar_f,112,0.53300000,50.00999900,2
lt_gallowstemplar_f,113,4.11640000,47.88728896,4
lt_gallowstemplar_f,114,1.88320000,44.13274595,5
lt_gallowstemplar_f,115,1.62520000,46.24619991,4
lt_gallowstemplar_f,116,2.10020000,46.95241137,7
lt_gallowstemplar_f,117,2.06660000,48.32005459,7
lt_gallowstemplar_f,118,1.28320000,48.48848551,7
lt_gallowstemplar_f,119,1.03360000,46.14421021,5
lt_gallowstemplar_f,120,1.13340000,52.16238064,3
lt_gallowstemplar_f,121,1.35840000,49.66429577,3
lt_gallowstemplar_f,122,1.60020000,49.26265497,4
lt_gallowstemplar_f,123,1.44980000,52.09363081,3
lt_gallowstemplar_f,124,2.80820000,52.05851663,4
lt_gallowstemplar_f,125,1.59160000,50.81666326,4
lt_gallowstemplar_f,126,1.35840000,52.94504770,3
lt_gallowstemplar_f,127,1.70820000,53.22347294,5
lt_gallowstemplar_f,128,1.66680000,49.63130905,8
lt_gallowstemplar_f,129,1.04160000,50.18453413,4
lt_gallowstemplar_f,130,1.35820000,55.18344443,7
lt_gallowstemplar_f,131,1.34160000,53.31012206,5
lt_gallowstemplar_f,132,0.62520000,58.13776741,2
lt_gallowstemplar_f,133,1.41680000,53.69826183,5
lt_gallowstemplar_f,134,1.19160000,56.05647076,3
lt_gallowstemplar_f,135,1.22500000,54.87957979,4
lt_gallowstemplar_f,136,1.69180000,51.88992745,6
lt_gallowstemplar_f,137,1.50840000,54.31618844,6
lt_gallowstemplar_f,138,1.50000000,55.26871944,4
lt_gallowstemplar_f,139,1.95840000,57.21589048,6
lt_gallowstemplar_f,140,1.76680000,60.42787794,5
lt_gallowstemplar_f,141,1.50840000,57.69059856,5
lt_gallowstemplar_f,142,1.54180000,55.25213252,6
lt_gallowstemplar_f,143,1.44980000,57.76361814,4
lt_gallowstemplar_f,144,1.07500000,59.20178558,4
lt_gallowstemplar_f,145,1.49980000,57.93777209,7
lt_gallowstemplar_f,146,1.05820000,60.27379040,4
lt_gallowstemplar_f,147,1.41660000,61.18529059,6
lt_gallowstemplar_f,148,1.45840000,60.55263526,5
lt_gallowstemplar_f,149,1.56640000,58.98006355,7
lt_gallowstemplar_f,150,1.60000000,60.03332188,5
lt_gallowstemplar_f,151,1.35860000,60.76919450,5
lt_gallowstemplar_f,152,1.39180000,62.94367646,7
lt_gallowstemplar_f,153,1.34180000,63.80353197,6
lt_gallowstemplar_f,154,1.89160000,58.91050839,7
lt_gallowstemplar_f,155,1.86680000,64.25772399,5
lt_gallowstemplar_f,156,1.10000000,59.22218951,5
lt_gallowstemplar_f,157,1.54960000,61.91123064,7
lt_gallowstemplar_f,158,1.74980000,63.61478461,9
lt_gallowstemplar_f,159,1.61660000,62.63846616,8
lt_gallowstemplar_f,160,1.34180000,63.28358329,6
lt_gallowstemplar_f,161,1.46660000,66.59311728,6
lt_gallowstemplar_f,162,1.57520000,64.12785962,5
lt_gallowstemplar_f,163,1.27520000,64.23609023,5
lt_gallowstemplar_f,164,1.53300000,65.63604672,6
lt_gallowstemplar_f,165,1.23320000,64.55332793,7
lt_gallowstemplar_f,166,1.56640000,65.97020416,4
lt_gallowstemplar_f,167,1.93340000,63.09606740,6
lt_gallowstemplar_f,168,1.27520000,66.60884729,6
lt_gallowstemplar_f,169,1.40020000,65.76134930,5
lt_gallowstemplar_f,170,1.70840000,68.61957490,8
lt_gallowstemplar_f,171,1.33320000,71.72940022,4
lt_gallowstemplar_f,172,1.80860000,70.17461906,3
lt_gallowstemplar_f,173,1.48360000,71.21994778,6
lt_gallowstemplar_f,174,1.70860000,70.53474681,11
lt_gallowstemplar_f,175,1.50000000,69.80089150,5
lt_gallowstemplar_f,176,2.52520000,70.15281048,10
lt_gallowstemplar_f,177,1.40840000,67.61535418,5
lt_gallowstemplar_f,178,1.30000000,68.17790980,6
lt_gallowstemplar_f,179,1.95020000,69.20021569,6
lt_gallowstemplar_f,180,2.07520000,70.45991396,8
lt_gallowstemplar_f,181,1.66660000,73.22766053,5
lt_gallowstemplar_f,182,1.23340000,75.42146124,7
lt_gallowstemplar_f,183,1.59200000,71.89763262,6
lt_gallowstemplar_f,184,1.65040000,73.22166440,6
lt_gallowstemplar_f,185,1.61680000,71.95015961,7
lt_gallowstemplar_f,186,1.53340000,72.03639093,10
lt_gallowstemplar_f,187,1.59140000,76.48683298,4
lt_gallowstemplar_f,188,1.16640000,75.73115489,5
