Map,Query Number,Time,Distance,Path Length
lt_gamlenshouse_n,0,0.74140000,6.40312424,2
lt_gamlenshouse_n,1,1.22520000,7.33508749,3
lt_gamlenshouse_n,2,0.43340000,7.07106781,2
lt_gamlenshouse_n,3,0.40000000,7.07106781,2
lt_gamlenshouse_n,4,0.55840000,5.00000000,2
lt_gamlenshouse_n,5,0.29980000,4.47213595,2
lt_gamlenshouse_n,6,0.34980000,5.83095189,2
lt_gamlenshouse_n,7,0.39160000,6.70820393,2
lt_gamlenshouse_n,8,0.31660000,7.07106781,2
lt_gamlenshouse_n,9,0.31660000,5.00000000,2
lt_gamlenshouse_n,10,0.32500000,7.61577311,2
lt_gamlenshouse_n,11,0.45840000,11.31370850,2
lt_gamlenshouse_n,12,0.32500000,9.48683298,2
lt_gamlenshouse_n,13,1.66660000,10.20586816,3
lt_gamlenshouse_n,14,0.42480000,8.24621125,2
lt_gamlenshouse_n,15,0.31680000,9.05538514,2
lt_gamlenshouse_n,16,0.25840000,8.48528137,2
lt_gamlenshouse_n,17,0.28340000,9.00000000,2
lt_gamlenshouse_n,18,0.44180000,10.44030651,2
lt_gamlenshouse_n,19,0.34160000,8.24621125,2
lt_gamlenshouse_n,20,0.36660000,13.34166406,2
lt_gamlenshouse_n,21,0.43340000,12.36931688,2
lt_gamlenshouse_n,22,0.30820000,11.70469991,2
lt_gamlenshouse_n,23,0.36640000,13.03840481,2
lt_gamlenshouse_n,24,0.70020000,12.66190379,3
lt_gamlenshouse_n,25,0.26660000,15.13274595,2
lt_gamlenshouse_n,26,0.95040000,12.16227766,4
lt_gamlenshouse_n,27,0.34160000,13.15294644,2
lt_gamlenshouse_n,28,0.29180000,12.36931688,2
lt_gamlenshouse_n,29,0.54160000,13.03840481,2
lt_gamlenshouse_n,30,1.56640000,15.90306550,5
lt_gamlenshouse_n,31,0.75820000,16.50077376,3
lt_gamlenshouse_n,32,0.49160000,16.76305461,2
lt_gamlenshouse_n,33,1.06620000,17.12645295,4
lt_gamlenshouse_n,34,0.90820000,17.14851044,3
lt_gamlenshouse_n,35,0.88340000,17.91111555,3
lt_gamlenshouse_n,36,0.41660000,17.46424920,2
lt_gamlenshouse_n,37,0.65820000,15.86683194,3
lt_gamlenshouse_n,38,0.80820000,17.03121954,3
lt_gamlenshouse_n,39,0.90020000,16.12658204,3
lt_gamlenshouse_n,40,0.64200000,23.08679276,2
lt_gamlenshouse_n,41,0.93320000,19.23606798,4
lt_gamlenshouse_n,42,0.53340000,21.26029163,2
lt_gamlenshouse_n,43,0.77480000,18.60232527,3
lt_gamlenshouse_n,44,0.95840000,22.79898987,4
lt_gamlenshouse_n,45,0.52520000,19.64688270,2
lt_gamlenshouse_n,46,1.07500000,18.73304423,5
lt_gamlenshouse_n,47,0.70020000,21.20973394,3
lt_gamlenshouse_n,48,1.14160000,21.00524653,9
lt_gamlenshouse_n,49,0.44980000,19.31320792,2
lt_gamlenshouse_n,50,1.31700000,25.08907028,4
lt_gamlenshouse_n,51,1.09200000,26.40284484,5
lt_gamlenshouse_n,52,1.33360000,23.97524191,4
lt_gamlenshouse_n,53,1.05840000,24.52581151,4
lt_gamlenshouse_n,54,1.32520000,23.37368698,5
lt_gamlenshouse_n,55,1.00820000,23.33561805,3
lt_gamlenshouse_n,56,0.51660000,25.49509757,2
lt_gamlenshouse_n,57,1.54160000,22.72781490,6
lt_gamlenshouse_n,58,0.77500000,26.84191732,3
lt_gamlenshouse_n,59,0.70000000,22.86952465,4
lt_gamlenshouse_n,60,1.38320000,28.05149391,7
lt_gamlenshouse_n,61,0.90820000,29.02518994,3
lt_gamlenshouse_n,62,0.84180000,28.48388198,4
lt_gamlenshouse_n,63,0.88340000,26.63876778,4
lt_gamlenshouse_n,64,0.65860000,29.91332328,3
lt_gamlenshouse_n,65,0.87500000,26.06840412,3
lt_gamlenshouse_n,66,0.71660000,27.90466132,3
lt_gamlenshouse_n,67,1.09180000,28.16227766,6
lt_gamlenshouse_n,68,1.39180000,27.10032304,8
lt_gamlenshouse_n,69,0.95840000,27.65661196,5
lt_gamlenshouse_n,70,0.89160000,31.46386414,3
lt_gamlenshouse_n,71,0.83320000,34.26868044,3
lt_gamlenshouse_n,72,0.96660000,33.56323962,6
lt_gamlenshouse_n,73,0.71660000,32.54122885,5
lt_gamlenshouse_n,74,0.67520000,33.01514804,2
lt_gamlenshouse_n,75,0.63340000,32.00000000,2
lt_gamlenshouse_n,76,0.94980000,29.91838713,3
lt_gamlenshouse_n,77,0.69140000,31.99460083,3
lt_gamlenshouse_n,78,0.50820000,33.54101966,2
lt_gamlenshouse_n,79,0.98340000,32.57749892,6
lt_gamlenshouse_n,80,0.66700000,34.58070173,3
lt_gamlenshouse_n,81,1.01680000,36.09975124,4
lt_gamlenshouse_n,82,1.00860000,36.51848627,4
lt_gamlenshouse_n,83,1.18320000,35.41110541,4
lt_gamlenshouse_n,84,0.80000000,33.54491983,4
lt_gamlenshouse_n,85,0.75840000,33.48026378,5
lt_gamlenshouse_n,86,0.75020000,36.66299676,4
lt_gamlenshouse_n,87,0.68320000,35.27838860,4
lt_gamlenshouse_n,88,0.70800000,35.78651559,4
lt_gamlenshouse_n,89,0.85840000,38.33347334,6
lt_gamlenshouse_n,90,0.70820000,40.56825173,5
lt_gamlenshouse_n,91,0.64180000,38.75982212,6
lt_gamlenshouse_n,92,0.75840000,41.84853186,5
lt_gamlenshouse_n,93,1.07500000,38.38039790,7
lt_gamlenshouse_n,94,0.94180000,40.14517257,4
lt_gamlenshouse_n,95,0.87500000,40.50776734,4
lt_gamlenshouse_n,96,1.00000000,41.86796226,4
lt_gamlenshouse_n,97,0.75000000,40.19368653,6
lt_gamlenshouse_n,98,0.84140000,38.30657697,4
lt_gamlenshouse_n,99,0.65820000,38.11619241,4
lt_gamlenshouse_n,100,0.82500000,42.52997914,6
lt_gamlenshouse_n,101,1.01680000,41.72487453,6
lt_gamlenshouse_n,102,0.60840000,44.82457075,8
lt_gamlenshouse_n,103,1.05820000,43.19038560,9
lt_gamlenshouse_n,104,0.71700000,43.15085958,5
lt_gamlenshouse_n,105,1.01680000,45.11766322,6
lt_gamlenshouse_n,106,0.86660000,43.48384079,4
lt_gamlenshouse_n,107,0.79140000,45.12653921,3
lt_gamlenshouse_n,108,0.58300000,44.60733356,9
lt_gamlenshouse_n,109,0.92480000,42.67267489,5
lt_gamlenshouse_n,110,0.99160000,47.52881356,6
lt_gamlenshouse_n,111,0.74180000,47.27468321,5
lt_gamlenshouse_n,112,0.84140000,47.65963426,5
lt_gamlenshouse_n,113,0.93340000,47.17142470,8
lt_gamlenshouse_n,114,0.72500000,45.41630591,5
lt_gamlenshouse_n,115,0.84140000,48.41181548,5
lt_gamlenshouse_n,116,0.97500000,45.95367235,8
lt_gamlenshouse_n,117,0.89980000,46.46276786,5
lt_gamlenshouse_n,118,0.61640000,47.80419282,9
lt_gamlenshouse_n,119,0.89180000,47.81090950,5
lt_gamlenshouse_n,120,0.62500000,51.71113950,5
lt_gamlenshouse_n,121,1.05000000,51.22075463,8
lt_gamlenshouse_n,122,0.99180000,50.83798018,5
lt_gamlenshouse_n,123,0.90020000,49.33717188,6
lt_gamlenshouse_n,124,0.75020000,50.45690511,5
lt_gamlenshouse_n,125,0.95820000,48.86865364,6
lt_gamlenshouse_n,126,0.71640000,50.95293646,7
lt_gamlenshouse_n,127,0.83340000,50.24325966,6
lt_gamlenshouse_n,128,0.79180000,50.49679262,6
lt_gamlenshouse_n,129,0.82480000,48.94249677,6
