Map,Query Number,Time,Distance,Path Length
lt_hangedman,0,3.58300000,4.60555128,3
lt_hangedman,1,0.45860000,7.07106781,2
lt_hangedman,2,0.40840000,4.47213595,2
lt_hangedman,3,2.01640000,6.41421356,4
lt_hangedman,4,0.34160000,4.00000000,2
lt_hangedman,5,0.45820000,4.24264069,2
lt_hangedman,6,1.12480000,6.23606798,3
lt_hangedman,7,0.45840000,7.00000000,2
lt_hangedman,8,0.38340000,7.21110255,2
lt_hangedman,9,0.48320000,7.28010989,2
lt_hangedman,10,0.54980000,10.77032961,2
lt_hangedman,11,0.49980000,10.00000000,2
lt_hangedman,12,0.48320000,8.06225775,2
lt_hangedman,13,0.45860000,10.81665383,2
lt_hangedman,14,0.64160000,8.06225775,2
lt_hangedman,15,0.36660000,7.61577311,2
lt_hangedman,16,0.47480000,11.04536102,2
lt_hangedman,17,0.57480000,10.44030651,2
lt_hangedman,18,0.31640000,10.81665383,2
lt_hangedman,19,0.64980000,11.18033989,2
lt_hangedman,20,0.39160000,11.70469991,2
lt_hangedman,21,0.34160000,13.45362405,2
lt_hangedman,22,1.83340000,13.07446122,3
lt_hangedman,23,0.86680000,15.00000000,2
lt_hangedman,24,0.58320000,14.31782106,2
lt_hangedman,25,0.36660000,13.15294644,2
lt_hangedman,26,0.50000000,12.16552506,2
lt_hangedman,27,0.38320000,12.04159458,2
lt_hangedman,28,0.72480000,13.60147051,2
lt_hangedman,29,1.30840000,15.12310563,3
lt_hangedman,30,1.44160000,16.29987472,5
lt_hangedman,31,1.33340000,16.40175425,3
lt_hangedman,32,1.23340000,18.94427191,4
lt_hangedman,33,0.41680000,17.88854382,2
lt_hangedman,34,1.29180000,15.46792734,4
lt_hangedman,35,0.42520000,18.02775638,2
lt_hangedman,36,0.57500000,16.12451550,2
lt_hangedman,37,2.44160000,15.67803085,3
lt_hangedman,38,0.54160000,19.00000000,2
lt_hangedman,39,1.84180000,18.50823682,4
lt_hangedman,40,1.30820000,20.38901442,4
lt_hangedman,41,0.51660000,23.02172887,2
lt_hangedman,42,0.45820000,18.97366596,2
lt_hangedman,43,1.24160000,20.05306121,4
lt_hangedman,44,1.37520000,19.98963293,3
lt_hangedman,45,1.54160000,21.21267040,4
lt_hangedman,46,0.72500000,22.02271555,2
lt_hangedman,47,0.78380000,19.64688270,2
lt_hangedman,48,1.38340000,21.50942828,5
lt_hangedman,49,1.63340000,23.18726205,3
lt_hangedman,50,1.64180000,23.48528137,8
lt_hangedman,51,1.33320000,23.88660558,4
lt_hangedman,52,1.27500000,26.28262166,3
lt_hangedman,53,0.50000000,25.17935662,2
lt_hangedman,54,2.35840000,23.83095189,4
lt_hangedman,55,2.46700000,24.33440358,3
lt_hangedman,56,1.05860000,24.56214629,4
lt_hangedman,57,2.05840000,23.26240825,7
lt_hangedman,58,1.57480000,26.00582372,4
lt_hangedman,59,1.28320000,23.32572973,4
lt_hangedman,60,1.44160000,29.25574274,3
lt_hangedman,61,0.65000000,27.65863337,2
lt_hangedman,62,1.01660000,26.09736540,3
lt_hangedman,63,0.53340000,28.07133770,2
lt_hangedman,64,2.13360000,28.68584402,4
lt_hangedman,65,2.13360000,27.86735557,6
lt_hangedman,66,2.51640000,30.02004513,7
lt_hangedman,67,1.31640000,29.57442331,5
lt_hangedman,68,2.04160000,27.25585086,4
