Map,Query Number,Time,Distance,Path Length
lt_hangedman_n,0,2.17500000,5.38516481,2
lt_hangedman_n,1,0.34940000,4.12310563,2
lt_hangedman_n,2,0.37500000,6.00000000,2
lt_hangedman_n,3,0.65000000,7.07106781,2
lt_hangedman_n,4,0.35820000,4.47213595,2
lt_hangedman_n,5,0.53340000,5.09901951,2
lt_hangedman_n,6,0.36680000,6.08276253,2
lt_hangedman_n,7,0.35820000,6.32455532,2
lt_hangedman_n,8,0.31660000,6.00000000,2
lt_hangedman_n,9,0.34180000,5.09901951,2
lt_hangedman_n,10,0.60820000,8.00000000,2
lt_hangedman_n,11,0.40000000,9.05538514,2
lt_hangedman_n,12,3.36660000,9.85730076,3
lt_hangedman_n,13,0.41660000,8.24621125,2
lt_hangedman_n,14,0.55000000,8.00000000,2
lt_hangedman_n,15,0.35860000,7.61577311,2
lt_hangedman_n,16,8.57520000,10.00000000,2
lt_hangedman_n,17,0.54980000,9.48683298,2
lt_hangedman_n,18,0.57480000,8.24621125,2
lt_hangedman_n,19,0.59140000,10.77032961,2
lt_hangedman_n,20,2.68340000,14.38681307,3
lt_hangedman_n,21,0.45020000,12.16552506,2
lt_hangedman_n,22,1.75020000,13.54400375,3
lt_hangedman_n,23,1.62480000,14.56804390,4
lt_hangedman_n,24,0.38300000,13.41640786,2
lt_hangedman_n,25,0.74180000,11.40175425,2
lt_hangedman_n,26,0.70840000,14.86606875,2
lt_hangedman_n,27,2.40820000,12.12310563,5
lt_hangedman_n,28,0.41680000,12.80624847,2
lt_hangedman_n,29,0.67520000,12.64911064,2
lt_hangedman_n,30,0.43320000,15.62049935,2
lt_hangedman_n,31,1.29160000,16.60555128,4
lt_hangedman_n,32,1.65840000,17.28180221,3
lt_hangedman_n,33,1.79160000,18.11213337,3
lt_hangedman_n,34,0.91660000,17.11724277,2
lt_hangedman_n,35,0.45860000,16.12451550,2
lt_hangedman_n,36,0.58360000,15.81138830,2
lt_hangedman_n,37,2.24160000,16.40312424,3
lt_hangedman_n,38,2.26680000,16.12899020,5
lt_hangedman_n,39,0.58320000,17.46424920,2
lt_hangedman_n,40,1.05820000,19.40175425,4
lt_hangedman_n,41,1.67520000,20.03329638,3
lt_hangedman_n,42,1.76680000,20.09035957,4
lt_hangedman_n,43,0.46640000,20.12461180,2
lt_hangedman_n,44,1.66640000,19.85674828,3
lt_hangedman_n,45,1.41680000,21.34385450,5
lt_hangedman_n,46,0.78320000,23.00000000,2
lt_hangedman_n,47,2.45840000,19.59455345,5
lt_hangedman_n,48,0.63340000,19.23538406,2
lt_hangedman_n,49,1.33340000,21.81569063,3
lt_hangedman_n,50,1.54180000,22.18063616,4
lt_hangedman_n,51,2.22480000,26.03685943,3
lt_hangedman_n,52,1.06660000,24.12316938,3
lt_hangedman_n,53,1.78360000,25.08637640,4
lt_hangedman_n,54,2.10820000,24.36296013,5
lt_hangedman_n,55,0.66660000,24.51530134,2
lt_hangedman_n,56,1.54160000,22.88634951,4
lt_hangedman_n,57,1.31660000,23.16254505,3
lt_hangedman_n,58,0.78380000,25.49509757,2
lt_hangedman_n,59,1.12520000,22.25497826,4
lt_hangedman_n,60,0.67500000,31.00000000,2
lt_hangedman_n,61,1.34160000,28.96174290,3
lt_hangedman_n,62,2.20000000,29.46408918,7
lt_hangedman_n,63,2.15820000,28.66622666,5
lt_hangedman_n,64,1.44180000,28.05538514,5
lt_hangedman_n,65,0.58300000,29.83286778,2
lt_hangedman_n,66,1.58320000,27.51805252,5
lt_hangedman_n,67,0.96660000,30.01666204,2
lt_hangedman_n,68,2.55840000,27.70352505,4
lt_hangedman_n,69,1.39160000,29.31782106,3
lt_hangedman_n,70,2.79980000,31.56661048,6
lt_hangedman_n,71,1.95000000,30.81353516,5
lt_hangedman_n,72,1.33340000,32.91790335,3
lt_hangedman_n,73,2.06660000,32.92713949,5
lt_hangedman_n,74,0.88340000,35.00000000,2
lt_hangedman_n,75,2.05840000,29.86485698,4
lt_hangedman_n,76,2.48360000,30.91462760,3
lt_hangedman_n,77,1.42480000,32.56297133,6
lt_hangedman_n,78,2.30000000,32.36457994,8
lt_hangedman_n,79,1.66660000,33.39701596,4
lt_hangedman_n,80,3.27520000,34.26277849,6
lt_hangedman_n,81,2.49160000,35.46833639,8
lt_hangedman_n,82,3.33320000,35.57649122,7
lt_hangedman_n,83,2.02500000,34.51346208,5
lt_hangedman_n,84,1.35840000,36.12156389,6
lt_hangedman_n,85,2.45840000,32.83678613,7
lt_hangedman_n,86,1.46660000,33.50713983,4
lt_hangedman_n,87,1.65000000,33.87389020,9
lt_hangedman_n,88,0.50840000,36.34556369,2
lt_hangedman_n,89,1.69180000,32.20741320,7
lt_hangedman_n,90,2.28320000,38.94844912,6
lt_hangedman_n,91,1.27520000,37.39891948,8
lt_hangedman_n,92,1.47500000,39.16183930,6
