Map,Query Number,Time,Distance,Path Length
lt_ruinedhouse_n,0,0.94160000,6.70820393,2
lt_ruinedhouse_n,1,0.42520000,7.21110255,2
lt_ruinedhouse_n,2,0.34160000,5.00000000,2
lt_ruinedhouse_n,3,0.22480000,5.83095189,2
lt_ruinedhouse_n,4,0.21680000,6.40312424,2
lt_ruinedhouse_n,5,0.26680000,6.08276253,2
lt_ruinedhouse_n,6,0.44160000,5.09901951,2
lt_ruinedhouse_n,7,0.36660000,6.40312424,2
lt_ruinedhouse_n,8,0.24180000,5.65685425,2
lt_ruinedhouse_n,9,0.35820000,5.83095189,2
lt_ruinedhouse_n,10,0.33320000,9.43398113,2
lt_ruinedhouse_n,11,0.27480000,10.63014581,2
lt_ruinedhouse_n,12,0.34180000,11.18033989,2
lt_ruinedhouse_n,13,1.92500000,7.65685424,6
lt_ruinedhouse_n,14,0.90000000,8.31883051,3
lt_ruinedhouse_n,15,0.37500000,10.04987562,2
lt_ruinedhouse_n,16,0.35000000,9.84885780,2
lt_ruinedhouse_n,17,0.24160000,7.61577311,2
lt_ruinedhouse_n,18,0.34180000,8.06225775,2
lt_ruinedhouse_n,19,0.35020000,11.00000000,2
lt_ruinedhouse_n,20,0.25000000,14.00000000,2
lt_ruinedhouse_n,21,0.30000000,14.14213562,2
lt_ruinedhouse_n,22,0.29180000,13.03840481,2
lt_ruinedhouse_n,23,0.45860000,13.03840481,2
lt_ruinedhouse_n,24,0.89160000,10.99322956,4
lt_ruinedhouse_n,25,0.47500000,13.15294644,2
lt_ruinedhouse_n,26,0.41680000,14.21267040,2
lt_ruinedhouse_n,27,0.40860000,13.15294644,2
lt_ruinedhouse_n,28,0.95860000,10.70820393,4
lt_ruinedhouse_n,29,0.39160000,11.18033989,2
lt_ruinedhouse_n,30,0.25020000,16.03121954,2
lt_ruinedhouse_n,31,0.37500000,18.60107524,2
lt_ruinedhouse_n,32,1.03360000,18.40312424,4
lt_ruinedhouse_n,33,0.35840000,18.43908891,2
lt_ruinedhouse_n,34,1.08360000,16.01533972,3
lt_ruinedhouse_n,35,0.99180000,15.65685425,4
lt_ruinedhouse_n,36,0.33320000,16.12451550,2
lt_ruinedhouse_n,37,0.54180000,16.00000000,2
lt_ruinedhouse_n,38,0.49180000,16.03121954,2
lt_ruinedhouse_n,39,0.75860000,16.15537446,3
lt_ruinedhouse_n,40,0.41660000,20.88061302,2
lt_ruinedhouse_n,41,0.45000000,19.31320792,2
lt_ruinedhouse_n,42,0.87480000,21.81665383,4
lt_ruinedhouse_n,43,1.13340000,22.46742579,8
lt_ruinedhouse_n,44,0.32540000,20.80865205,2
lt_ruinedhouse_n,45,0.35840000,19.23538406,2
lt_ruinedhouse_n,46,0.91680000,20.42989763,6
lt_ruinedhouse_n,47,0.34160000,22.02271555,2
lt_ruinedhouse_n,48,0.24980000,21.02379604,2
lt_ruinedhouse_n,49,1.05840000,20.01528880,3
lt_ruinedhouse_n,50,0.34180000,25.70992026,2
lt_ruinedhouse_n,51,1.09160000,22.87844436,5
lt_ruinedhouse_n,52,1.20000000,23.21320342,10
lt_ruinedhouse_n,53,0.38320000,23.70653918,2
lt_ruinedhouse_n,54,1.28360000,26.31218533,6
lt_ruinedhouse_n,55,0.95840000,23.44334883,3
lt_ruinedhouse_n,56,0.54160000,24.02082430,2
lt_ruinedhouse_n,57,1.36680000,26.77328307,9
lt_ruinedhouse_n,58,0.90020000,25.30698474,5
lt_ruinedhouse_n,59,0.54180000,23.53720459,2
lt_ruinedhouse_n,60,0.89160000,26.25284084,4
lt_ruinedhouse_n,61,1.05840000,28.43043514,6
lt_ruinedhouse_n,62,0.94980000,28.44503597,3
lt_ruinedhouse_n,63,1.27500000,29.72792205,9
lt_ruinedhouse_n,64,1.08320000,26.42683077,13
lt_ruinedhouse_n,65,1.00820000,28.48512982,5
lt_ruinedhouse_n,66,0.71660000,27.88007734,4
lt_ruinedhouse_n,67,0.91660000,29.17950052,4
lt_ruinedhouse_n,68,0.46640000,26.92582404,2
lt_ruinedhouse_n,69,1.20840000,29.78653055,9
lt_ruinedhouse_n,70,0.64980000,30.73213749,3
lt_ruinedhouse_n,71,0.81660000,32.58144760,5
lt_ruinedhouse_n,72,0.66680000,30.95777464,3
lt_ruinedhouse_n,73,1.13340000,32.51352399,13
lt_ruinedhouse_n,74,0.88340000,31.67480754,6
lt_ruinedhouse_n,75,0.35860000,33.06055051,2
lt_ruinedhouse_n,76,0.88360000,34.11077028,4
lt_ruinedhouse_n,77,1.22520000,34.76652526,7
lt_ruinedhouse_n,78,0.68320000,31.17785779,7
lt_ruinedhouse_n,79,0.48320000,34.05877273,2
lt_ruinedhouse_n,80,0.95000000,35.83516977,10
lt_ruinedhouse_n,81,1.41680000,33.88341647,10
lt_ruinedhouse_n,82,0.84140000,35.62637991,5
lt_ruinedhouse_n,83,0.75840000,34.52417470,4
lt_ruinedhouse_n,84,0.95000000,34.94746651,10
lt_ruinedhouse_n,85,0.95860000,34.99160048,8
lt_ruinedhouse_n,86,0.53360000,33.83784863,2
lt_ruinedhouse_n,87,0.85820000,35.23876812,3
lt_ruinedhouse_n,88,1.10840000,34.75475761,4
lt_ruinedhouse_n,89,0.80860000,36.84885780,4
lt_ruinedhouse_n,90,0.94160000,38.82378877,5
lt_ruinedhouse_n,91,0.56660000,38.19273079,4
lt_ruinedhouse_n,92,0.97500000,39.18154610,9
lt_ruinedhouse_n,93,0.55840000,38.01315562,2
lt_ruinedhouse_n,94,0.84160000,39.25573887,6
lt_ruinedhouse_n,95,1.36660000,41.14049364,7
lt_ruinedhouse_n,96,0.86660000,38.60814451,9
lt_ruinedhouse_n,97,0.77480000,39.47238294,10
lt_ruinedhouse_n,98,0.67500000,39.85632904,10
lt_ruinedhouse_n,99,0.83380000,40.89907281,9
lt_ruinedhouse_n,100,1.01660000,41.56882533,11
lt_ruinedhouse_n,101,0.90820000,43.50016578,6
lt_ruinedhouse_n,102,0.84180000,43.39970530,7
lt_ruinedhouse_n,103,0.95840000,44.75900242,9
lt_ruinedhouse_n,104,0.90000000,42.76258919,10
lt_ruinedhouse_n,105,0.81680000,42.13792321,7
lt_ruinedhouse_n,106,0.94180000,43.80159371,9
lt_ruinedhouse_n,107,0.90020000,42.80948508,3
lt_ruinedhouse_n,108,0.91700000,43.53260486,15
lt_ruinedhouse_n,109,0.61660000,41.96678098,10
lt_ruinedhouse_n,110,0.75000000,49.06845866,9
lt_ruinedhouse_n,111,0.62520000,46.50504307,9
lt_ruinedhouse_n,112,1.17500000,47.52442741,11
lt_ruinedhouse_n,113,1.00840000,49.00145481,11
lt_ruinedhouse_n,114,1.35860000,49.75251377,16
lt_ruinedhouse_n,115,0.65000000,46.88028691,10
lt_ruinedhouse_n,116,0.99140000,47.09525450,12
lt_ruinedhouse_n,117,1.01660000,45.95167047,10
lt_ruinedhouse_n,118,0.87480000,46.50849753,6
lt_ruinedhouse_n,119,0.60820000,46.81405015,9
lt_ruinedhouse_n,120,0.85020000,50.06747198,9
lt_ruinedhouse_n,121,1.39200000,52.76074253,17
lt_ruinedhouse_n,122,1.32520000,51.50381568,16
lt_ruinedhouse_n,123,0.91640000,50.89539224,7
lt_ruinedhouse_n,124,0.88320000,48.85666730,10
lt_ruinedhouse_n,125,1.02500000,49.31158910,16
lt_ruinedhouse_n,126,0.66660000,50.88086849,9
lt_ruinedhouse_n,127,0.83360000,51.30748066,16
lt_ruinedhouse_n,128,0.99160000,51.22790447,9
lt_ruinedhouse_n,129,0.64160000,51.02757063,9
lt_ruinedhouse_n,130,0.89160000,53.33584003,9
lt_ruinedhouse_n,131,0.94160000,55.47075697,9
lt_ruinedhouse_n,132,1.06660000,55.80473167,11
lt_ruinedhouse_n,133,0.88380000,54.34724401,9
lt_ruinedhouse_n,134,0.57520000,56.28814183,9
lt_ruinedhouse_n,135,0.64160000,54.44481528,9
lt_ruinedhouse_n,136,1.04980000,56.83982068,9
lt_ruinedhouse_n,137,1.06640000,54.14761168,10
lt_ruinedhouse_n,138,1.13320000,54.16513972,16
lt_ruinedhouse_n,139,0.56640000,55.28764599,9
lt_ruinedhouse_n,140,0.60840000,56.26141166,9
lt_ruinedhouse_n,141,0.54160000,57.82512735,9
lt_ruinedhouse_n,142,1.10000000,56.51281003,11
lt_ruinedhouse_n,143,1.03320000,58.87427311,10
lt_ruinedhouse_n,144,0.64180000,57.15612701,9
lt_ruinedhouse_n,145,0.60020000,57.26676606,9
lt_ruinedhouse_n,146,0.49180000,58.68530533,9
lt_ruinedhouse_n,147,0.95840000,56.65374609,11
lt_ruinedhouse_n,148,1.00000000,57.38655542,11
lt_ruinedhouse_n,149,0.84980000,57.69160576,9
