Map,Query Number,Time,Distance,Path Length
lt_undercitydungeon,0,1.65800000,4.24264069,2
lt_undercitydungeon,1,0.26660000,7.00000000,2
lt_undercitydungeon,2,0.46660000,6.40312424,2
lt_undercitydungeon,3,0.38300000,7.21110255,2
lt_undercitydungeon,4,0.35820000,5.38516481,2
lt_undercitydungeon,5,0.34140000,4.12310563,2
lt_undercitydungeon,6,0.42480000,4.47213595,2
lt_undercitydungeon,7,0.45860000,5.09901951,2
lt_undercitydungeon,8,0.38340000,6.08276253,2
lt_undercitydungeon,9,0.44200000,4.00000000,2
lt_undercitydungeon,10,1.99200000,8.77338716,5
lt_undercitydungeon,11,1.21680000,7.65028154,5
lt_undercitydungeon,12,1.86680000,7.73876888,3
lt_undercitydungeon,13,0.83320000,10.04987562,2
lt_undercitydungeon,14,0.31640000,9.84885780,2
lt_undercitydungeon,15,0.33300000,10.04987562,2
lt_undercitydungeon,16,1.73320000,9.06449510,4
lt_undercitydungeon,17,0.36680000,9.48683298,2
lt_undercitydungeon,18,0.38320000,10.81665383,2
lt_undercitydungeon,19,0.53320000,11.18033989,2
lt_undercitydungeon,20,1.90020000,13.07106781,4
lt_undercitydungeon,21,0.70020000,13.60147051,2
lt_undercitydungeon,22,0.43360000,12.80624847,2
lt_undercitydungeon,23,0.43340000,13.34166406,2
lt_undercitydungeon,24,0.41660000,12.04159458,2
lt_undercitydungeon,25,2.59180000,12.44717053,4
lt_undercitydungeon,26,1.46660000,15.32455532,3
lt_undercitydungeon,27,1.56660000,12.64911064,3
lt_undercitydungeon,28,0.63300000,14.21267040,2
lt_undercitydungeon,29,0.54180000,14.42220510,2
lt_undercitydungeon,30,1.95000000,18.00000000,3
lt_undercitydungeon,31,0.70840000,15.81138830,2
lt_undercitydungeon,32,0.48360000,17.46424920,2
lt_undercitydungeon,33,0.46660000,17.88854382,2
lt_undercitydungeon,34,2.24980000,15.51617787,5
lt_undercitydungeon,35,0.60820000,17.49285568,2
lt_undercitydungeon,36,0.51640000,16.12451550,2
lt_undercitydungeon,37,0.97480000,17.70820393,3
lt_undercitydungeon,38,1.24180000,18.28931815,3
lt_undercitydungeon,39,0.31680000,14.86606875,2
lt_undercitydungeon,40,1.77480000,20.62652686,3
lt_undercitydungeon,41,0.45840000,21.21320344,2
lt_undercitydungeon,42,0.51660000,19.64688270,2
lt_undercitydungeon,43,0.41700000,18.68154169,2
lt_undercitydungeon,44,0.65000000,18.97366596,2
lt_undercitydungeon,45,0.50000000,21.37755833,2
lt_undercitydungeon,46,1.37520000,19.85184425,3
lt_undercitydungeon,47,1.12520000,19.64768628,3
lt_undercitydungeon,48,0.29200000,19.69771560,2
lt_undercitydungeon,49,1.71700000,20.69183699,4
lt_undercitydungeon,50,0.87500000,25.01999201,2
lt_undercitydungeon,51,3.29180000,26.05992817,3
lt_undercitydungeon,52,0.79980000,23.43074903,2
lt_undercitydungeon,53,0.45840000,23.34523506,2
lt_undercitydungeon,54,1.54160000,22.93713656,4
lt_undercitydungeon,55,0.90000000,24.40170567,3
lt_undercitydungeon,56,1.24980000,25.02498439,3
lt_undercitydungeon,57,0.85840000,23.89320964,4
lt_undercitydungeon,58,1.27520000,24.69814785,4
lt_undercitydungeon,59,0.53340000,26.01922366,2
lt_undercitydungeon,60,0.58340000,28.31960452,2
lt_undercitydungeon,61,1.78360000,28.23885893,3
lt_undercitydungeon,62,2.03340000,29.48371320,3
lt_undercitydungeon,63,1.56660000,27.71316622,3
lt_undercitydungeon,64,0.71660000,28.01785145,2
lt_undercitydungeon,65,1.98340000,30.00000000,4
lt_undercitydungeon,66,2.27520000,25.61527317,6
lt_undercitydungeon,67,0.97520000,30.01999201,3
lt_undercitydungeon,68,1.12500000,28.60640479,3
lt_undercitydungeon,69,0.69160000,27.29468813,2
lt_undercitydungeon,70,1.30820000,33.49306719,3
lt_undercitydungeon,71,1.05000000,32.38826948,2
lt_undercitydungeon,72,1.44160000,31.55266615,5
lt_undercitydungeon,73,0.75000000,32.01562119,2
lt_undercitydungeon,74,1.48320000,28.26824895,5
lt_undercitydungeon,75,2.32500000,30.12110777,5
lt_undercitydungeon,76,1.13300000,34.02629759,3
lt_undercitydungeon,77,1.62460000,28.85127108,5
lt_undercitydungeon,78,1.29160000,31.69896226,3
lt_undercitydungeon,79,1.39980000,33.49451419,5
lt_undercitydungeon,80,0.63340000,33.61547263,2
lt_undercitydungeon,81,0.40820000,37.44329045,2
lt_undercitydungeon,82,1.90840000,33.25364836,10
lt_undercitydungeon,83,0.65820000,36.79673899,2
lt_undercitydungeon,84,1.86660000,32.88390929,7
lt_undercitydungeon,85,1.20000000,35.98316602,3
lt_undercitydungeon,86,0.97520000,35.11409973,2
lt_undercitydungeon,87,1.01640000,37.01351105,2
lt_undercitydungeon,88,1.36660000,34.96508826,4
lt_undercitydungeon,89,1.57520000,37.22105039,3
lt_undercitydungeon,90,0.68340000,39.69886648,2
lt_undercitydungeon,91,1.80840000,39.84693930,4
lt_undercitydungeon,92,1.58360000,36.91083416,6
lt_undercitydungeon,93,1.65800000,40.71191318,3
lt_undercitydungeon,94,1.77500000,41.47783459,4
lt_undercitydungeon,95,1.19180000,39.09772083,4
lt_undercitydungeon,96,1.24160000,38.68172960,6
lt_undercitydungeon,97,1.98340000,39.46289468,3
lt_undercitydungeon,98,0.52480000,37.16180835,2
lt_undercitydungeon,99,0.59980000,39.11521443,2
lt_undercitydungeon,100,1.48340000,42.09626083,3
lt_undercitydungeon,101,0.94160000,40.94947313,4
lt_undercitydungeon,102,0.87520000,42.57933771,2
lt_undercitydungeon,103,1.75860000,41.27115580,5
lt_undercitydungeon,104,0.70000000,44.55333882,2
lt_undercitydungeon,105,0.55820000,41.48493703,2
lt_undercitydungeon,106,1.04980000,43.93858582,4
lt_undercitydungeon,107,2.14160000,43.47327845,9
lt_undercitydungeon,108,1.30020000,42.19646473,3
lt_undercitydungeon,109,0.49200000,45.27692569,2
lt_undercitydungeon,110,1.62520000,47.05366338,4
lt_undercitydungeon,111,1.89160000,46.53161764,3
lt_undercitydungeon,112,1.19160000,45.41381265,4
lt_undercitydungeon,113,1.89180000,47.75463488,4
lt_undercitydungeon,114,2.72500000,48.23374183,6
lt_undercitydungeon,115,1.21680000,49.45521375,3
lt_undercitydungeon,116,2.34160000,46.40090311,4
lt_undercitydungeon,117,1.43320000,46.48672658,3
lt_undercitydungeon,118,1.29980000,48.76563347,7
lt_undercitydungeon,119,1.49160000,48.34739837,4
lt_undercitydungeon,120,1.90860000,49.14447401,3
lt_undercitydungeon,121,1.87500000,50.72579110,3
lt_undercitydungeon,122,1.12500000,47.60391747,4
lt_undercitydungeon,123,1.11660000,50.12065105,3
lt_undercitydungeon,124,1.30000000,53.39034903,4
lt_undercitydungeon,125,1.20820000,53.32806703,4
lt_undercitydungeon,126,1.60820000,49.19258442,9
lt_undercitydungeon,127,1.73340000,49.64252210,6
lt_undercitydungeon,128,1.85880000,49.56424682,5
lt_undercitydungeon,129,2.05860000,50.98472451,3
lt_undercitydungeon,130,0.90860000,54.17679451,6
lt_undercitydungeon,131,1.04180000,55.54528830,3
lt_undercitydungeon,132,2.30840000,52.51293925,4
lt_undercitydungeon,133,1.32460000,56.22277119,2
lt_undercitydungeon,134,1.47460000,56.69041591,9
lt_undercitydungeon,135,2.59180000,56.42880026,3
lt_undercitydungeon,136,1.86700000,54.94598393,5
lt_undercitydungeon,137,2.00820000,56.65800699,6
lt_undercitydungeon,138,1.81660000,56.31782106,4
lt_undercitydungeon,139,1.26660000,53.68319184,5
lt_undercitydungeon,140,1.21660000,57.35734315,5
lt_undercitydungeon,141,2.03340000,61.86345810,5
lt_undercitydungeon,142,1.06680000,57.93962375,2
lt_undercitydungeon,143,0.98340000,55.60551476,5
lt_undercitydungeon,144,1.95820000,58.06133481,9
lt_undercitydungeon,145,1.47520000,59.09575525,8
lt_undercitydungeon,146,1.48340000,58.90399186,5
lt_undercitydungeon,147,1.50020000,57.56502665,7
lt_undercitydungeon,148,1.65860000,59.55387469,3
lt_undercitydungeon,149,1.60040000,59.33513530,7
lt_undercitydungeon,150,1.20040000,63.05877273,4
lt_undercitydungeon,151,0.85020000,59.78327252,4
lt_undercitydungeon,152,1.37500000,62.47197693,7
lt_undercitydungeon,153,0.90000000,60.41522987,2
lt_undercitydungeon,154,0.74980000,63.78871374,2
lt_undercitydungeon,155,0.96660000,61.32036869,4
lt_undercitydungeon,156,1.55000000,61.06866197,8
lt_undercitydungeon,157,1.73300000,60.28533243,12
lt_undercitydungeon,158,1.36640000,61.49716274,6
lt_undercitydungeon,159,0.90820000,60.61600070,6
lt_undercitydungeon,160,1.16680000,66.14094146,5
lt_undercitydungeon,161,1.28340000,62.67196481,5
lt_undercitydungeon,162,1.74160000,65.72187506,10
lt_undercitydungeon,163,1.11680000,67.47592163,2
lt_undercitydungeon,164,2.67520000,67.18639791,3
lt_undercitydungeon,165,0.96660000,67.11929678,2
lt_undercitydungeon,166,1.20020000,66.67945576,5
lt_undercitydungeon,167,1.30020000,65.60172507,5
lt_undercitydungeon,168,0.92480000,64.93843238,2
lt_undercitydungeon,169,1.47500000,64.88056473,8
lt_undercitydungeon,170,1.25000000,67.69662610,6
lt_undercitydungeon,171,0.89160000,68.70171489,4
lt_undercitydungeon,172,1.43320000,69.35989928,9
lt_undercitydungeon,173,0.96700000,68.98800387,5
lt_undercitydungeon,174,0.88360000,67.08449331,4
lt_undercitydungeon,175,1.39160000,65.53980492,8
lt_undercitydungeon,176,1.10000000,66.48232971,5
lt_undercitydungeon,177,2.37500000,66.87724187,6
lt_undercitydungeon,178,1.55820000,70.55950087,8
lt_undercitydungeon,179,1.19180000,70.17671027,7
lt_undercitydungeon,180,1.53320000,74.13796102,6
lt_undercitydungeon,181,1.23340000,69.64735854,7
lt_undercitydungeon,182,1.24180000,69.43522276,8
lt_undercitydungeon,183,0.92520000,72.98844442,6
lt_undercitydungeon,184,1.41660000,72.32138789,7
lt_undercitydungeon,185,0.80000000,71.00563908,8
lt_undercitydungeon,186,2.41660000,73.59612746,3
lt_undercitydungeon,187,0.81660000,74.11719106,4
lt_undercitydungeon,188,0.81680000,73.65021401,8
lt_undercitydungeon,189,1.45840000,73.64224324,9
lt_undercitydungeon,190,1.16660000,77.39116789,7
lt_undercitydungeon,191,1.50840000,79.27889425,9
lt_undercitydungeon,192,1.20000000,74.16338361,8
lt_undercitydungeon,193,1.08320000,77.62900795,7
lt_undercitydungeon,194,0.74160000,75.92990500,7
lt_undercitydungeon,195,1.46660000,79.39192126,3
lt_undercitydungeon,196,1.08360000,75.91254503,9
lt_undercitydungeon,197,2.00040000,76.80161691,7
lt_undercitydungeon,198,1.59180000,75.03101477,8
lt_undercitydungeon,199,1.28340000,77.32051136,3
lt_undercitydungeon,200,1.81680000,80.98636096,6
lt_undercitydungeon,201,3.27500000,85.10452412,4
lt_undercitydungeon,202,1.70820000,78.73203229,9
lt_undercitydungeon,203,1.28340000,79.03267501,6
lt_undercitydungeon,204,1.35000000,79.79626121,6
lt_undercitydungeon,205,2.15820000,81.60405811,7
lt_undercitydungeon,206,1.21660000,79.27968627,6
lt_undercitydungeon,207,1.36660000,80.91422570,10
lt_undercitydungeon,208,1.06680000,81.63864556,8
lt_undercitydungeon,209,1.20020000,84.28649301,5
lt_undercitydungeon,210,1.56700000,83.23860265,9
lt_undercitydungeon,211,1.54140000,84.06608162,9
lt_undercitydungeon,212,1.47500000,82.08895590,11
lt_undercitydungeon,213,1.56680000,82.19912876,10
lt_undercitydungeon,214,1.24160000,84.31855672,8
lt_undercitydungeon,215,1.66680000,82.07281412,5
lt_undercitydungeon,216,1.00000000,83.40863281,8
lt_undercitydungeon,217,1.14980000,86.44615669,9
lt_undercitydungeon,218,1.21660000,83.18070247,8
lt_undercitydungeon,219,1.63300000,86.01412578,5
lt_undercitydungeon,220,1.70020000,88.44537505,9
lt_undercitydungeon,221,1.39180000,87.27164826,10
lt_undercitydungeon,222,1.27520000,87.78474136,6
lt_undercitydungeon,223,1.43340000,85.11225868,8
lt_undercitydungeon,224,1.30820000,89.77679928,6
lt_undercitydungeon,225,1.29180000,87.69640525,7
lt_undercitydungeon,226,1.87520000,86.79421764,5
