Map,Query Number,Time,Distance,Path Length
lt_undercityencounter,0,2.09140000,5.38516481,2
lt_undercityencounter,1,0.53340000,5.00000000,2
lt_undercityencounter,2,0.34180000,6.08276253,2
lt_undercityencounter,3,0.78340000,5.00000000,2
lt_undercityencounter,4,0.41660000,5.09901951,2
lt_undercityencounter,5,0.40840000,6.40312424,2
lt_undercityencounter,6,2.59180000,6.76782894,3
lt_undercityencounter,7,0.43360000,7.00000000,2
lt_undercityencounter,8,0.33340000,5.09901951,2
lt_undercityencounter,9,0.80820000,4.12310563,2
lt_undercityencounter,10,0.39160000,10.00000000,2
lt_undercityencounter,11,0.35820000,9.21954446,2
lt_undercityencounter,12,0.41660000,8.00000000,2
lt_undercityencounter,13,0.50020000,11.00000000,2
lt_undercityencounter,14,2.14180000,10.00000000,3
lt_undercityencounter,15,0.48360000,10.04987562,2
lt_undercityencounter,16,0.63300000,8.06225775,2
lt_undercityencounter,17,0.34980000,10.19803903,2
lt_undercityencounter,18,0.44980000,10.77032961,2
lt_undercityencounter,19,0.31640000,9.05538514,2
lt_undercityencounter,20,1.75800000,14.12310563,3
lt_undercityencounter,21,1.12520000,14.52201158,3
lt_undercityencounter,22,0.64160000,15.55634919,2
lt_undercityencounter,23,2.51660000,14.49847350,9
lt_undercityencounter,24,0.55820000,13.00000000,2
lt_undercityencounter,25,2.72500000,12.35848547,6
lt_undercityencounter,26,0.45860000,12.16552506,2
lt_undercityencounter,27,0.48340000,12.08304597,2
lt_undercityencounter,28,0.50020000,13.15294644,2
lt_undercityencounter,29,0.33360000,11.40175425,2
lt_undercityencounter,30,0.34180000,15.81138830,2
lt_undercityencounter,31,0.50840000,17.11724277,2
lt_undercityencounter,32,2.01640000,19.10870943,4
lt_undercityencounter,33,2.20840000,18.83719413,8
lt_undercityencounter,34,0.39980000,18.02775638,2
lt_undercityencounter,35,2.44160000,16.41421356,5
lt_undercityencounter,36,0.38360000,16.15549442,2
lt_undercityencounter,37,0.34160000,16.12451550,2
lt_undercityencounter,38,0.49140000,14.86606875,2
lt_undercityencounter,39,0.31620000,16.40121947,2
lt_undercityencounter,40,0.44160000,21.54065923,2
lt_undercityencounter,41,1.33340000,20.74119143,5
lt_undercityencounter,42,0.30860000,23.08679276,2
lt_undercityencounter,43,0.48320000,21.00000000,2
lt_undercityencounter,44,1.80020000,18.02775638,3
lt_undercityencounter,45,0.62500000,18.78829423,2
lt_undercityencounter,46,1.22480000,19.56959551,4
lt_undercityencounter,47,0.92480000,21.02379604,2
lt_undercityencounter,48,0.31680000,21.18962010,2
lt_undercityencounter,49,0.50820000,20.02498439,2
lt_undercityencounter,50,0.61660000,23.43074903,2
lt_undercityencounter,51,1.23320000,23.90514184,4
lt_undercityencounter,52,0.49160000,22.84731932,2
lt_undercityencounter,53,0.69180000,25.45584412,2
lt_undercityencounter,54,1.36660000,23.82788321,3
lt_undercityencounter,55,0.91640000,24.02082430,2
lt_undercityencounter,56,0.62500000,24.33105012,2
lt_undercityencounter,57,0.81680000,26.07680962,2
lt_undercityencounter,58,1.67500000,23.16092682,4
lt_undercityencounter,59,1.64140000,24.79558604,4
lt_undercityencounter,60,2.16680000,29.24331451,4
lt_undercityencounter,61,0.85820000,27.65863337,2
lt_undercityencounter,62,0.62500000,30.00000000,2
lt_undercityencounter,63,1.58360000,28.12310563,4
lt_undercityencounter,64,3.85000000,28.63564213,2
lt_undercityencounter,65,2.85000000,28.23606798,3
lt_undercityencounter,66,1.70000000,28.80865205,3
lt_undercityencounter,67,3.70840000,28.08640992,7
lt_undercityencounter,68,0.55840000,28.16025568,2
lt_undercityencounter,69,0.54980000,29.68164416,2
lt_undercityencounter,70,1.28320000,32.70820393,3
lt_undercityencounter,71,1.44200000,34.27273249,3
lt_undercityencounter,72,0.47520000,31.01612484,2
lt_undercityencounter,73,1.85000000,30.26834738,5
lt_undercityencounter,74,1.19960000,31.32170447,4
lt_undercityencounter,75,1.67480000,31.84912450,7
lt_undercityencounter,76,2.04180000,30.04289068,4
lt_undercityencounter,77,0.82500000,31.37265488,4
lt_undercityencounter,78,0.34160000,30.36445290,2
lt_undercityencounter,79,0.59980000,33.00000000,2
lt_undercityencounter,80,1.22480000,35.33583750,4
lt_undercityencounter,81,1.17480000,36.21320344,3
lt_undercityencounter,82,1.14160000,36.25141523,3
lt_undercityencounter,83,1.52500000,38.21320344,3
lt_undercityencounter,84,1.84980000,35.72189351,5
lt_undercityencounter,85,1.12500000,34.85351877,3
lt_undercityencounter,86,1.67500000,34.76819987,4
lt_undercityencounter,87,1.12480000,35.66110753,4
lt_undercityencounter,88,1.33340000,37.18136971,4
lt_undercityencounter,89,0.64180000,34.17601498,2
lt_undercityencounter,90,1.62480000,40.72354365,6
lt_undercityencounter,91,1.83320000,38.47076812,3
lt_undercityencounter,92,0.94180000,40.31128874,2
lt_undercityencounter,93,0.79160000,39.21734310,2
lt_undercityencounter,94,0.93340000,40.25077068,4
lt_undercityencounter,95,1.04200000,40.79710512,4
lt_undercityencounter,96,1.79160000,42.54400375,5
lt_undercityencounter,97,1.18340000,39.67375495,4
lt_undercityencounter,98,1.17500000,39.38925668,5
lt_undercityencounter,99,1.77460000,37.50056403,4
lt_undercityencounter,100,1.91640000,43.71660087,7
lt_undercityencounter,101,2.71640000,46.05629728,3
lt_undercityencounter,102,0.94180000,43.14883545,4
lt_undercityencounter,103,1.26660000,42.40419972,3
lt_undercityencounter,104,1.36660000,44.83181037,3
lt_undercityencounter,105,1.44160000,42.75731584,5
lt_undercityencounter,106,1.62520000,45.60785744,3
lt_undercityencounter,107,0.88340000,43.47220505,5
lt_undercityencounter,108,1.09160000,41.42377295,4
lt_undercityencounter,109,1.87500000,44.56092527,8
lt_undercityencounter,110,1.53320000,46.23241079,4
lt_undercityencounter,111,1.70000000,47.54351119,5
lt_undercityencounter,112,1.17520000,46.34187137,4
lt_undercityencounter,113,0.90000000,46.66136535,4
lt_undercityencounter,114,1.21660000,46.04074042,7
lt_undercityencounter,115,1.90840000,44.01678755,4
lt_undercityencounter,116,0.92500000,44.90339893,4
lt_undercityencounter,117,0.86680000,49.49747468,2
lt_undercityencounter,118,1.14160000,45.05817642,4
lt_undercityencounter,119,1.49980000,45.96382361,5
lt_undercityencounter,120,1.98360000,51.19803903,3
lt_undercityencounter,121,1.86660000,51.75329479,6
lt_undercityencounter,122,1.43320000,48.35108655,4
lt_undercityencounter,123,1.28340000,47.49006791,5
lt_undercityencounter,124,1.19180000,52.45504127,5
lt_undercityencounter,125,1.02500000,48.61001836,4
lt_undercityencounter,126,1.48320000,47.32164160,5
lt_undercityencounter,127,0.85840000,49.89814935,4
