Map,Query Number,Time,Distance,Path Length
lt_undercityserialkiller,0,1.55020000,7.28010989,2
lt_undercityserialkiller,1,0.38340000,6.70820393,2
lt_undercityserialkiller,2,0.51660000,4.12310563,2
lt_undercityserialkiller,3,0.45800000,5.09901951,2
lt_undercityserialkiller,4,0.42520000,4.47213595,2
lt_undercityserialkiller,5,0.29160000,7.07106781,2
lt_undercityserialkiller,6,2.91640000,6.38516481,3
lt_undercityserialkiller,7,0.51660000,4.12310563,2
lt_undercityserialkiller,8,0.45820000,7.28010989,2
lt_undercityserialkiller,9,0.32500000,7.28010989,2
lt_undercityserialkiller,10,0.52480000,11.04536102,2
lt_undercityserialkiller,11,2.87500000,9.97483686,4
lt_undercityserialkiller,12,0.38340000,9.21954446,2
lt_undercityserialkiller,13,0.45840000,11.04536102,2
lt_undercityserialkiller,14,3.62520000,8.23606798,3
lt_undercityserialkiller,15,0.40000000,8.54400375,2
lt_undercityserialkiller,16,0.34160000,10.00000000,2
lt_undercityserialkiller,17,1.65840000,10.61577311,4
lt_undercityserialkiller,18,0.45000000,9.05538514,2
lt_undercityserialkiller,19,0.39180000,9.21954446,2
lt_undercityserialkiller,20,0.37500000,13.60147051,2
lt_undercityserialkiller,21,2.95840000,12.18033989,3
lt_undercityserialkiller,22,0.45800000,14.14213562,2
lt_undercityserialkiller,23,0.34980000,12.36931688,2
lt_undercityserialkiller,24,0.40000000,14.31782106,2
lt_undercityserialkiller,25,0.40840000,12.20655562,2
lt_undercityserialkiller,26,0.44140000,13.15294644,2
lt_undercityserialkiller,27,0.33340000,14.56021978,2
lt_undercityserialkiller,28,3.57500000,13.89949493,5
lt_undercityserialkiller,29,2.53360000,12.04631765,4
lt_undercityserialkiller,30,0.58340000,18.35755975,2
lt_undercityserialkiller,31,0.50000000,15.23154621,2
lt_undercityserialkiller,32,0.38340000,18.24828759,2
lt_undercityserialkiller,33,0.62500000,16.12451550,2
lt_undercityserialkiller,34,0.30020000,16.64331698,2
lt_undercityserialkiller,35,2.84140000,15.01568407,4
lt_undercityserialkiller,36,0.87480000,18.35755975,2
lt_undercityserialkiller,37,0.58340000,15.29705854,2
lt_undercityserialkiller,38,2.35020000,17.84411120,3
lt_undercityserialkiller,39,0.53340000,15.52417470,2
lt_undercityserialkiller,40,1.91660000,20.86621379,4
lt_undercityserialkiller,41,0.74160000,22.80350850,2
lt_undercityserialkiller,42,2.24180000,23.11214890,3
lt_undercityserialkiller,43,2.51680000,22.53716398,4
lt_undercityserialkiller,44,1.81680000,21.75318145,4
lt_undercityserialkiller,45,2.98340000,19.29155528,5
lt_undercityserialkiller,46,0.35840000,21.63330765,2
lt_undercityserialkiller,47,2.78320000,18.77244111,3
lt_undercityserialkiller,48,1.35020000,18.12435711,3
lt_undercityserialkiller,49,0.78340000,23.00000000,2
lt_undercityserialkiller,50,1.92480000,25.08318916,3
lt_undercityserialkiller,51,0.54180000,25.23885893,2
lt_undercityserialkiller,52,0.45840000,25.01999201,2
lt_undercityserialkiller,53,0.44180000,25.05992817,2
lt_undercityserialkiller,54,1.98340000,25.01280409,3
lt_undercityserialkiller,55,0.92500000,25.29822128,2
lt_undercityserialkiller,56,0.34180000,24.08318916,2
lt_undercityserialkiller,57,2.65860000,23.86737343,3
lt_undercityserialkiller,58,0.41680000,24.04163056,2
lt_undercityserialkiller,59,2.15860000,23.34671165,3
lt_undercityserialkiller,60,1.37500000,29.06225775,6
lt_undercityserialkiller,61,2.50820000,26.48243916,6
lt_undercityserialkiller,62,0.76640000,29.83286778,2
lt_undercityserialkiller,63,1.02500000,26.24880950,2
lt_undercityserialkiller,64,1.27500000,28.08828043,4
lt_undercityserialkiller,65,2.08320000,30.19201124,5
lt_undercityserialkiller,66,3.15820000,27.17778564,3
lt_undercityserialkiller,67,1.93320000,27.34905091,3
lt_undercityserialkiller,68,0.52480000,26.83281573,2
lt_undercityserialkiller,69,0.79180000,29.41088234,2
lt_undercityserialkiller,70,1.64180000,34.44762741,4
lt_undercityserialkiller,71,1.53320000,32.55807995,3
lt_undercityserialkiller,72,2.51660000,30.65526048,7
lt_undercityserialkiller,73,0.90840000,31.30495168,2
lt_undercityserialkiller,74,1.72500000,33.56743447,4
lt_undercityserialkiller,75,0.85840000,31.57530681,2
lt_undercityserialkiller,76,2.38320000,32.84938308,4
lt_undercityserialkiller,77,2.12520000,30.41474311,3
lt_undercityserialkiller,78,1.61660000,31.57786010,3
lt_undercityserialkiller,79,1.56660000,30.24880950,4
lt_undercityserialkiller,80,1.33340000,35.12619006,4
lt_undercityserialkiller,81,0.64980000,37.01351105,2
lt_undercityserialkiller,82,3.23340000,36.34121736,3
lt_undercityserialkiller,83,1.58340000,36.11042732,4
lt_undercityserialkiller,84,0.83340000,37.05401463,2
lt_undercityserialkiller,85,1.80000000,36.12755393,4
lt_undercityserialkiller,86,1.71640000,36.73871047,6
lt_undercityserialkiller,87,1.25820000,38.03121954,4
lt_undercityserialkiller,88,0.53320000,36.68787266,2
lt_undercityserialkiller,89,1.69160000,35.78705154,4
lt_undercityserialkiller,90,1.87500000,38.79522935,6
lt_undercityserialkiller,91,1.44140000,39.55745053,5
lt_undercityserialkiller,92,2.06680000,39.04996767,4
lt_undercityserialkiller,93,2.32500000,40.29045774,4
lt_undercityserialkiller,94,0.91660000,40.70626487,2
lt_undercityserialkiller,95,0.82480000,39.11521443,2
lt_undercityserialkiller,96,2.23280000,36.93780501,5
lt_undercityserialkiller,97,0.84160000,40.19950248,2
lt_undercityserialkiller,98,1.28340000,41.54525986,4
lt_undercityserialkiller,99,3.25840000,39.11641438,3
lt_undercityserialkiller,100,1.69180000,43.28016193,4
lt_undercityserialkiller,101,1.22520000,43.42226334,4
lt_undercityserialkiller,102,1.26660000,42.86513041,3
lt_undercityserialkiller,103,2.60000000,42.67424164,4
lt_undercityserialkiller,104,2.09140000,43.39343902,6
lt_undercityserialkiller,105,2.51680000,43.52634693,8
lt_undercityserialkiller,106,2.77520000,44.09788702,5
lt_undercityserialkiller,107,0.95820000,46.09772229,2
lt_undercityserialkiller,108,0.57520000,45.00000000,2
lt_undercityserialkiller,109,1.36680000,42.77639431,5
lt_undercityserialkiller,110,1.70840000,47.43179830,4
lt_undercityserialkiller,111,1.91680000,45.62944224,5
lt_undercityserialkiller,112,1.45000000,46.04855389,4
lt_undercityserialkiller,113,2.39980000,48.37175797,12
lt_undercityserialkiller,114,1.49140000,48.63466084,9
lt_undercityserialkiller,115,2.12500000,49.32812224,6
lt_undercityserialkiller,116,1.15000000,47.97202829,4
lt_undercityserialkiller,117,1.45820000,49.94561005,4
lt_undercityserialkiller,118,1.83360000,48.23265082,4
lt_undercityserialkiller,119,1.41680000,47.26519877,5
lt_undercityserialkiller,120,1.37500000,49.19345611,3
lt_undercityserialkiller,121,2.10840000,49.17626172,5
lt_undercityserialkiller,122,1.75820000,47.53288926,7
lt_undercityserialkiller,123,1.72500000,52.20711300,4
lt_undercityserialkiller,124,2.43340000,49.79534632,4
lt_undercityserialkiller,125,1.61660000,51.25358448,5
lt_undercityserialkiller,126,1.73360000,50.06367182,5
lt_undercityserialkiller,127,0.80020000,48.84669897,2
lt_undercityserialkiller,128,0.94160000,50.48762225,2
lt_undercityserialkiller,129,2.73340000,54.09056136,3
lt_undercityserialkiller,130,0.65000000,53.93514624,2
lt_undercityserialkiller,131,2.91700000,55.07252977,4
lt_undercityserialkiller,132,1.72520000,56.18520012,3
lt_undercityserialkiller,133,2.09120000,53.46972631,6
lt_undercityserialkiller,134,1.32500000,54.42425930,2
lt_undercityserialkiller,135,2.01660000,53.16898070,3
lt_undercityserialkiller,136,3.04160000,55.30861545,3
lt_undercityserialkiller,137,1.80000000,53.94611741,6
lt_undercityserialkiller,138,2.35840000,57.14640678,3
lt_undercityserialkiller,139,1.89980000,54.60510703,5
lt_undercityserialkiller,140,1.40840000,56.79256008,9
lt_undercityserialkiller,141,1.92500000,58.76468919,8
lt_undercityserialkiller,142,3.61640000,60.21148537,3
lt_undercityserialkiller,143,3.79180000,60.61196989,3
lt_undercityserialkiller,144,2.00000000,59.42835387,4
lt_undercityserialkiller,145,1.35820000,57.99235380,5
lt_undercityserialkiller,146,1.96640000,61.86060367,5
lt_undercityserialkiller,147,2.34980000,58.36728280,5
lt_undercityserialkiller,148,1.75840000,56.59244009,6
lt_undercityserialkiller,149,3.14160000,60.50543233,8
lt_undercityserialkiller,150,0.83340000,61.98386887,2
lt_undercityserialkiller,151,2.01660000,63.27790906,6
lt_undercityserialkiller,152,2.15840000,62.46946519,5
lt_undercityserialkiller,153,1.03380000,64.03124237,2
lt_undercityserialkiller,154,1.69180000,60.58639955,5
lt_undercityserialkiller,155,1.48340000,63.73892568,6
lt_undercityserialkiller,156,1.95820000,60.79108000,3
lt_undercityserialkiller,157,1.40860000,60.65699634,5
lt_undercityserialkiller,158,1.58340000,61.03067415,5
lt_undercityserialkiller,159,1.69980000,60.60834321,9
lt_undercityserialkiller,160,1.80020000,64.84719260,10
lt_undercityserialkiller,161,2.20820000,67.00768397,6
lt_undercityserialkiller,162,1.93320000,65.88418892,8
lt_undercityserialkiller,163,2.33320000,64.60688929,6
lt_undercityserialkiller,164,1.66680000,70.00714249,2
lt_undercityserialkiller,165,1.92520000,65.13998313,11
lt_undercityserialkiller,166,1.44140000,63.52845696,4
lt_undercityserialkiller,167,2.07480000,62.28881619,6
lt_undercityserialkiller,168,0.87480000,66.94027188,2
lt_undercityserialkiller,169,1.52500000,66.01867768,5
lt_undercityserialkiller,170,1.73340000,70.09663849,4
lt_undercityserialkiller,171,3.22500000,69.23838801,3
lt_undercityserialkiller,172,1.44160000,69.64208972,3
lt_undercityserialkiller,173,2.11680000,70.18927219,9
lt_undercityserialkiller,174,1.93360000,68.48799330,10
lt_undercityserialkiller,175,1.53340000,68.38833050,5
lt_undercityserialkiller,176,1.35820000,68.90841558,7
lt_undercityserialkiller,177,1.85820000,69.73968750,5
lt_undercityserialkiller,178,1.60000000,66.99186023,8
lt_undercityserialkiller,179,1.51660000,68.66573556,3
lt_undercityserialkiller,180,2.09980000,73.57893517,9
lt_undercityserialkiller,181,2.25840000,71.33670116,6
lt_undercityserialkiller,182,1.15000000,71.72063058,7
lt_undercityserialkiller,183,2.25000000,74.12769094,7
lt_undercityserialkiller,184,2.25820000,71.42098056,6
lt_undercityserialkiller,185,1.36660000,72.92144155,6
lt_undercityserialkiller,186,1.45020000,72.55209637,8
lt_undercityserialkiller,187,1.59980000,70.02739717,8
lt_undercityserialkiller,188,1.39160000,71.05394227,7
lt_undercityserialkiller,189,1.54980000,74.68201173,6
lt_undercityserialkiller,190,1.45000000,77.18413532,9
lt_undercityserialkiller,191,1.92500000,76.42485005,4
lt_undercityserialkiller,192,1.88340000,77.02815402,4
lt_undercityserialkiller,193,1.33340000,76.14261519,6
lt_undercityserialkiller,194,3.01700000,79.25689228,8
lt_undercityserialkiller,195,1.25840000,74.85842098,5
lt_undercityserialkiller,196,1.65820000,77.30807337,7
lt_undercityserialkiller,197,2.55840000,77.15073481,5
lt_undercityserialkiller,198,1.89180000,77.04712654,5
lt_undercityserialkiller,199,1.23340000,73.78773208,8
lt_undercityserialkiller,200,1.40820000,80.56864968,10
lt_undercityserialkiller,201,2.31660000,80.02770865,8
lt_undercityserialkiller,202,1.74980000,79.07032939,17
lt_undercityserialkiller,203,2.05820000,79.87767336,7
lt_undercityserialkiller,204,1.69940000,81.06101380,6
lt_undercityserialkiller,205,1.11660000,82.51273794,5
