Map,Query Number,Time,Distance,Path Length
lt_warehouse,0,1.30000000,5.38516481,2
lt_warehouse,1,0.35020000,7.07106781,2
lt_warehouse,2,0.42500000,5.83095189,2
lt_warehouse,3,0.56660000,5.00000000,2
lt_warehouse,4,0.41660000,6.40312424,2
lt_warehouse,5,0.30000000,7.28010989,2
lt_warehouse,6,0.40000000,5.09901951,2
lt_warehouse,7,2.52500000,5.47213595,3
lt_warehouse,8,0.45000000,4.47213595,2
lt_warehouse,9,0.52500000,5.00000000,2
lt_warehouse,10,0.41660000,10.44030651,2
lt_warehouse,11,0.37500000,8.06225775,2
lt_warehouse,12,0.46700000,7.61577311,2
lt_warehouse,13,0.36700000,8.06225775,2
lt_warehouse,14,0.40840000,11.04536102,2
lt_warehouse,15,0.30800000,8.00000000,2
lt_warehouse,16,0.38320000,8.24621125,2
lt_warehouse,17,0.53320000,10.29563014,2
lt_warehouse,18,0.31680000,8.24621125,2
lt_warehouse,19,0.38340000,11.00000000,2
lt_warehouse,20,3.19180000,14.41421356,4
lt_warehouse,21,0.45020000,12.16552506,2
lt_warehouse,22,0.31660000,11.66190379,2
lt_warehouse,23,0.27520000,12.04159458,2
lt_warehouse,24,0.42500000,14.31782106,2
lt_warehouse,25,0.40000000,15.13274595,2
lt_warehouse,26,0.35020000,11.70469991,2
lt_warehouse,27,0.30840000,13.00000000,2
lt_warehouse,28,0.30000000,12.20655562,2
lt_warehouse,29,0.78360000,13.92838828,2
lt_warehouse,30,0.45000000,19.10497317,2
lt_warehouse,31,0.42500000,18.24828759,2
lt_warehouse,32,0.39160000,17.11724277,2
lt_warehouse,33,0.31660000,17.08800749,2
lt_warehouse,34,1.14160000,16.29061227,3
lt_warehouse,35,0.34140000,18.02775638,2
lt_warehouse,36,0.33300000,17.20465053,2
lt_warehouse,37,0.47480000,16.12451550,2
lt_warehouse,38,1.50780000,19.28010989,3
lt_warehouse,39,0.39160000,16.97056275,2
lt_warehouse,40,1.90840000,20.20937271,3
lt_warehouse,41,0.36660000,19.41648784,2
lt_warehouse,42,1.24960000,19.70031717,3
lt_warehouse,43,0.41660000,19.64688270,2
lt_warehouse,44,0.30000000,22.09072203,2
lt_warehouse,45,0.93320000,21.64911064,3
lt_warehouse,46,1.29140000,20.37338021,4
lt_warehouse,47,0.59180000,22.62741700,2
lt_warehouse,48,0.55860000,21.18962010,2
lt_warehouse,49,0.45000000,21.09502311,2
lt_warehouse,50,0.61640000,23.70653918,2
lt_warehouse,51,0.61660000,23.43074903,2
lt_warehouse,52,1.41660000,21.33907241,3
lt_warehouse,53,1.42500000,25.32998551,5
lt_warehouse,54,1.27500000,22.65685425,3
lt_warehouse,55,1.16680000,24.98983177,4
lt_warehouse,56,1.27460000,21.51076159,3
lt_warehouse,57,0.43300000,25.17935662,2
lt_warehouse,58,0.45000000,26.00000000,2
lt_warehouse,59,1.24980000,24.95141815,3
lt_warehouse,60,1.73320000,29.91414105,3
lt_warehouse,61,0.56640000,28.44292531,2
lt_warehouse,62,0.66680000,27.20294102,2
lt_warehouse,63,0.38340000,27.51363298,2
lt_warehouse,64,1.27520000,25.09172148,5
lt_warehouse,65,1.00000000,26.40093456,3
lt_warehouse,66,1.24160000,30.07726343,4
lt_warehouse,67,1.60800000,29.68222335,5
lt_warehouse,68,0.59960000,26.41968963,2
lt_warehouse,69,0.38300000,27.31300057,2
lt_warehouse,70,0.96640000,31.29756038,4
lt_warehouse,71,0.39980000,32.69556545,2
lt_warehouse,72,1.29160000,34.13976767,3
lt_warehouse,73,1.64160000,31.98899193,3
lt_warehouse,74,1.70800000,31.94712799,5
lt_warehouse,75,0.34160000,30.59411708,2
lt_warehouse,76,1.58320000,32.97779874,4
lt_warehouse,77,1.37500000,31.40749281,3
lt_warehouse,78,1.68320000,33.18772525,5
lt_warehouse,79,1.03300000,32.41455874,5
lt_warehouse,80,1.63340000,35.47560222,5
lt_warehouse,81,1.78360000,35.71099051,5
lt_warehouse,82,1.40020000,37.06225775,4
lt_warehouse,83,0.53340000,36.22154055,2
lt_warehouse,84,1.19980000,34.75037428,3
lt_warehouse,85,1.68340000,35.99581292,5
lt_warehouse,86,0.42500000,39.01281841,2
lt_warehouse,87,1.40000000,34.86231408,4
lt_warehouse,88,0.87500000,35.07987241,3
lt_warehouse,89,1.59180000,36.08424186,6
lt_warehouse,90,1.63340000,40.26519144,3
lt_warehouse,91,1.25000000,39.50321047,3
lt_warehouse,92,0.46660000,42.19004622,2
lt_warehouse,93,1.01660000,37.58170523,5
