Map,Query Number,Time,Distance,Path Length
w_bonepitdestroyed_a3,0,1.78320000,6.08276253,2
w_bonepitdestroyed_a3,1,0.44160000,7.21110255,2
w_bonepitdestroyed_a3,2,0.45820000,6.40312424,2
w_bonepitdestroyed_a3,3,0.66680000,6.08276253,2
w_bonepitdestroyed_a3,4,0.49180000,5.83095189,2
w_bonepitdestroyed_a3,5,0.50000000,6.40312424,2
w_bonepitdestroyed_a3,6,0.68300000,6.40312424,2
w_bonepitdestroyed_a3,7,0.38340000,7.00000000,2
w_bonepitdestroyed_a3,8,0.39180000,5.38516481,2
w_bonepitdestroyed_a3,9,0.54180000,5.83095189,2
w_bonepitdestroyed_a3,10,0.49140000,7.61577311,2
w_bonepitdestroyed_a3,11,0.46660000,9.05538514,2
w_bonepitdestroyed_a3,12,0.76640000,10.81665383,2
w_bonepitdestroyed_a3,13,0.40820000,11.00000000,2
w_bonepitdestroyed_a3,14,0.77480000,9.21954446,2
w_bonepitdestroyed_a3,15,0.57500000,10.81665383,2
w_bonepitdestroyed_a3,16,0.37480000,9.05538514,2
w_bonepitdestroyed_a3,17,0.46640000,8.00000000,2
w_bonepitdestroyed_a3,18,0.44140000,10.19803903,2
w_bonepitdestroyed_a3,19,3.29180000,9.23155136,5
w_bonepitdestroyed_a3,20,0.66700000,13.60147051,2
w_bonepitdestroyed_a3,21,0.42500000,12.52996409,2
w_bonepitdestroyed_a3,22,0.69180000,13.60147051,2
w_bonepitdestroyed_a3,23,0.35020000,11.18033989,2
w_bonepitdestroyed_a3,24,0.42520000,13.34166406,2
w_bonepitdestroyed_a3,25,0.37500000,12.08304597,2
w_bonepitdestroyed_a3,26,0.48340000,13.03840481,2
w_bonepitdestroyed_a3,27,0.36680000,14.42220510,2
w_bonepitdestroyed_a3,28,0.75000000,13.34166406,2
w_bonepitdestroyed_a3,29,0.38340000,13.03840481,2
w_bonepitdestroyed_a3,30,0.39980000,18.38477631,2
w_bonepitdestroyed_a3,31,0.39980000,18.38477631,2
w_bonepitdestroyed_a3,32,0.43320000,15.65247584,2
w_bonepitdestroyed_a3,33,0.36680000,15.81138830,2
w_bonepitdestroyed_a3,34,0.68320000,15.52417470,2
w_bonepitdestroyed_a3,35,0.42520000,17.49285568,2
