Map,Query Number,Time,Distance,Path Length
w_bonepitmining_a2,0,1.47480000,7.28010989,2
w_bonepitmining_a2,1,0.67500000,7.28010989,2
w_bonepitmining_a2,2,0.61640000,6.70820393,2
w_bonepitmining_a2,3,0.56680000,5.09901951,2
w_bonepitmining_a2,4,0.50860000,5.00000000,2
w_bonepitmining_a2,5,0.51660000,6.70820393,2
w_bonepitmining_a2,6,0.56680000,6.40312424,2
w_bonepitmining_a2,7,0.58360000,4.47213595,2
w_bonepitmining_a2,8,0.37540000,6.00000000,2
w_bonepitmining_a2,9,0.49180000,6.32455532,2
w_bonepitmining_a2,10,0.45880000,8.24621125,2
w_bonepitmining_a2,11,0.65020000,8.60232527,2
w_bonepitmining_a2,12,0.50840000,8.06225775,2
w_bonepitmining_a2,13,0.38340000,8.06225775,2
w_bonepitmining_a2,14,0.36660000,9.43398113,2
w_bonepitmining_a2,15,0.54180000,9.05538514,2
w_bonepitmining_a2,16,0.54180000,8.94427191,2
w_bonepitmining_a2,17,0.51700000,9.84885780,2
w_bonepitmining_a2,18,0.37500000,10.00000000,2
w_bonepitmining_a2,19,0.43320000,10.00000000,2
w_bonepitmining_a2,20,0.35820000,13.89244399,2
w_bonepitmining_a2,21,0.49140000,12.20655562,2
w_bonepitmining_a2,22,4.38320000,14.45261837,3
w_bonepitmining_a2,23,0.43320000,15.00000000,2
w_bonepitmining_a2,24,0.80840000,12.04159458,2
w_bonepitmining_a2,25,0.41660000,13.60147051,2
w_bonepitmining_a2,26,0.52500000,11.18033989,2
w_bonepitmining_a2,27,0.53340000,15.00000000,2
w_bonepitmining_a2,28,0.52500000,12.52996409,2
w_bonepitmining_a2,29,0.68340000,14.56021978,2
w_bonepitmining_a2,30,3.97480000,16.88634952,5
w_bonepitmining_a2,31,0.70820000,15.52417470,2
w_bonepitmining_a2,32,3.10820000,18.19557404,3
w_bonepitmining_a2,33,0.40840000,18.60107524,2
w_bonepitmining_a2,34,0.54180000,15.81138830,2
w_bonepitmining_a2,35,0.51660000,15.81138830,2
w_bonepitmining_a2,36,0.51660000,16.12451550,2
w_bonepitmining_a2,37,0.68360000,17.08800749,2
w_bonepitmining_a2,38,0.39160000,16.12451550,2
w_bonepitmining_a2,39,2.47500000,17.15549442,3
w_bonepitmining_a2,40,0.60800000,22.00000000,2
w_bonepitmining_a2,41,0.61680000,20.61552813,2
w_bonepitmining_a2,42,0.54160000,22.36067977,2
w_bonepitmining_a2,43,1.60840000,21.66183468,4
w_bonepitmining_a2,44,0.39960000,23.08679276,2
w_bonepitmining_a2,45,0.44980000,21.40093456,2
w_bonepitmining_a2,46,0.47480000,19.23538406,2
w_bonepitmining_a2,47,2.48320000,22.48446285,3
w_bonepitmining_a2,48,0.60820000,19.41648784,2
w_bonepitmining_a2,49,3.60840000,21.97533242,4
w_bonepitmining_a2,50,2.09180000,23.46575571,4
w_bonepitmining_a2,51,0.69180000,25.94224354,2
w_bonepitmining_a2,52,0.78320000,24.04163056,2
w_bonepitmining_a2,53,0.76680000,25.94224354,2
w_bonepitmining_a2,54,0.62520000,24.20743687,2
w_bonepitmining_a2,55,0.75000000,23.19482701,2
w_bonepitmining_a2,56,0.60820000,25.49509757,2
w_bonepitmining_a2,57,0.56640000,24.51530134,2
w_bonepitmining_a2,58,0.58340000,26.90724809,2
w_bonepitmining_a2,59,0.60000000,25.23885893,2
w_bonepitmining_a2,60,0.60000000,28.63564213,2
w_bonepitmining_a2,61,2.76640000,27.74719115,4
w_bonepitmining_a2,62,0.40000000,27.89265136,2
w_bonepitmining_a2,63,2.33340000,27.94434101,4
w_bonepitmining_a2,64,2.28340000,28.40594175,4
w_bonepitmining_a2,65,1.84980000,28.23387590,4
w_bonepitmining_a2,66,0.74140000,29.06888371,2
w_bonepitmining_a2,67,0.83320000,28.63564213,2
w_bonepitmining_a2,68,0.77520000,27.51363298,2
w_bonepitmining_a2,69,0.44200000,30.41381265,2
w_bonepitmining_a2,70,3.36660000,33.39311292,3
w_bonepitmining_a2,71,3.35000000,32.11269837,4
w_bonepitmining_a2,72,0.79180000,31.89043744,2
w_bonepitmining_a2,73,2.30000000,30.72865691,5
w_bonepitmining_a2,74,0.59180000,33.10589071,2
w_bonepitmining_a2,75,0.51660000,31.40063694,2
w_bonepitmining_a2,76,1.46700000,30.14513304,4
w_bonepitmining_a2,77,2.24980000,32.20367861,3
w_bonepitmining_a2,78,0.58300000,33.13608305,2
w_bonepitmining_a2,79,0.54160000,33.73425559,2
w_bonepitmining_a2,80,0.80020000,36.87817783,2
w_bonepitmining_a2,81,3.50860000,37.18650187,6
w_bonepitmining_a2,82,2.84180000,34.85014594,5
w_bonepitmining_a2,83,1.94980000,36.67091327,4
w_bonepitmining_a2,84,0.92500000,38.01315562,2
w_bonepitmining_a2,85,0.87520000,37.65634077,2
w_bonepitmining_a2,86,1.10040000,35.51056181,2
w_bonepitmining_a2,87,2.37520000,34.91855516,6
w_bonepitmining_a2,88,0.62480000,37.33630941,2
w_bonepitmining_a2,89,3.32500000,37.14168842,5
w_bonepitmining_a2,90,0.69180000,38.27531842,2
w_bonepitmining_a2,91,2.65000000,37.60019783,4
w_bonepitmining_a2,92,3.14160000,40.67663314,5
w_bonepitmining_a2,93,2.11640000,39.92582404,3
w_bonepitmining_a2,94,0.69140000,37.64306045,2
w_bonepitmining_a2,95,0.86660000,41.00000000,2
w_bonepitmining_a2,96,2.66680000,39.83765756,3
w_bonepitmining_a2,97,0.60840000,41.10960958,2
w_bonepitmining_a2,98,2.05840000,42.01851217,3
w_bonepitmining_a2,99,0.72540000,40.79215611,2
w_bonepitmining_a2,100,1.10840000,41.88078318,2
w_bonepitmining_a2,101,2.45820000,43.04720346,3
w_bonepitmining_a2,102,3.29140000,44.74987972,7
w_bonepitmining_a2,103,2.50000000,42.90114533,6
w_bonepitmining_a2,104,0.91700000,43.96589587,2
w_bonepitmining_a2,105,0.68340000,43.41658669,2
w_bonepitmining_a2,106,2.47480000,42.49977323,7
w_bonepitmining_a2,107,0.79180000,47.01063709,2
w_bonepitmining_a2,108,0.86680000,43.56604182,2
w_bonepitmining_a2,109,3.06660000,44.18266864,4
w_bonepitmining_a2,110,2.28340000,46.42177216,3
w_bonepitmining_a2,111,2.71640000,48.41306300,5
w_bonepitmining_a2,112,2.70820000,46.55585386,3
w_bonepitmining_a2,113,2.75860000,45.81786315,5
w_bonepitmining_a2,114,2.58360000,48.58061175,6
w_bonepitmining_a2,115,1.27500000,46.52956050,2
w_bonepitmining_a2,116,3.97520000,46.79525483,5
w_bonepitmining_a2,117,2.02520000,47.04343728,4
w_bonepitmining_a2,118,2.59160000,48.44556577,4
w_bonepitmining_a2,119,2.12500000,47.18226128,8
w_bonepitmining_a2,120,0.90800000,53.33854141,2
w_bonepitmining_a2,121,2.42500000,49.96611251,4
w_bonepitmining_a2,122,0.68320000,51.92301994,2
w_bonepitmining_a2,123,0.46640000,52.00961450,2
w_bonepitmining_a2,124,5.63320000,51.46345047,3
w_bonepitmining_a2,125,2.05860000,50.96831737,3
w_bonepitmining_a2,126,1.85020000,49.99294476,6
w_bonepitmining_a2,127,3.23320000,55.04444441,4
w_bonepitmining_a2,128,2.47500000,53.01851217,4
w_bonepitmining_a2,129,3.67500000,50.50986021,8
w_bonepitmining_a2,130,1.07500000,54.20332093,2
w_bonepitmining_a2,131,2.42500000,53.24403026,3
w_bonepitmining_a2,132,3.25000000,53.09800716,4
w_bonepitmining_a2,133,0.97480000,55.22680509,2
w_bonepitmining_a2,134,2.75020000,53.88601262,4
w_bonepitmining_a2,135,1.86660000,53.98943087,3
w_bonepitmining_a2,136,2.37500000,56.40872611,5
w_bonepitmining_a2,137,0.94160000,58.00000000,2
w_bonepitmining_a2,138,0.88320000,57.03507693,2
w_bonepitmining_a2,139,0.99160000,56.00892786,2
w_bonepitmining_a2,140,1.07480000,57.77542730,2
w_bonepitmining_a2,141,2.73320000,60.17090349,9
w_bonepitmining_a2,142,0.75020000,58.94064811,2
w_bonepitmining_a2,143,0.75840000,57.00877125,2
w_bonepitmining_a2,144,2.43340000,59.52738997,5
w_bonepitmining_a2,145,2.33340000,58.74937375,3
w_bonepitmining_a2,146,2.19160000,57.06098293,3
w_bonepitmining_a2,147,1.12520000,56.88585061,2
w_bonepitmining_a2,148,2.91700000,56.16870005,7
w_bonepitmining_a2,149,2.20840000,58.47817456,3
w_bonepitmining_a2,150,2.02480000,65.25188056,3
w_bonepitmining_a2,151,0.95000000,60.41522987,2
w_bonepitmining_a2,152,2.35820000,62.62057619,5
w_bonepitmining_a2,153,2.79180000,63.81008519,3
w_bonepitmining_a2,154,2.70020000,62.65347345,4
w_bonepitmining_a2,155,0.89180000,65.06919394,2
w_bonepitmining_a2,156,1.27500000,62.20128616,2
w_bonepitmining_a2,157,2.40800000,61.88691871,7
w_bonepitmining_a2,158,2.22480000,62.59908190,4
w_bonepitmining_a2,159,2.93320000,59.73532935,5
w_bonepitmining_a2,160,3.38360000,69.21481240,3
w_bonepitmining_a2,161,2.02520000,64.49518819,4
w_bonepitmining_a2,162,0.75000000,64.51356447,2
w_bonepitmining_a2,163,2.25020000,65.22340689,6
w_bonepitmining_a2,164,2.45820000,66.10262639,6
w_bonepitmining_a2,165,2.46680000,67.97903662,3
w_bonepitmining_a2,166,2.97500000,66.64604326,4
w_bonepitmining_a2,167,2.49980000,65.89520626,3
w_bonepitmining_a2,168,2.79140000,70.06225775,4
w_bonepitmining_a2,169,2.39140000,67.26478498,7
w_bonepitmining_a2,170,2.61700000,73.11559425,4
