Map,Query Number,Time,Distance,Path Length
w_encounter2_camp,0,1.45820000,4.47213595,2
w_encounter2_camp,1,0.67520000,7.21110255,2
w_encounter2_camp,2,0.49180000,5.00000000,2
w_encounter2_camp,3,0.48320000,7.21110255,2
w_encounter2_camp,4,0.55000000,7.07106781,2
w_encounter2_camp,5,0.49140000,6.70820393,2
w_encounter2_camp,6,0.48320000,6.00000000,2
w_encounter2_camp,7,0.44980000,6.70820393,2
w_encounter2_camp,8,0.42480000,7.07106781,2
w_encounter2_camp,9,0.76660000,4.12310563,2
w_encounter2_camp,10,0.70020000,11.04536102,2
w_encounter2_camp,11,0.57480000,10.00000000,2
w_encounter2_camp,12,0.41680000,9.48683298,2
w_encounter2_camp,13,0.58360000,10.81665383,2
w_encounter2_camp,14,0.47480000,8.60232527,2
w_encounter2_camp,15,0.50840000,9.00000000,2
w_encounter2_camp,16,0.61640000,10.00000000,2
w_encounter2_camp,17,0.58300000,8.06225775,2
w_encounter2_camp,18,0.45820000,8.06225775,2
w_encounter2_camp,19,0.30840000,8.54400375,2
w_encounter2_camp,20,0.63340000,13.45362405,2
w_encounter2_camp,21,0.41660000,13.60147051,2
w_encounter2_camp,22,0.38320000,13.15294644,2
w_encounter2_camp,23,0.52540000,13.00000000,2
w_encounter2_camp,24,0.60020000,14.00000000,2
w_encounter2_camp,25,0.48340000,15.03329638,2
w_encounter2_camp,26,0.66680000,15.00000000,2
w_encounter2_camp,27,0.41660000,14.03566885,2
w_encounter2_camp,28,0.66680000,12.04159458,2
w_encounter2_camp,29,0.66640000,12.52996409,2
w_encounter2_camp,30,0.44160000,17.80449381,2
w_encounter2_camp,31,0.40840000,17.08800749,2
w_encounter2_camp,32,0.47500000,16.03121954,2
w_encounter2_camp,33,0.40800000,15.62049935,2
w_encounter2_camp,34,0.45000000,15.29705854,2
w_encounter2_camp,35,0.25000000,17.00000000,2
w_encounter2_camp,36,0.52480000,17.46424920,2
w_encounter2_camp,37,0.44120000,17.26267650,2
w_encounter2_camp,38,0.44160000,15.62049935,2
w_encounter2_camp,39,0.68340000,18.35755975,2
w_encounter2_camp,40,0.53320000,18.97366596,2
w_encounter2_camp,41,0.67520000,22.36067977,2
w_encounter2_camp,42,0.46640000,21.21320344,2
w_encounter2_camp,43,6.27460000,22.42955327,9
w_encounter2_camp,44,0.44160000,19.84943324,2
w_encounter2_camp,45,0.45020000,21.26029163,2
w_encounter2_camp,46,0.43360000,22.02271555,2
w_encounter2_camp,47,0.76660000,21.58703314,2
w_encounter2_camp,48,0.37500000,20.61552813,2
w_encounter2_camp,49,3.62500000,20.48747568,3
w_encounter2_camp,50,4.15840000,22.62247753,3
w_encounter2_camp,51,0.68300000,24.33105012,2
w_encounter2_camp,52,0.55840000,25.00000000,2
w_encounter2_camp,53,7.23320000,25.74963249,5
w_encounter2_camp,54,2.39180000,27.23086739,4
w_encounter2_camp,55,0.79180000,26.90724809,2
w_encounter2_camp,56,0.72500000,23.08679276,2
w_encounter2_camp,57,0.85820000,26.07680962,2
w_encounter2_camp,58,0.60840000,24.04163056,2
w_encounter2_camp,59,0.46640000,25.49509757,2
w_encounter2_camp,60,4.70840000,28.60640479,3
w_encounter2_camp,61,0.48320000,27.29468813,2
w_encounter2_camp,62,0.73320000,29.06888371,2
w_encounter2_camp,63,0.46660000,29.01723626,2
w_encounter2_camp,64,2.55000000,26.57749892,3
w_encounter2_camp,65,0.31640000,28.16025568,2
w_encounter2_camp,66,3.47480000,29.38007881,4
w_encounter2_camp,67,0.65000000,27.45906044,2
w_encounter2_camp,68,0.59200000,30.14962686,2
w_encounter2_camp,69,2.87540000,28.08724214,3
w_encounter2_camp,70,0.60860000,29.73213749,2
w_encounter2_camp,71,2.62500000,31.59203535,3
w_encounter2_camp,72,3.65820000,33.12218592,3
w_encounter2_camp,73,0.78320000,35.05709629,2
w_encounter2_camp,74,0.49160000,33.01514804,2
w_encounter2_camp,75,2.76640000,31.62129871,4
w_encounter2_camp,76,2.32520000,32.76496723,3
w_encounter2_camp,77,0.77520000,34.13209633,2
w_encounter2_camp,78,0.78340000,31.01612484,2
w_encounter2_camp,79,0.63340000,30.80584360,2
w_encounter2_camp,80,0.58340000,36.24913792,2
w_encounter2_camp,81,0.78340000,37.00000000,2
w_encounter2_camp,82,0.64980000,36.79673899,2
w_encounter2_camp,83,3.25820000,34.17880728,4
w_encounter2_camp,84,0.52500000,35.00000000,2
w_encounter2_camp,85,0.50000000,33.52610923,2
w_encounter2_camp,86,0.84140000,35.51056181,2
w_encounter2_camp,87,0.59980000,36.00000000,2
w_encounter2_camp,88,0.41680000,36.05551275,2
w_encounter2_camp,89,0.63340000,38.94868419,2
w_encounter2_camp,90,0.75000000,39.56008089,2
w_encounter2_camp,91,3.39160000,39.68154169,3
w_encounter2_camp,92,4.11680000,40.33509936,3
w_encounter2_camp,93,4.80000000,38.33802972,3
w_encounter2_camp,94,3.88320000,39.49658895,7
w_encounter2_camp,95,0.59960000,38.62641583,2
w_encounter2_camp,96,0.61660000,37.16180835,2
w_encounter2_camp,97,0.61680000,37.64306045,2
w_encounter2_camp,98,0.70020000,39.81205847,2
w_encounter2_camp,99,0.89160000,41.30375286,2
w_encounter2_camp,100,1.05840000,45.00000000,2
w_encounter2_camp,101,0.66640000,44.28317965,2
w_encounter2_camp,102,0.65000000,46.01086828,2
w_encounter2_camp,103,5.76660000,41.36406307,6
w_encounter2_camp,104,2.91680000,41.55816650,3
w_encounter2_camp,105,0.51660000,47.01063709,2
w_encounter2_camp,106,2.53320000,44.96887313,5
w_encounter2_camp,107,0.70840000,44.28317965,2
w_encounter2_camp,108,0.55840000,42.95346319,2
w_encounter2_camp,109,0.55820000,43.04648650,2
w_encounter2_camp,110,3.61700000,47.09772229,3
w_encounter2_camp,111,0.61660000,48.79549160,2
w_encounter2_camp,112,3.62500000,48.09710733,3
w_encounter2_camp,113,2.61660000,46.51959348,3
w_encounter2_camp,114,0.80840000,48.00000000,2
w_encounter2_camp,115,3.15840000,46.21440066,3
w_encounter2_camp,116,2.08340000,46.50720655,6
w_encounter2_camp,117,0.75000000,48.41487375,2
w_encounter2_camp,118,2.07500000,48.16369155,3
w_encounter2_camp,119,1.05840000,49.04079934,2
w_encounter2_camp,120,3.73340000,48.92492956,4
w_encounter2_camp,121,0.80000000,48.76474136,2
w_encounter2_camp,122,0.88340000,51.47815070,2
w_encounter2_camp,123,0.95840000,49.92995093,2
w_encounter2_camp,124,0.94160000,48.84669897,2
w_encounter2_camp,125,0.63320000,51.62363800,2
w_encounter2_camp,126,2.67480000,48.79754199,3
w_encounter2_camp,127,0.58320000,52.00000000,2
w_encounter2_camp,128,2.80000000,49.89529536,4
w_encounter2_camp,129,1.84180000,51.58457013,3
w_encounter2_camp,130,3.45820000,55.24657227,5
w_encounter2_camp,131,0.87500000,55.22680509,2
w_encounter2_camp,132,0.66640000,52.95280918,2
w_encounter2_camp,133,1.09160000,55.47071299,2
w_encounter2_camp,134,0.65840000,54.03702434,2
w_encounter2_camp,135,2.24160000,55.72084347,7
w_encounter2_camp,136,0.69140000,55.86591089,2
w_encounter2_camp,137,0.47480000,54.91812087,2
w_encounter2_camp,138,0.75000000,54.81788029,2
w_encounter2_camp,139,0.95820000,55.97320788,2
w_encounter2_camp,140,3.99160000,57.10021721,4
w_encounter2_camp,141,2.87500000,58.02424018,3
w_encounter2_camp,142,2.58340000,58.22126576,3
w_encounter2_camp,143,0.94140000,58.00862005,2
w_encounter2_camp,144,3.04980000,59.49881899,3
w_encounter2_camp,145,0.86680000,58.24946352,2
w_encounter2_camp,146,3.96640000,59.50398762,9
w_encounter2_camp,147,2.78340000,61.46946437,4
w_encounter2_camp,148,2.55020000,58.39221268,4
w_encounter2_camp,149,3.47500000,57.99400130,5
w_encounter2_camp,150,0.73360000,61.98386887,2
w_encounter2_camp,151,2.68360000,61.04742861,3
w_encounter2_camp,152,3.29220000,62.44616585,4
w_encounter2_camp,153,1.00840000,61.29437168,2
w_encounter2_camp,154,10.78340000,60.94163828,3
w_encounter2_camp,155,4.54180000,62.66571111,3
w_encounter2_camp,156,3.20860000,63.20679542,9
w_encounter2_camp,157,0.84980000,61.40032573,2
w_encounter2_camp,158,2.10000000,59.32183667,6
w_encounter2_camp,159,2.50840000,63.67083053,5
w_encounter2_camp,160,2.67480000,69.24135037,4
w_encounter2_camp,161,0.85820000,64.56004957,2
w_encounter2_camp,162,2.29160000,67.77063421,9
w_encounter2_camp,163,0.73340000,63.56099433,2
w_encounter2_camp,164,3.22520000,63.48947653,5
w_encounter2_camp,165,1.03360000,65.45991140,2
w_encounter2_camp,166,2.93340000,68.49734178,4
w_encounter2_camp,167,2.31660000,67.52971832,5
w_encounter2_camp,168,1.03320000,66.40030120,2
w_encounter2_camp,169,1.06660000,66.28725368,2
w_encounter2_camp,170,2.47480000,71.65472875,3
w_encounter2_camp,171,0.86660000,72.44308111,2
w_encounter2_camp,172,3.57480000,66.01016654,7
w_encounter2_camp,173,2.40840000,67.94809464,8
w_encounter2_camp,174,0.95020000,70.17834424,2
w_encounter2_camp,175,3.89980000,69.81938236,3
w_encounter2_camp,176,1.01660000,72.33947747,2
w_encounter2_camp,177,2.18320000,69.10368679,7
w_encounter2_camp,178,1.08320000,73.00000000,2
w_encounter2_camp,179,2.88360000,70.06792813,4
w_encounter2_camp,180,1.02520000,71.58910532,2
w_encounter2_camp,181,2.62500000,70.78052865,3
w_encounter2_camp,182,1.14980000,73.00684899,2
w_encounter2_camp,183,0.91640000,72.03471385,2
w_encounter2_camp,184,3.54160000,72.13735300,3
w_encounter2_camp,185,3.37500000,74.28007496,14
w_encounter2_camp,186,1.04980000,72.83543094,2
w_encounter2_camp,187,2.89980000,73.91859603,6
w_encounter2_camp,188,2.90840000,75.38139270,9
w_encounter2_camp,189,2.58320000,75.26759626,3
w_encounter2_camp,190,2.53320000,78.85586461,13
w_encounter2_camp,191,0.85820000,81.00000000,2
w_encounter2_camp,192,3.25820000,80.81242982,3
w_encounter2_camp,193,1.06640000,76.48529270,2
w_encounter2_camp,194,4.55820000,74.72929181,3
w_encounter2_camp,195,4.53320000,79.48802876,8
w_encounter2_camp,196,2.49980000,80.66249662,3
w_encounter2_camp,197,2.51680000,75.35220274,6
w_encounter2_camp,198,3.42480000,77.87186764,14
w_encounter2_camp,199,3.26640000,76.39217268,7
w_encounter2_camp,200,1.04120000,83.21658489,2
w_encounter2_camp,201,1.19980000,82.15229759,2
w_encounter2_camp,202,3.84980000,79.60759396,11
w_encounter2_camp,203,2.62500000,81.85028853,8
w_encounter2_camp,204,3.37500000,82.16952930,3
w_encounter2_camp,205,2.74160000,81.11469641,3
w_encounter2_camp,206,2.79200000,81.64688270,4
w_encounter2_camp,207,5.54180000,82.21683709,15
