Map,Query Number,Time,Distance,Path Length
w_encounter3,0,1.53340000,6.70820393,2
w_encounter3,1,0.40840000,5.38516481,2
w_encounter3,2,0.41660000,5.00000000,2
w_encounter3,3,0.45820000,6.40312424,2
w_encounter3,4,0.35020000,7.07106781,2
w_encounter3,5,0.49200000,4.12310563,2
w_encounter3,6,0.48360000,6.32455532,2
w_encounter3,7,0.47520000,5.00000000,2
w_encounter3,8,0.52480000,5.00000000,2
w_encounter3,9,3.09140000,4.60555128,3
w_encounter3,10,0.52480000,9.48683298,2
w_encounter3,11,0.59980000,9.05538514,2
w_encounter3,12,0.66680000,9.89949494,2
w_encounter3,13,0.53360000,10.29563014,2
w_encounter3,14,0.37480000,9.43398113,2
w_encounter3,15,0.40840000,8.54400375,2
w_encounter3,16,0.35840000,10.00000000,2
w_encounter3,17,0.36660000,8.00000000,2
w_encounter3,18,0.43340000,8.06225775,2
w_encounter3,19,0.43360000,10.81665383,2
w_encounter3,20,0.46680000,15.55634919,2
w_encounter3,21,0.77480000,12.04159458,2
w_encounter3,22,0.47520000,11.40175425,2
w_encounter3,23,0.60020000,15.00000000,2
w_encounter3,24,1.99980000,11.70820393,4
w_encounter3,25,0.49160000,14.31782106,2
w_encounter3,26,0.36680000,12.04159458,2
w_encounter3,27,0.65860000,14.76482306,2
w_encounter3,28,0.41660000,14.76482306,2
w_encounter3,29,0.76640000,12.04159458,2
w_encounter3,30,0.71660000,16.49242250,2
w_encounter3,31,0.59160000,16.00000000,2
w_encounter3,32,0.67520000,19.20937271,2
w_encounter3,33,4.95020000,16.00000000,3
w_encounter3,34,0.73340000,19.10497317,2
w_encounter3,35,0.56660000,18.38477631,2
w_encounter3,36,0.75840000,18.24828759,2
w_encounter3,37,2.02460000,17.51054077,3
w_encounter3,38,1.71660000,17.66564873,3
w_encounter3,39,0.77500000,19.20937271,2
w_encounter3,40,0.60020000,18.68154169,2
w_encounter3,41,0.71640000,22.13594362,2
w_encounter3,42,0.77500000,20.61552813,2
w_encounter3,43,0.42500000,21.58703314,2
w_encounter3,44,1.99200000,20.07106781,4
w_encounter3,45,1.91660000,22.01438286,3
w_encounter3,46,0.54980000,20.00000000,2
w_encounter3,47,0.44120000,22.02271555,2
w_encounter3,48,0.59980000,20.59126028,2
w_encounter3,49,2.96660000,20.30618973,7
w_encounter3,50,0.80820000,25.23885893,2
w_encounter3,51,0.57500000,26.17250466,2
w_encounter3,52,0.78300000,23.34523506,2
w_encounter3,53,1.54980000,24.70018278,4
w_encounter3,54,0.43360000,24.51530134,2
w_encounter3,55,0.57500000,22.82542442,2
w_encounter3,56,0.66680000,26.17250466,2
w_encounter3,57,0.59180000,25.17935662,2
w_encounter3,58,0.56680000,22.36067977,2
w_encounter3,59,3.38340000,23.41073439,4
w_encounter3,60,0.84980000,27.78488798,2
