Map,Query Number,Time,Distance,Path Length
w_woundedcoast,0,2.70020000,5.09901951,2
w_woundedcoast,1,0.96680000,4.47213595,2
w_woundedcoast,2,1.45840000,6.08276253,2
w_woundedcoast,3,0.79180000,5.38516481,2
w_woundedcoast,4,0.69980000,6.00000000,2
w_woundedcoast,5,6.90000000,6.47213595,3
w_woundedcoast,6,0.56660000,5.83095189,2
w_woundedcoast,7,0.69960000,4.12310563,2
w_woundedcoast,8,0.81660000,5.00000000,2
w_woundedcoast,9,0.50020000,5.65685425,2
w_woundedcoast,10,0.71660000,8.60232527,2
w_woundedcoast,11,0.99160000,10.19803903,2
w_woundedcoast,12,0.54180000,10.44030651,2
w_woundedcoast,13,0.70000000,8.60232527,2
w_woundedcoast,14,0.56660000,9.48683298,2
w_woundedcoast,15,0.69200000,11.04536102,2
w_woundedcoast,16,0.65840000,8.06225775,2
w_woundedcoast,17,0.75840000,10.29563014,2
w_woundedcoast,18,0.65820000,9.05538514,2
w_woundedcoast,19,1.55840000,7.81024968,2
w_woundedcoast,20,0.75020000,15.00000000,2
w_woundedcoast,21,0.57500000,13.15294644,2
w_woundedcoast,22,0.56680000,13.60147051,2
w_woundedcoast,23,0.71680000,13.00000000,2
w_woundedcoast,24,0.85000000,13.41640786,2
w_woundedcoast,25,0.57500000,12.64911064,2
w_woundedcoast,26,0.44180000,13.03840481,2
w_woundedcoast,27,0.46660000,12.52996409,2
w_woundedcoast,28,0.40000000,14.31782106,2
w_woundedcoast,29,0.52520000,13.60147051,2
w_woundedcoast,30,5.05820000,17.66780903,5
w_woundedcoast,31,1.07520000,15.55634919,2
w_woundedcoast,32,0.32520000,17.00000000,2
w_woundedcoast,33,0.96700000,16.12451550,2
w_woundedcoast,34,0.85840000,19.10497317,2
w_woundedcoast,35,0.51680000,17.69180601,2
w_woundedcoast,36,0.53340000,16.64331698,2
w_woundedcoast,37,0.55020000,16.03121954,2
w_woundedcoast,38,0.51660000,17.08800749,2
w_woundedcoast,39,1.20000000,18.35755975,2
w_woundedcoast,40,5.29160000,20.37975521,6
w_woundedcoast,41,3.76680000,19.64728032,3
w_woundedcoast,42,0.45000000,21.09502311,2
w_woundedcoast,43,3.78300000,20.19166403,3
w_woundedcoast,44,2.58320000,20.36794061,5
w_woundedcoast,45,0.56640000,19.64688270,2
w_woundedcoast,46,0.59160000,21.09502311,2
w_woundedcoast,47,0.75840000,20.00000000,2
w_woundedcoast,48,0.63340000,20.80865205,2
w_woundedcoast,49,5.03320000,19.84969027,3
w_woundedcoast,50,0.80800000,23.70653918,2
w_woundedcoast,51,2.31640000,24.49003382,4
w_woundedcoast,52,1.03340000,23.76972865,2
w_woundedcoast,53,0.57500000,24.35159132,2
w_woundedcoast,54,0.74160000,24.08318916,2
w_woundedcoast,55,1.98340000,24.58886133,4
w_woundedcoast,56,0.74980000,22.56102835,2
w_woundedcoast,57,0.67520000,25.70992026,2
w_woundedcoast,58,1.91680000,24.88245611,5
w_woundedcoast,59,0.73340000,23.76972865,2
w_woundedcoast,60,1.02500000,29.06888371,2
w_woundedcoast,61,4.49180000,27.74437149,5
w_woundedcoast,62,0.87460000,27.29468813,2
w_woundedcoast,63,2.38320000,28.56970798,5
w_woundedcoast,64,4.63320000,26.78609937,3
w_woundedcoast,65,3.51660000,27.90466132,4
w_woundedcoast,66,4.10020000,28.71687668,7
w_woundedcoast,67,1.27540000,27.80287755,2
w_woundedcoast,68,1.13340000,30.61045573,2
w_woundedcoast,69,0.89180000,30.01666204,2
w_woundedcoast,70,0.65800000,32.24903099,2
w_woundedcoast,71,2.20000000,30.51686973,6
w_woundedcoast,72,0.83360000,32.75667871,2
w_woundedcoast,73,2.28360000,32.94427191,4
w_woundedcoast,74,2.87500000,30.79111295,8
w_woundedcoast,75,0.57480000,30.36445290,2
w_woundedcoast,76,2.92520000,32.52208067,4
w_woundedcoast,77,3.91660000,30.94008397,3
w_woundedcoast,78,2.30000000,31.12451550,3
w_woundedcoast,79,2.55800000,30.95877120,8
w_woundedcoast,80,0.89160000,34.48187930,2
w_woundedcoast,81,0.90860000,37.65634077,2
w_woundedcoast,82,1.91680000,36.12478374,2
w_woundedcoast,83,3.01680000,34.94570636,5
w_woundedcoast,84,0.97500000,39.00000000,2
w_woundedcoast,85,3.99980000,36.34179158,4
w_woundedcoast,86,2.12500000,35.72709967,5
w_woundedcoast,87,3.94160000,36.13608305,3
w_woundedcoast,88,2.89180000,33.49354780,4
w_woundedcoast,89,1.72540000,36.23534186,2
w_woundedcoast,90,0.89980000,38.27531842,2
w_woundedcoast,91,0.90820000,40.00000000,2
w_woundedcoast,92,2.82520000,40.24301821,5
w_woundedcoast,93,0.76660000,38.62641583,2
w_woundedcoast,94,3.20840000,38.98091884,3
w_woundedcoast,95,1.90840000,39.13970344,6
w_woundedcoast,96,6.25000000,40.40519603,10
w_woundedcoast,97,2.04980000,38.63201124,6
w_woundedcoast,98,3.52500000,40.29231788,6
w_woundedcoast,99,0.86660000,41.59326869,2
w_woundedcoast,100,3.02500000,40.80763085,4
w_woundedcoast,101,2.47480000,43.35549395,7
w_woundedcoast,102,3.30020000,43.60892763,10
w_woundedcoast,103,5.12500000,45.98053597,10
w_woundedcoast,104,0.89160000,43.73785546,2
w_woundedcoast,105,2.35020000,42.52623434,3
w_woundedcoast,106,3.33340000,42.95370292,3
w_woundedcoast,107,2.34160000,43.99902830,4
w_woundedcoast,108,1.95840000,47.38143096,2
w_woundedcoast,109,2.18300000,43.29906804,9
w_woundedcoast,110,0.93300000,44.59820624,2
w_woundedcoast,111,1.02500000,45.89117562,2
w_woundedcoast,112,2.74160000,45.95026610,5
w_woundedcoast,113,3.21640000,44.04656567,7
w_woundedcoast,114,2.96660000,45.60736573,3
w_woundedcoast,115,3.26660000,48.10802197,8
w_woundedcoast,116,2.81640000,46.03569534,9
w_woundedcoast,117,2.74980000,48.66528116,6
w_woundedcoast,118,0.94160000,44.77722635,2
w_woundedcoast,119,1.85000000,44.63840003,4
w_woundedcoast,120,4.85840000,51.24937811,3
w_woundedcoast,121,2.21680000,51.67758314,5
w_woundedcoast,122,4.84180000,51.05115839,9
w_woundedcoast,123,5.03340000,49.11302133,9
w_woundedcoast,124,3.19200000,48.92268810,10
w_woundedcoast,125,3.82500000,49.01237747,5
w_woundedcoast,126,2.05020000,53.75872022,3
w_woundedcoast,127,1.30000000,50.96076922,2
w_woundedcoast,128,1.49140000,52.03844733,2
w_woundedcoast,129,1.55000000,51.24451190,2
w_woundedcoast,130,3.30020000,53.49034834,3
w_woundedcoast,131,2.70840000,55.65853403,5
w_woundedcoast,132,3.34180000,54.09230489,11
w_woundedcoast,133,2.93320000,55.14115560,9
w_woundedcoast,134,2.37520000,54.28631521,5
w_woundedcoast,135,1.35840000,57.14017851,2
w_woundedcoast,136,3.30020000,53.34308092,6
w_woundedcoast,137,2.15040000,55.08326986,4
w_woundedcoast,138,3.04180000,52.64003630,10
w_woundedcoast,139,2.84200000,55.16382518,7
w_woundedcoast,140,4.95860000,60.96097874,3
w_woundedcoast,141,2.05000000,55.95265210,5
w_woundedcoast,142,2.01700000,57.23462512,7
w_woundedcoast,143,2.36680000,57.39563736,9
w_woundedcoast,144,3.26660000,58.23935497,7
w_woundedcoast,145,3.41660000,55.99495049,6
w_woundedcoast,146,2.89180000,59.86633568,7
w_woundedcoast,147,3.04180000,58.31190262,3
w_woundedcoast,148,1.11680000,63.00793601,2
w_woundedcoast,149,2.60000000,57.48852261,10
w_woundedcoast,150,2.39980000,61.35216167,10
w_woundedcoast,151,3.73320000,61.66641392,4
w_woundedcoast,152,2.44160000,63.66141479,8
w_woundedcoast,153,2.31660000,61.82160522,9
w_woundedcoast,154,1.95000000,62.47019306,5
w_woundedcoast,155,2.74180000,64.22956445,6
w_woundedcoast,156,2.50020000,62.87722063,5
w_woundedcoast,157,2.89160000,64.82883738,18
w_woundedcoast,158,2.51640000,60.76192987,10
w_woundedcoast,159,2.81680000,64.89449412,4
w_woundedcoast,160,2.85020000,64.80547957,10
w_woundedcoast,161,4.87500000,64.82798984,11
