Map,Query Number,Time,Distance,Path Length
arena,0,1.15000000,1.00000000,2
arena,1,0.21660000,2.00000000,2
arena,2,0.30840000,3.16227766,2
arena,3,1.87500000,3.41421356,4
arena,4,0.24180000,3.00000000,2
arena,5,0.34160000,3.60555128,2
arena,6,0.28300000,1.41421356,2
arena,7,0.18360000,2.00000000,2
arena,8,0.20860000,3.00000000,2
arena,9,0.29180000,3.16227766,2
arena,10,0.25820000,6.00000000,2
arena,11,0.20860000,7.00000000,2
arena,12,0.24160000,6.70820393,2
arena,13,0.26660000,6.40312424,2
arena,14,0.36660000,5.83095189,2
arena,15,0.20840000,7.07106781,2
arena,16,0.18320000,5.00000000,2
arena,17,0.25020000,6.32455532,2
arena,18,0.22500000,4.00000000,2
arena,19,2.09160000,4.60555128,3
arena,20,1.02460000,7.63441362,3
arena,21,0.27500000,11.18033989,2
arena,22,0.81680000,10.89068487,3
arena,23,0.26660000,10.77032961,2
arena,24,0.23340000,7.81024968,2
arena,25,0.22500000,8.48528137,2
arena,26,0.26660000,10.81665383,2
arena,27,0.20820000,10.04987562,2
arena,28,1.09160000,9.43650317,3
arena,29,0.21680000,8.06225775,2
arena,30,0.39140000,13.45362405,2
arena,31,0.20820000,12.04159458,2
arena,32,0.35800000,12.72792206,2
arena,33,0.32500000,13.45362405,2
arena,34,0.22500000,12.04159458,2
arena,35,0.23340000,13.00000000,2
arena,36,0.79160000,14.04585778,3
arena,37,0.27520000,14.14213562,2
arena,38,0.22480000,12.16552506,2
arena,39,0.75000000,10.78007172,3
arena,40,0.29160000,17.02938637,2
arena,41,0.27480000,15.29705854,2
arena,42,0.29160000,16.40121947,2
arena,43,0.22500000,16.03121954,2
arena,44,1.48320000,17.92337234,3
arena,45,0.93320000,17.86172350,3
arena,46,0.81660000,15.35839121,3
arena,47,1.00800000,15.27447279,3
arena,48,1.30840000,18.00000000,3
arena,49,1.24140000,19.43908891,3
arena,50,0.38320000,22.47220505,2
arena,51,0.45020000,20.80865205,2
arena,52,1.27480000,21.05753054,5
arena,53,0.30840000,21.54065923,2
arena,54,0.73340000,22.50240758,3
arena,55,0.79160000,19.70298587,3
arena,56,0.26660000,19.41648784,2
arena,57,1.45020000,21.26751604,3
arena,58,0.75820000,21.60136657,3
arena,59,0.84160000,19.33820470,3
arena,60,0.82520000,24.25909008,3
arena,61,0.60840000,23.49593508,3
arena,62,0.85840000,22.85691227,3
arena,63,0.59160000,27.58622845,2
arena,64,0.42500000,23.32380758,2
arena,65,0.39160000,23.19482701,2
arena,66,0.32500000,25.00000000,2
arena,67,1.03320000,25.47213595,8
arena,68,0.52500000,23.43074903,2
arena,69,0.85820000,25.76782894,8
arena,70,0.53360000,29.69848481,2
arena,71,0.56680000,28.60069929,2
arena,72,0.34160000,27.45906044,2
arena,73,1.39140000,29.71621493,3
arena,74,0.99140000,26.40384815,3
arena,75,0.95020000,27.92592190,3
arena,76,0.65860000,29.55200836,3
arena,77,0.30020000,26.57066051,2
arena,78,0.36660000,28.07133770,2
arena,79,1.20020000,28.63622411,3
arena,80,0.63320000,35.38361203,2
arena,81,0.90000000,30.05972484,3
arena,82,0.40000000,31.57530681,2
arena,83,0.28340000,32.55764119,2
arena,84,0.85000000,32.36478732,3
arena,85,0.55000000,31.06444913,2
