Map,Query Number,Time,Distance,Path Length
arena2,0,2.13340000,3.60555128,2
arena2,1,0.38340000,2.82842712,2
arena2,2,0.46680000,3.16227766,2
arena2,3,0.40000000,3.60555128,2
arena2,4,0.40820000,2.00000000,2
arena2,5,0.43340000,3.00000000,2
arena2,6,0.41660000,1.41421356,2
arena2,7,0.42520000,2.00000000,2
arena2,8,0.36700000,2.00000000,2
arena2,9,0.66680000,3.60555128,2
arena2,10,0.59980000,5.38516481,2
arena2,11,0.64980000,6.40312424,2
arena2,12,0.28340000,4.12310563,2
arena2,13,0.36660000,6.00000000,2
arena2,14,0.41660000,7.28010989,2
arena2,15,0.33340000,5.38516481,2
arena2,16,0.33340000,4.00000000,2
arena2,17,0.31680000,4.00000000,2
arena2,18,0.46660000,7.07106781,2
arena2,19,0.38340000,7.07106781,2
arena2,20,0.40000000,9.48683298,2
arena2,21,0.38320000,8.60232527,2
arena2,22,0.40020000,9.00000000,2
arena2,23,0.34200000,10.44030651,2
arena2,24,0.35000000,10.19803903,2
arena2,25,0.55840000,8.60232527,2
arena2,26,0.65840000,8.06225775,2
arena2,27,0.30780000,10.29563014,2
arena2,28,0.41660000,7.81024968,2
arena2,29,0.38340000,8.06225775,2
arena2,30,0.64980000,13.00000000,2
arena2,31,0.42500000,13.03840481,2
arena2,32,0.35800000,15.13274595,2
arena2,33,0.41680000,13.03840481,2
arena2,34,0.43360000,12.72792206,2
arena2,35,0.46680000,15.00000000,2
arena2,36,0.45000000,12.04159458,2
arena2,37,0.31640000,12.36931688,2
arena2,38,0.35820000,15.03329638,2
arena2,39,0.37500000,11.66190379,2
arena2,40,0.63340000,17.46424920,2
arena2,41,3.32500000,15.19348530,4
arena2,42,0.37500000,16.55294536,2
arena2,43,0.43300000,18.02775638,2
arena2,44,0.45820000,16.49242250,2
arena2,45,0.67500000,18.11077028,2
arena2,46,3.13320000,17.06668940,4
arena2,47,3.08340000,17.84139743,3
arena2,48,0.46640000,16.27882060,2
arena2,49,0.66660000,16.12451550,2
arena2,50,2.16660000,22.00033005,3
arena2,51,1.45000000,20.90104654,4
arena2,52,0.49180000,20.22374842,2
arena2,53,0.34160000,23.00000000,2
arena2,54,0.40780000,19.41648784,2
arena2,55,0.69980000,22.80350850,2
arena2,56,0.60000000,19.84943324,2
arena2,57,3.40800000,21.67253832,4
arena2,58,0.40820000,21.02379604,2
arena2,59,2.73340000,20.04689683,3
arena2,60,1.79140000,26.24893082,3
arena2,61,2.60820000,24.28010989,3
arena2,62,2.90840000,24.83641866,5
arena2,63,0.40020000,25.49509757,2
arena2,64,0.35820000,27.07397274,2
arena2,65,0.34180000,25.17935662,2
arena2,66,0.47520000,24.51530134,2
arena2,67,0.62500000,25.96150997,2
arena2,68,0.39980000,24.18677324,2
arena2,69,0.40000000,24.16609195,2
arena2,70,0.51660000,28.86173938,2
arena2,71,2.00000000,27.89800938,5
arena2,72,0.32520000,28.84441020,2
arena2,73,1.96680000,28.04924508,3
arena2,74,0.70040000,30.47950131,2
arena2,75,2.03340000,28.68735435,4
arena2,76,2.04160000,28.73091948,3
arena2,77,2.64160000,25.95821731,6
arena2,78,0.34160000,29.15475947,2
arena2,79,0.36680000,30.00000000,2
arena2,80,2.10020000,32.91889630,3
arena2,81,1.68320000,32.71237677,5
arena2,82,0.65820000,32.64965543,2
arena2,83,1.68320000,31.08030533,5
arena2,84,0.47480000,31.32091953,2
arena2,85,2.33320000,30.53365063,3
arena2,86,0.34160000,33.54101966,2
arena2,87,0.69980000,30.23243292,2
arena2,88,2.89980000,30.20405468,5
arena2,89,0.49160000,31.32091953,2
arena2,90,0.41680000,36.00000000,2
arena2,91,1.27520000,33.42684741,5
arena2,92,0.59180000,35.90264614,2
arena2,93,1.57500000,35.64988572,4
arena2,94,0.98340000,36.06937759,2
arena2,95,2.70020000,36.36464904,3
arena2,96,2.25820000,36.21564830,3
arena2,97,0.39980000,36.05551275,2
arena2,98,1.74180000,36.64331698,3
arena2,99,1.66660000,35.24200812,3
arena2,100,3.61680000,40.03611985,7
arena2,101,2.16680000,39.91367565,5
arena2,102,1.68340000,39.71932146,4
arena2,103,0.45840000,42.10700654,2
arena2,104,2.42520000,40.37944808,3
arena2,105,0.59180000,40.31128874,2
arena2,106,1.65020000,38.20563541,4
arena2,107,1.55840000,40.96898155,3
arena2,108,1.38340000,39.98120917,4
arena2,109,2.43320000,38.13455278,6
arena2,110,2.20840000,45.55980434,3
arena2,111,2.68340000,46.12478374,3
arena2,112,1.95020000,46.31735069,3
arena2,113,0.77500000,46.69047012,2
arena2,114,2.34140000,42.63849769,4
arena2,115,2.54180000,43.83968804,5
arena2,116,1.90000000,39.77489333,6
arena2,117,0.84980000,44.14748011,2
arena2,118,1.88340000,42.85056597,3
arena2,119,2.53360000,41.65827247,3
arena2,120,2.28340000,47.00184024,7
arena2,121,1.74980000,44.96616432,7
arena2,122,0.44160000,46.69047012,2
arena2,123,1.57500000,47.31463959,3
arena2,124,1.69180000,45.85103731,5
arena2,125,2.29160000,47.53945730,3
arena2,126,2.02520000,48.64863559,4
arena2,127,1.89160000,50.16045258,3
arena2,128,1.57500000,46.18612648,3
arena2,129,2.04980000,48.35142444,4
arena2,130,1.58300000,50.80252830,7
arena2,131,1.13320000,51.31372323,3
arena2,132,1.60040000,51.33371512,3
arena2,133,1.90020000,50.06888371,6
arena2,134,2.06640000,50.79194089,3
arena2,135,1.98320000,50.08321791,5
arena2,136,1.80840000,50.28373345,3
arena2,137,2.26660000,50.67242512,3
arena2,138,2.35820000,50.50540610,4
arena2,139,1.64160000,51.57973862,8
arena2,140,1.72500000,54.18787794,7
arena2,141,1.55000000,55.63897898,6
arena2,142,0.97500000,57.38466694,2
arena2,143,1.51660000,55.28644662,5
arena2,144,0.62500000,55.90169944,2
arena2,145,3.42460000,54.24428901,3
arena2,146,2.90820000,57.24515814,3
arena2,147,2.09180000,55.75983315,3
arena2,148,1.80020000,50.91021626,4
arena2,149,0.98340000,54.42425930,2
arena2,150,2.49980000,61.15294644,8
arena2,151,0.95820000,57.70615219,2
arena2,152,1.40820000,54.68070104,7
arena2,153,1.38340000,59.64106200,4
arena2,154,1.80840000,57.99243818,7
arena2,155,1.75840000,60.99096569,4
arena2,156,2.55840000,59.84169800,3
arena2,157,3.04180000,57.30007213,3
arena2,158,2.19140000,57.28643449,5
arena2,159,0.60000000,60.01666435,2
arena2,160,2.21680000,61.02964780,4
arena2,161,1.75000000,62.69829066,8
arena2,162,1.98340000,63.85372088,8
arena2,163,0.65820000,65.19202405,2
arena2,164,3.06660000,58.88641861,9
arena2,165,3.15800000,60.83875988,4
arena2,166,0.57480000,61.52235366,2
arena2,167,2.42480000,60.40059333,8
arena2,168,1.83320000,59.93928021,4
arena2,169,1.80840000,62.40161804,8
arena2,170,2.22500000,67.89315696,11
arena2,171,0.47520000,63.78871374,2
arena2,172,1.55020000,63.19311206,5
arena2,173,1.16660000,64.46707978,4
arena2,174,1.46660000,66.73260535,3
arena2,175,1.60860000,65.68671971,6
arena2,176,1.89200000,64.79216429,5
arena2,177,0.41680000,71.02816343,2
arena2,178,2.22500000,67.86884283,3
arena2,179,1.90840000,66.49137671,11
arena2,180,1.52540000,69.60367560,6
arena2,181,1.95020000,71.22414641,6
arena2,182,1.60000000,66.15243895,8
arena2,183,1.59140000,66.09521713,7
