Map,Query Number,Time,Distance,Path Length
brc505d,0,2.03320000,2.23606798,2
brc505d,1,0.43320000,1.41421356,2
brc505d,2,0.50820000,2.82842712,2
brc505d,3,0.37520000,3.16227766,2
brc505d,4,0.40860000,3.60555128,2
brc505d,5,0.30820000,3.16227766,2
brc505d,6,0.42480000,2.82842712,2
brc505d,7,0.43320000,3.16227766,2
brc505d,8,0.39180000,2.23606798,2
brc505d,9,0.45020000,3.16227766,2
brc505d,10,0.48320000,6.70820393,2
brc505d,11,0.77480000,6.40312424,2
brc505d,12,0.62520000,6.70820393,2
brc505d,13,0.32480000,6.00000000,2
brc505d,14,0.41700000,5.00000000,2
brc505d,15,0.35040000,6.08276253,2
brc505d,16,0.54200000,7.28010989,2
brc505d,17,0.48360000,5.38516481,2
brc505d,18,0.33360000,6.08276253,2
brc505d,19,0.37520000,5.09901951,2
brc505d,20,0.47480000,7.81024968,2
brc505d,21,0.61660000,8.94427191,2
brc505d,22,0.35020000,8.24621125,2
brc505d,23,0.37520000,8.24621125,2
brc505d,24,0.66680000,11.40175425,2
brc505d,25,0.59180000,9.89949494,2
brc505d,26,0.59180000,10.63014581,2
brc505d,27,0.82500000,9.89949494,2
brc505d,28,0.38360000,7.61577311,2
brc505d,29,0.36680000,10.63014581,2
brc505d,30,8.76680000,12.95741732,5
brc505d,31,0.40840000,13.60147051,2
brc505d,32,0.35000000,13.92838828,2
brc505d,33,0.40840000,14.56021978,2
brc505d,34,0.40820000,13.15294644,2
brc505d,35,0.93360000,12.20655562,2
brc505d,36,0.36660000,14.14213562,2
brc505d,37,0.44980000,14.14213562,2
brc505d,38,0.35860000,14.31782106,2
brc505d,39,0.63340000,13.00000000,2
brc505d,40,0.64180000,17.88854382,2
brc505d,41,0.35000000,18.38477631,2
brc505d,42,0.33340000,16.64331698,2
brc505d,43,5.50840000,16.65827308,4
brc505d,44,3.76660000,15.31527141,4
brc505d,45,0.68340000,18.43908891,2
brc505d,46,0.50000000,15.62049935,2
brc505d,47,0.32500000,18.38477631,2
brc505d,48,0.75820000,18.11077028,2
brc505d,49,0.45840000,18.11077028,2
brc505d,50,0.54980000,21.00000000,2
brc505d,51,0.30840000,22.02271555,2
brc505d,52,0.35020000,21.00000000,2
brc505d,53,0.65860000,21.47091055,2
brc505d,54,0.34140000,21.93171220,2
brc505d,55,4.59160000,21.78638427,3
brc505d,56,0.70020000,21.47091055,2
brc505d,57,5.10840000,22.33722472,3
brc505d,58,0.51680000,20.61552813,2
brc505d,59,3.46640000,22.81024968,3
brc505d,60,0.44160000,24.83948470,2
brc505d,61,0.57480000,24.35159132,2
brc505d,62,5.02480000,24.52481651,3
brc505d,63,1.00000000,23.40939982,2
brc505d,64,0.57520000,26.17250466,2
brc505d,65,3.61640000,24.20105962,3
brc505d,66,0.55020000,26.30589288,2
brc505d,67,0.33340000,27.07397274,2
brc505d,68,4.35820000,22.97483686,8
brc505d,69,0.37500000,24.33105012,2
brc505d,70,0.59180000,29.06888371,2
brc505d,71,0.36680000,28.44292531,2
brc505d,72,0.59160000,29.41088234,2
brc505d,73,0.30000000,29.20616373,2
brc505d,74,0.57500000,26.92582404,2
brc505d,75,0.63340000,26.83281573,2
brc505d,76,0.37500000,29.15475947,2
brc505d,77,0.50860000,31.01612484,2
brc505d,78,0.44200000,28.17800561,2
brc505d,79,0.41680000,29.27456234,2
brc505d,80,0.36680000,29.96664813,2
brc505d,81,0.30860000,33.54101966,2
brc505d,82,0.29180000,31.62277660,2
