Map,Query Number,Time,Distance,Path Length
combat,0,0.73340000,2.82842712,2
combat,1,0.27520000,2.82842712,2
combat,2,0.34200000,2.23606798,2
combat,3,0.23360000,1.41421356,2
combat,4,0.23360000,3.60555128,2
combat,5,0.24980000,3.60555128,2
combat,6,0.30840000,3.60555128,2
combat,7,0.30020000,1.41421356,2
combat,8,0.26680000,3.60555128,2
combat,9,0.27520000,3.00000000,2
combat,10,0.20800000,7.07106781,2
combat,11,0.19960000,4.47213595,2
combat,12,0.18300000,4.00000000,2
combat,13,0.18300000,7.21110255,2
combat,14,0.29180000,6.32455532,2
combat,15,0.33380000,5.38516481,2
combat,16,0.21660000,6.08276253,2
combat,17,0.23360000,5.83095189,2
combat,18,0.24160000,4.12310563,2
combat,19,0.24160000,7.21110255,2
combat,20,0.36660000,8.00000000,2
combat,21,0.18360000,8.24621125,2
combat,22,0.20880000,9.05538514,2
combat,23,0.19200000,8.06225775,2
combat,24,0.17540000,9.00000000,2
combat,25,0.17520000,9.21954446,2
combat,26,0.24980000,10.04987562,2
combat,27,0.25000000,11.04536102,2
combat,28,0.24980000,11.04536102,2
combat,29,0.21640000,10.63014581,2
combat,30,0.19160000,14.56021978,2
combat,31,0.18300000,12.16552506,2
combat,32,0.22480000,11.66190379,2
combat,33,0.18280000,14.14213562,2
combat,34,0.30840000,13.92838828,2
combat,35,0.25820000,11.70469991,2
combat,36,0.22480000,11.40175425,2
combat,37,0.28320000,13.03840481,2
combat,38,0.22500000,14.86606875,2
combat,39,0.25840000,15.00000000,2
combat,40,0.26680000,17.80449381,2
combat,41,0.21680000,16.03121954,2
combat,42,0.24180000,18.60107524,2
combat,43,0.24160000,17.80449381,2
combat,44,0.20000000,16.55294536,2
combat,45,0.26660000,18.02775638,2
combat,46,0.26680000,15.81138830,2
combat,47,0.26660000,19.02629759,2
combat,48,0.19180000,18.02775638,2
combat,49,0.22500000,16.64331698,2
combat,50,0.28360000,21.02379604,2
combat,51,0.30820000,20.12461180,2
combat,52,0.20840000,20.51828453,2
combat,53,0.38360000,22.67156810,2
combat,54,0.30860000,21.47091055,2
combat,55,0.25840000,22.67156810,2
combat,56,0.26640000,20.59126028,2
combat,57,0.22480000,20.00000000,2
combat,58,0.30800000,21.54065923,2
combat,59,0.20800000,18.86796226,2
combat,60,0.27520000,23.32380758,2
combat,61,0.20880000,25.63201124,2
combat,62,0.24160000,24.04163056,2
combat,63,0.19140000,25.00000000,2
combat,64,0.17480000,24.59674775,2
combat,65,0.18360000,24.33105012,2
combat,66,0.20840000,22.56102835,2
combat,67,2.15860000,25.89532189,4
combat,68,1.00840000,22.53837497,5
combat,69,0.33360000,24.59674775,2
combat,70,0.22500000,27.01851217,2
combat,71,0.23360000,29.06888371,2
combat,72,0.88320000,27.20379578,4
combat,73,0.28340000,31.14482300,2
combat,74,0.20000000,27.16615541,2
combat,75,0.16680000,27.51363298,2
combat,76,0.23340000,27.65863337,2
combat,77,0.17520000,28.79236010,2
combat,78,0.19180000,28.01785145,2
combat,79,0.28340000,30.00000000,2
combat,80,0.25000000,31.06444913,2
combat,81,0.23320000,33.10589071,2
combat,82,0.25000000,30.01666204,2
combat,83,0.28320000,35.38361203,2
combat,84,0.25840000,34.05877273,2
combat,85,0.77520000,30.81060012,3
combat,86,0.37480000,29.96664813,2
combat,87,0.19160000,34.05877273,2
combat,88,0.25820000,30.80584360,2
combat,89,0.25000000,32.28002478,2
combat,90,0.22500000,36.89173349,2
combat,91,0.22500000,36.89173349,2
combat,92,0.25820000,35.46829570,2
combat,93,0.29200000,35.46829570,2
combat,94,0.24160000,34.01470270,2
combat,95,0.22480000,35.11409973,2
combat,96,0.24160000,34.52535300,2
combat,97,0.25000000,36.22154055,2
combat,98,0.25000000,35.60898763,2
combat,99,0.28340000,36.22154055,2
combat,100,0.20840000,38.94868419,2
combat,101,0.36660000,39.59797975,2
combat,102,0.25020000,37.64306045,2
combat,103,0.24160000,40.04996879,2
combat,104,0.35840000,39.81205847,2
combat,105,0.28340000,37.58989226,2
combat,106,1.17500000,39.75883681,3
combat,107,0.21680000,39.81205847,2
combat,108,0.27500000,41.72529209,2
combat,109,0.23340000,39.29376541,2
combat,110,0.65860000,41.26854743,4
combat,111,0.25000000,41.10960958,2
combat,112,0.24160000,46.01086828,2
combat,113,0.67500000,42.10200847,3
combat,114,0.64160000,41.43682375,3
combat,115,0.24160000,40.85339643,2
combat,116,0.19160000,43.73785546,2
combat,117,0.57500000,43.59862014,3
combat,118,0.24180000,41.67733197,2
combat,119,0.28360000,45.04442252,2
combat,120,0.24160000,46.22769733,2
combat,121,0.23340000,47.50789408,2
combat,122,0.25840000,45.54119015,2
combat,123,0.24180000,47.01063709,2
combat,124,0.21680000,45.60701700,2
combat,125,0.29160000,48.25971405,2
combat,126,0.33320000,47.50789408,2
combat,127,0.28340000,46.32493929,2
combat,128,0.70840000,46.23440877,4
combat,129,0.60840000,47.19568405,4
combat,130,0.26660000,50.15974482,2
combat,131,0.27520000,49.04079934,2
combat,132,0.70020000,49.39928719,4
combat,133,0.79180000,51.69396610,4
combat,134,0.19180000,50.24937811,2
combat,135,0.25820000,49.24428901,2
combat,136,0.21660000,48.87739764,2
combat,137,0.25000000,55.17245690,2
combat,138,0.85020000,50.78780628,3
combat,139,0.64180000,47.79062911,4
combat,140,0.23340000,52.47856705,2
combat,141,0.26680000,58.72818744,2
combat,142,0.25840000,54.12947441,2
combat,143,0.24180000,52.88667129,2
combat,144,0.74980000,51.42172110,4
combat,145,0.77520000,53.89075335,3
combat,146,0.42500000,55.22680509,2
combat,147,0.33340000,55.21775077,2
combat,148,0.70840000,52.93599159,4
combat,149,0.20020000,55.02726597,2
combat,150,0.30820000,57.20139858,2
combat,151,0.19140000,58.24946352,2
combat,152,0.20820000,58.46366393,2
combat,153,0.25820000,58.79625838,2
combat,154,0.24160000,59.03388857,2
combat,155,0.22500000,56.88585061,2
combat,156,0.23340000,56.82429058,2
combat,157,1.40000000,60.04506677,5
combat,158,0.24160000,56.85947590,2
combat,159,0.25820000,58.82176468,2
combat,160,0.20860000,61.98386887,2
combat,161,0.17540000,63.15061362,2
combat,162,0.28320000,63.38769597,2
combat,163,0.22480000,66.52818951,2
combat,164,0.25800000,65.76473219,2
combat,165,0.22500000,62.39390996,2
combat,166,0.58340000,62.14625402,3
combat,167,0.41680000,66.06814664,2
combat,168,0.89180000,64.04927309,4
combat,169,0.27480000,59.90826320,2
combat,170,0.21640000,67.67569726,2
combat,171,0.25000000,66.21933252,2
combat,172,0.21680000,68.35934464,2
combat,173,0.53340000,66.58290787,3
combat,174,0.74160000,65.89013800,5
combat,175,0.81680000,67.79714569,3
combat,176,0.60840000,68.62594366,3
combat,177,0.57500000,66.49113861,3
combat,178,0.18300000,66.48308055,2
combat,179,0.59160000,64.74315357,4
combat,180,0.16700000,71.17583860,2
combat,181,0.18360000,72.56031973,2
combat,182,0.20840000,69.05070601,2
combat,183,0.22500000,71.84705979,2
combat,184,0.60860000,68.27255440,4
combat,185,1.14180000,71.23872077,4
combat,186,0.49160000,67.97374356,4
combat,187,0.26680000,72.62231062,2
combat,188,0.54140000,72.22916839,3
combat,189,0.59160000,69.08269986,4
combat,190,0.24180000,72.80109889,2
combat,191,0.24160000,74.88658091,2
combat,192,0.25000000,73.00684899,2
combat,193,0.25840000,75.21303079,2
combat,194,0.17520000,77.00000000,2
combat,195,0.21700000,75.16648189,2
combat,196,0.63320000,73.51652885,3
combat,197,0.20800000,75.32595834,2
combat,198,0.24180000,71.69379332,2
combat,199,0.20820000,73.40980861,2
combat,200,0.28320000,75.89466384,2
combat,201,0.22480000,75.76938696,2
combat,202,0.28320000,82.13403679,2
combat,203,0.21640000,81.30190650,2
combat,204,0.59980000,77.03811837,3
combat,205,0.21660000,77.66595136,2
combat,206,0.57480000,75.01666957,4
combat,207,0.17500000,78.16009212,2
combat,208,0.73320000,79.29061893,5
combat,209,0.27480000,76.92203845,2
combat,210,0.26660000,79.07591289,2
combat,211,0.29160000,79.71198153,2
combat,212,0.29200000,83.21658489,2
