Map,Query Number,Time,Distance,Path Length
combat2,0,0.91680000,2.00000000,2
combat2,1,0.25020000,1.00000000,2
combat2,2,0.25000000,3.00000000,2
combat2,3,0.24980000,2.82842712,2
combat2,4,0.25840000,2.23606798,2
combat2,5,0.23320000,3.16227766,2
combat2,6,0.35860000,2.23606798,2
combat2,7,0.24160000,3.16227766,2
combat2,8,0.22500000,2.82842712,2
combat2,9,0.28320000,3.16227766,2
combat2,10,0.24160000,6.32455532,2
combat2,11,0.23360000,6.32455532,2
combat2,12,0.20880000,4.00000000,2
combat2,13,0.20060000,7.21110255,2
combat2,14,0.28340000,6.08276253,2
combat2,15,0.19160000,6.70820393,2
combat2,16,0.16660000,6.32455532,2
combat2,17,0.20820000,7.00000000,2
combat2,18,0.24160000,5.83095189,2
combat2,19,0.34140000,7.00000000,2
combat2,20,0.21640000,9.21954446,2
combat2,21,0.19980000,10.00000000,2
combat2,22,0.19180000,8.06225775,2
combat2,23,0.19180000,9.21954446,2
combat2,24,0.18300000,11.40175425,2
combat2,25,0.16640000,11.18033989,2
combat2,26,0.16680000,10.00000000,2
combat2,27,0.16660000,8.06225775,2
combat2,28,0.24160000,11.40175425,2
combat2,29,0.22500000,7.61577311,2
combat2,30,0.21680000,14.76482306,2
combat2,31,0.20020000,13.03840481,2
combat2,32,0.20860000,12.04159458,2
combat2,33,0.40020000,14.14213562,2
combat2,34,0.20840000,12.20655562,2
combat2,35,0.19980000,14.56021978,2
combat2,36,0.19980000,14.03566885,2
combat2,37,0.18300000,11.18033989,2
combat2,38,0.17500000,13.45362405,2
combat2,39,0.20820000,14.86606875,2
combat2,40,0.20840000,16.27882060,2
combat2,41,0.21660000,18.43908891,2
combat2,42,0.30020000,16.03121954,2
combat2,43,0.23320000,18.11077028,2
combat2,44,0.23340000,17.46424920,2
combat2,45,0.23340000,19.02629759,2
combat2,46,0.22500000,17.72004515,2
combat2,47,0.19160000,18.24828759,2
combat2,48,0.22480000,19.10497317,2
combat2,49,0.23340000,17.02938637,2
combat2,50,0.16680000,19.64688270,2
combat2,51,0.25000000,21.54065923,2
combat2,52,0.20820000,20.09975124,2
combat2,53,0.16680000,20.61552813,2
combat2,54,0.18360000,19.92485885,2
combat2,55,0.20020000,21.37755833,2
combat2,56,0.24180000,21.63330765,2
combat2,57,0.20840000,20.39607805,2
combat2,58,0.21660000,21.37755833,2
combat2,59,0.23320000,22.02271555,2
combat2,60,0.19980000,25.49509757,2
combat2,61,0.19980000,26.01922366,2
combat2,62,0.18320000,22.47220505,2
combat2,63,0.25000000,24.33105012,2
combat2,64,0.20880000,25.61249695,2
combat2,65,0.19200000,22.36067977,2
combat2,66,0.20860000,24.18677324,2
combat2,67,0.18360000,25.01999201,2
combat2,68,0.20020000,24.18677324,2
combat2,69,0.16680000,25.07987241,2
combat2,70,1.61680000,27.97056275,4
combat2,71,0.21660000,29.06888371,2
combat2,72,0.20860000,28.17800561,2
combat2,73,0.20860000,29.15475947,2
combat2,74,0.17520000,28.16025568,2
combat2,75,0.19140000,28.00000000,2
combat2,76,0.17480000,27.29468813,2
combat2,77,0.20000000,29.42787794,2
combat2,78,0.19160000,28.79236010,2
combat2,79,0.20840000,29.83286778,2
combat2,80,0.19980000,32.69556545,2
combat2,81,0.20000000,30.52867504,2
