Map,Query Number,Time,Distance,Path Length
den020d,0,0.70820000,1.00000000,2
den020d,1,0.45840000,3.16227766,2
den020d,2,0.44980000,2.82842712,2
den020d,3,0.35820000,3.16227766,2
den020d,4,0.30000000,1.00000000,2
den020d,5,0.32520000,3.16227766,2
den020d,6,0.28300000,3.00000000,2
den020d,7,0.31660000,1.41421356,2
den020d,8,0.37520000,3.00000000,2
den020d,9,0.26660000,3.16227766,2
den020d,10,0.31660000,7.21110255,2
den020d,11,0.32500000,6.00000000,2
den020d,12,0.36680000,6.32455532,2
den020d,13,0.29160000,4.12310563,2
den020d,14,1.71680000,5.99070478,3
den020d,15,0.38360000,5.38516481,2
den020d,16,0.29980000,5.09901951,2
den020d,17,0.38340000,6.08276253,2
den020d,18,0.36680000,6.00000000,2
den020d,19,0.36660000,6.08276253,2
den020d,20,0.45840000,8.00000000,2
den020d,21,0.34160000,10.77032961,2
den020d,22,0.35000000,10.81665383,2
den020d,23,0.35860000,11.04536102,2
den020d,24,0.34200000,7.61577311,2
den020d,25,0.30840000,10.81665383,2
den020d,26,0.38340000,11.18033989,2
den020d,27,1.20820000,11.07106781,3
den020d,28,0.32520000,7.81024968,2
den020d,29,0.50820000,8.60232527,2
den020d,30,0.44120000,13.00000000,2
den020d,31,0.31640000,13.60147051,2
den020d,32,0.80000000,13.63782223,3
den020d,33,0.35000000,11.40175425,2
den020d,34,0.92500000,10.87526019,3
den020d,35,0.75840000,12.37912940,3
den020d,36,0.38320000,12.00000000,2
den020d,37,0.57520000,13.89244399,2
den020d,38,0.70840000,13.15383034,3
den020d,39,0.49980000,14.03566885,2
den020d,40,1.11660000,17.60147051,4
den020d,41,0.32500000,16.12451550,2
den020d,42,0.40000000,18.38477631,2
den020d,43,0.46680000,16.27882060,2
den020d,44,0.39160000,16.12451550,2
den020d,45,1.00000000,15.58320383,3
den020d,46,0.45860000,17.02938637,2
den020d,47,0.39980000,19.00000000,2
den020d,48,0.53320000,18.43908891,2
den020d,49,0.37500000,15.62049935,2
den020d,50,0.75840000,18.13508468,3
den020d,51,0.34160000,20.09975124,2
den020d,52,0.94160000,20.75095655,3
den020d,53,0.78340000,18.32780272,4
den020d,54,0.83340000,21.45207941,4
den020d,55,0.40860000,20.09975124,2
den020d,56,0.39160000,20.22374842,2
den020d,57,0.41680000,19.23538406,2
den020d,58,0.40860000,21.58703314,2
den020d,59,0.99980000,18.73829723,3
den020d,60,0.94160000,23.53970309,3
den020d,61,0.70840000,23.98226573,4
den020d,62,0.81660000,21.70637744,5
den020d,63,1.09160000,20.95470113,5
den020d,64,1.23340000,23.78312825,6
den020d,65,0.91660000,24.27743079,3
den020d,66,0.74980000,24.36931688,4
den020d,67,0.65840000,23.08263487,4
den020d,68,0.83340000,21.92082268,5
den020d,69,0.70840000,24.64077580,3
den020d,70,0.82480000,28.19454102,4
den020d,71,0.89160000,28.42471004,4
den020d,72,0.81660000,29.47441001,4
den020d,73,0.73360000,28.97078739,4
den020d,74,0.74180000,25.61516759,5
den020d,75,0.91640000,26.84974884,4
den020d,76,1.05000000,29.12451550,3
den020d,77,1.10820000,27.05086489,5
den020d,78,0.74980000,25.42560980,5
den020d,79,0.65820000,27.76364423,5
den020d,80,1.05020000,30.54179893,5
den020d,81,0.90020000,32.13955099,5
den020d,82,0.75840000,31.36296013,5
den020d,83,0.84180000,28.91780550,6
den020d,84,0.71660000,30.80798306,5
den020d,85,0.84200000,28.20301808,5
den020d,86,0.98360000,30.38486649,3
den020d,87,0.70020000,29.97536175,5
den020d,88,0.73340000,29.41256281,5
den020d,89,1.28320000,33.37589822,5
den020d,90,0.82480000,32.80326664,5
den020d,91,0.89160000,34.72805518,6
den020d,92,0.65800000,35.49113263,5
den020d,93,1.05000000,36.04631154,5
den020d,94,1.03340000,34.48334612,5
den020d,95,1.17500000,36.15737105,5
den020d,96,1.09180000,35.83841525,6
den020d,97,0.91680000,32.49319621,6
den020d,98,0.70840000,33.92130307,5
den020d,99,0.63320000,34.64237638,5
den020d,100,0.95000000,38.65948512,6
den020d,101,0.95000000,38.24470165,6
den020d,102,1.33340000,37.27613440,7
den020d,103,0.61680000,36.02239218,5
den020d,104,0.83340000,38.99536013,5
den020d,105,0.69980000,36.83868014,5
den020d,106,1.77520000,38.89423912,6
den020d,107,1.27500000,39.95960782,5
den020d,108,0.82460000,38.90926308,5
den020d,109,0.99160000,38.59664166,5
den020d,110,0.85840000,40.78451200,7
den020d,111,0.95860000,39.25745852,6
den020d,112,0.89200000,41.65792600,6
den020d,113,0.90000000,41.75370064,5
den020d,114,1.08340000,42.57904507,6
den020d,115,0.90000000,44.19114040,5
den020d,116,1.10820000,43.79973347,8
den020d,117,1.04980000,42.81578950,7
den020d,118,0.81640000,45.45256298,5
den020d,119,0.80000000,43.09679201,7
den020d,120,0.77500000,47.89381229,7
den020d,121,0.78360000,47.56662075,7
den020d,122,0.90840000,43.76532539,5
den020d,123,0.80820000,48.00926396,5
den020d,124,0.71640000,45.46240536,5
den020d,125,0.81660000,47.95960782,5
den020d,126,0.80000000,45.77922869,8
den020d,127,1.07500000,46.71697094,8
den020d,128,0.74160000,48.84353994,5
den020d,129,1.28360000,48.09967765,7
den020d,130,1.18360000,52.28753586,8
den020d,131,0.80020000,50.26638955,7
den020d,132,0.79160000,51.08066015,5
den020d,133,0.99160000,49.87989125,6
den020d,134,0.75820000,50.95614466,6
den020d,135,0.86660000,50.04563105,6
den020d,136,1.10000000,50.58049756,6
den020d,137,0.75820000,48.41369871,7
den020d,138,0.93320000,49.79532282,7
den020d,139,0.75860000,51.05878424,7
den020d,140,0.89180000,55.67437081,6
den020d,141,0.92520000,52.35434334,7
den020d,142,0.87500000,50.83885597,7
den020d,143,1.03340000,56.95960782,6
den020d,144,0.92500000,54.16445626,7
den020d,145,0.69160000,54.05878424,7
den020d,146,0.74960000,52.64425221,7
den020d,147,0.95000000,51.79264162,7
den020d,148,0.81660000,55.69520366,6
den020d,149,0.81680000,54.35191591,6
den020d,150,0.98340000,58.41248967,8
den020d,151,0.83320000,56.89336103,8
den020d,152,0.80840000,57.40719944,7
den020d,153,0.68360000,57.29485222,7
den020d,154,0.71680000,54.90002165,7
den020d,155,0.73340000,59.37419020,7
den020d,156,0.59180000,58.43479968,7
den020d,157,0.85840000,59.90254545,6
den020d,158,0.91660000,59.76825252,5
den020d,159,1.19140000,56.25247124,5
den020d,160,0.85840000,62.81561642,7
den020d,161,0.94180000,61.41720630,7
den020d,162,0.85000000,59.95130821,7
den020d,163,1.49980000,62.64186891,9
den020d,164,0.90800000,61.82788322,7
den020d,165,1.11660000,62.43329250,10
den020d,166,0.73340000,61.97088946,6
den020d,167,1.05840000,62.25701846,11
den020d,168,1.00840000,60.13995973,9
den020d,169,1.23320000,62.11723165,11
den020d,170,1.12480000,63.89524627,12
den020d,171,0.87500000,65.07803343,10
den020d,172,0.84180000,66.16832256,6
den020d,173,1.16680000,66.49268933,11
den020d,174,0.99180000,66.83298148,9
den020d,175,0.87520000,65.70251722,9
den020d,176,0.98320000,65.85279817,7
den020d,177,0.82520000,64.22997476,7
den020d,178,1.08340000,64.66516300,7
den020d,179,1.00000000,66.31325477,6
den020d,180,0.76660000,69.03006185,7
den020d,181,1.00820000,68.72731097,11
den020d,182,1.29160000,66.61997859,12
den020d,183,1.03340000,68.98959050,9
den020d,184,0.86660000,66.84071325,7
den020d,185,0.93320000,69.62052009,9
den020d,186,1.36640000,69.16853227,10
den020d,187,1.09160000,68.21493947,11
den020d,188,0.86680000,68.81595839,6
den020d,189,1.01660000,69.64067146,9
den020d,190,1.10840000,71.05435984,11
den020d,191,1.06640000,70.03898903,12
den020d,192,1.03340000,72.91709747,11
den020d,193,0.93300000,71.66987727,10
den020d,194,1.30000000,73.04558578,12
den020d,195,1.25860000,73.58511851,11
den020d,196,1.15020000,70.79998186,11
den020d,197,0.89200000,76.13642764,7
den020d,198,0.75840000,73.51583389,6
den020d,199,1.09180000,74.91795012,9
den020d,200,0.80000000,80.58153778,7
den020d,201,0.89160000,75.84713926,10
den020d,202,0.91660000,75.07049289,11
den020d,203,1.09160000,74.44871002,12
den020d,204,1.00000000,76.28594720,12
den020d,205,1.02460000,77.24992402,8
den020d,206,1.09180000,74.55126610,8
den020d,207,0.98320000,74.30609202,8
den020d,208,0.79160000,77.56493622,7
den020d,209,0.75000000,76.75867502,8
den020d,210,0.90820000,81.54471997,11
den020d,211,1.06660000,80.65861070,10
den020d,212,1.06660000,82.38615602,9
den020d,213,1.09140000,80.61513788,12
den020d,214,0.87520000,82.04421236,10
den020d,215,1.12520000,77.87187185,11
den020d,216,1.15840000,78.66583638,13
den020d,217,1.07480000,77.15930461,12
den020d,218,1.10800000,77.43136689,11
den020d,219,1.14160000,77.03742991,12
den020d,220,0.79160000,85.45576983,9
den020d,221,0.86660000,86.33279547,9
den020d,222,1.26660000,81.85275276,8
den020d,223,1.26700000,85.27048189,12
den020d,224,0.95860000,85.04421236,11
den020d,225,1.15000000,81.94209486,10
den020d,226,0.78340000,86.12694809,10
den020d,227,0.95820000,84.05588028,11
den020d,228,0.96680000,85.13864281,10
den020d,229,0.80840000,83.85893638,10
den020d,230,0.93320000,88.77604648,12
den020d,231,0.92500000,88.59542399,8
den020d,232,0.94160000,86.57307905,10
den020d,233,0.93340000,90.88849251,8
den020d,234,0.77500000,89.77025540,7
den020d,235,1.03340000,86.42794614,10
den020d,236,1.10000000,88.63221141,12
den020d,237,0.90820000,89.15484559,8
den020d,238,1.04160000,86.25141577,12
den020d,239,1.18340000,85.14814845,13
den020d,240,0.98340000,89.77270077,13
den020d,241,0.68320000,92.50592041,9
den020d,242,0.70820000,91.17126563,9
den020d,243,0.94180000,89.90332019,10
den020d,244,1.01680000,91.96975789,7
den020d,245,0.79160000,93.75405307,7
den020d,246,0.84180000,89.22457055,12
den020d,247,0.91660000,93.04255990,8
den020d,248,0.85000000,93.13967143,7
den020d,249,0.87500000,92.85915020,8
den020d,250,0.77480000,98.75144344,7
den020d,251,0.75820000,96.72761311,7
den020d,252,0.93340000,98.27223168,7
den020d,253,1.01680000,93.56787308,13
den020d,254,0.70840000,94.34630025,9
den020d,255,0.76660000,97.15203749,7
den020d,256,0.80860000,99.04069894,7
den020d,257,1.01640000,95.47592631,9
den020d,258,0.84160000,96.23313515,8
den020d,259,1.09980000,98.91312669,8
den020d,260,0.95000000,97.06823737,11
den020d,261,0.75000000,99.59427682,7
den020d,262,0.90860000,97.41456763,13
den020d,263,0.85000000,97.69755576,11
den020d,264,0.82500000,100.41486983,7
den020d,265,1.21640000,100.41865092,14
den020d,266,0.98340000,97.16549398,13
den020d,267,1.08360000,99.95648622,11
den020d,268,0.90000000,99.12546718,13
den020d,269,1.14160000,99.41237750,9
den020d,270,0.94980000,106.61856212,8
den020d,271,1.06680000,104.29219105,14
den020d,272,0.75020000,103.74964058,7
den020d,273,0.87480000,101.47591772,12
den020d,274,0.84960000,101.57156485,12
den020d,275,0.92460000,103.11765022,11
den020d,276,1.16660000,102.58295969,11
den020d,277,1.10800000,106.05073103,8
den020d,278,0.92480000,104.76674023,8
den020d,279,0.88340000,102.14267304,10
den020d,280,0.78340000,109.29249504,10
den020d,281,0.86720000,110.59015783,8
den020d,282,0.84200000,107.80660703,8
den020d,283,1.34180000,109.28485840,13
den020d,284,0.85840000,105.41186769,11
den020d,285,0.87520000,105.49715935,7
den020d,286,0.91700000,107.62694999,11
