Map,Query Number,Time,Distance,Path Length
den200n,0,13.47460000,1000000000000000000.00000000,2
den200n,1,4.20820000,1000000000000000000.00000000,2
den200n,2,3.79180000,1000000000000000000.00000000,2
den200n,3,4.15840000,1000000000000000000.00000000,2
den200n,4,3.42500000,1000000000000000000.00000000,2
den200n,5,3.61700000,1000000000000000000.00000000,2
den200n,6,3.85000000,1000000000000000000.00000000,2
den200n,7,3.74140000,1000000000000000000.00000000,2
den200n,8,3.51660000,1000000000000000000.00000000,2
den200n,9,3.45860000,1000000000000000000.00000000,2
den200n,10,0.47500000,6.40312424,2
den200n,11,0.40860000,4.12310563,2
den200n,12,0.53340000,4.12310563,2
den200n,13,0.55000000,5.38516481,2
den200n,14,0.40000000,7.07106781,2
den200n,15,0.37500000,7.21110255,2
den200n,16,0.39980000,6.32455532,2
den200n,17,0.69160000,5.38516481,2
den200n,18,0.50820000,6.40312424,2
den200n,19,0.35000000,5.83095189,2
den200n,20,0.43320000,8.48528137,2
den200n,21,0.59160000,9.89949494,2
den200n,22,2.44160000,10.72134935,4
den200n,23,0.36660000,8.60232527,2
den200n,24,0.39180000,9.43398113,2
den200n,25,0.37500000,9.43398113,2
den200n,26,0.38340000,7.61577311,2
den200n,27,0.42500000,9.43398113,2
den200n,28,0.55820000,11.18033989,2
den200n,29,0.42500000,10.04987562,2
den200n,30,0.51640000,15.13274595,2
den200n,31,2.13340000,11.48528137,4
den200n,32,1.70020000,9.57649122,5
den200n,33,2.52520000,12.29832573,4
den200n,34,0.55840000,12.00000000,2
den200n,35,0.64160000,13.60147051,2
den200n,36,0.44160000,11.70469991,2
den200n,37,0.46660000,13.45362405,2
den200n,38,0.40820000,12.20655562,2
den200n,39,0.31640000,11.18033989,2
den200n,40,0.70860000,17.46424920,2
den200n,41,1.39200000,17.65140906,3
den200n,42,2.38340000,18.63720037,3
den200n,43,0.35020000,16.55294536,2
den200n,44,0.38340000,19.02629759,2
den200n,45,1.33360000,18.25566639,4
den200n,46,1.47500000,18.26267650,3
den200n,47,0.35820000,18.02775638,2
den200n,48,0.96660000,17.04706860,3
den200n,49,0.45860000,17.80449381,2
den200n,50,0.48340000,21.95449840,2
den200n,51,0.48340000,23.34523506,2
den200n,52,0.52520000,19.84943324,2
den200n,53,2.46660000,21.34104115,3
den200n,54,0.53340000,20.61552813,2
den200n,55,1.65840000,21.10066256,3
den200n,56,0.34160000,20.51828453,2
den200n,57,1.73360000,21.17726818,4
den200n,58,0.48360000,18.78829423,2
den200n,59,2.09180000,19.87938496,5
den200n,60,0.50000000,25.00000000,2
den200n,61,1.43320000,25.09964637,3
den200n,62,2.19180000,24.99042048,3
den200n,63,0.38320000,26.07680962,2
den200n,64,0.55820000,27.58622845,2
den200n,65,0.76660000,22.56102835,2
den200n,66,0.37520000,25.00000000,2
den200n,67,1.35840000,25.50718912,3
den200n,68,0.75000000,23.85372088,2
den200n,69,0.50020000,24.41311123,2
den200n,70,0.74180000,28.46049894,2
den200n,71,0.52520000,29.15475947,2
den200n,72,0.50000000,26.62705391,2
den200n,73,0.66680000,26.00000000,2
den200n,74,2.92520000,28.71992473,7
den200n,75,1.30020000,27.94734008,7
den200n,76,0.53340000,27.51363298,2
den200n,77,1.49980000,27.49447405,3
den200n,78,1.81660000,26.94428942,5
den200n,79,0.80840000,28.28427125,2
den200n,80,1.36680000,32.63403688,5
den200n,81,0.68300000,31.30495168,2
den200n,82,0.42460000,33.24154028,2
den200n,83,1.29160000,29.53075611,3
den200n,84,0.57520000,33.28663395,2
den200n,85,0.61660000,31.01612484,2
den200n,86,0.59180000,34.20526275,2
den200n,87,0.60840000,35.38361203,2
den200n,88,0.48340000,32.55764119,2
den200n,89,1.80820000,32.11753169,3
den200n,90,1.44140000,33.72023240,5
den200n,91,0.48320000,37.00000000,2
den200n,92,2.76640000,36.42936160,5
den200n,93,0.58320000,36.87817783,2
den200n,94,1.60020000,36.00016995,7
den200n,95,0.50000000,36.89173349,2
den200n,96,2.07500000,38.57207414,6
den200n,97,0.65860000,36.67424164,2
den200n,98,1.54160000,35.83664583,3
den200n,99,1.31680000,35.89265136,4
den200n,100,1.09180000,40.80441153,2
den200n,101,0.50000000,42.10700654,2
den200n,102,1.39180000,37.21071524,7
den200n,103,1.71660000,35.29943832,6
den200n,104,1.64960000,38.88714673,6
den200n,105,0.88340000,41.43669871,2
den200n,106,3.02480000,37.64456279,3
den200n,107,0.55820000,38.58756276,2
den200n,108,1.44180000,39.70477585,3
den200n,109,2.50820000,38.53983208,4
den200n,110,0.65860000,43.01162634,2
den200n,111,2.26700000,42.02524091,6
den200n,112,1.91700000,42.48187930,4
den200n,113,0.90840000,42.75511665,2
den200n,114,0.71640000,46.00000000,2
den200n,115,0.56660000,43.41658669,2
den200n,116,1.90840000,44.25838584,7
den200n,117,1.34180000,42.36418284,8
den200n,118,2.51660000,45.38063698,4
den200n,119,1.68320000,42.79043529,7
den200n,120,0.71640000,45.88027899,2
den200n,121,1.82500000,48.83494779,7
den200n,122,2.99980000,46.43398113,3
den200n,123,1.09160000,47.05340578,7
den200n,124,1.46660000,45.68660348,9
den200n,125,1.51680000,46.12142239,3
den200n,126,1.35840000,45.04594366,4
den200n,127,1.55820000,47.76795486,3
den200n,128,1.05840000,45.93858955,3
den200n,129,2.10800000,44.98025538,3
den200n,130,0.59980000,48.70318265,2
den200n,131,1.70840000,51.76451765,7
den200n,132,0.63320000,53.03772242,2
den200n,133,1.22480000,51.29045943,4
den200n,134,2.00020000,50.34342997,4
den200n,135,1.68360000,50.54168087,4
den200n,136,1.93340000,50.56604182,5
den200n,137,1.70020000,52.40720049,7
den200n,138,1.81660000,50.25229870,4
den200n,139,1.21660000,49.58150096,6
den200n,140,0.81700000,53.15072906,2
den200n,141,1.63360000,54.37915044,9
den200n,142,1.76640000,53.80656252,6
den200n,143,1.93320000,57.73141731,6
den200n,144,3.51680000,53.22626311,3
den200n,145,1.40020000,52.94289969,11
den200n,146,1.62520000,53.47553664,7
den200n,147,1.66680000,52.96413943,3
den200n,148,1.11660000,55.31726674,2
den200n,149,1.60840000,55.12284265,6
den200n,150,1.90820000,58.96946727,9
den200n,151,1.75000000,61.54497319,6
den200n,152,1.86640000,55.95392350,6
den200n,153,0.80820000,58.18075283,2
den200n,154,1.52500000,56.98865757,3
den200n,155,1.75000000,55.99830295,10
den200n,156,1.69980000,55.27855899,8
den200n,157,1.71660000,57.35028974,6
den200n,158,2.07500000,56.92772205,3
den200n,159,1.27500000,58.16013544,3
den200n,160,1.47500000,59.67844777,5
den200n,161,1.67500000,61.04456075,3
den200n,162,0.71640000,60.82762530,2
den200n,163,1.58320000,60.46692759,3
den200n,164,1.84160000,64.09055999,3
den200n,165,1.97480000,62.77994411,3
den200n,166,1.36680000,61.15684198,3
den200n,167,1.87540000,62.28691565,4
den200n,168,0.73360000,62.36184731,2
den200n,169,0.75880000,61.29437168,2
den200n,170,1.35000000,67.88624514,6
den200n,171,2.02500000,65.19773038,5
den200n,172,1.71640000,68.27082114,5
den200n,173,1.12500000,66.79010039,7
den200n,174,1.34160000,62.98192869,3
den200n,175,1.86680000,63.64134631,5
den200n,176,1.28340000,69.02511469,4
den200n,177,1.47500000,63.10405388,3
den200n,178,2.30000000,65.92912121,5
den200n,179,1.80020000,67.18748152,5
den200n,180,1.60020000,68.48129918,5
den200n,181,1.62480000,68.42622102,3
den200n,182,1.20000000,72.23473343,5
den200n,183,0.75820000,71.38627319,2
den200n,184,1.51660000,68.45906067,6
den200n,185,1.44180000,66.32837680,6
den200n,186,1.76640000,71.10013114,3
den200n,187,1.44980000,70.01526954,6
den200n,188,2.48340000,70.21737539,6
den200n,189,1.36660000,67.85950608,3
den200n,190,1.30000000,71.23314688,6
den200n,191,1.65000000,74.60747119,4
den200n,192,1.38340000,72.16926238,4
den200n,193,1.06660000,72.55754087,6
den200n,194,1.08320000,71.22495370,7
den200n,195,1.85840000,73.70009781,4
den200n,196,1.51700000,72.37412575,4
den200n,197,1.69180000,73.99403070,3
den200n,198,1.42520000,71.59076439,4
den200n,199,2.57540000,73.61080993,4
den200n,200,1.09180000,75.29112531,7
den200n,201,2.89980000,75.00000000,3
den200n,202,2.00020000,76.33580234,3
den200n,203,1.32520000,76.69618578,5
den200n,204,2.81700000,77.78312980,3
den200n,205,1.64160000,80.19620639,4
den200n,206,2.97480000,78.09032244,7
den200n,207,1.38320000,77.66623433,4
den200n,208,1.54980000,75.83530149,3
den200n,209,2.08340000,77.54287484,3
den200n,210,0.85840000,78.44743463,2
den200n,211,1.78300000,80.46761368,4
den200n,212,1.83340000,79.48108943,3
den200n,213,1.86660000,81.77653201,3
den200n,214,1.89140000,79.12310563,3
den200n,215,1.78340000,80.68472035,3
den200n,216,1.13340000,83.77639584,4
den200n,217,1.03360000,77.97220683,7
den200n,218,2.13320000,79.14357302,5
den200n,219,2.61680000,82.69007531,5
den200n,220,1.61700000,85.91093006,3
den200n,221,2.05000000,83.37662459,4
den200n,222,0.81660000,83.93449827,2
den200n,223,1.51700000,82.54540183,10
den200n,224,0.98320000,84.74568311,3
den200n,225,1.45000000,85.29476125,3
den200n,226,2.16660000,86.12301819,4
den200n,227,2.33320000,81.97310740,5
den200n,228,1.33320000,85.01590120,3
den200n,229,2.03320000,84.74357799,3
den200n,230,1.12480000,86.92829327,7
den200n,231,0.91640000,86.29125901,7
den200n,232,1.10840000,88.09883851,4
den200n,233,2.10000000,85.40876067,5
den200n,234,1.68340000,89.20811277,4
den200n,235,1.73340000,88.11153503,4
den200n,236,0.99180000,88.57814632,7
den200n,237,0.96680000,84.65351633,7
den200n,238,1.78340000,86.97557206,4
den200n,239,1.42500000,89.21564819,3
den200n,240,1.64160000,95.29551088,4
den200n,241,0.99140000,92.66678705,5
den200n,242,1.80000000,88.87287411,5
den200n,243,1.29120000,93.64022243,4
den200n,244,2.18320000,89.79059199,3
den200n,245,1.54140000,91.69761279,4
den200n,246,1.79980000,92.71128679,3
den200n,247,2.03320000,89.57677298,4
den200n,248,1.88360000,94.52229788,7
den200n,249,1.50840000,90.53547380,4
den200n,250,1.63340000,96.48530118,4
den200n,251,1.34160000,94.05478770,4
den200n,252,1.40000000,95.44437154,4
den200n,253,1.49180000,96.67450330,4
den200n,254,1.79160000,95.53471007,6
den200n,255,1.28320000,92.93339391,3
den200n,256,2.11680000,97.01237134,3
den200n,257,1.56660000,97.11150641,4
den200n,258,1.50000000,95.72732964,4
den200n,259,1.60820000,97.85387006,4
den200n,260,2.19140000,99.24116430,7
den200n,261,1.65800000,97.09796860,3
den200n,262,2.00820000,99.31929657,7
den200n,263,1.50840000,97.88937089,4
den200n,264,1.50840000,102.36995416,4
den200n,265,0.85820000,96.20664206,7
den200n,266,1.35820000,98.39347319,8
den200n,267,1.72480000,102.11498743,4
den200n,268,2.17500000,100.17821326,7
den200n,269,2.13360000,100.45880715,8
den200n,270,1.98320000,104.31636650,8
den200n,271,1.30840000,104.04223855,4
den200n,272,1.70860000,102.92483688,3
den200n,273,1.79160000,102.83125414,4
den200n,274,1.74980000,103.82832757,4
den200n,275,1.86680000,104.37029919,3
den200n,276,1.73340000,104.43430239,4
den200n,277,1.76680000,102.64851021,3
den200n,278,2.11640000,100.93925505,10
den200n,279,1.73320000,101.47027354,3
den200n,280,1.19160000,109.64593315,6
den200n,281,1.03320000,109.89309413,6
den200n,282,1.08320000,110.75422088,6
den200n,283,1.22480000,109.60519587,3
den200n,284,1.95840000,105.48072493,4
den200n,285,1.19180000,110.06934557,6
den200n,286,1.42480000,115.59797975,3
den200n,287,2.22480000,105.73422212,5
den200n,288,1.33320000,105.58324102,8
den200n,289,1.74160000,106.26934524,4
den200n,290,0.94180000,111.35436415,4
den200n,291,1.40840000,115.25667675,3
den200n,292,1.15820000,109.22799478,8
den200n,293,0.97500000,109.62358530,4
den200n,294,2.00000000,109.27722890,5
den200n,295,1.37500000,111.47604289,3
den200n,296,1.99160000,108.10405191,4
den200n,297,1.54980000,112.15476105,3
den200n,298,2.54180000,109.23547385,5
den200n,299,1.94160000,110.42737783,9
den200n,300,1.28340000,110.19495185,11
den200n,301,2.36660000,116.58640373,5
den200n,302,1.68320000,114.91766142,4
den200n,303,2.01680000,113.58446600,6
den200n,304,1.33340000,112.26713686,4
den200n,305,2.43340000,114.53104119,4
den200n,306,1.97540000,115.15518212,4
den200n,307,2.15020000,112.29304870,10
den200n,308,1.99160000,110.90630188,10
den200n,309,2.84160000,112.93994016,6
den200n,310,1.78340000,118.93653124,4
den200n,311,1.47500000,123.19553946,3
den200n,312,1.84980000,118.01939503,5
den200n,313,1.88320000,118.04787802,6
den200n,314,2.44160000,116.21959394,5
den200n,315,1.19180000,122.39265584,4
den200n,316,1.92520000,116.33026731,5
den200n,317,1.44160000,117.04679627,8
den200n,318,1.89180000,114.53524983,11
den200n,319,2.50860000,118.01919527,3
den200n,320,2.72520000,119.83679526,8
den200n,321,2.07520000,123.11283531,5
den200n,322,1.52500000,121.28975743,8
den200n,323,1.56680000,126.70917222,4
den200n,324,1.58340000,121.48093881,4
den200n,325,1.40020000,125.65534501,3
den200n,326,0.85020000,121.57194207,8
den200n,327,1.94140000,121.83562323,6
den200n,328,1.47480000,123.07694338,5
den200n,329,2.09200000,118.82766885,10
den200n,330,1.12520000,128.07834589,6
den200n,331,1.80860000,125.37387630,5
den200n,332,1.93320000,125.77727286,7
den200n,333,1.55840000,124.34970194,7
den200n,334,1.50020000,125.62410519,10
den200n,335,1.98320000,125.44555040,4
den200n,336,2.20000000,123.41901423,6
den200n,337,1.58340000,123.23870865,5
den200n,338,1.89180000,126.49556800,4
den200n,339,1.91680000,126.93192530,5
den200n,340,2.30000000,127.42962906,4
den200n,341,1.97500000,128.40111755,5
den200n,342,1.68320000,128.83378701,6
den200n,343,2.05020000,128.25436222,8
den200n,344,2.37520000,128.64394539,11
den200n,345,1.26700000,129.09239518,5
den200n,346,2.35020000,131.29484071,7
den200n,347,1.69180000,128.67751406,4
den200n,348,1.74180000,130.11413150,5
den200n,349,1.53320000,134.28662126,3
den200n,350,1.69980000,133.17519629,5
den200n,351,2.10840000,130.66791836,6
den200n,352,2.19180000,133.00399832,11
den200n,353,2.10000000,131.54567469,11
den200n,354,1.88320000,135.17714354,12
den200n,355,1.99180000,133.48896124,10
den200n,356,2.03360000,131.30867699,4
den200n,357,2.28360000,132.83849122,7
den200n,358,1.65000000,133.40763365,5
den200n,359,2.05000000,131.21086286,7
den200n,360,1.83340000,136.01338555,8
den200n,361,1.84160000,140.70379390,3
den200n,362,1.45020000,135.58978763,14
den200n,363,1.69180000,135.93728130,10
den200n,364,1.83320000,137.29236346,10
den200n,365,1.54180000,135.97439253,6
den200n,366,2.40820000,134.47367786,7
den200n,367,2.11660000,138.43847929,8
den200n,368,1.80820000,137.82014863,4
den200n,369,1.54140000,141.62191441,3
den200n,370,1.90000000,140.60021075,5
den200n,371,1.96660000,142.00399832,11
den200n,372,2.10820000,144.51782238,3
den200n,373,2.15000000,140.46070479,12
den200n,374,1.65840000,137.83733348,14
den200n,375,1.45840000,140.15271582,7
den200n,376,1.67500000,139.33889306,5
den200n,377,2.28300000,139.67070017,9
den200n,378,1.69980000,140.23909510,12
den200n,379,1.39160000,140.13519885,8
den200n,380,1.89160000,143.55290304,4
den200n,381,2.05000000,142.02214198,5
den200n,382,1.99160000,141.85789545,7
den200n,383,2.73340000,144.64312856,9
den200n,384,1.89180000,142.94890912,11
den200n,385,2.17480000,142.57564566,8
den200n,386,2.14160000,145.38711968,12
den200n,387,1.92500000,145.53814326,8
den200n,388,1.83320000,143.44668171,10
den200n,389,0.99980000,147.08135391,4
den200n,390,1.88320000,148.60251792,4
den200n,391,2.27480000,146.85639136,6
den200n,392,1.86660000,148.40062837,6
den200n,393,1.65820000,147.79185799,5
den200n,394,1.91700000,149.52028846,11
den200n,395,2.19180000,145.90364041,7
den200n,396,2.01640000,146.94894349,6
den200n,397,1.71660000,148.39805688,4
den200n,398,1.98360000,147.24961495,9
den200n,399,1.65840000,146.79746633,12
den200n,400,1.83360000,152.43780225,6
den200n,401,1.98340000,151.13191050,11
den200n,402,2.30020000,152.87086566,7
den200n,403,1.95020000,148.46685376,7
den200n,404,2.15860000,151.84877081,4
den200n,405,2.13340000,149.69710521,11
den200n,406,1.75000000,151.66258319,8
den200n,407,1.19980000,150.64412706,10
den200n,408,1.19140000,152.58898561,8
den200n,409,2.21660000,152.11573123,7
den200n,410,1.81680000,155.78024074,10
den200n,411,1.08300000,153.85689558,10
den200n,412,1.94180000,155.26309050,8
den200n,413,2.01660000,153.41732094,7
den200n,414,1.46680000,155.81652142,10
den200n,415,2.33340000,152.61275868,7
den200n,416,1.24180000,157.47069917,3
den200n,417,1.93340000,155.69136896,7
den200n,418,1.73320000,155.29210125,4
den200n,419,2.13340000,156.44986178,9
den200n,420,2.15840000,161.74371884,9
den200n,421,1.91640000,155.80868391,11
den200n,422,1.66680000,158.19413319,5
den200n,423,1.55820000,158.97582829,5
den200n,424,1.99960000,155.27085302,14
den200n,425,1.73320000,158.59823188,12
den200n,426,1.70000000,159.35665370,5
den200n,427,1.98340000,161.00870182,8
den200n,428,1.67500000,158.07563137,7
den200n,429,1.70000000,156.29953775,8
den200n,430,2.14160000,161.33878879,11
den200n,431,1.83320000,162.97506539,5
den200n,432,2.04180000,162.70847481,11
den200n,433,0.90860000,166.76006699,4
den200n,434,2.03360000,161.90498265,7
den200n,435,1.96680000,163.32895976,7
den200n,436,1.68300000,163.47134792,7
den200n,437,1.81640000,160.27677679,10
den200n,438,2.14140000,160.64528219,9
den200n,439,2.11640000,163.69660151,6
den200n,440,1.75000000,164.75480222,4
den200n,441,1.53320000,167.13006323,8
den200n,442,1.78340000,163.06373290,6
den200n,443,1.94180000,165.07094647,8
den200n,444,1.81620000,164.22792902,11
den200n,445,1.50780000,166.61018485,5
den200n,446,1.89160000,164.66914411,11
den200n,447,1.45000000,164.78379961,11
den200n,448,1.90820000,162.95710365,6
den200n,449,1.47480000,162.94548537,10
den200n,450,2.07460000,169.44426353,6
den200n,451,1.93320000,170.09244034,7
den200n,452,1.80820000,168.71942761,8
den200n,453,1.78340000,170.62115567,8
den200n,454,1.46660000,167.29893403,8
den200n,455,1.59980000,169.62301879,8
den200n,456,1.38300000,165.06590681,13
den200n,457,1.76640000,170.43445215,8
den200n,458,1.74140000,168.57011782,6
den200n,459,1.68320000,169.94452345,8
den200n,460,1.86660000,172.86707485,7
den200n,461,2.27500000,172.66650894,13
den200n,462,1.83340000,172.87887027,8
den200n,463,1.71660000,173.14494989,8
den200n,464,2.16660000,173.41631507,13
den200n,465,1.82480000,172.35873580,9
den200n,466,1.92480000,174.38531146,8
den200n,467,1.37500000,174.86354920,8
den200n,468,1.60820000,172.12986176,7
den200n,469,2.17500000,171.93302434,6
den200n,470,1.62540000,176.19531345,8
den200n,471,1.89160000,177.57293385,10
den200n,472,1.42480000,175.96837895,8
den200n,473,1.60820000,180.05633434,10
den200n,474,2.24160000,179.13514078,12
den200n,475,1.85840000,177.36591796,7
den200n,476,1.64180000,176.44142095,8
den200n,477,1.90000000,178.02396765,10
den200n,478,1.99140000,175.71942115,8
den200n,479,1.57520000,178.86354920,8
den200n,480,2.01680000,181.71034847,7
den200n,481,1.91660000,183.03376816,8
den200n,482,1.70000000,179.61080116,8
den200n,483,1.51680000,180.45531086,12
den200n,484,1.89180000,180.59811924,7
den200n,485,1.51700000,178.31893426,8
den200n,486,1.97500000,180.75539500,7
den200n,487,1.72500000,181.88093160,10
den200n,488,1.24180000,181.36646383,8
den200n,489,2.17520000,180.79950721,7
den200n,490,1.89180000,181.65658271,10
den200n,491,1.73320000,182.62293622,8
den200n,492,1.40000000,185.31771885,8
den200n,493,1.33340000,185.47628864,9
den200n,494,1.92500000,182.20818712,10
den200n,495,2.10020000,185.31598128,9
den200n,496,1.44160000,182.98384818,7
den200n,497,1.67480000,182.11130398,8
den200n,498,1.39980000,184.91670212,7
den200n,499,1.54160000,183.82036390,7
den200n,500,1.91680000,187.72983153,7
den200n,501,1.80000000,188.33848393,8
den200n,502,1.56680000,186.26342769,8
den200n,503,1.25020000,188.76620670,8
den200n,504,2.10000000,187.40391463,8
den200n,505,1.97500000,188.23701436,10
den200n,506,1.72500000,187.42634827,9
den200n,507,1.75840000,189.20641249,8
den200n,508,1.72500000,187.63181641,8
den200n,509,1.72480000,190.46524443,8
den200n,510,1.79200000,191.25275091,8
den200n,511,1.06660000,196.94618937,9
den200n,512,1.35800000,194.62645647,9
den200n,513,1.75000000,190.76503740,9
den200n,514,1.40000000,194.27934422,8
den200n,515,1.73360000,190.08840809,8
den200n,516,1.91680000,189.85536384,10
den200n,517,1.69180000,191.85473107,11
den200n,518,0.97480000,191.35135735,11
den200n,519,1.30860000,192.62149565,9
den200n,520,1.66660000,195.73770204,9
den200n,521,1.81660000,195.70577202,8
den200n,522,2.05840000,193.85861065,11
den200n,523,1.00820000,198.18536446,9
den200n,524,1.72480000,194.35717441,9
den200n,525,1.93340000,194.74102740,10
den200n,526,1.12500000,194.49920303,10
den200n,527,1.95840000,196.91757897,8
den200n,528,2.05020000,195.21681193,9
den200n,529,1.37500000,196.87953977,10
den200n,530,1.60820000,200.23301829,8
den200n,531,2.05840000,197.67417663,11
den200n,532,1.52500000,202.59640486,13
den200n,533,1.86680000,198.04703080,14
den200n,534,1.67520000,198.20665333,6
den200n,535,1.60840000,197.04879179,10
den200n,536,2.02540000,197.72184492,7
den200n,537,1.54160000,200.37427600,9
den200n,538,1.84140000,199.40781974,9
den200n,539,1.74180000,198.66837332,14
den200n,540,1.40000000,203.85057739,9
den200n,541,1.95020000,202.85618742,9
den200n,542,1.94160000,202.06857766,8
den200n,543,1.67500000,202.60259391,10
den200n,544,1.16680000,200.23472839,11
den200n,545,1.85840000,200.80578419,7
den200n,546,1.27500000,204.62223837,8
den200n,547,1.50020000,201.57605936,9
den200n,548,1.46680000,204.33891637,9
den200n,549,1.21680000,201.96835269,11
den200n,550,1.71680000,206.84926225,9
den200n,551,1.40820000,207.37182640,12
den200n,552,1.64160000,207.53605813,12
den200n,553,2.01660000,206.54684512,13
den200n,554,1.16700000,205.14414882,11
den200n,555,1.75020000,208.11817109,8
den200n,556,1.07480000,207.86417543,13
den200n,557,0.99140000,206.74883419,13
den200n,558,2.00840000,207.56094460,8
den200n,559,2.43320000,205.01745363,10
den200n,560,2.60000000,208.52061329,11
den200n,561,1.53360000,213.42113583,11
den200n,562,2.46660000,209.90390062,19
