Map,Query Number,Time,Distance,Path Length
hrt201d,0,2.11640000,1.41421356,2
hrt201d,1,0.44980000,3.60555128,2
hrt201d,2,0.30800000,2.23606798,2
hrt201d,3,0.45040000,2.23606798,2
hrt201d,4,0.60020000,3.16227766,2
hrt201d,5,0.44160000,3.16227766,2
hrt201d,6,0.31660000,2.00000000,2
hrt201d,7,0.48340000,2.23606798,2
hrt201d,8,0.45840000,2.00000000,2
hrt201d,9,0.30840000,3.60555128,2
hrt201d,10,0.44980000,4.47213595,2
hrt201d,11,0.50000000,4.47213595,2
hrt201d,12,0.44160000,4.47213595,2
hrt201d,13,0.38340000,4.00000000,2
hrt201d,14,0.55000000,7.28010989,2
hrt201d,15,0.46660000,4.24264069,2
hrt201d,16,0.37500000,6.70820393,2
hrt201d,17,0.33320000,4.00000000,2
hrt201d,18,0.39180000,5.65685425,2
hrt201d,19,0.39180000,7.21110255,2
hrt201d,20,0.44980000,7.61577311,2
hrt201d,21,0.34140000,9.05538514,2
hrt201d,22,0.38320000,10.04987562,2
hrt201d,23,0.45840000,10.00000000,2
hrt201d,24,0.46680000,9.21954446,2
hrt201d,25,0.45040000,7.61577311,2
hrt201d,26,0.40840000,9.84885780,2
hrt201d,27,0.48320000,10.19803903,2
hrt201d,28,0.44120000,11.40175425,2
hrt201d,29,0.30800000,8.24621125,2
hrt201d,30,0.33320000,11.18033989,2
hrt201d,31,0.55820000,12.36931688,2
hrt201d,32,2.87500000,13.60466521,3
hrt201d,33,0.69160000,11.40175425,2
hrt201d,34,0.36660000,12.36931688,2
hrt201d,35,1.49160000,12.31883051,4
hrt201d,36,0.39980000,11.66190379,2
hrt201d,37,0.49140000,13.15294644,2
hrt201d,38,1.46660000,12.30713579,4
hrt201d,39,0.46660000,14.14213562,2
hrt201d,40,0.53340000,17.72004515,2
hrt201d,41,1.68320000,16.52259435,5
hrt201d,42,1.32540000,15.50571205,3
hrt201d,43,1.15860000,18.11213337,3
hrt201d,44,0.67500000,18.02775638,2
hrt201d,45,1.02480000,17.76354820,3
hrt201d,46,1.38320000,17.26910684,3
hrt201d,47,0.62520000,19.10497317,2
hrt201d,48,1.75020000,16.16227766,3
hrt201d,49,2.18340000,18.26029678,3
hrt201d,50,0.50000000,21.09502311,2
hrt201d,51,0.51660000,23.00000000,2
hrt201d,52,0.73320000,20.22374842,2
hrt201d,53,1.86680000,23.09555413,3
hrt201d,54,1.76680000,22.24066273,4
hrt201d,55,1.28320000,17.91244246,4
hrt201d,56,0.54960000,22.20360331,2
hrt201d,57,0.53340000,20.09975124,2
hrt201d,58,0.55880000,19.69771560,2
hrt201d,59,1.90840000,20.03619828,3
hrt201d,60,2.11660000,23.00428750,3
hrt201d,61,0.75000000,24.69817807,2
hrt201d,62,0.91640000,24.18677324,2
hrt201d,63,0.75820000,25.17935662,2
hrt201d,64,1.78320000,25.60555128,4
hrt201d,65,1.06680000,25.14213562,3
hrt201d,66,0.54200000,27.01851217,2
hrt201d,67,1.10820000,23.08830349,3
hrt201d,68,1.14160000,25.80449381,4
hrt201d,69,0.70840000,24.69817807,2
hrt201d,70,2.13300000,27.84731932,4
hrt201d,71,1.58320000,29.56403191,6
hrt201d,72,1.34180000,26.63987532,3
hrt201d,73,1.13320000,28.68545851,3
hrt201d,74,1.70000000,29.75730843,3
hrt201d,75,1.44160000,28.65912853,4
hrt201d,76,0.61680000,29.68164416,2
hrt201d,77,1.96700000,30.60098680,4
hrt201d,78,1.37540000,27.18033989,4
hrt201d,79,1.99160000,26.93838826,6
hrt201d,80,1.89160000,32.18581924,3
hrt201d,81,2.07500000,33.08679276,4
hrt201d,82,1.90040000,30.18196572,4
hrt201d,83,1.48360000,34.84818815,3
hrt201d,84,1.52480000,33.43448286,3
hrt201d,85,1.66620000,29.20205600,3
hrt201d,86,1.43320000,33.02670270,4
hrt201d,87,1.76640000,32.42805184,4
hrt201d,88,1.71660000,31.36227016,5
hrt201d,89,2.10000000,34.04631766,10
hrt201d,90,2.27520000,36.52142437,3
hrt201d,91,1.09980000,37.01279518,4
hrt201d,92,1.58340000,35.44359993,4
hrt201d,93,1.04180000,36.34756275,4
hrt201d,94,1.55840000,35.24259764,6
hrt201d,95,1.27500000,37.73095493,4
hrt201d,96,1.19160000,36.61858645,4
hrt201d,97,2.11680000,33.95084175,4
hrt201d,98,1.56620000,36.60232527,6
hrt201d,99,1.65840000,39.12074838,4
hrt201d,100,1.86660000,38.58956767,4
hrt201d,101,1.86680000,40.02259633,4
hrt201d,102,1.69160000,38.73983556,3
hrt201d,103,0.89980000,43.00000000,2
hrt201d,104,1.09980000,34.96000528,5
hrt201d,105,2.14200000,40.74050387,3
hrt201d,106,1.54200000,40.61405036,3
hrt201d,107,1.05000000,35.57396949,5
hrt201d,108,0.66660000,39.20459157,2
hrt201d,109,1.41640000,39.51629978,3
hrt201d,110,1.31660000,40.80902928,3
hrt201d,111,1.92500000,46.16151044,7
hrt201d,112,1.46620000,43.43132072,4
hrt201d,113,1.91640000,42.45064142,3
hrt201d,114,1.48320000,44.42903553,6
hrt201d,115,1.84180000,45.79142307,6
hrt201d,116,1.55800000,46.11485293,3
