Map,Query Number,Time,Distance,Path Length
hrt201n,0,2.19180000,3.00000000,2
hrt201n,1,0.31640000,2.00000000,2
hrt201n,2,0.35000000,1.00000000,2
hrt201n,3,0.45000000,2.00000000,2
hrt201n,4,0.38320000,3.60555128,2
hrt201n,5,0.43340000,1.41421356,2
hrt201n,6,0.44180000,2.23606798,2
hrt201n,7,0.70840000,3.00000000,2
hrt201n,8,0.36660000,3.16227766,2
hrt201n,9,0.34980000,2.23606798,2
hrt201n,10,0.39980000,7.21110255,2
hrt201n,11,0.30020000,4.47213595,2
hrt201n,12,0.46660000,3.60555128,2
hrt201n,13,0.39140000,6.08276253,2
hrt201n,14,0.30820000,4.12310563,2
hrt201n,15,0.40020000,6.08276253,2
hrt201n,16,0.35840000,5.00000000,2
hrt201n,17,0.30000000,5.65685425,2
hrt201n,18,0.42480000,4.47213595,2
hrt201n,19,0.70840000,5.38516481,2
hrt201n,20,0.49180000,8.60232527,2
hrt201n,21,0.55840000,9.21954446,2
hrt201n,22,0.49180000,11.04536102,2
hrt201n,23,0.51660000,10.04987562,2
hrt201n,24,0.32480000,9.48683298,2
hrt201n,25,0.35000000,9.21954446,2
hrt201n,26,0.35860000,11.18033989,2
hrt201n,27,0.36660000,8.00000000,2
hrt201n,28,0.58340000,8.54400375,2
hrt201n,29,0.63320000,10.44030651,2
hrt201n,30,0.40820000,15.00000000,2
hrt201n,31,2.12500000,12.37912940,3
hrt201n,32,1.14980000,14.46538199,3
hrt201n,33,0.40000000,14.03566885,2
hrt201n,34,0.38340000,12.08304597,2
hrt201n,35,1.45860000,14.02260056,3
hrt201n,36,2.07500000,13.44030651,3
hrt201n,37,0.50000000,12.04159458,2
hrt201n,38,0.54980000,13.92838828,2
hrt201n,39,0.48340000,13.89244399,2
hrt201n,40,0.40840000,16.49242250,2
hrt201n,41,0.53340000,17.00000000,2
hrt201n,42,1.52520000,18.09676372,3
hrt201n,43,1.30840000,15.81665383,3
hrt201n,44,1.19160000,15.94427191,4
