Map,Query Number,Time,Distance,Path Length
lak100c,0,1.71660000,2.23606798,2
lak100c,1,0.84140000,3.16227766,2
lak100c,2,0.38320000,3.60555128,2
lak100c,3,0.38320000,2.00000000,2
lak100c,4,0.84140000,2.23606798,2
lak100c,5,0.35000000,2.00000000,2
lak100c,6,0.56660000,3.00000000,2
lak100c,7,0.46660000,2.23606798,2
lak100c,8,0.37500000,1.41421356,2
lak100c,9,0.39980000,3.60555128,2
lak100c,10,0.42500000,5.83095189,2
lak100c,11,0.44180000,6.08276253,2
lak100c,12,0.46680000,5.38516481,2
lak100c,13,0.42520000,6.70820393,2
lak100c,14,0.39180000,7.07106781,2
lak100c,15,0.56680000,4.12310563,2
lak100c,16,0.43340000,5.00000000,2
lak100c,17,0.35840000,5.65685425,2
lak100c,18,0.54160000,5.83095189,2
lak100c,19,0.59160000,4.12310563,2
lak100c,20,0.72500000,10.00000000,2
lak100c,21,0.61660000,10.44030651,2
lak100c,22,0.44160000,9.84885780,2
lak100c,23,0.51660000,9.48683298,2
lak100c,24,0.45800000,11.40175425,2
lak100c,25,0.43300000,8.06225775,2
lak100c,26,4.87520000,9.41421356,4
lak100c,27,0.43360000,7.81024968,2
lak100c,28,0.43360000,8.06225775,2
lak100c,29,0.57500000,9.48683298,2
lak100c,30,0.65820000,14.76482306,2
lak100c,31,0.44980000,14.03566885,2
lak100c,32,3.03320000,14.22446324,4
lak100c,33,0.43320000,14.56021978,2
lak100c,34,2.71640000,13.64911064,4
lak100c,35,0.50020000,12.52996409,2
lak100c,36,0.44980000,12.08304597,2
lak100c,37,0.57500000,14.76482306,2
lak100c,38,0.45000000,15.03329638,2
lak100c,39,0.60000000,12.64911064,2
lak100c,40,0.66680000,18.02775638,2
lak100c,41,1.95840000,16.04536102,4
lak100c,42,0.43340000,18.24828759,2
lak100c,43,0.35820000,18.00000000,2
lak100c,44,2.53360000,18.65247584,3
lak100c,45,0.75840000,16.12451550,2
lak100c,46,2.29180000,16.63766102,3
lak100c,47,2.42500000,16.76694287,3
lak100c,48,0.67480000,18.02775638,2
lak100c,49,3.35020000,17.61431829,6
lak100c,50,2.30840000,22.12936363,4
lak100c,51,0.61660000,22.09072203,2
lak100c,52,0.85800000,18.68154169,2
lak100c,53,0.95020000,22.09072203,2
lak100c,54,2.65020000,19.65985097,3
lak100c,55,3.00840000,22.71052445,3
lak100c,56,1.11660000,22.02271555,2
lak100c,57,0.44160000,22.09072203,2
lak100c,58,0.43360000,20.59126028,2
lak100c,59,0.73360000,20.59126028,2
lak100c,60,0.71640000,23.76972865,2
lak100c,61,2.19980000,23.41437349,11
lak100c,62,0.52520000,22.82542442,2
lak100c,63,4.07500000,26.19010721,4
lak100c,64,0.69160000,25.49509757,2
lak100c,65,2.72500000,24.71837919,3
lak100c,66,3.16680000,24.86821401,3
lak100c,67,0.60040000,25.17935662,2
lak100c,68,2.84160000,24.45842691,7
lak100c,69,2.49160000,23.31003581,4
lak100c,70,2.10000000,29.21499947,6
lak100c,71,3.72500000,25.45106745,7
lak100c,72,2.70800000,28.02179272,3
lak100c,73,1.04980000,28.31960452,2
lak100c,74,2.48340000,27.66232809,3
lak100c,75,0.47500000,27.78488798,2
lak100c,76,2.20820000,29.08800749,4
lak100c,77,0.88340000,28.16025568,2
lak100c,78,0.54160000,29.41088234,2
lak100c,79,0.53300000,27.29468813,2
lak100c,80,1.71680000,33.87938496,4
lak100c,81,0.45000000,34.05877273,2
lak100c,82,2.21640000,32.87594330,5
lak100c,83,0.96660000,31.04834939,2
lak100c,84,0.70020000,32.01562119,2
lak100c,85,2.89180000,35.04536102,4
lak100c,86,3.69180000,32.57336482,4
lak100c,87,0.42500000,32.01562119,2
lak100c,88,2.80020000,31.12880634,8
lak100c,89,0.55020000,33.30165161,2
lak100c,90,2.68320000,36.26787028,10
lak100c,91,1.89160000,36.28973551,6
lak100c,92,2.51680000,35.10064090,5
lak100c,93,1.97500000,36.25121602,4
lak100c,94,0.56640000,38.05259518,2
lak100c,95,3.11640000,34.58946463,4
lak100c,96,3.60000000,35.92357512,4
lak100c,97,1.39180000,36.73317744,3
lak100c,98,2.14180000,37.21069430,9
lak100c,99,2.16660000,36.49285568,5
lak100c,100,2.30840000,38.01485823,7
lak100c,101,3.98340000,40.01351105,3
lak100c,102,0.60840000,42.01190308,2
lak100c,103,4.31640000,40.34672973,10
lak100c,104,2.62520000,38.37968388,9
lak100c,105,2.45840000,41.03607537,4
lak100c,106,1.94980000,42.14140510,3
lak100c,107,0.64180000,40.01249805,2
lak100c,108,0.49180000,40.01249805,2
lak100c,109,0.82500000,37.36308338,2
lak100c,110,2.32500000,42.10707462,14
lak100c,111,2.65000000,39.94865228,10
lak100c,112,1.64980000,45.24903099,3
lak100c,113,2.34180000,42.62031608,9
lak100c,114,0.54200000,42.80186912,2
lak100c,115,3.37480000,45.51423799,3
lak100c,116,1.24180000,46.01086828,2
lak100c,117,3.12500000,44.87851000,6
lak100c,118,1.09140000,42.63801121,2
lak100c,119,2.56640000,41.51189199,3
lak100c,120,2.39980000,45.96586133,15
lak100c,121,0.75000000,47.16990566,2
lak100c,122,2.39980000,46.07070176,16
lak100c,123,1.09120000,46.32493929,2
lak100c,124,2.70000000,49.01562119,3
lak100c,125,2.89180000,44.58458992,6
lak100c,126,2.33340000,49.25880627,8
lak100c,127,5.11660000,47.73742392,5
lak100c,128,0.70000000,46.52956050,2
lak100c,129,0.75000000,44.94441011,2
lak100c,130,2.62500000,53.65141183,4
lak100c,131,2.15000000,49.63647599,11
lak100c,132,2.25020000,49.00933505,16
lak100c,133,0.76680000,54.08326913,2
lak100c,134,1.96640000,52.69493800,9
lak100c,135,3.71660000,51.67193076,8
lak100c,136,2.72500000,49.34987578,3
lak100c,137,2.81660000,52.49617243,6
lak100c,138,0.70020000,50.60632372,2
lak100c,139,2.27500000,52.14337075,4
lak100c,140,3.21680000,53.84482888,3
lak100c,141,3.19160000,54.60069342,9
lak100c,142,1.78320000,55.32753579,3
lak100c,143,3.05840000,54.05354430,3
lak100c,144,1.40840000,52.01397471,3
lak100c,145,2.66680000,54.40601378,5
lak100c,146,1.85820000,55.47709135,3
lak100c,147,2.90000000,53.60896001,10
lak100c,148,2.38340000,53.54791388,7
lak100c,149,2.45060000,55.22037403,10
lak100c,150,2.80860000,60.85000389,5
lak100c,151,2.66680000,60.15590557,3
lak100c,152,2.72500000,60.60410155,13
lak100c,153,2.26680000,57.03679800,7
lak100c,154,2.23320000,58.58204516,9
lak100c,155,2.68320000,59.76932504,7
lak100c,156,0.84160000,59.22837158,2
lak100c,157,2.08320000,60.64845933,4
lak100c,158,2.33320000,55.94404190,9
lak100c,159,0.67500000,57.87054518,2
lak100c,160,3.17460000,67.01281841,9
lak100c,161,2.75000000,58.88528778,18
lak100c,162,1.35820000,59.08449468,20
lak100c,163,3.20820000,61.07466818,7
lak100c,164,2.59160000,62.37641453,7
lak100c,165,1.85000000,62.91087636,8
lak100c,166,1.38320000,64.44377394,2
lak100c,167,3.03340000,63.96535749,4
lak100c,168,2.45020000,60.07400056,8
lak100c,169,4.35840000,64.49111652,3
lak100c,170,2.10040000,68.04290145,8
lak100c,171,0.99200000,68.06614430,2
lak100c,172,2.49160000,65.62452398,18
lak100c,173,1.73300000,68.27427658,4
lak100c,174,4.44140000,67.64219358,11
lak100c,175,2.03340000,65.03515821,4
lak100c,176,2.50840000,66.28355353,8
