Map,Query Number,Time,Distance,Path Length
lak100n,0,5.11680000,1.00000000,2
lak100n,1,0.84160000,3.00000000,2
lak100n,2,0.54980000,2.82842712,2
lak100n,3,0.50000000,1.00000000,2
lak100n,4,0.62520000,3.60555128,2
lak100n,5,0.69160000,3.16227766,2
lak100n,6,0.44160000,2.00000000,2
lak100n,7,0.41640000,0.00000000,2
lak100n,8,0.80000000,2.23606798,2
lak100n,9,0.55840000,2.00000000,2
lak100n,10,0.71660000,4.47213595,2
lak100n,11,0.45840000,5.09901951,2
lak100n,12,0.58340000,7.28010989,2
lak100n,13,0.54180000,5.83095189,2
lak100n,14,0.50860000,6.08276253,2
lak100n,15,0.46680000,7.28010989,2
lak100n,16,0.40000000,5.00000000,2
lak100n,17,0.51660000,7.28010989,2
lak100n,18,0.44160000,7.21110255,2
lak100n,19,0.47460000,4.12310563,2
lak100n,20,0.43300000,8.06225775,2
lak100n,21,0.50800000,7.61577311,2
lak100n,22,0.45800000,8.54400375,2
lak100n,23,0.36660000,8.94427191,2
lak100n,24,4.85000000,9.21110255,3
lak100n,25,0.46640000,8.06225775,2
lak100n,26,0.55020000,11.40175425,2
lak100n,27,0.40020000,10.04987562,2
lak100n,28,0.45860000,8.24621125,2
lak100n,29,2.35860000,10.07106781,3
lak100n,30,4.17540000,13.36505817,8
lak100n,31,0.85020000,12.04159458,2
lak100n,32,3.97480000,13.39834564,5
lak100n,33,0.50860000,14.00000000,2
lak100n,34,0.74160000,11.40175425,2
lak100n,35,0.49180000,14.42220510,2
lak100n,36,1.00000000,15.00000000,2
lak100n,37,0.53320000,14.21267040,2
lak100n,38,0.40840000,13.03840481,2
lak100n,39,1.04200000,14.76482306,2
lak100n,40,0.93360000,16.76305461,2
lak100n,41,0.75820000,18.38477631,2
lak100n,42,0.84200000,15.26433752,2
lak100n,43,0.68340000,16.49242250,2
lak100n,44,0.55840000,16.12451550,2
lak100n,45,0.52500000,18.35755975,2
lak100n,46,0.59160000,18.38477631,2
lak100n,47,0.55000000,19.00000000,2
lak100n,48,5.21660000,18.65827308,4
lak100n,49,0.36680000,16.40121947,2
lak100n,50,3.30840000,20.26422906,3
lak100n,51,1.77520000,20.83573538,3
lak100n,52,0.85020000,20.24845673,2
lak100n,53,0.50020000,21.09502311,2
lak100n,54,0.51680000,20.02498439,2
lak100n,55,3.39200000,20.10497317,3
lak100n,56,0.55020000,20.88061302,2
lak100n,57,0.63340000,21.47091055,2
lak100n,58,0.50000000,22.47220505,2
