Map,Query Number,Time,Distance,Path Length
lak526d,0,0.68320000,2.23606798,2
lak526d,1,0.46660000,1.41421356,2
lak526d,2,0.40020000,2.23606798,2
lak526d,3,0.37520000,3.60555128,2
lak526d,4,0.40000000,3.60555128,2
lak526d,5,0.30840000,2.23606798,2
lak526d,6,0.25000000,1.41421356,2
lak526d,7,0.40820000,3.00000000,2
lak526d,8,0.24160000,3.60555128,2
lak526d,9,0.24160000,1.00000000,2
lak526d,10,0.35840000,6.00000000,2
lak526d,11,0.39160000,7.07106781,2
lak526d,12,2.14160000,3.23606798,3
lak526d,13,1.20820000,6.47870866,3
lak526d,14,0.24980000,7.07106781,2
lak526d,15,0.32500000,6.70820393,2
lak526d,16,0.24180000,6.00000000,2
lak526d,17,1.39180000,6.47870866,5
lak526d,18,0.21660000,5.83095189,2
lak526d,19,0.28360000,7.21110255,2
lak526d,20,0.38340000,10.19803903,2
lak526d,21,0.31640000,7.61577311,2
lak526d,22,1.20800000,10.04631765,3
lak526d,23,0.37500000,11.18033989,2
lak526d,24,0.30000000,10.04987562,2
lak526d,25,1.00840000,10.04631765,3
lak526d,26,0.25000000,8.24621125,2
lak526d,27,0.22500000,8.06225775,2
lak526d,28,0.19980000,8.54400375,2
lak526d,29,0.79180000,9.53663105,5
lak526d,30,0.30860000,12.04159458,2
lak526d,31,0.83340000,13.12675285,5
lak526d,32,0.78340000,14.11988024,5
lak526d,33,1.00000000,14.06449510,6
lak526d,34,0.59140000,12.20655562,2
lak526d,35,1.80860000,10.88634951,5
lak526d,36,1.58320000,12.04435938,3
lak526d,37,0.47480000,14.21267040,2
lak526d,38,0.39180000,15.00000000,2
lak526d,39,1.21680000,12.24516546,4
lak526d,40,1.37500000,18.51488857,3
lak526d,41,0.44980000,18.11077028,2
lak526d,42,0.75820000,15.83482471,5
lak526d,43,0.75840000,18.21744154,5
lak526d,44,2.19180000,15.84819469,5
lak526d,45,1.36680000,17.03471291,3
lak526d,46,0.49960000,18.43908891,2
lak526d,47,0.45800000,17.02938637,2
lak526d,48,1.33340000,16.50504893,7
lak526d,49,1.17500000,17.73990022,5
lak526d,50,0.57480000,23.02172887,2
lak526d,51,1.23320000,23.11214890,3
lak526d,52,1.65000000,22.41812924,5
lak526d,53,1.02500000,20.19166403,3
lak526d,54,1.30000000,22.79082553,3
lak526d,55,1.20800000,20.69180601,3
lak526d,56,0.90820000,21.18901059,5
lak526d,57,0.76660000,21.21998952,5
lak526d,58,0.83340000,21.82754971,5
lak526d,59,0.67520000,19.62471488,5
lak526d,60,0.89180000,26.08477150,3
lak526d,61,0.37500000,25.17935662,2
lak526d,62,1.03320000,25.08680347,5
lak526d,63,0.94180000,24.35229041,4
lak526d,64,1.04180000,23.49849226,6
lak526d,65,1.01680000,23.43251060,3
lak526d,66,0.90000000,25.76908465,6
lak526d,67,1.13340000,22.68624061,6
lak526d,68,0.98320000,22.55735078,5
