Map,Query Number,Time,Distance,Path Length
lgt604d,0,2.08360000,3.60555128,2
lgt604d,1,0.33360000,3.60555128,2
lgt604d,2,0.28360000,1.41421356,2
lgt604d,3,0.24160000,2.23606798,2
lgt604d,4,0.30820000,3.60555128,2
lgt604d,5,0.35000000,1.41421356,2
lgt604d,6,0.32480000,2.82842712,2
lgt604d,7,0.28320000,3.16227766,2
lgt604d,8,0.35840000,3.60555128,2
lgt604d,9,0.45020000,3.60555128,2
lgt604d,10,0.36660000,5.65685425,2
lgt604d,11,0.25820000,4.47213595,2
lgt604d,12,0.38340000,6.70820393,2
lgt604d,13,0.60040000,7.21110255,2
lgt604d,14,0.47520000,6.40312424,2
lgt604d,15,0.38340000,5.83095189,2
lgt604d,16,0.37480000,6.32455532,2
lgt604d,17,0.37480000,5.00000000,2
lgt604d,18,0.34980000,7.28010989,2
lgt604d,19,0.45800000,5.00000000,2
lgt604d,20,0.38340000,9.05538514,2
lgt604d,21,0.36680000,9.21954446,2
lgt604d,22,0.31720000,10.00000000,2
lgt604d,23,0.33360000,9.84885780,2
lgt604d,24,0.65020000,9.00000000,2
lgt604d,25,0.35000000,10.19803903,2
lgt604d,26,0.46680000,8.06225775,2
lgt604d,27,0.49160000,8.60232527,2
lgt604d,28,0.39160000,7.81024968,2
lgt604d,29,0.35840000,10.44030651,2
lgt604d,30,0.47480000,14.42220510,2
lgt604d,31,0.34980000,13.34166406,2
lgt604d,32,0.31640000,14.21267040,2
lgt604d,33,0.37500000,15.03329638,2
lgt604d,34,0.30860000,14.76482306,2
lgt604d,35,0.35000000,12.64911064,2
lgt604d,36,0.49160000,12.52996409,2
lgt604d,37,8.67480000,13.04536102,3
lgt604d,38,0.39980000,12.36931688,2
lgt604d,39,0.38340000,15.00000000,2
lgt604d,40,0.34200000,16.27882060,2
lgt604d,41,0.56700000,19.00000000,2
lgt604d,42,0.38340000,18.02775638,2
lgt604d,43,0.38320000,15.65247584,2
lgt604d,44,0.45820000,15.52417470,2
lgt604d,45,0.34160000,18.60107524,2
lgt604d,46,2.42460000,15.46959870,5
lgt604d,47,0.44140000,15.52417470,2
lgt604d,48,0.42460000,14.86606875,2
lgt604d,49,0.46660000,18.38477631,2
lgt604d,50,0.45000000,22.20360331,2
lgt604d,51,0.50000000,20.61552813,2
lgt604d,52,0.26680000,20.00000000,2
lgt604d,53,0.41680000,20.02498439,2
lgt604d,54,0.27480000,21.09502311,2
lgt604d,55,0.29160000,20.61552813,2
lgt604d,56,0.47500000,22.13594362,2
lgt604d,57,0.36660000,18.78829423,2
lgt604d,58,0.52480000,20.61552813,2
lgt604d,59,0.39180000,22.47220505,2
lgt604d,60,0.37500000,23.53720459,2
lgt604d,61,0.39980000,26.01922366,2
lgt604d,62,0.54160000,25.29822128,2
lgt604d,63,0.41700000,24.69817807,2
lgt604d,64,1.90840000,24.35231170,3
lgt604d,65,2.29980000,25.38477631,4
lgt604d,66,0.50820000,23.76972865,2
lgt604d,67,0.43320000,24.69817807,2
lgt604d,68,0.50000000,24.73863375,2
lgt604d,69,0.37500000,24.18677324,2
lgt604d,70,0.52500000,28.30194340,2
lgt604d,71,0.44180000,27.51363298,2
lgt604d,72,0.54180000,30.00000000,2
lgt604d,73,0.45020000,27.80287755,2
lgt604d,74,1.84980000,26.13169401,4
lgt604d,75,1.62480000,25.72900202,6
lgt604d,76,1.89160000,30.01104943,3
lgt604d,77,0.41680000,28.44292531,2
lgt604d,78,0.42520000,27.45906044,2
lgt604d,79,0.34980000,27.78488798,2
lgt604d,80,0.50020000,33.30165161,2
lgt604d,81,0.52500000,31.76476035,2
lgt604d,82,0.59180000,33.12099032,2
lgt604d,83,1.44200000,30.26376402,5
lgt604d,84,0.55840000,33.37663854,2
lgt604d,85,0.35820000,31.78049716,2
lgt604d,86,0.68360000,34.05877273,2
lgt604d,87,0.46680000,32.55764119,2
lgt604d,88,0.43340000,34.65544690,2
lgt604d,89,0.26640000,31.04834939,2
lgt604d,90,1.68300000,35.18105443,3
lgt604d,91,0.50820000,37.21558813,2
lgt604d,92,0.49140000,37.20215048,2
lgt604d,93,2.15840000,33.03486012,4
lgt604d,94,0.48320000,38.28837944,2
lgt604d,95,0.53320000,37.53664876,2
lgt604d,96,1.98300000,37.57612678,3
lgt604d,97,0.70020000,34.13209633,2
lgt604d,98,0.45020000,38.18376618,2
lgt604d,99,0.54180000,37.01351105,2
lgt604d,100,2.00000000,38.51065187,3
lgt604d,101,0.45820000,39.35733731,2
lgt604d,102,0.51640000,38.89730068,2
lgt604d,103,0.53320000,39.20459157,2
lgt604d,104,1.72540000,40.31283119,3
lgt604d,105,1.13340000,39.45380851,4
lgt604d,106,2.20000000,39.56013467,3
lgt604d,107,0.64980000,38.47076812,2
lgt604d,108,1.95000000,38.01096131,5
lgt604d,109,5.11660000,40.06573459,3
lgt604d,110,2.30840000,41.13995152,5
lgt604d,111,0.45020000,44.65422712,2
lgt604d,112,0.59980000,43.86342440,2
lgt604d,113,2.14140000,43.42663436,5
lgt604d,114,1.99980000,41.59625606,6
lgt604d,115,1.40840000,42.82845526,3
lgt604d,116,1.75000000,44.10027048,4
lgt604d,117,2.05020000,43.09290514,6
lgt604d,118,1.90840000,41.91539197,7
lgt604d,119,1.30840000,45.96737974,2
lgt604d,120,0.48320000,48.10405388,2
lgt604d,121,0.38320000,48.83646179,2
lgt604d,122,2.08340000,48.01041554,2
lgt604d,123,2.48340000,45.31646012,10
lgt604d,124,1.61640000,48.28938754,4
lgt604d,125,1.92500000,48.08181589,3
lgt604d,126,0.77500000,46.52956050,2
lgt604d,127,0.79140000,48.27007354,2
lgt604d,128,0.50020000,46.22769733,2
lgt604d,129,0.57520000,49.20365840,2
lgt604d,130,0.55000000,54.56189146,2
lgt604d,131,0.60000000,52.00961450,2
lgt604d,132,1.75840000,50.28208715,4
lgt604d,133,2.08320000,49.58564427,8
lgt604d,134,0.58340000,52.43090692,2
lgt604d,135,0.58340000,49.40647731,2
lgt604d,136,2.81660000,49.44525010,7
lgt604d,137,0.67500000,53.23532662,2
lgt604d,138,0.56700000,54.14794548,2
lgt604d,139,0.58360000,49.97999600,2
lgt604d,140,1.65840000,56.79778350,3
lgt604d,141,1.76680000,53.60567990,4
lgt604d,142,0.65000000,54.70831747,2
lgt604d,143,0.60840000,54.56189146,2
lgt604d,144,2.01660000,53.61631240,10
lgt604d,145,1.61660000,54.60750234,10
lgt604d,146,1.89160000,53.50586380,5
lgt604d,147,1.91640000,53.12815916,6
