Map,Query Number,Time,Distance,Path Length
orz101d,0,0.69180000,2.00000000,2
orz101d,1,0.30040000,2.23606798,2
orz101d,2,0.33340000,1.41421356,2
orz101d,3,0.25000000,3.00000000,2
orz101d,4,0.28340000,3.60555128,2
orz101d,5,0.24160000,1.41421356,2
orz101d,6,0.32500000,3.60555128,2
orz101d,7,0.25000000,0.00000000,2
orz101d,8,0.23340000,3.16227766,2
orz101d,9,0.28340000,1.00000000,2
orz101d,10,0.30840000,5.38516481,2
orz101d,11,0.23360000,6.32455532,2
orz101d,12,0.22520000,7.28010989,2
orz101d,13,2.15000000,6.06449510,6
orz101d,14,0.46680000,7.07106781,2
orz101d,15,1.09180000,5.01976484,3
orz101d,16,0.35840000,5.38516481,2
orz101d,17,0.26660000,7.07106781,2
orz101d,18,0.34140000,7.28010989,2
orz101d,19,0.30820000,5.83095189,2
orz101d,20,0.30860000,8.06225775,2
orz101d,21,0.83360000,7.30056308,4
orz101d,22,0.65020000,7.82842712,4
orz101d,23,0.34160000,10.81665383,2
orz101d,24,0.93320000,10.06449510,6
orz101d,25,0.25840000,8.06225775,2
orz101d,26,0.39980000,7.61577311,2
orz101d,27,0.80840000,9.22212514,3
orz101d,28,0.33360000,7.61577311,2
orz101d,29,1.01680000,11.08276253,4
orz101d,30,1.10000000,13.24621125,4
orz101d,31,1.58320000,11.30713578,9
orz101d,32,0.75000000,10.89068487,4
orz101d,33,0.74980000,14.87002170,4
orz101d,34,0.28340000,12.52996409,2
orz101d,35,0.34180000,14.21267040,2
orz101d,36,0.30000000,15.00000000,2
orz101d,37,1.06680000,12.54320376,7
orz101d,38,0.72520000,13.28238563,4
orz101d,39,0.84980000,13.01613970,3
orz101d,40,0.89960000,15.96399003,9
orz101d,41,0.72500000,15.00876701,6
orz101d,42,0.76680000,15.55132808,6
orz101d,43,0.70020000,15.26253413,5
orz101d,44,0.77500000,18.27105072,6
orz101d,45,0.31660000,16.64331698,2
orz101d,46,0.31700000,17.20465053,2
orz101d,47,0.27520000,16.97056275,2
orz101d,48,0.24160000,15.81138830,2
orz101d,49,0.24160000,17.02938637,2
orz101d,50,1.15860000,21.29785187,11
orz101d,51,0.43320000,20.80865205,2
orz101d,52,0.99980000,21.52846017,10
orz101d,53,1.14160000,20.93728160,9
orz101d,54,0.85020000,18.59445919,6
orz101d,55,1.06700000,20.32032791,9
orz101d,56,1.24160000,20.14998787,3
orz101d,57,0.89140000,21.38258566,8
orz101d,58,0.37500000,20.51828453,2
orz101d,59,0.75840000,21.75095655,4
orz101d,60,1.38320000,23.97703116,5
orz101d,61,1.00820000,25.37849102,6
orz101d,62,1.09160000,23.92710072,4
orz101d,63,1.04960000,23.02612023,4
orz101d,64,0.83320000,25.32032791,8
orz101d,65,1.05820000,25.20721061,4
orz101d,66,0.89980000,22.80187453,6
orz101d,67,0.86680000,23.97129759,8
orz101d,68,0.81660000,24.67599750,8
orz101d,69,0.52500000,23.43074903,2
orz101d,70,0.75000000,29.04543301,10
orz101d,71,1.42480000,28.11162960,9
orz101d,72,0.93340000,25.46841306,6
orz101d,73,1.04180000,26.63530465,5
orz101d,74,1.03320000,27.68964479,10
orz101d,75,0.60840000,30.32032791,8
orz101d,76,0.94200000,29.08264412,3
orz101d,77,0.71680000,27.88054769,8
orz101d,78,0.50000000,28.30194340,2
orz101d,79,0.75000000,27.63814898,8
orz101d,80,0.94980000,32.94207343,11
orz101d,81,0.89140000,29.97029691,3
orz101d,82,0.73300000,33.32917490,10
