Map,Query Number,Time,Distance,Path Length
ost000a,0,3.08360000,2.23606798,2
ost000a,1,0.85820000,1.41421356,2
ost000a,2,0.59180000,2.82842712,2
ost000a,3,0.73360000,3.00000000,2
ost000a,4,0.48360000,2.00000000,2
ost000a,5,0.60860000,3.60555128,2
ost000a,6,0.42480000,3.16227766,2
ost000a,7,0.44120000,3.16227766,2
ost000a,8,0.81640000,3.60555128,2
ost000a,9,0.99160000,3.60555128,2
ost000a,10,0.57500000,5.00000000,2
ost000a,11,0.47500000,7.21110255,2
ost000a,12,0.48340000,4.12310563,2
ost000a,13,0.46680000,5.83095189,2
ost000a,14,0.34180000,5.00000000,2
ost000a,15,0.82500000,7.28010989,2
ost000a,16,0.47520000,6.32455532,2
ost000a,17,0.60820000,7.21110255,2
ost000a,18,0.39160000,4.12310563,2
ost000a,19,0.75000000,4.47213595,2
ost000a,20,0.96660000,10.00000000,2
ost000a,21,0.55860000,10.04987562,2
ost000a,22,0.47500000,10.29563014,2
ost000a,23,0.71660000,10.77032961,2
ost000a,24,0.63300000,8.00000000,2
ost000a,25,0.50780000,8.60232527,2
ost000a,26,0.77500000,10.77032961,2
ost000a,27,0.68340000,11.04536102,2
ost000a,28,1.34180000,10.81665383,2
ost000a,29,1.00000000,10.00000000,2
ost000a,30,11.44160000,13.70469991,3
ost000a,31,0.54180000,14.00000000,2
ost000a,32,0.55860000,13.45362405,2
ost000a,33,0.72520000,12.80624847,2
ost000a,34,0.64160000,13.00000000,2
ost000a,35,7.76680000,14.60258417,4
ost000a,36,0.55860000,12.20655562,2
ost000a,37,0.52500000,13.45362405,2
ost000a,38,0.61660000,15.00000000,2
ost000a,39,0.45020000,13.60147051,2
ost000a,40,0.40840000,15.81138830,2
ost000a,41,0.78340000,15.23154621,2
ost000a,42,0.91660000,17.46424920,2
ost000a,43,0.44980000,15.26433752,2
ost000a,44,0.50820000,15.65247584,2
ost000a,45,0.65000000,18.35755975,2
ost000a,46,0.43340000,15.23154621,2
ost000a,47,0.56640000,14.86606875,2
ost000a,48,0.60000000,15.29705854,2
ost000a,49,0.54160000,16.64331698,2
ost000a,50,0.71640000,21.21320344,2
ost000a,51,0.36680000,20.22374842,2
ost000a,52,0.53340000,19.41648784,2
ost000a,53,0.56660000,21.21320344,2
ost000a,54,7.39980000,22.52417470,3
ost000a,55,0.46660000,20.61552813,2
ost000a,56,0.64140000,21.58703314,2
ost000a,57,0.41640000,20.24845673,2
ost000a,58,6.52480000,20.55388904,4
ost000a,59,0.48320000,22.09072203,2
ost000a,60,0.60820000,22.80350850,2
ost000a,61,0.39180000,24.41311123,2
ost000a,62,10.79960000,23.47220505,4
ost000a,63,0.52500000,24.00000000,2
ost000a,64,0.46680000,26.17250466,2
ost000a,65,0.49160000,23.32380758,2
ost000a,66,0.54980000,24.35159132,2
ost000a,67,0.47500000,23.60084744,2
ost000a,68,0.40840000,25.55386468,2
ost000a,69,0.42460000,26.40075756,2
ost000a,70,1.10840000,31.01612484,2
ost000a,71,0.48340000,30.01666204,2
ost000a,72,0.70820000,28.84441020,2
ost000a,73,0.51680000,28.65309756,2
ost000a,74,0.72500000,29.41088234,2
ost000a,75,0.62520000,29.73213749,2
ost000a,76,0.53360000,28.46049894,2
ost000a,77,3.59980000,28.61890172,3
ost000a,78,0.82500000,29.61418579,2
ost000a,79,1.01660000,27.31300057,2
ost000a,80,8.95040000,33.61924345,3
ost000a,81,0.58340000,32.28002478,2
ost000a,82,0.47560000,31.01612484,2
ost000a,83,0.39180000,31.78049716,2
ost000a,84,6.49980000,30.55102286,6
ost000a,85,10.48320000,33.32926936,3
ost000a,86,0.80020000,33.24154028,2
ost000a,87,0.61660000,31.14482300,2
ost000a,88,0.75000000,31.76476035,2
ost000a,89,5.52520000,32.57316000,3
ost000a,90,4.28320000,34.75766375,3
ost000a,91,6.09160000,32.59585912,6
ost000a,92,2.27520000,34.48970709,4
ost000a,93,4.50820000,37.03771594,3
ost000a,94,7.56700000,36.39332886,3
ost000a,95,3.19160000,36.72721413,4
ost000a,96,3.35000000,34.55349721,5
ost000a,97,0.52500000,36.40054945,2
ost000a,98,5.72480000,36.45579790,4
ost000a,99,5.77500000,36.26441055,8
ost000a,100,1.14140000,43.13930922,2
ost000a,101,0.80840000,40.80441153,2
ost000a,102,0.85820000,40.36087214,2
ost000a,103,7.56640000,38.47657634,4
ost000a,104,1.15800000,38.32753579,2
ost000a,105,5.98360000,39.30944965,6
ost000a,106,0.98360000,39.45883931,2
ost000a,107,0.79180000,39.82461550,2
ost000a,108,0.70020000,40.52159918,2
ost000a,109,1.45020000,42.44997055,2
ost000a,110,5.19180000,42.60148447,3
ost000a,111,3.06680000,44.98038667,4
ost000a,112,5.37520000,42.15605521,5
ost000a,113,5.08320000,45.50164988,8
ost000a,114,6.88320000,43.69094673,4
ost000a,115,6.07500000,45.26387643,6
ost000a,116,4.68360000,44.61458953,3
ost000a,117,5.55840000,40.98454660,4
ost000a,118,0.81680000,47.00000000,2
ost000a,119,0.64980000,44.64302857,2
ost000a,120,0.52520000,45.22167622,2
ost000a,121,0.43360000,48.00000000,2
ost000a,122,4.17480000,45.92952559,5
ost000a,123,0.84160000,49.25444142,2
ost000a,124,1.00020000,46.22769733,2
ost000a,125,4.28340000,47.61860616,4
ost000a,126,0.64980000,47.26520919,2
ost000a,127,3.57500000,47.73749597,4
ost000a,128,1.02500000,48.16637832,2
ost000a,129,5.00000000,46.69918730,8
ost000a,130,5.96680000,53.55622049,8
ost000a,131,0.69180000,48.10405388,2
ost000a,132,0.77500000,54.03702434,2
ost000a,133,0.80020000,51.24451190,2
ost000a,134,5.65020000,50.63978633,3
ost000a,135,11.61680000,49.67956184,3
ost000a,136,2.79160000,52.07273654,4
ost000a,137,8.75820000,49.25999995,3
ost000a,138,5.45820000,50.56923630,3
ost000a,139,0.64180000,49.04079934,2
ost000a,140,0.90040000,58.00862005,2
ost000a,141,0.73360000,55.00000000,2
ost000a,142,7.11660000,57.58464970,3
ost000a,143,0.84980000,53.75872022,2
ost000a,144,7.13300000,54.97029801,5
ost000a,145,7.55860000,55.31490281,5
ost000a,146,11.95000000,54.25226674,4
ost000a,147,5.14160000,55.76252048,4
ost000a,148,5.84140000,53.26016329,3
ost000a,149,0.63340000,54.74486277,2
ost000a,150,4.88380000,57.72735976,4
ost000a,151,0.74180000,61.00819617,2
ost000a,152,6.58320000,59.51335843,5
ost000a,153,3.55840000,58.55535317,4
ost000a,154,7.29160000,59.41515851,7
ost000a,155,5.35840000,57.46023828,5
ost000a,156,1.02500000,60.13318551,2
ost000a,157,4.77500000,58.29702742,5
ost000a,158,3.64180000,59.00795157,6
ost000a,159,0.90020000,56.85947590,2
ost000a,160,5.75860000,64.01967739,4
ost000a,161,4.30860000,62.39614448,3
ost000a,162,7.37500000,62.33249295,7
ost000a,163,6.24980000,59.34062805,5
ost000a,164,4.41660000,61.22031595,4
ost000a,165,0.76640000,61.46543744,2
ost000a,166,6.72480000,62.28782650,3
ost000a,167,6.06660000,61.91945209,4
ost000a,168,0.79140000,62.51399843,2
ost000a,169,1.02500000,61.85466838,2
ost000a,170,6.86660000,68.00499449,4
ost000a,171,11.43340000,64.20303961,6
ost000a,172,11.75000000,64.15462920,3
ost000a,173,4.75840000,63.23758297,6
ost000a,174,6.54140000,64.87838473,4
ost000a,175,2.78340000,67.47805077,8
ost000a,176,6.28320000,63.25232121,3
ost000a,177,7.00860000,70.08324077,3
ost000a,178,0.93360000,65.14598990,2
ost000a,179,7.38360000,68.79692840,4
ost000a,180,0.78360000,68.88396040,2
ost000a,181,1.23320000,67.62396025,2
ost000a,182,4.81680000,71.81137725,3
ost000a,183,7.00000000,68.12938814,4
ost000a,184,4.40000000,73.15672608,3
ost000a,185,4.36660000,71.89168787,3
ost000a,186,1.37500000,72.02777242,2
ost000a,187,7.77520000,71.79612503,6
ost000a,188,5.59180000,69.43220346,8
ost000a,189,5.19980000,70.05294467,4
ost000a,190,7.01680000,71.88486277,3
ost000a,191,0.93340000,77.16216690,2
ost000a,192,3.64200000,71.59912792,4
ost000a,193,3.58340000,73.00412544,4
ost000a,194,1.03320000,77.10382610,2
ost000a,195,6.26660000,73.62093544,4
ost000a,196,3.79160000,74.41518781,3
ost000a,197,0.80840000,78.00640999,2
ost000a,198,0.86680000,71.58910532,2
ost000a,199,7.15820000,72.90775830,5
ost000a,200,5.05860000,77.86128623,5
ost000a,201,3.87520000,75.39635614,3
ost000a,202,4.80820000,79.52686104,8
ost000a,203,6.03340000,77.49332140,3
ost000a,204,5.75000000,76.27667595,11
ost000a,205,6.75000000,76.89013734,4
ost000a,206,1.21640000,79.81227976,2
ost000a,207,0.89160000,77.46612163,2
ost000a,208,4.77500000,77.36753237,5
ost000a,209,6.31680000,77.93985802,6
ost000a,210,1.02520000,79.07591289,2
ost000a,211,1.05820000,83.38465087,2
