Map,Query Number,Time,Distance,Path Length
ost000t,0,3.22480000,3.16227766,2
ost000t,1,0.69980000,3.60555128,2
ost000t,2,0.49160000,2.00000000,2
ost000t,3,0.64160000,1.00000000,2
ost000t,4,0.95840000,2.82842712,2
ost000t,5,0.85900000,3.60555128,2
ost000t,6,0.58360000,3.16227766,2
ost000t,7,0.41700000,3.16227766,2
ost000t,8,0.51680000,1.00000000,2
ost000t,9,0.95020000,3.00000000,2
ost000t,10,0.42500000,6.00000000,2
ost000t,11,0.65000000,5.65685425,2
ost000t,12,0.55000000,6.40312424,2
ost000t,13,0.62480000,4.47213595,2
ost000t,14,0.77500000,6.40312424,2
ost000t,15,9.00840000,5.53731919,3
ost000t,16,0.46700000,6.08276253,2
ost000t,17,0.55820000,5.38516481,2
ost000t,18,0.95000000,6.08276253,2
ost000t,19,0.59180000,4.00000000,2
ost000t,20,0.85000000,11.04536102,2
ost000t,21,0.88320000,8.94427191,2
ost000t,22,0.53320000,9.05538514,2
ost000t,23,0.49960000,10.19803903,2
ost000t,24,0.45000000,10.29563014,2
ost000t,25,0.69180000,9.21954446,2
ost000t,26,0.63340000,8.94427191,2
ost000t,27,4.40840000,7.63441362,3
ost000t,28,0.62480000,8.94427191,2
ost000t,29,0.49140000,9.43398113,2
ost000t,30,0.57480000,12.20655562,2
ost000t,31,0.45860000,13.15294644,2
ost000t,32,0.60840000,12.04159458,2
ost000t,33,0.89140000,13.41640786,2
ost000t,34,0.49180000,14.21267040,2
ost000t,35,0.73340000,13.60147051,2
ost000t,36,0.41680000,12.08304597,2
ost000t,37,0.56680000,12.72792206,2
ost000t,38,0.66660000,14.56021978,2
ost000t,39,0.49180000,12.04159458,2
ost000t,40,0.45020000,19.10497317,2
ost000t,41,0.49160000,16.97056275,2
ost000t,42,0.48320000,15.62049935,2
ost000t,43,0.63300000,16.55294536,2
ost000t,44,8.11660000,17.64575977,5
ost000t,45,0.72520000,17.88854382,2
ost000t,46,0.56680000,18.60107524,2
ost000t,47,0.69180000,17.69180601,2
ost000t,48,0.58360000,15.65247584,2
ost000t,49,7.42480000,14.63014581,3
ost000t,50,3.40020000,19.43908891,4
ost000t,51,0.76700000,21.18962010,2
ost000t,52,0.68300000,18.86796226,2
ost000t,53,0.94140000,19.41648784,2
ost000t,54,0.45800000,20.00000000,2
ost000t,55,0.39160000,21.09502311,2
ost000t,56,0.61620000,19.64688270,2
ost000t,57,0.53300000,20.39607805,2
