Map,Query Number,Time,Distance,Path Length
ost102d,0,0.94160000,0.00000000,2
ost102d,1,0.29980000,1.00000000,2
ost102d,2,0.27480000,3.00000000,2
ost102d,3,0.24180000,2.00000000,2
ost102d,4,0.22520000,1.00000000,2
ost102d,5,0.23320000,1.00000000,2
ost102d,6,0.19980000,1.41421356,2
ost102d,7,0.30000000,2.23606798,2
ost102d,8,0.21680000,3.16227766,2
ost102d,9,0.23340000,2.23606798,2
ost102d,10,0.24160000,6.00000000,2
ost102d,11,0.25000000,5.00000000,2
ost102d,12,0.22500000,4.00000000,2
ost102d,13,0.23360000,6.08276253,2
ost102d,14,0.20840000,4.12310563,2
ost102d,15,1.14200000,7.32455532,3
ost102d,16,0.25020000,6.32455532,2
ost102d,17,0.29160000,4.47213595,2
ost102d,18,0.24180000,6.70820393,2
ost102d,19,0.20040000,5.83095189,2
ost102d,20,0.42520000,9.32455532,3
ost102d,21,0.40000000,8.32455532,3
ost102d,22,0.32500000,9.48683298,2
ost102d,23,0.26660000,8.54400375,2
ost102d,24,0.25000000,7.61577311,2
ost102d,25,0.25840000,9.84885780,2
ost102d,26,0.26680000,8.94427191,2
ost102d,27,0.21700000,8.06225775,2
ost102d,28,0.25840000,10.29563014,2
ost102d,29,0.26660000,9.43398113,2
ost102d,30,0.60020000,11.32455532,3
ost102d,31,0.62540000,11.42357483,3
ost102d,32,0.49180000,10.79669128,3
ost102d,33,0.46660000,11.70972013,3
ost102d,34,0.27500000,11.31370850,2
ost102d,35,0.50880000,11.32455532,3
ost102d,36,0.69180000,11.77032961,3
ost102d,37,0.28320000,11.40175425,2
ost102d,38,0.48320000,11.70972013,3
ost102d,39,0.46660000,12.15550722,3
ost102d,40,0.44160000,14.86855907,3
ost102d,41,0.29180000,15.29705854,2
ost102d,42,0.37500000,15.52417470,2
ost102d,43,0.41660000,15.81138830,2
ost102d,44,0.31660000,16.49242250,2
ost102d,45,0.30820000,16.76305461,2
ost102d,46,0.34160000,14.86606875,2
ost102d,47,0.63320000,15.30230699,3
ost102d,48,0.53320000,15.56959551,3
ost102d,49,0.70840000,16.13274595,3
ost102d,50,0.35820000,18.86796226,2
ost102d,51,0.35000000,18.86796226,2
ost102d,52,0.28340000,19.41648784,2
ost102d,53,0.31700000,18.86796226,2
ost102d,54,0.39160000,19.42220510,3
ost102d,55,0.31660000,18.89244399,3
ost102d,56,0.26640000,18.41640786,3
ost102d,57,0.69980000,17.41421356,7
ost102d,58,0.29980000,20.00000000,2
ost102d,59,0.29160000,19.41648784,2
ost102d,60,0.29180000,22.36067977,2
ost102d,61,0.23340000,22.82542442,2
ost102d,62,0.24160000,22.36067977,2
ost102d,63,0.58340000,21.61507155,7
ost102d,64,0.62480000,22.30261402,4
ost102d,65,0.47520000,21.64575977,4
ost102d,66,0.54160000,21.93713656,4
ost102d,67,0.25020000,22.84731932,2
ost102d,68,0.24180000,22.47220505,2
ost102d,69,0.61660000,22.12645295,7
